entry,at,order
"""David2 @ 8izogiVoS9"" folds",2023-04-17T06:25:53.105Z,168171275310500
"""Toby (diff PC) @ 76KLHFOJAT"" posts a big blind of 1.00",2023-04-17T05:45:30.606Z,168171033060606
"""David2 @ 8izogiVoS9"" posts a small blind of 0.50",2023-04-17T05:45:30.606Z,168171033060605
"Player stacks: #2 ""David2 @ 8izogiVoS9"" (358.14) | #8 ""Toby (diff PC) @ 76KLHFOJAT"" (200.76)",2023-04-17T05:45:30.606Z,168171033060602
"-- starting hand #218 (id: yfw48uubd1gk)  (No Limit Texas Hold'em) (dealer: ""David2 @ 8izogiVoS9"") --",2023-04-17T05:45:30.606Z,168171033060601
"The player ""Ari @ zgG4ruqKlQ"" stand up with the stack of 382.98.",2023-04-17T05:45:30.606Z,168171033060600
"""Toby (diff PC) @ 76KLHFOJAT"" shows a K♥, 2♥.",2023-04-17T05:45:26.656Z,168171032665600
"-- ending hand #217 --",2023-04-17T05:45:24.093Z,168171032409302
"""Ari @ zgG4ruqKlQ"" collected 10.50 from pot with Pair, Q's (combination: Q♥, Q♣, 10♦, 9♣, 7♦)",2023-04-17T05:45:24.093Z,168171032409301
"""Ari @ zgG4ruqKlQ"" shows a 10♦, Q♥.",2023-04-17T05:45:24.093Z,168171032409300
"""Toby (diff PC) @ 76KLHFOJAT"" checks",2023-04-17T05:45:23.235Z,168171032323500
"""Ari @ zgG4ruqKlQ"" checks",2023-04-17T05:45:22.321Z,168171032232100
"River: 2♣, 7♦, 6♠, Q♣ [9♣]",2023-04-17T05:45:16.281Z,168171031628100
"""Toby (diff PC) @ 76KLHFOJAT"" checks",2023-04-17T05:45:15.436Z,168171031543600
"""Ari @ zgG4ruqKlQ"" checks",2023-04-17T05:45:14.592Z,168171031459200
"Turn: 2♣, 7♦, 6♠ [Q♣]",2023-04-17T05:45:14.192Z,168171031419200
"""Toby (diff PC) @ 76KLHFOJAT"" checks",2023-04-17T05:45:13.333Z,168171031333300
"""Ari @ zgG4ruqKlQ"" checks",2023-04-17T05:45:12.486Z,168171031248600
"Flop:  [2♣, 7♦, 6♠]",2023-04-17T05:45:11.190Z,168171031119000
"""Ari @ zgG4ruqKlQ"" calls 5.00",2023-04-17T05:45:10.362Z,168171031036200
"""David2 @ 8izogiVoS9"" folds",2023-04-17T05:45:08.118Z,168171030811800
"""Toby (diff PC) @ 76KLHFOJAT"" raises to 5.00",2023-04-17T05:45:07.281Z,168171030728100
"""Ari @ zgG4ruqKlQ"" posts a big blind of 1.00",2023-04-17T05:44:48.265Z,168171028826508
"""David2 @ 8izogiVoS9"" posts a small blind of 0.50",2023-04-17T05:44:48.265Z,168171028826507
"Player stacks: #2 ""David2 @ 8izogiVoS9"" (358.64) | #7 ""Ari @ zgG4ruqKlQ"" (377.48) | #8 ""Toby (diff PC) @ 76KLHFOJAT"" (205.76)",2023-04-17T05:44:48.265Z,168171028826503
"-- starting hand #217 (id: fqe2ukahfouf)  (No Limit Texas Hold'em) (dead button) --",2023-04-17T05:44:48.265Z,168171028826502
"The player ""Matt P @ eGioB_PAIX"" quits the game with a stack of 334.16.",2023-04-17T05:44:48.265Z,168171028826501
"The player ""Matt P @ eGioB_PAIX"" stand up with the stack of 334.16.",2023-04-17T05:44:48.265Z,168171028826500
"-- ending hand #216 --",2023-04-17T05:44:45.354Z,168171028535402
"""Toby (diff PC) @ 76KLHFOJAT"" collected 3.50 from pot",2023-04-17T05:44:45.354Z,168171028535401
"Uncalled bet of 2.00 returned to ""Toby (diff PC) @ 76KLHFOJAT""",2023-04-17T05:44:45.354Z,168171028535400
"""Ari @ zgG4ruqKlQ"" folds",2023-04-17T05:44:44.474Z,168171028447400
"""David2 @ 8izogiVoS9"" folds",2023-04-17T05:44:43.432Z,168171028343200
"""Toby (diff PC) @ 76KLHFOJAT"" bets 2.00",2023-04-17T05:44:41.432Z,168171028143200
"""Ari @ zgG4ruqKlQ"" checks",2023-04-17T05:44:38.690Z,168171027869000
"""David2 @ 8izogiVoS9"" checks",2023-04-17T05:44:37.848Z,168171027784800
"Turn: 6♣, 6♥, K♠ [J♥]",2023-04-17T05:44:36.950Z,168171027695000
"""Toby (diff PC) @ 76KLHFOJAT"" checks",2023-04-17T05:44:36.122Z,168171027612200
"""Ari @ zgG4ruqKlQ"" checks",2023-04-17T05:44:29.946Z,168171026994600
"""David2 @ 8izogiVoS9"" checks",2023-04-17T05:44:28.821Z,168171026882100
"Flop:  [6♣, 6♥, K♠]",2023-04-17T05:44:28.138Z,168171026813800
"""David2 @ 8izogiVoS9"" checks",2023-04-17T05:44:27.299Z,168171026729900
"""Matt P @ eGioB_PAIX"" folds",2023-04-17T05:44:26.366Z,168171026636600
"""Toby (diff PC) @ 76KLHFOJAT"" calls 1.00",2023-04-17T05:44:20.606Z,168171026060600
"""Ari @ zgG4ruqKlQ"" calls 1.00",2023-04-17T05:44:18.670Z,168171025867000
"""David2 @ 8izogiVoS9"" posts a big blind of 1.00",2023-04-17T05:44:17.008Z,168171025700808
"""Matt P @ eGioB_PAIX"" posts a small blind of 0.50",2023-04-17T05:44:17.008Z,168171025700807
"Player stacks: #1 ""Matt P @ eGioB_PAIX"" (334.66) | #2 ""David2 @ 8izogiVoS9"" (359.64) | #7 ""Ari @ zgG4ruqKlQ"" (378.48) | #8 ""Toby (diff PC) @ 76KLHFOJAT"" (203.26)",2023-04-17T05:44:17.008Z,168171025700802
"-- starting hand #216 (id: i6tucb6r5fix)  (No Limit Texas Hold'em) (dealer: ""Toby (diff PC) @ 76KLHFOJAT"") --",2023-04-17T05:44:17.008Z,168171025700801
"The player ""manav @ -DkySTil6a"" quits the game with a stack of 0.00.",2023-04-17T05:44:17.008Z,168171025700800
"-- ending hand #215 --",2023-04-17T05:44:08.996Z,168171024899602
"""David2 @ 8izogiVoS9"" collected 85.94 from pot with Two Pair, K's & 9's on the second run  (combination: K♣, K♥, 9♠, 9♦, 8♠)",2023-04-17T05:44:08.996Z,168171024899601
"""David2 @ 8izogiVoS9"" collected 85.94 from pot with Three of a Kind, K's (combination: K♣, K♥, K♠, A♣, Q♥)",2023-04-17T05:44:08.996Z,168171024899600
"River (second run): 5♣, 9♠, 8♠, 9♦ [6♥]",2023-04-17T05:44:04.941Z,168171024494100
"Turn (second run): 5♣, 9♠, 8♠ [9♦]",2023-04-17T05:44:00.908Z,168171024090800
"Flop (second run):  [5♣, 9♠, 8♠]",2023-04-17T05:43:56.809Z,168171023680900
"River: K♠, Q♥, 5♠, A♣ [6♠]",2023-04-17T05:43:52.807Z,168171023280700
"Turn: K♠, Q♥, 5♠ [A♣]",2023-04-17T05:43:48.802Z,168171022880200
"Flop:  [K♠, Q♥, 5♠]",2023-04-17T05:43:44.766Z,168171022476600
"""manav @ -DkySTil6a"" shows a 10♦, 10♠.",2023-04-17T05:43:40.760Z,168171022076001
"""David2 @ 8izogiVoS9"" shows a K♣, K♥.",2023-04-17T05:43:40.760Z,168171022076000
"All players in hand choose to run it twice.",2023-04-17T05:43:39.910Z,168171021991001
"""manav @ -DkySTil6a"" chooses to  run it twice.",2023-04-17T05:43:39.910Z,168171021991000
"""David2 @ 8izogiVoS9"" chooses to  run it twice.",2023-04-17T05:43:39.132Z,168171021913200
"Remaining players decide whether to run it twice.",2023-04-17T05:43:38.060Z,168171021806001
"""David2 @ 8izogiVoS9"" calls 85.19",2023-04-17T05:43:38.060Z,168171021806000
"""Matt P @ eGioB_PAIX"" folds",2023-04-17T05:43:36.134Z,168171021613400
"""Toby (diff PC) @ 76KLHFOJAT"" folds",2023-04-17T05:43:35.203Z,168171021520300
"""Ari @ zgG4ruqKlQ"" folds",2023-04-17T05:43:34.302Z,168171021430200
"""manav @ -DkySTil6a"" raises to 85.19 and go all in",2023-04-17T05:43:32.816Z,168171021281600
"""David2 @ 8izogiVoS9"" raises to 2.50",2023-04-17T05:43:29.224Z,168171020922400
"""Matt P @ eGioB_PAIX"" posts a big blind of 1.00",2023-04-17T05:43:27.145Z,168171020714508
"""Toby (diff PC) @ 76KLHFOJAT"" posts a small blind of 0.50",2023-04-17T05:43:27.145Z,168171020714507
"Player stacks: #1 ""Matt P @ eGioB_PAIX"" (335.66) | #2 ""David2 @ 8izogiVoS9"" (272.95) | #4 ""manav @ -DkySTil6a"" (85.19) | #7 ""Ari @ zgG4ruqKlQ"" (378.48) | #8 ""Toby (diff PC) @ 76KLHFOJAT"" (203.76)",2023-04-17T05:43:27.145Z,168171020714501
"-- starting hand #215 (id: s5twxjhafgwm)  (No Limit Texas Hold'em) (dealer: ""Ari @ zgG4ruqKlQ"") --",2023-04-17T05:43:27.145Z,168171020714500
"-- ending hand #214 --",2023-04-17T05:43:24.190Z,168171020419002
