entry,at,order
"The player ""jl @ orfiQr9Qxi"" canceled the seat request.",2023-04-14T21:54:21.437Z,168150926143700
"The player ""jl @ orfiQr9Qxi"" requested a seat.",2023-04-14T21:54:04.233Z,168150924423300
"The player ""Gill Bets Pot @ dyr2KdooJk"" stand up with the stack of 767.18.",2023-04-14T05:01:09.990Z,168144846999000
"-- ending hand #128 --",2023-04-14T05:01:04.008Z,168144846400802
"""Dp @ YyWpODWXWx"" collected 6.00 from pot",2023-04-14T05:01:04.008Z,168144846400801
"Uncalled bet of 3.00 returned to ""Dp @ YyWpODWXWx""",2023-04-14T05:01:04.008Z,168144846400800
"""Gill Bets Pot @ dyr2KdooJk"" folds",2023-04-14T05:01:03.187Z,168144846318700
"""Dp @ YyWpODWXWx"" bets 3.00",2023-04-14T05:01:02.256Z,168144846225600
"""Gill Bets Pot @ dyr2KdooJk"" checks",2023-04-14T05:00:58.007Z,168144845800700
"Flop:  [6♠, Q♠, 6♥]",2023-04-14T05:00:57.222Z,168144845722200
"""Gill Bets Pot @ dyr2KdooJk"" calls 3.00",2023-04-14T05:00:56.410Z,168144845641000
"""Dp @ YyWpODWXWx"" raises to 3.00",2023-04-14T05:00:55.517Z,168144845551700
"""Gill Bets Pot @ dyr2KdooJk"" posts a big blind of 1.00",2023-04-14T05:00:53.331Z,168144845333105
"""Dp @ YyWpODWXWx"" posts a small blind of 0.50",2023-04-14T05:00:53.331Z,168144845333104
"Player stacks: #7 ""Gill Bets Pot @ dyr2KdooJk"" (770.18) | #9 ""Dp @ YyWpODWXWx"" (106.87)",2023-04-14T05:00:53.331Z,168144845333101
"-- starting hand #128 (id: nqjbgb9mvpvu)  (Pot Limit Omaha Hi) (dealer: ""Dp @ YyWpODWXWx"") --",2023-04-14T05:00:53.331Z,168144845333100
"-- ending hand #127 --",2023-04-14T05:00:47.326Z,168144844732602
"""Gill Bets Pot @ dyr2KdooJk"" collected 54.00 from pot with Two Pair (combination: K♥, K♠, 10♦, 10♥, Q♠)",2023-04-14T05:00:47.326Z,168144844732601
"""Gill Bets Pot @ dyr2KdooJk"" shows a J♥, K♥, 7♦, 10♦.",2023-04-14T05:00:47.326Z,168144844732600
"""Gill Bets Pot @ dyr2KdooJk"" checks",2023-04-14T05:00:46.485Z,168144844648500
"""Dp @ YyWpODWXWx"" checks",2023-04-14T05:00:45.535Z,168144844553500
"River: Q♠, 6♣, K♠, 10♥ [3♣]",2023-04-14T05:00:43.318Z,168144844331800
"""Dp @ YyWpODWXWx"" calls 18.00",2023-04-14T05:00:42.512Z,168144844251200
"""Gill Bets Pot @ dyr2KdooJk"" bets 18.00",2023-04-14T05:00:40.926Z,168144844092600
"""Dp @ YyWpODWXWx"" checks",2023-04-14T05:00:38.983Z,168144843898300
"Turn: Q♠, 6♣, K♠ [10♥]",2023-04-14T05:00:37.159Z,168144843715900
"""Dp @ YyWpODWXWx"" calls 6.00",2023-04-14T05:00:36.336Z,168144843633600
"""Gill Bets Pot @ dyr2KdooJk"" bets 6.00",2023-04-14T05:00:34.029Z,168144843402900
"""Dp @ YyWpODWXWx"" checks",2023-04-14T05:00:31.669Z,168144843166900
"Flop:  [Q♠, 6♣, K♠]",2023-04-14T05:00:29.512Z,168144842951200
"""Dp @ YyWpODWXWx"" calls 3.00",2023-04-14T05:00:28.648Z,168144842864800
"""Gill Bets Pot @ dyr2KdooJk"" raises to 3.00",2023-04-14T05:00:27.048Z,168144842704800
"""Dp @ YyWpODWXWx"" posts a big blind of 1.00",2023-04-14T05:00:23.503Z,168144842350306
"""Gill Bets Pot @ dyr2KdooJk"" posts a small blind of 0.50",2023-04-14T05:00:23.503Z,168144842350305
"Player stacks: #7 ""Gill Bets Pot @ dyr2KdooJk"" (743.18) | #9 ""Dp @ YyWpODWXWx"" (133.87)",2023-04-14T05:00:23.503Z,168144842350302
"-- starting hand #127 (id: vhfvdmkd5lhf)  (Pot Limit Omaha Hi) (dealer: ""Gill Bets Pot @ dyr2KdooJk"") --",2023-04-14T05:00:23.503Z,168144842350301
"The player ""mp @ -DkySTil6a"" quits the game with a stack of 69.00.",2023-04-14T05:00:23.503Z,168144842350300
"-- ending hand #126 --",2023-04-14T05:00:17.501Z,168144841750102
"""Gill Bets Pot @ dyr2KdooJk"" collected 10.00 from pot",2023-04-14T05:00:17.501Z,168144841750101
"Uncalled bet of 10.00 returned to ""Gill Bets Pot @ dyr2KdooJk""",2023-04-14T05:00:17.501Z,168144841750100
"""Dp @ YyWpODWXWx"" folds",2023-04-14T05:00:16.635Z,168144841663500
"""Gill Bets Pot @ dyr2KdooJk"" bets 10.00",2023-04-14T05:00:14.852Z,168144841485200
"Turn: 7♠, 3♦, 2♠ [Q♦]",2023-04-14T05:00:12.250Z,168144841225000
"""Dp @ YyWpODWXWx"" calls 2.00",2023-04-14T05:00:11.371Z,168144841137100
"""Gill Bets Pot @ dyr2KdooJk"" bets 2.00",2023-04-14T05:00:08.740Z,168144840874000
"Flop:  [7♠, 3♦, 2♠]",2023-04-14T05:00:03.712Z,168144840371200
"""Dp @ YyWpODWXWx"" calls 3.00",2023-04-14T05:00:02.117Z,168144840211700
"""Gill Bets Pot @ dyr2KdooJk"" raises to 3.00",2023-04-14T05:00:00.042Z,168144840004200
"""mp @ -DkySTil6a"" folds",2023-04-14T04:59:57.613Z,168144839761300
"""Dp @ YyWpODWXWx"" posts a big blind of 1.00",2023-04-14T04:59:55.333Z,168144839533306
"""Gill Bets Pot @ dyr2KdooJk"" posts a small blind of 0.50",2023-04-14T04:59:55.333Z,168144839533305
"Player stacks: #2 ""mp @ -DkySTil6a"" (69.00) | #7 ""Gill Bets Pot @ dyr2KdooJk"" (738.18) | #9 ""Dp @ YyWpODWXWx"" (138.87)",2023-04-14T04:59:55.333Z,168144839533301
"-- starting hand #126 (id: 9bdza5ppcztw)  (Pot Limit Omaha Hi) (dealer: ""mp @ -DkySTil6a"") --",2023-04-14T04:59:55.333Z,168144839533300
"-- ending hand #125 --",2023-04-14T04:59:49.387Z,168144838938702
"""Gill Bets Pot @ dyr2KdooJk"" collected 2.00 from pot",2023-04-14T04:59:49.387Z,168144838938701
"Uncalled bet of 2.00 returned to ""Gill Bets Pot @ dyr2KdooJk""",2023-04-14T04:59:49.387Z,168144838938700
"""mp @ -DkySTil6a"" folds",2023-04-14T04:59:48.575Z,168144838857500
"""Gill Bets Pot @ dyr2KdooJk"" bets 2.00",2023-04-14T04:59:38.936Z,168144837893600
"""mp @ -DkySTil6a"" checks",2023-04-14T04:59:34.853Z,168144837485300
"Flop:  [Q♠, K♠, K♦]",2023-04-14T04:59:31.376Z,168144837137600
"""Gill Bets Pot @ dyr2KdooJk"" checks",2023-04-14T04:59:30.539Z,168144837053900
"""mp @ -DkySTil6a"" calls 1.00",2023-04-14T04:59:26.405Z,168144836640500
"""Dp @ YyWpODWXWx"" folds",2023-04-14T04:59:24.399Z,168144836439900
"""Gill Bets Pot @ dyr2KdooJk"" posts a big blind of 1.00",2023-04-14T04:59:21.772Z,168144836177206
"""mp @ -DkySTil6a"" posts a small blind of 0.50",2023-04-14T04:59:21.772Z,168144836177205
"Player stacks: #2 ""mp @ -DkySTil6a"" (70.00) | #7 ""Gill Bets Pot @ dyr2KdooJk"" (737.18) | #9 ""Dp @ YyWpODWXWx"" (138.87)",2023-04-14T04:59:21.772Z,168144836177201
"-- starting hand #125 (id: obkndzflc2hl)  (Pot Limit Omaha Hi) (dealer: ""Dp @ YyWpODWXWx"") --",2023-04-14T04:59:21.772Z,168144836177200
"-- ending hand #124 --",2023-04-14T04:59:18.793Z,168144835879302
"""Dp @ YyWpODWXWx"" collected 8.00 from pot",2023-04-14T04:59:18.793Z,168144835879301
"Uncalled bet of 1.00 returned to ""Dp @ YyWpODWXWx""",2023-04-14T04:59:18.793Z,168144835879300
"""Gill Bets Pot @ dyr2KdooJk"" folds",2023-04-14T04:59:17.981Z,168144835798100
"""Dp @ YyWpODWXWx"" bets 1.00",2023-04-14T04:59:13.175Z,168144835317500
"River: 8♠, 7♦, Q♣, A♥ [2♦]",2023-04-14T04:59:10.184Z,168144835018400
"""Gill Bets Pot @ dyr2KdooJk"" checks",2023-04-14T04:59:09.356Z,168144834935600
"""Dp @ YyWpODWXWx"" checks",2023-04-14T04:59:07.354Z,168144834735400
"Turn: 8♠, 7♦, Q♣ [A♥]",2023-04-14T04:58:57.362Z,168144833736200
"""Gill Bets Pot @ dyr2KdooJk"" checks",2023-04-14T04:58:56.511Z,168144833651100
"""Dp @ YyWpODWXWx"" checks",2023-04-14T04:58:55.512Z,168144833551200
"Flop:  [8♠, 7♦, Q♣]",2023-04-14T04:58:53.762Z,168144833376200
"""mp @ -DkySTil6a"" folds",2023-04-14T04:58:52.928Z,168144833292800
"""Dp @ YyWpODWXWx"" calls 3.50",2023-04-14T04:58:51.974Z,168144833197400
"""Gill Bets Pot @ dyr2KdooJk"" raises to 3.50",2023-04-14T04:58:24.271Z,168144830427100
"""mp @ -DkySTil6a"" posts a big blind of 1.00",2023-04-14T04:58:20.919Z,168144830091906
"""Dp @ YyWpODWXWx"" posts a small blind of 0.50",2023-04-14T04:58:20.919Z,168144830091905
"Player stacks: #2 ""mp @ -DkySTil6a"" (71.00) | #7 ""Gill Bets Pot @ dyr2KdooJk"" (740.68) | #9 ""Dp @ YyWpODWXWx"" (134.37)",2023-04-14T04:58:20.919Z,168144830091901
"-- starting hand #124 (id: xwhbuzxnuk7q)  (Pot Limit Omaha Hi) (dealer: ""Gill Bets Pot @ dyr2KdooJk"") --",2023-04-14T04:58:20.919Z,168144830091900
"-- ending hand #123 --",2023-04-14T04:58:15.012Z,168144829501202
"""Dp @ YyWpODWXWx"" collected 1.00 from pot",2023-04-14T04:58:15.012Z,168144829501201
"Uncalled bet of 0.50 returned to ""Dp @ YyWpODWXWx""",2023-04-14T04:58:15.012Z,168144829501200
"""Gill Bets Pot @ dyr2KdooJk"" folds",2023-04-14T04:58:14.185Z,168144829418500
