entry,at,order
"The player ""Maanit @ pOw3O8FlSp"" quits the game with a stack of 305.27.",2023-05-28T05:42:26.168Z,168525254616800
"The player ""Nikhil @ WVaAMw0jhb"" stand up with the stack of 274.08.",2023-05-28T05:42:23.065Z,168525254306500
"-- ending hand #196 --",2023-05-28T05:42:20.141Z,168525254014102
"""Seneca @ 3K1udw0KZ8"" collected 1.00 from pot",2023-05-28T05:42:20.141Z,168525254014101
"Uncalled bet of 0.50 returned to ""Seneca @ 3K1udw0KZ8""",2023-05-28T05:42:20.141Z,168525254014100
"""Nikhil @ WVaAMw0jhb"" folds",2023-05-28T05:42:19.307Z,168525253930700
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 1.00",2023-05-28T05:42:13.587Z,168525253358705
"""Nikhil @ WVaAMw0jhb"" posts a small blind of 0.50",2023-05-28T05:42:13.587Z,168525253358704
"Player stacks: #3 ""Nikhil @ WVaAMw0jhb"" (274.58) | #5 ""Seneca @ 3K1udw0KZ8"" (215.25)",2023-05-28T05:42:13.587Z,168525253358701
"-- starting hand #196 (id: gbdam89qrmau)  (No Limit Texas Hold'em) (dealer: ""Nikhil @ WVaAMw0jhb"") --",2023-05-28T05:42:13.587Z,168525253358700
"-- ending hand #195 --",2023-05-28T05:42:10.649Z,168525253064902
"""Nikhil @ WVaAMw0jhb"" collected 1.00 from pot",2023-05-28T05:42:10.649Z,168525253064901
"Uncalled bet of 0.50 returned to ""Nikhil @ WVaAMw0jhb""",2023-05-28T05:42:10.649Z,168525253064900
"""Seneca @ 3K1udw0KZ8"" folds",2023-05-28T05:42:09.798Z,168525252979800
"""Nikhil @ WVaAMw0jhb"" posts a big blind of 1.00",2023-05-28T05:42:08.132Z,168525252813205
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 0.50",2023-05-28T05:42:08.132Z,168525252813204
"Player stacks: #3 ""Nikhil @ WVaAMw0jhb"" (274.08) | #5 ""Seneca @ 3K1udw0KZ8"" (215.75)",2023-05-28T05:42:08.132Z,168525252813201
"-- starting hand #195 (id: ojldliaflck9)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-05-28T05:42:08.132Z,168525252813200
"-- ending hand #194 --",2023-05-28T05:42:05.184Z,168525252518402
"""Seneca @ 3K1udw0KZ8"" collected 1.00 from pot",2023-05-28T05:42:05.184Z,168525252518401
"Uncalled bet of 0.50 returned to ""Seneca @ 3K1udw0KZ8""",2023-05-28T05:42:05.184Z,168525252518400
"""Nikhil @ WVaAMw0jhb"" folds",2023-05-28T05:42:04.328Z,168525252432800
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 1.00",2023-05-28T05:42:02.055Z,168525252205506
"""Nikhil @ WVaAMw0jhb"" posts a small blind of 0.50",2023-05-28T05:42:02.055Z,168525252205505
"Player stacks: #3 ""Nikhil @ WVaAMw0jhb"" (274.58) | #5 ""Seneca @ 3K1udw0KZ8"" (215.25)",2023-05-28T05:42:02.055Z,168525252205502
"-- starting hand #194 (id: 6y84zzyvnbht)  (No Limit Texas Hold'em) (dealer: ""Nikhil @ WVaAMw0jhb"") --",2023-05-28T05:42:02.055Z,168525252205501
"The player ""Maanit @ pOw3O8FlSp"" stand up with the stack of 305.27.",2023-05-28T05:42:02.055Z,168525252205500
"-- ending hand #193 --",2023-05-28T05:41:59.039Z,168525251903902
"""Seneca @ 3K1udw0KZ8"" collected 1.00 from pot",2023-05-28T05:41:59.039Z,168525251903901
"Uncalled bet of 0.50 returned to ""Seneca @ 3K1udw0KZ8""",2023-05-28T05:41:59.039Z,168525251903900
"""Nikhil @ WVaAMw0jhb"" folds",2023-05-28T05:41:58.167Z,168525251816700
"""Maanit @ pOw3O8FlSp"" folds",2023-05-28T05:41:55.027Z,168525251502700
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 1.00",2023-05-28T05:41:53.478Z,168525251347806
"""Nikhil @ WVaAMw0jhb"" posts a small blind of 0.50",2023-05-28T05:41:53.478Z,168525251347805
"Player stacks: #2 ""Maanit @ pOw3O8FlSp"" (305.27) | #3 ""Nikhil @ WVaAMw0jhb"" (275.08) | #5 ""Seneca @ 3K1udw0KZ8"" (214.75)",2023-05-28T05:41:53.478Z,168525251347801
"-- starting hand #193 (id: dwfjhkce0c5q)  (No Limit Texas Hold'em) (dealer: ""Maanit @ pOw3O8FlSp"") --",2023-05-28T05:41:53.478Z,168525251347800
"""Nikhil @ WVaAMw0jhb"" shows a 10♥, 10♠.",2023-05-28T05:41:51.407Z,168525251140700
"-- ending hand #192 --",2023-05-28T05:41:49.822Z,168525250982202
"""Nikhil @ WVaAMw0jhb"" collected 5.00 from pot",2023-05-28T05:41:49.822Z,168525250982201
"Uncalled bet of 5.00 returned to ""Nikhil @ WVaAMw0jhb""",2023-05-28T05:41:49.822Z,168525250982200
"""Seneca @ 3K1udw0KZ8"" folds",2023-05-28T05:41:48.968Z,168525250896800
"""Nikhil @ WVaAMw0jhb"" raises to 7.25",2023-05-28T05:41:41.725Z,168525250172500
"""Maanit @ pOw3O8FlSp"" folds",2023-05-28T05:41:35.592Z,168525249559200
"""Seneca @ 3K1udw0KZ8"" raises to 2.25",2023-05-28T05:41:33.107Z,168525249310700
"""Nikhil @ WVaAMw0jhb"" posts a big blind of 1.00",2023-05-28T05:41:30.011Z,168525249001106
"""Maanit @ pOw3O8FlSp"" posts a small blind of 0.50",2023-05-28T05:41:30.011Z,168525249001105
"Player stacks: #2 ""Maanit @ pOw3O8FlSp"" (305.77) | #3 ""Nikhil @ WVaAMw0jhb"" (272.33) | #5 ""Seneca @ 3K1udw0KZ8"" (217.00)",2023-05-28T05:41:30.011Z,168525249001101
"-- starting hand #192 (id: hvqiqtxiu8y4)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-05-28T05:41:30.011Z,168525249001100
"-- ending hand #191 --",2023-05-28T05:41:27.045Z,168525248704501
"""Nikhil @ WVaAMw0jhb"" collected 2.50 from pot",2023-05-28T05:41:27.045Z,168525248704500
"""Maanit @ pOw3O8FlSp"" folds",2023-05-28T05:41:26.240Z,168525248624000
"""Seneca @ 3K1udw0KZ8"" folds",2023-05-28T05:41:25.385Z,168525248538500
"""Nikhil @ WVaAMw0jhb"" calls 1.00",2023-05-28T05:41:24.484Z,168525248448400
"""Maanit @ pOw3O8FlSp"" posts a big blind of 1.00",2023-05-28T05:41:20.788Z,168525248078806
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 0.50",2023-05-28T05:41:20.788Z,168525248078805
"Player stacks: #2 ""Maanit @ pOw3O8FlSp"" (306.77) | #3 ""Nikhil @ WVaAMw0jhb"" (270.83) | #5 ""Seneca @ 3K1udw0KZ8"" (217.50)",2023-05-28T05:41:20.788Z,168525248078801
"-- starting hand #191 (id: f0jtoo2plu5u)  (No Limit Texas Hold'em) (dealer: ""Nikhil @ WVaAMw0jhb"") --",2023-05-28T05:41:20.788Z,168525248078800
"-- ending hand #190 --",2023-05-28T05:41:17.834Z,168525247783402
"""Seneca @ 3K1udw0KZ8"" collected 7.50 from pot",2023-05-28T05:41:17.834Z,168525247783401
"Uncalled bet of 9.50 returned to ""Seneca @ 3K1udw0KZ8""",2023-05-28T05:41:17.834Z,168525247783400
"""Nikhil @ WVaAMw0jhb"" folds",2023-05-28T05:41:17.015Z,168525247701500
"""Maanit @ pOw3O8FlSp"" folds",2023-05-28T05:41:15.860Z,168525247586000
"""Seneca @ 3K1udw0KZ8"" raises to 12.00",2023-05-28T05:41:13.547Z,168525247354700
"""Nikhil @ WVaAMw0jhb"" calls 2.50",2023-05-28T05:41:10.067Z,168525247006700
"""Maanit @ pOw3O8FlSp"" raises to 2.50",2023-05-28T05:41:08.269Z,168525246826900
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 1.00",2023-05-28T05:41:02.622Z,168525246262206
"""Nikhil @ WVaAMw0jhb"" posts a small blind of 0.50",2023-05-28T05:41:02.622Z,168525246262205
"Player stacks: #2 ""Maanit @ pOw3O8FlSp"" (309.27) | #3 ""Nikhil @ WVaAMw0jhb"" (273.33) | #5 ""Seneca @ 3K1udw0KZ8"" (212.50)",2023-05-28T05:41:02.622Z,168525246262201
"-- starting hand #190 (id: hjg54r4ofdva)  (No Limit Texas Hold'em) (dealer: ""Maanit @ pOw3O8FlSp"") --",2023-05-28T05:41:02.622Z,168525246262200
"-- ending hand #189 --",2023-05-28T05:40:59.673Z,168525245967302
"""Nikhil @ WVaAMw0jhb"" collected 1.00 from pot",2023-05-28T05:40:59.673Z,168525245967301
"Uncalled bet of 0.50 returned to ""Nikhil @ WVaAMw0jhb""",2023-05-28T05:40:59.673Z,168525245967300
"""Maanit @ pOw3O8FlSp"" folds",2023-05-28T05:40:58.851Z,168525245885100
"""Seneca @ 3K1udw0KZ8"" folds",2023-05-28T05:40:57.991Z,168525245799100
"""Nikhil @ WVaAMw0jhb"" posts a big blind of 1.00",2023-05-28T05:40:56.274Z,168525245627406
"""Maanit @ pOw3O8FlSp"" posts a small blind of 0.50",2023-05-28T05:40:56.274Z,168525245627405
"Player stacks: #2 ""Maanit @ pOw3O8FlSp"" (309.77) | #3 ""Nikhil @ WVaAMw0jhb"" (272.83) | #5 ""Seneca @ 3K1udw0KZ8"" (212.50)",2023-05-28T05:40:56.274Z,168525245627401
"-- starting hand #189 (id: 4ro3345avi7s)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-05-28T05:40:56.274Z,168525245627400
"-- ending hand #188 --",2023-05-28T05:40:53.353Z,168525245335302
"""Nikhil @ WVaAMw0jhb"" collected 5.50 from pot",2023-05-28T05:40:53.353Z,168525245335301
"Uncalled bet of 4.12 returned to ""Nikhil @ WVaAMw0jhb""",2023-05-28T05:40:53.353Z,168525245335300
"""Maanit @ pOw3O8FlSp"" folds",2023-05-28T05:40:52.477Z,168525245247700
"""Nikhil @ WVaAMw0jhb"" bets 4.12",2023-05-28T05:40:49.358Z,168525244935800
"""Maanit @ pOw3O8FlSp"" checks",2023-05-28T05:40:44.143Z,168525244414300
"Flop:  [9♦, K♥, 3♥]",2023-05-28T05:40:41.945Z,168525244194500
"""Maanit @ pOw3O8FlSp"" calls 2.50",2023-05-28T05:40:41.131Z,168525244113100
"""Seneca @ 3K1udw0KZ8"" folds",2023-05-28T05:40:39.151Z,168525243915100
"""Nikhil @ WVaAMw0jhb"" raises to 2.50",2023-05-28T05:40:38.224Z,168525243822400
"""Maanit @ pOw3O8FlSp"" posts a big blind of 1.00",2023-05-28T05:40:27.144Z,168525242714406
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 0.50",2023-05-28T05:40:27.144Z,168525242714405
"Player stacks: #2 ""Maanit @ pOw3O8FlSp"" (312.27) | #3 ""Nikhil @ WVaAMw0jhb"" (269.83) | #5 ""Seneca @ 3K1udw0KZ8"" (213.00)",2023-05-28T05:40:27.144Z,168525242714401
"-- starting hand #188 (id: bt9fpskxxduq)  (No Limit Texas Hold'em) (dealer: ""Nikhil @ WVaAMw0jhb"") --",2023-05-28T05:40:27.144Z,168525242714400
"-- ending hand #187 --",2023-05-28T05:40:21.128Z,168525242112802
"""Seneca @ 3K1udw0KZ8"" collected 13.74 from pot with Pair, A's (combination: A♥, A♠, K♠, J♥, 9♠)",2023-05-28T05:40:21.128Z,168525242112801
"""Seneca @ 3K1udw0KZ8"" shows a A♥, 5♦.",2023-05-28T05:40:21.128Z,168525242112800
"""Maanit @ pOw3O8FlSp"" checks",2023-05-28T05:40:20.312Z,168525242031200
"""Seneca @ 3K1udw0KZ8"" checks",2023-05-28T05:40:17.424Z,168525241742400
"River: A♠, K♠, 9♠, 8♣ [J♥]",2023-05-28T05:39:47.895Z,168525238789500
"""Maanit @ pOw3O8FlSp"" calls 4.12",2023-05-28T05:39:47.076Z,168525238707600
"""Seneca @ 3K1udw0KZ8"" bets 4.12",2023-05-28T05:39:41.973Z,168525238197300
"Turn: A♠, K♠, 9♠ [8♣]",2023-05-28T05:39:25.010Z,168525236501000
"""Maanit @ pOw3O8FlSp"" checks",2023-05-28T05:39:24.173Z,168525236417300
"""Seneca @ 3K1udw0KZ8"" checks",2023-05-28T05:39:20.484Z,168525236048400
"Flop:  [A♠, K♠, 9♠]",2023-05-28T05:39:19.005Z,168525235900500
"""Seneca @ 3K1udw0KZ8"" calls 2.50",2023-05-28T05:39:18.195Z,168525235819500
"""Nikhil @ WVaAMw0jhb"" folds",2023-05-28T05:39:16.914Z,168525235691400
"""Maanit @ pOw3O8FlSp"" raises to 2.50",2023-05-28T05:39:14.108Z,168525235410800
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 1.00",2023-05-28T05:39:10.593Z,168525235059306
"""Nikhil @ WVaAMw0jhb"" posts a small blind of 0.50",2023-05-28T05:39:10.593Z,168525235059305
"Player stacks: #2 ""Maanit @ pOw3O8FlSp"" (318.89) | #3 ""Nikhil @ WVaAMw0jhb"" (270.33) | #5 ""Seneca @ 3K1udw0KZ8"" (205.88)",2023-05-28T05:39:10.593Z,168525235059301
"-- starting hand #187 (id: jjw4sbldrhqi)  (No Limit Texas Hold'em) (dealer: ""Maanit @ pOw3O8FlSp"") --",2023-05-28T05:39:10.593Z,168525235059300
"-- ending hand #186 --",2023-05-28T05:39:07.641Z,168525234764102
"""Nikhil @ WVaAMw0jhb"" collected 1.00 from pot",2023-05-28T05:39:07.641Z,168525234764101
"Uncalled bet of 0.50 returned to ""Nikhil @ WVaAMw0jhb""",2023-05-28T05:39:07.641Z,168525234764100
"""Maanit @ pOw3O8FlSp"" folds",2023-05-28T05:39:06.817Z,168525234681700
"""Seneca @ 3K1udw0KZ8"" folds",2023-05-28T05:39:05.847Z,168525234584700
"""Nikhil @ WVaAMw0jhb"" posts a big blind of 1.00",2023-05-28T05:38:15.286Z,168525229528606
"""Maanit @ pOw3O8FlSp"" posts a small blind of 0.50",2023-05-28T05:38:15.286Z,168525229528605
"Player stacks: #2 ""Maanit @ pOw3O8FlSp"" (319.39) | #3 ""Nikhil @ WVaAMw0jhb"" (269.83) | #5 ""Seneca @ 3K1udw0KZ8"" (205.88)",2023-05-28T05:38:15.286Z,168525229528601
"-- starting hand #186 (id: ruigp0udtic7)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-05-28T05:38:15.286Z,168525229528600
"-- ending hand #185 --",2023-05-28T05:38:12.283Z,168525229228302
"""Maanit @ pOw3O8FlSp"" collected 3.00 from pot",2023-05-28T05:38:12.283Z,168525229228301
"Uncalled bet of 3.00 returned to ""Maanit @ pOw3O8FlSp""",2023-05-28T05:38:12.283Z,168525229228300
"""Seneca @ 3K1udw0KZ8"" folds",2023-05-28T05:38:11.461Z,168525229146100
"""Nikhil @ WVaAMw0jhb"" folds",2023-05-28T05:38:09.416Z,168525228941600
"""Maanit @ pOw3O8FlSp"" raises to 4.00",2023-05-28T05:38:06.981Z,168525228698100
