entry,at,order
"""Justin @ lwkUkonLdX"" shows a 2♣, 6♣.",2023-05-24T05:52:38.713Z,168490755871300
"""Chandler @ DFkmlA1Iyt"" shows a 6♦, 8♠.",2023-05-24T05:52:37.216Z,168490755721600
"-- ending hand #183 --",2023-05-24T05:52:35.883Z,168490755588301
"""Chandler @ DFkmlA1Iyt"" collected 2.00 from pot",2023-05-24T05:52:35.883Z,168490755588300
"""Justin @ lwkUkonLdX"" folds",2023-05-24T05:52:35.065Z,168490755506500
"River: 10♠, Q♥, 10♥, 5♦ [A♦]",2023-05-24T05:52:33.279Z,168490755327900
"""Chandler @ DFkmlA1Iyt"" checks",2023-05-24T05:52:32.448Z,168490755244800
"""Justin @ lwkUkonLdX"" checks",2023-05-24T05:52:31.166Z,168490755116600
"Turn: 10♠, Q♥, 10♥ [5♦]",2023-05-24T05:52:30.333Z,168490755033300
"""Chandler @ DFkmlA1Iyt"" checks",2023-05-24T05:52:29.477Z,168490754947700
"""Justin @ lwkUkonLdX"" checks",2023-05-24T05:52:28.074Z,168490754807400
"Flop:  [10♠, Q♥, 10♥]",2023-05-24T05:52:26.679Z,168490754667900
"""Justin @ lwkUkonLdX"" checks",2023-05-24T05:52:25.819Z,168490754581900
"""Chandler @ DFkmlA1Iyt"" calls 1.00",2023-05-24T05:52:17.232Z,168490753723200
"The admin ""Chandler @ DFkmlA1Iyt"" enqueued the game stop on next hand.",2023-05-24T05:52:15.718Z,168490753571800
"""Justin @ lwkUkonLdX"" posts a big blind of 1.00",2023-05-24T05:52:08.163Z,168490752816305
"""Chandler @ DFkmlA1Iyt"" posts a small blind of 0.50",2023-05-24T05:52:08.163Z,168490752816304
"Player stacks: #4 ""Chandler @ DFkmlA1Iyt"" (303.70) | #10 ""Justin @ lwkUkonLdX"" (273.87)",2023-05-24T05:52:08.163Z,168490752816301
"-- starting hand #183 (id: 4y42eug7cwk7)  (No Limit Texas Hold'em) (dealer: ""Chandler @ DFkmlA1Iyt"") --",2023-05-24T05:52:08.163Z,168490752816300
"""Chandler @ DFkmlA1Iyt"" shows a 9♥, 6♣.",2023-05-24T05:52:06.511Z,168490752651100
"-- ending hand #182 --",2023-05-24T05:52:04.509Z,168490752450902
"""Chandler @ DFkmlA1Iyt"" collected 1.00 from pot",2023-05-24T05:52:04.509Z,168490752450901
"Uncalled bet of 0.50 returned to ""Chandler @ DFkmlA1Iyt""",2023-05-24T05:52:04.509Z,168490752450900
"""Justin @ lwkUkonLdX"" folds",2023-05-24T05:52:03.627Z,168490752362700
"""Chandler @ DFkmlA1Iyt"" posts a big blind of 1.00",2023-05-24T05:52:02.316Z,168490752231606
"""Justin @ lwkUkonLdX"" posts a small blind of 0.50",2023-05-24T05:52:02.316Z,168490752231605
"Player stacks: #4 ""Chandler @ DFkmlA1Iyt"" (303.20) | #10 ""Justin @ lwkUkonLdX"" (274.37)",2023-05-24T05:52:02.316Z,168490752231602
"-- starting hand #182 (id: rdjje20cx828)  (No Limit Texas Hold'em) (dealer: ""Justin @ lwkUkonLdX"") --",2023-05-24T05:52:02.316Z,168490752231601
"The player ""Jaxi @ 8rTV8rlLtj"" stand up with the stack of 376.77.",2023-05-24T05:52:02.316Z,168490752231600
"-- ending hand #181 --",2023-05-24T05:51:59.400Z,168490751940002
"""Justin @ lwkUkonLdX"" collected 2.00 from pot",2023-05-24T05:51:59.400Z,168490751940001
"Uncalled bet of 2.00 returned to ""Justin @ lwkUkonLdX""",2023-05-24T05:51:59.400Z,168490751940000
"""Chandler @ DFkmlA1Iyt"" folds",2023-05-24T05:51:58.592Z,168490751859200
"""Justin @ lwkUkonLdX"" raises to 3.00",2023-05-24T05:51:55.911Z,168490751591100
"""Jaxi @ 8rTV8rlLtj"" folds",2023-05-24T05:51:47.709Z,168490750770900
"""Chandler @ DFkmlA1Iyt"" posts a big blind of 1.00",2023-05-24T05:51:38.936Z,168490749893606
"""Justin @ lwkUkonLdX"" posts a small blind of 0.50",2023-05-24T05:51:38.936Z,168490749893605
"Player stacks: #4 ""Chandler @ DFkmlA1Iyt"" (304.20) | #7 ""Jaxi @ 8rTV8rlLtj"" (376.77) | #10 ""Justin @ lwkUkonLdX"" (273.37)",2023-05-24T05:51:38.936Z,168490749893601
"-- starting hand #181 (id: af2bapz8mzp3)  (No Limit Texas Hold'em) (dealer: ""Jaxi @ 8rTV8rlLtj"") --",2023-05-24T05:51:38.936Z,168490749893600
"-- ending hand #180 --",2023-05-24T05:51:36.022Z,168490749602202
"""Justin @ lwkUkonLdX"" collected 1.00 from pot",2023-05-24T05:51:36.022Z,168490749602201
"Uncalled bet of 0.50 returned to ""Justin @ lwkUkonLdX""",2023-05-24T05:51:36.022Z,168490749602200
"""Jaxi @ 8rTV8rlLtj"" folds",2023-05-24T05:51:35.185Z,168490749518500
"""Chandler @ DFkmlA1Iyt"" folds",2023-05-24T05:51:32.108Z,168490749210800
"""Justin @ lwkUkonLdX"" posts a big blind of 1.00",2023-05-24T05:51:30.528Z,168490749052806
"""Jaxi @ 8rTV8rlLtj"" posts a small blind of 0.50",2023-05-24T05:51:30.528Z,168490749052805
"Player stacks: #4 ""Chandler @ DFkmlA1Iyt"" (304.20) | #7 ""Jaxi @ 8rTV8rlLtj"" (377.27) | #10 ""Justin @ lwkUkonLdX"" (272.87)",2023-05-24T05:51:30.528Z,168490749052801
"-- starting hand #180 (id: ucgogbuiywvy)  (No Limit Texas Hold'em) (dealer: ""Chandler @ DFkmlA1Iyt"") --",2023-05-24T05:51:30.528Z,168490749052800
"-- ending hand #179 --",2023-05-24T05:51:24.511Z,168490748451102
