entry,at,order
"The player ""zman @ sJ77i9iY8_"" passed the room ownership to ""zmans daddy @ Q3HC1FLDGu"".",2023-06-17T20:34:18.433Z,168703405843300
"The player ""Mike @ GScnVzO7r5"" requested a seat.",2023-06-17T20:24:13.513Z,168703345351300
"The player ""zmans daddy @ Q3HC1FLDGu"" stand up with the stack of 40.97.",2023-06-17T20:23:57.244Z,168703343724400
"""David @ 04o99V3_nl"" shows a 8♠, A♠.",2023-06-17T20:23:53.158Z,168703343315800
"""zmans daddy @ Q3HC1FLDGu"" shows a J♣, K♥.",2023-06-17T20:23:53.059Z,168703343305900
"-- ending hand #258 --",2023-06-17T20:23:52.829Z,168703343282902
"""zmans daddy @ Q3HC1FLDGu"" collected 4.14 from pot",2023-06-17T20:23:52.829Z,168703343282901
"Uncalled bet of 3.10 returned to ""zmans daddy @ Q3HC1FLDGu""",2023-06-17T20:23:52.829Z,168703343282900
"""David @ 04o99V3_nl"" folds",2023-06-17T20:23:51.930Z,168703343193000
"The admin ""zman @ sJ77i9iY8_"" enqueued the game stop on next hand.",2023-06-17T20:23:51.010Z,168703343101000
"""zmans daddy @ Q3HC1FLDGu"" bets 3.10",2023-06-17T20:23:50.927Z,168703343092700
"""David @ 04o99V3_nl"" checks",2023-06-17T20:23:47.509Z,168703342750900
"River: J♥, 8♣, 6♣, 10♦ [5♥]",2023-06-17T20:23:46.313Z,168703342631300
"""David @ 04o99V3_nl"" calls 1.24",2023-06-17T20:23:45.458Z,168703342545800
"""zmans daddy @ Q3HC1FLDGu"" bets 1.24",2023-06-17T20:23:41.596Z,168703342159600
"""David @ 04o99V3_nl"" checks",2023-06-17T20:23:39.061Z,168703341906100
"Turn: J♥, 8♣, 6♣ [10♦]",2023-06-17T20:23:37.832Z,168703341783200
"""David @ 04o99V3_nl"" calls 0.33",2023-06-17T20:23:36.956Z,168703341695600
"""zmans daddy @ Q3HC1FLDGu"" bets 0.33",2023-06-17T20:23:35.242Z,168703341524200
"""David @ 04o99V3_nl"" checks",2023-06-17T20:23:32.830Z,168703341283000
"Flop:  [J♥, 8♣, 6♣]",2023-06-17T20:23:31.634Z,168703341163400
"""David @ 04o99V3_nl"" calls 0.50",2023-06-17T20:23:30.815Z,168703341081500
"""zmans daddy @ Q3HC1FLDGu"" raises to 0.50",2023-06-17T20:23:18.366Z,168703339836600
"""David @ 04o99V3_nl"" posts a big blind of 0.20",2023-06-17T20:22:56.340Z,168703337634005
"""zmans daddy @ Q3HC1FLDGu"" posts a small blind of 0.10",2023-06-17T20:22:56.340Z,168703337634004
"Player stacks: #2 ""David @ 04o99V3_nl"" (21.00) | #9 ""zmans daddy @ Q3HC1FLDGu"" (38.90)",2023-06-17T20:22:56.340Z,168703337634001
"-- starting hand #258 (id: i7lx6pfwzc6x)  (No Limit Texas Hold'em) (dealer: ""zmans daddy @ Q3HC1FLDGu"") --",2023-06-17T20:22:56.340Z,168703337634000
"-- ending hand #257 --",2023-06-17T20:22:53.389Z,168703337338902
"""zmans daddy @ Q3HC1FLDGu"" collected 0.20 from pot",2023-06-17T20:22:53.389Z,168703337338901
"Uncalled bet of 0.10 returned to ""zmans daddy @ Q3HC1FLDGu""",2023-06-17T20:22:53.389Z,168703337338900
"""David @ 04o99V3_nl"" folds",2023-06-17T20:22:52.554Z,168703337255400
"""zmans daddy @ Q3HC1FLDGu"" posts a big blind of 0.20",2023-06-17T20:22:51.587Z,168703337158706
"""David @ 04o99V3_nl"" posts a small blind of 0.10",2023-06-17T20:22:51.587Z,168703337158705
"Player stacks: #2 ""David @ 04o99V3_nl"" (21.10) | #9 ""zmans daddy @ Q3HC1FLDGu"" (38.80)",2023-06-17T20:22:51.587Z,168703337158702
"-- starting hand #257 (id: 3kacabhywsbn)  (No Limit Texas Hold'em) (dealer: ""David @ 04o99V3_nl"") --",2023-06-17T20:22:51.587Z,168703337158701
"The player ""zman @ sJ77i9iY8_"" quits the game with a stack of 0.00.",2023-06-17T20:22:51.587Z,168703337158700
"-- ending hand #256 --",2023-06-17T20:22:43.582Z,168703336358202
"""zmans daddy @ Q3HC1FLDGu"" collected 8.49 from pot with Two Pair, J's & 3's on the second run  (combination: J♥, J♦, 3♣, 3♠, A♥)",2023-06-17T20:22:43.582Z,168703336358201
"""zmans daddy @ Q3HC1FLDGu"" collected 8.49 from pot with Pair, J's (combination: J♥, J♦, A♥, 9♥, 7♣)",2023-06-17T20:22:43.582Z,168703336358200
"River (second run): 9♥, 3♣, A♥, 4♣ [3♠]",2023-06-17T20:22:39.578Z,168703335957800
"Turn (second run): 9♥, 3♣, A♥ [4♣]",2023-06-17T20:22:35.573Z,168703335557300
"River: 9♥, 3♣, A♥, 5♠ [7♣]",2023-06-17T20:22:31.520Z,168703335152000
"Turn: 9♥, 3♣, A♥ [5♠]",2023-06-17T20:22:27.514Z,168703334751400
"""zmans daddy @ Q3HC1FLDGu"" shows a J♥, J♦.",2023-06-17T20:22:23.402Z,168703334340201
"""zman @ sJ77i9iY8_"" shows a K♥, 7♥.",2023-06-17T20:22:23.402Z,168703334340200
"All players in hand choose to run it twice.",2023-06-17T20:22:22.580Z,168703334258001
"""zmans daddy @ Q3HC1FLDGu"" chooses to  run it twice.",2023-06-17T20:22:22.580Z,168703334258000
"""zman @ sJ77i9iY8_"" chooses to  run it twice.",2023-06-17T20:22:20.556Z,168703334055600
"Remaining players decide whether to run it twice.",2023-06-17T20:22:20.358Z,168703334035801
"""zmans daddy @ Q3HC1FLDGu"" calls 5.64",2023-06-17T20:22:20.358Z,168703334035800
"""zman @ sJ77i9iY8_"" raises to 5.64 and go all in",2023-06-17T20:22:04.176Z,168703332417600
"""zmans daddy @ Q3HC1FLDGu"" bets 1.80",2023-06-17T20:21:59.633Z,168703331963300
"Flop:  [9♥, 3♣, A♥]",2023-06-17T20:21:53.280Z,168703331328000
"""zman @ sJ77i9iY8_"" calls 2.80",2023-06-17T20:21:52.425Z,168703331242500
"""zmans daddy @ Q3HC1FLDGu"" raises to 2.80",2023-06-17T20:21:51.433Z,168703331143300
"""David @ 04o99V3_nl"" folds",2023-06-17T20:21:44.817Z,168703330481700
"""zman @ sJ77i9iY8_"" raises to 0.69",2023-06-17T20:21:42.697Z,168703330269700
"""zmans daddy @ Q3HC1FLDGu"" posts a big blind of 0.20",2023-06-17T20:21:38.947Z,168703329894706
"""David @ 04o99V3_nl"" posts a small blind of 0.10",2023-06-17T20:21:38.947Z,168703329894705
"Player stacks: #1 ""zman @ sJ77i9iY8_"" (8.44) | #2 ""David @ 04o99V3_nl"" (21.20) | #9 ""zmans daddy @ Q3HC1FLDGu"" (30.26)",2023-06-17T20:21:38.947Z,168703329894701
"-- starting hand #256 (id: mbqdpy0w3pui)  (No Limit Texas Hold'em) (dealer: ""zman @ sJ77i9iY8_"") --",2023-06-17T20:21:38.947Z,168703329894700
"""David @ 04o99V3_nl"" shows a K♦, Q♣.",2023-06-17T20:21:37.525Z,168703329752500
"-- ending hand #255 --",2023-06-17T20:21:35.262Z,168703329526202
"""David @ 04o99V3_nl"" collected 0.20 from pot",2023-06-17T20:21:35.262Z,168703329526201
"Uncalled bet of 0.10 returned to ""David @ 04o99V3_nl""",2023-06-17T20:21:35.262Z,168703329526200
"""zman @ sJ77i9iY8_"" folds",2023-06-17T20:21:34.432Z,168703329443200
"""zmans daddy @ Q3HC1FLDGu"" folds",2023-06-17T20:21:33.066Z,168703329306600
"""David @ 04o99V3_nl"" posts a big blind of 0.20",2023-06-17T20:21:28.197Z,168703328819706
"""zman @ sJ77i9iY8_"" posts a small blind of 0.10",2023-06-17T20:21:28.197Z,168703328819705
"Player stacks: #1 ""zman @ sJ77i9iY8_"" (8.54) | #2 ""David @ 04o99V3_nl"" (21.10) | #9 ""zmans daddy @ Q3HC1FLDGu"" (30.26)",2023-06-17T20:21:28.197Z,168703328819701
