entry,at,order
"The player ""Toby @ wcZ0GmPZVo"" stand up with the stack of 9970.52.",2023-06-03T05:26:25.888Z,168576998588800
"-- ending hand #594 --",2023-06-03T05:26:22.978Z,168576998297802
"""Matt @ -yLO6kBeFp"" collected 0.20 from pot",2023-06-03T05:26:22.978Z,168576998297801
"Uncalled bet of 0.10 returned to ""Matt @ -yLO6kBeFp""",2023-06-03T05:26:22.978Z,168576998297800
"""Toby @ wcZ0GmPZVo"" folds",2023-06-03T05:26:22.142Z,168576998214200
"""Matt @ -yLO6kBeFp"" posts a big blind of 0.20",2023-06-03T05:26:12.405Z,168576997240507
"""Toby @ wcZ0GmPZVo"" posts a small blind of 0.10",2023-06-03T05:26:12.405Z,168576997240506
"Your hand is 7♣, 3♣",2023-06-03T05:26:12.405Z,168576997240504
"Player stacks: #2 ""Matt @ -yLO6kBeFp"" (84.09) | #4 ""Toby @ wcZ0GmPZVo"" (9970.62)",2023-06-03T05:26:12.405Z,168576997240503
"-- starting hand #594 (id: jxte8uajywx2)  (No Limit Texas Hold'em) (dealer: ""Toby @ wcZ0GmPZVo"") --",2023-06-03T05:26:12.405Z,168576997240502
"The player ""zman @ sJ77i9iY8_"" quits the game with a stack of 58.87.",2023-06-03T05:26:12.405Z,168576997240501
"The player ""Nikhil @ u8MG7LdRwp"" quits the game with a stack of 61.57.",2023-06-03T05:26:12.405Z,168576997240500
"-- ending hand #593 --",2023-06-03T05:26:09.370Z,168576996937003
"""Toby @ wcZ0GmPZVo"" shows a 9♦, A♥.",2023-06-03T05:26:09.370Z,168576996937002
"""Matt @ -yLO6kBeFp"" collected 2.74 from pot with Pair, J's (combination: J♠, J♣, A♣, Q♥, 10♥)",2023-06-03T05:26:09.370Z,168576996937001
"""Matt @ -yLO6kBeFp"" shows a A♣, J♠.",2023-06-03T05:26:09.370Z,168576996937000
"""Matt @ -yLO6kBeFp"" checks",2023-06-03T05:26:08.478Z,168576996847800
"""Toby @ wcZ0GmPZVo"" checks",2023-06-03T05:26:07.477Z,168576996747700
"River: 3♣, 4♠, 10♥, J♣ [Q♥]",2023-06-03T05:26:05.462Z,168576996546200
"""Toby @ wcZ0GmPZVo"" calls 0.82",2023-06-03T05:26:04.655Z,168576996465500
"""Matt @ -yLO6kBeFp"" bets 0.82",2023-06-03T05:25:50.468Z,168576995046800
"""Toby @ wcZ0GmPZVo"" checks",2023-06-03T05:25:45.358Z,168576994535800
"Turn: 3♣, 4♠, 10♥ [J♣]",2023-06-03T05:25:42.940Z,168576994294000
"""Matt @ -yLO6kBeFp"" checks",2023-06-03T05:25:42.032Z,168576994203200
"""Toby @ wcZ0GmPZVo"" checks",2023-06-03T05:25:38.117Z,168576993811700
"Flop:  [3♣, 4♠, 10♥]",2023-06-03T05:25:36.733Z,168576993673300
"""Toby @ wcZ0GmPZVo"" calls 0.50",2023-06-03T05:25:35.819Z,168576993581900
"""Nikhil @ u8MG7LdRwp"" folds",2023-06-03T05:25:33.994Z,168576993399400
"""Matt @ -yLO6kBeFp"" raises to 0.50",2023-06-03T05:25:33.018Z,168576993301800
"""zman @ sJ77i9iY8_"" folds",2023-06-03T05:25:30.306Z,168576993030600
"""Toby @ wcZ0GmPZVo"" posts a big blind of 0.20",2023-06-03T05:25:27.527Z,168576992752707
"""Nikhil @ u8MG7LdRwp"" posts a small blind of 0.10",2023-06-03T05:25:27.527Z,168576992752706
"Your hand is A♣, J♠",2023-06-03T05:25:27.527Z,168576992752702
"Player stacks: #2 ""Matt @ -yLO6kBeFp"" (82.67) | #3 ""Nikhil @ u8MG7LdRwp"" (61.67) | #4 ""Toby @ wcZ0GmPZVo"" (9971.94) | #7 ""zman @ sJ77i9iY8_"" (58.87)",2023-06-03T05:25:27.527Z,168576992752701
"-- starting hand #593 (id: cwyvhf1enkax)  (No Limit Texas Hold'em) (dealer: ""Matt @ -yLO6kBeFp"") --",2023-06-03T05:25:27.527Z,168576992752700
"-- ending hand #592 --",2023-06-03T05:25:24.501Z,168576992450103
"""Nikhil @ u8MG7LdRwp"" shows a 4♣, K♥.",2023-06-03T05:25:24.501Z,168576992450102
"""zman @ sJ77i9iY8_"" collected 4.50 from pot with Pair, A's (combination: A♣, A♦, K♠, 10♠, 7♦)",2023-06-03T05:25:24.501Z,168576992450101
"""zman @ sJ77i9iY8_"" shows a A♣, A♦.",2023-06-03T05:25:24.501Z,168576992450100
"""zman @ sJ77i9iY8_"" calls 1.50",2023-06-03T05:25:23.694Z,168576992369400
"""Nikhil @ u8MG7LdRwp"" bets 1.50",2023-06-03T05:25:20.849Z,168576992084900
"River: 10♠, K♠, 2♠, 5♥ [7♦]",2023-06-03T05:25:18.496Z,168576991849600
"""zman @ sJ77i9iY8_"" checks",2023-06-03T05:25:17.573Z,168576991757300
"""Nikhil @ u8MG7LdRwp"" checks",2023-06-03T05:25:15.723Z,168576991572300
"Turn: 10♠, K♠, 2♠ [5♥]",2023-06-03T05:25:13.901Z,168576991390100
"""Nikhil @ u8MG7LdRwp"" calls 0.20",2023-06-03T05:25:13.083Z,168576991308300
"""zman @ sJ77i9iY8_"" bets 0.20",2023-06-03T05:25:09.316Z,168576990931600
"""Nikhil @ u8MG7LdRwp"" checks",2023-06-03T05:25:05.560Z,168576990556000
"Flop:  [10♠, K♠, 2♠]",2023-06-03T05:25:02.896Z,168576990289600
"""Nikhil @ u8MG7LdRwp"" calls 0.50",2023-06-03T05:25:02.067Z,168576990206700
"""Matt @ -yLO6kBeFp"" folds",2023-06-03T05:25:00.504Z,168576990050400
"""zman @ sJ77i9iY8_"" raises to 0.50",2023-06-03T05:24:59.607Z,168576989960700
"""Toby @ wcZ0GmPZVo"" folds",2023-06-03T05:24:56.739Z,168576989673900
"""Nikhil @ u8MG7LdRwp"" posts a big blind of 0.20",2023-06-03T05:24:42.605Z,168576988260507
"""Matt @ -yLO6kBeFp"" posts a small blind of 0.10",2023-06-03T05:24:42.605Z,168576988260506
"Your hand is 7♥, 9♥",2023-06-03T05:24:42.605Z,168576988260502
"Player stacks: #2 ""Matt @ -yLO6kBeFp"" (82.77) | #3 ""Nikhil @ u8MG7LdRwp"" (63.87) | #4 ""Toby @ wcZ0GmPZVo"" (9971.94) | #7 ""zman @ sJ77i9iY8_"" (56.57)",2023-06-03T05:24:42.605Z,168576988260501
"-- starting hand #592 (id: 43omhdhtc8tr)  (No Limit Texas Hold'em) (dealer: ""zman @ sJ77i9iY8_"") --",2023-06-03T05:24:42.605Z,168576988260500
"-- ending hand #591 --",2023-06-03T05:24:39.597Z,168576987959702
"""Toby @ wcZ0GmPZVo"" collected 0.70 from pot",2023-06-03T05:24:39.597Z,168576987959701
"Uncalled bet of 3.00 returned to ""Toby @ wcZ0GmPZVo""",2023-06-03T05:24:39.597Z,168576987959700
"""Matt @ -yLO6kBeFp"" folds",2023-06-03T05:24:38.722Z,168576987872200
"""Toby @ wcZ0GmPZVo"" bets 3.00",2023-06-03T05:24:36.900Z,168576987690000
"""Nikhil @ u8MG7LdRwp"" folds",2023-06-03T05:24:31.428Z,168576987142800
"""Matt @ -yLO6kBeFp"" checks",2023-06-03T05:24:28.129Z,168576986812900
"River: K♦, J♠, 10♥, 3♥ [J♣]",2023-06-03T05:24:27.193Z,168576986719300
"""Toby @ wcZ0GmPZVo"" checks",2023-06-03T05:24:26.336Z,168576986633600
"""Nikhil @ u8MG7LdRwp"" checks",2023-06-03T05:24:25.055Z,168576986505500
"""Matt @ -yLO6kBeFp"" checks",2023-06-03T05:24:23.798Z,168576986379800
"Turn: K♦, J♠, 10♥ [3♥]",2023-06-03T05:24:21.390Z,168576986139000
"""Toby @ wcZ0GmPZVo"" checks",2023-06-03T05:24:20.471Z,168576986047100
"""Nikhil @ u8MG7LdRwp"" checks",2023-06-03T05:24:16.507Z,168576985650700
"""Matt @ -yLO6kBeFp"" checks",2023-06-03T05:24:14.208Z,168576985420800
"Flop:  [K♦, J♠, 10♥]",2023-06-03T05:24:13.025Z,168576985302500
"""Matt @ -yLO6kBeFp"" checks",2023-06-03T05:24:12.214Z,168576985221400
"""zman @ sJ77i9iY8_"" folds",2023-06-03T05:24:09.786Z,168576984978600
"""Toby @ wcZ0GmPZVo"" calls 0.20",2023-06-03T05:24:08.571Z,168576984857100
"""Nikhil @ u8MG7LdRwp"" calls 0.20",2023-06-03T05:24:06.355Z,168576984635500
"""Matt @ -yLO6kBeFp"" posts a big blind of 0.20",2023-06-03T05:24:04.760Z,168576984476007
"""zman @ sJ77i9iY8_"" posts a small blind of 0.10",2023-06-03T05:24:04.760Z,168576984476006
"Your hand is A♣, 5♠",2023-06-03T05:24:04.760Z,168576984476002
"Player stacks: #2 ""Matt @ -yLO6kBeFp"" (82.97) | #3 ""Nikhil @ u8MG7LdRwp"" (64.07) | #4 ""Toby @ wcZ0GmPZVo"" (9971.44) | #7 ""zman @ sJ77i9iY8_"" (56.67)",2023-06-03T05:24:04.760Z,168576984476001
"-- starting hand #591 (id: i5k97ditr3sv)  (No Limit Texas Hold'em) (dealer: ""Toby @ wcZ0GmPZVo"") --",2023-06-03T05:24:04.760Z,168576984476000
"""Nikhil @ u8MG7LdRwp"" shows a A♠, 8♠.",2023-06-03T05:24:02.337Z,168576984233700
"-- ending hand #590 --",2023-06-03T05:24:01.154Z,168576984115402
"""Nikhil @ u8MG7LdRwp"" collected 8.30 from pot",2023-06-03T05:24:01.154Z,168576984115401
"Uncalled bet of 8.30 returned to ""Nikhil @ u8MG7LdRwp""",2023-06-03T05:24:01.154Z,168576984115400
"""Matt @ -yLO6kBeFp"" folds",2023-06-03T05:24:00.256Z,168576984025600
"""Nikhil @ u8MG7LdRwp"" bets 8.30",2023-06-03T05:23:31.982Z,168576981198200
"""Matt @ -yLO6kBeFp"" checks",2023-06-03T05:23:29.275Z,168576980927500
"Turn: Q♦, 6♠, K♦ [10♣]",2023-06-03T05:23:22.175Z,168576980217500
"""Nikhil @ u8MG7LdRwp"" checks",2023-06-03T05:23:21.322Z,168576980132200
