entry,at,order
"""Chandler @ DFkmlA1Iyt"" shows a 5♠, J♠.",2023-06-02T05:04:41.626Z,168568228162600
"-- ending hand #89 --",2023-06-02T05:04:38.558Z,168568227855802
"""Toby @ 76KLHFOJAT"" collected 3.40 from pot with A High (combination: A♥, K♥, 10♦, 6♠, 5♦)",2023-06-02T05:04:38.558Z,168568227855801
"""Toby @ 76KLHFOJAT"" shows a 10♦, A♥.",2023-06-02T05:04:38.558Z,168568227855800
"""Evan @ kmuRP4JUH5"" checks",2023-06-02T05:04:37.712Z,168568227771200
"""Toby @ 76KLHFOJAT"" checks",2023-06-02T05:04:34.168Z,168568227416800
"River: 4♠, 5♦, 6♠, 3♥ [K♥]",2023-06-02T05:04:28.255Z,168568226825500
"""Evan @ kmuRP4JUH5"" checks",2023-06-02T05:04:27.357Z,168568226735700
"""Toby @ 76KLHFOJAT"" checks",2023-06-02T05:04:24.069Z,168568226406900
"Turn: 4♠, 5♦, 6♠ [3♥]",2023-06-02T05:04:18.448Z,168568225844800
"""Evan @ kmuRP4JUH5"" checks",2023-06-02T05:04:17.570Z,168568225757000
"""Toby @ 76KLHFOJAT"" checks",2023-06-02T05:04:15.617Z,168568225561700
"Flop:  [4♠, 5♦, 6♠]",2023-06-02T05:04:11.233Z,168568225123300
"""Evan @ kmuRP4JUH5"" calls 1.60",2023-06-02T05:04:10.421Z,168568225042100
"""Chandler @ DFkmlA1Iyt"" folds",2023-06-02T05:04:09.098Z,168568224909800
"""Toby @ 76KLHFOJAT"" raises to 1.60",2023-06-02T05:04:01.686Z,168568224168600
"""David @ 7DBun5Nx1b"" folds",2023-06-02T05:03:58.053Z,168568223805300
"The admin ""zman @ 8g_w2MR9M4"" enqueued the game stop on next hand.",2023-06-02T05:03:52.072Z,168568223207200
"""zman @ 8g_w2MR9M4"" folds",2023-06-02T05:03:50.544Z,168568223054400
"""Evan @ kmuRP4JUH5"" posts a straddle of 0.40",2023-06-02T05:03:47.378Z,168568222737809
"""Chandler @ DFkmlA1Iyt"" posts a big blind of 0.20",2023-06-02T05:03:47.378Z,168568222737808
"""Toby @ 76KLHFOJAT"" posts a small blind of 0.10",2023-06-02T05:03:47.378Z,168568222737807
"Player stacks: #1 ""zman @ 8g_w2MR9M4"" (132.13) | #3 ""David @ 7DBun5Nx1b"" (2052.44) | #5 ""Toby @ 76KLHFOJAT"" (2026.01) | #6 ""Chandler @ DFkmlA1Iyt"" (65.50) | #8 ""Evan @ kmuRP4JUH5"" (2240.13)",2023-06-02T05:03:47.378Z,168568222737801
"-- starting hand #89 (id: glvrcxcncxca)  (No Limit Texas Hold'em) (dealer: ""David @ 7DBun5Nx1b"") --",2023-06-02T05:03:47.378Z,168568222737800
"-- ending hand #88 --",2023-06-02T05:03:44.454Z,168568222445402
"""Evan @ kmuRP4JUH5"" collected 1.10 from pot",2023-06-02T05:03:44.454Z,168568222445401
"Uncalled bet of 1.10 returned to ""Evan @ kmuRP4JUH5""",2023-06-02T05:03:44.454Z,168568222445400
"""Chandler @ DFkmlA1Iyt"" folds",2023-06-02T05:03:43.626Z,168568222362600
"""Toby @ 76KLHFOJAT"" folds",2023-06-02T05:03:42.745Z,168568222274500
"""David @ 7DBun5Nx1b"" folds",2023-06-02T05:03:41.106Z,168568222110600
"""zman @ 8g_w2MR9M4"" folds",2023-06-02T05:03:38.844Z,168568221884400
"""Evan @ kmuRP4JUH5"" raises to 1.50",2023-06-02T05:03:36.422Z,168568221642200
"""Chandler @ DFkmlA1Iyt"" posts a straddle of 0.40",2023-06-02T05:03:34.078Z,168568221407809
"""Toby @ 76KLHFOJAT"" posts a big blind of 0.20",2023-06-02T05:03:34.078Z,168568221407808
"""David @ 7DBun5Nx1b"" posts a small blind of 0.10",2023-06-02T05:03:34.078Z,168568221407807
"Player stacks: #1 ""zman @ 8g_w2MR9M4"" (132.13) | #3 ""David @ 7DBun5Nx1b"" (2052.54) | #5 ""Toby @ 76KLHFOJAT"" (2026.21) | #6 ""Chandler @ DFkmlA1Iyt"" (65.90) | #8 ""Evan @ kmuRP4JUH5"" (2239.43)",2023-06-02T05:03:34.078Z,168568221407801
"-- starting hand #88 (id: pvc8g6geeukz)  (No Limit Texas Hold'em) (dealer: ""zman @ 8g_w2MR9M4"") --",2023-06-02T05:03:34.078Z,168568221407800
"-- ending hand #87 --",2023-06-02T05:03:31.155Z,168568221115502
"""Chandler @ DFkmlA1Iyt"" collected 1.10 from pot",2023-06-02T05:03:31.155Z,168568221115501
"Uncalled bet of 0.60 returned to ""Chandler @ DFkmlA1Iyt""",2023-06-02T05:03:31.155Z,168568221115500
"""Toby @ 76KLHFOJAT"" folds",2023-06-02T05:03:30.339Z,168568221033900
"""David @ 7DBun5Nx1b"" folds",2023-06-02T05:03:27.227Z,168568220722700
"""zman @ 8g_w2MR9M4"" folds",2023-06-02T05:03:26.214Z,168568220621400
"""Evan @ kmuRP4JUH5"" folds",2023-06-02T05:03:25.324Z,168568220532400
"""Chandler @ DFkmlA1Iyt"" raises to 1.00",2023-06-02T05:03:22.877Z,168568220287700
"""Toby @ 76KLHFOJAT"" posts a straddle of 0.40",2023-06-02T05:03:15.614Z,168568219561409
"""David @ 7DBun5Nx1b"" posts a big blind of 0.20",2023-06-02T05:03:15.614Z,168568219561408
"""zman @ 8g_w2MR9M4"" posts a small blind of 0.10",2023-06-02T05:03:15.614Z,168568219561407
"Player stacks: #1 ""zman @ 8g_w2MR9M4"" (132.23) | #3 ""David @ 7DBun5Nx1b"" (2052.74) | #5 ""Toby @ 76KLHFOJAT"" (2026.61) | #6 ""Chandler @ DFkmlA1Iyt"" (65.20) | #8 ""Evan @ kmuRP4JUH5"" (2239.43)",2023-06-02T05:03:15.614Z,168568219561401
"-- starting hand #87 (id: 2va5jfwe72wi)  (No Limit Texas Hold'em) (dealer: ""Evan @ kmuRP4JUH5"") --",2023-06-02T05:03:15.614Z,168568219561400
"-- ending hand #86 --",2023-06-02T05:03:12.711Z,168568219271102
"""Toby @ 76KLHFOJAT"" collected 1.10 from pot",2023-06-02T05:03:12.711Z,168568219271101
"Uncalled bet of 0.80 returned to ""Toby @ 76KLHFOJAT""",2023-06-02T05:03:12.711Z,168568219271100
"""David @ 7DBun5Nx1b"" folds",2023-06-02T05:03:11.858Z,168568219185800
"""zman @ 8g_w2MR9M4"" folds",2023-06-02T05:03:10.853Z,168568219085300
"""Evan @ kmuRP4JUH5"" folds",2023-06-02T05:03:05.890Z,168568218589000
"""Chandler @ DFkmlA1Iyt"" folds",2023-06-02T05:02:37.408Z,168568215740800
"""Toby @ 76KLHFOJAT"" raises to 1.20",2023-06-02T05:02:36.471Z,168568215647100
"""David @ 7DBun5Nx1b"" posts a straddle of 0.40",2023-06-02T05:02:33.958Z,168568215395809
"""zman @ 8g_w2MR9M4"" posts a big blind of 0.20",2023-06-02T05:02:33.958Z,168568215395808
"""Evan @ kmuRP4JUH5"" posts a small blind of 0.10",2023-06-02T05:02:33.958Z,168568215395807
"Player stacks: #1 ""zman @ 8g_w2MR9M4"" (132.43) | #3 ""David @ 7DBun5Nx1b"" (2053.14) | #5 ""Toby @ 76KLHFOJAT"" (2025.91) | #6 ""Chandler @ DFkmlA1Iyt"" (65.20) | #8 ""Evan @ kmuRP4JUH5"" (2239.53)",2023-06-02T05:02:33.958Z,168568215395801
"-- starting hand #86 (id: xu8ciwv9jjsj)  (No Limit Texas Hold'em) (dealer: ""Chandler @ DFkmlA1Iyt"") --",2023-06-02T05:02:33.958Z,168568215395800
"-- ending hand #85 --",2023-06-02T05:02:30.987Z,168568215098702
"""Toby @ 76KLHFOJAT"" collected 1.10 from pot",2023-06-02T05:02:30.987Z,168568215098701
"Uncalled bet of 0.80 returned to ""Toby @ 76KLHFOJAT""",2023-06-02T05:02:30.987Z,168568215098700
"""zman @ 8g_w2MR9M4"" folds",2023-06-02T05:02:30.180Z,168568215018000
"""Evan @ kmuRP4JUH5"" folds",2023-06-02T05:02:26.778Z,168568214677800
"""Chandler @ DFkmlA1Iyt"" folds",2023-06-02T05:02:25.762Z,168568214576200
"""Toby @ 76KLHFOJAT"" raises to 1.20",2023-06-02T05:02:23.291Z,168568214329100
"""David @ 7DBun5Nx1b"" folds",2023-06-02T05:02:16.308Z,168568213630800
"""zman @ 8g_w2MR9M4"" posts a straddle of 0.40",2023-06-02T05:02:10.056Z,168568213005609
"""Evan @ kmuRP4JUH5"" posts a big blind of 0.20",2023-06-02T05:02:10.056Z,168568213005608
"""Chandler @ DFkmlA1Iyt"" posts a small blind of 0.10",2023-06-02T05:02:10.056Z,168568213005607
"Player stacks: #1 ""zman @ 8g_w2MR9M4"" (132.83) | #3 ""David @ 7DBun5Nx1b"" (2053.14) | #5 ""Toby @ 76KLHFOJAT"" (2025.21) | #6 ""Chandler @ DFkmlA1Iyt"" (65.30) | #8 ""Evan @ kmuRP4JUH5"" (2239.73)",2023-06-02T05:02:10.056Z,168568213005601
"-- starting hand #85 (id: wlyt2mhmsr4p)  (No Limit Texas Hold'em) (dealer: ""Toby @ 76KLHFOJAT"") --",2023-06-02T05:02:10.056Z,168568213005600
"""Chandler @ DFkmlA1Iyt"" shows a 8♥, 6♥.",2023-06-02T05:02:04.067Z,168568212406700
"-- ending hand #84 --",2023-06-02T05:02:03.452Z,168568212345203
"""Toby @ 76KLHFOJAT"" shows a 7♦, 9♦.",2023-06-02T05:02:03.452Z,168568212345202
"""Evan @ kmuRP4JUH5"" collected 15.60 from pot with Two Pair, J's & 6's (combination: J♠, J♥, 6♠, 6♦, 8♣)",2023-06-02T05:02:03.452Z,168568212345201
"""Evan @ kmuRP4JUH5"" shows a 4♥, J♠.",2023-06-02T05:02:03.452Z,168568212345200
"""Evan @ kmuRP4JUH5"" checks",2023-06-02T05:02:02.613Z,168568212261300
"""Toby @ 76KLHFOJAT"" checks",2023-06-02T05:02:00.539Z,168568212053900
"River: 7♣, 6♠, 8♣, J♥ [6♦]",2023-06-02T05:01:57.018Z,168568211701800
"""Toby @ 76KLHFOJAT"" calls 5.20",2023-06-02T05:01:56.157Z,168568211615700
"""Evan @ kmuRP4JUH5"" bets 5.20",2023-06-02T05:01:48.242Z,168568210824200
"""Toby @ 76KLHFOJAT"" checks",2023-06-02T05:01:44.688Z,168568210468800
"Turn: 7♣, 6♠, 8♣ [J♥]",2023-06-02T05:01:43.119Z,168568210311900
"""Toby @ 76KLHFOJAT"" calls 1.30",2023-06-02T05:01:42.261Z,168568210226100
"""Evan @ kmuRP4JUH5"" bets 1.30",2023-06-02T05:01:37.877Z,168568209787700
"""Toby @ 76KLHFOJAT"" checks",2023-06-02T05:01:31.326Z,168568209132600
"Flop:  [7♣, 6♠, 8♣]",2023-06-02T05:01:22.734Z,168568208273400
"""Evan @ kmuRP4JUH5"" calls 1.20",2023-06-02T05:01:21.914Z,168568208191400
"""Chandler @ DFkmlA1Iyt"" folds",2023-06-02T05:01:20.401Z,168568208040100
"""Toby @ 76KLHFOJAT"" raises to 1.20",2023-06-02T05:01:14.855Z,168568207485500
"""David @ 7DBun5Nx1b"" folds",2023-06-02T05:01:09.602Z,168568206960200
"""zman @ 8g_w2MR9M4"" folds",2023-06-02T05:01:08.527Z,168568206852700
