entry,at,order
"""Ari @ zgG4ruqKlQ"" shows a 5♣, K♦, 9♥, 9♦.",2023-06-12T03:42:51.496Z,168654137149600
"-- ending hand #160 --",2023-06-12T03:42:50.560Z,168654137056002
"""Ari @ zgG4ruqKlQ"" collected 2.40 from pot",2023-06-12T03:42:50.560Z,168654137056001
"Uncalled bet of 1.20 returned to ""Ari @ zgG4ruqKlQ""",2023-06-12T03:42:50.560Z,168654137056000
"""Chandler @ DFkmlA1Iyt"" folds",2023-06-12T03:42:49.717Z,168654136971700
"The admin ""Chandler @ DFkmlA1Iyt"" enqueued the game stop on next hand.",2023-06-12T03:42:48.998Z,168654136899800
"""Ari @ zgG4ruqKlQ"" bets 1.20",2023-06-12T03:42:41.512Z,168654136151200
"""Chandler @ DFkmlA1Iyt"" checks",2023-06-12T03:42:38.937Z,168654135893700
"Turn: 9♣, 7♣, K♣ [K♠]",2023-06-12T03:42:34.688Z,168654135468800
"""Ari @ zgG4ruqKlQ"" calls 0.60",2023-06-12T03:42:33.847Z,168654135384700
"""Chandler @ DFkmlA1Iyt"" bets 0.60",2023-06-12T03:42:32.523Z,168654135252300
"Flop:  [9♣, 7♣, K♣]",2023-06-12T03:42:28.602Z,168654134860200
"""Ari @ zgG4ruqKlQ"" calls 0.60",2023-06-12T03:42:27.744Z,168654134774400
"""Chandler @ DFkmlA1Iyt"" raises to 0.60",2023-06-12T03:42:26.717Z,168654134671700
"""Ari @ zgG4ruqKlQ"" calls 0.20",2023-06-12T03:42:24.118Z,168654134411800
"""Chandler @ DFkmlA1Iyt"" posts a big blind of 0.20",2023-06-12T03:42:22.860Z,168654134286005
"""Ari @ zgG4ruqKlQ"" posts a small blind of 0.10",2023-06-12T03:42:22.860Z,168654134286004
"Player stacks: #1 ""Ari @ zgG4ruqKlQ"" (57.40) | #9 ""Chandler @ DFkmlA1Iyt"" (82.60)",2023-06-12T03:42:22.860Z,168654134286001
"-- starting hand #160 (id: pzhu7u46pr69)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Ari @ zgG4ruqKlQ"") --",2023-06-12T03:42:22.860Z,168654134286000
"-- ending hand #159 --",2023-06-12T03:42:19.924Z,168654133992402
"""Ari @ zgG4ruqKlQ"" collected 1.20 from pot",2023-06-12T03:42:19.924Z,168654133992401
"Uncalled bet of 0.60 returned to ""Ari @ zgG4ruqKlQ""",2023-06-12T03:42:19.924Z,168654133992400
"""Chandler @ DFkmlA1Iyt"" folds",2023-06-12T03:42:19.062Z,168654133906200
"""Ari @ zgG4ruqKlQ"" bets 0.60",2023-06-12T03:42:12.236Z,168654133223600
"Flop:  [9♦, 4♠, 6♣]",2023-06-12T03:42:07.995Z,168654132799500
"""Chandler @ DFkmlA1Iyt"" calls 0.60",2023-06-12T03:42:07.156Z,168654132715600
"""Ari @ zgG4ruqKlQ"" raises to 0.60",2023-06-12T03:42:04.713Z,168654132471300
"""Chandler @ DFkmlA1Iyt"" calls 0.20",2023-06-12T03:42:01.844Z,168654132184400
