entry,at,order
"The player ""Stotz @ 2SjhW4VKA9"" quits the game with a stack of 0.",2023-04-08T19:00:35.008Z,168098043500800
"-- ending hand #133 --",2023-04-08T19:00:29.002Z,168098042900201
"""Ryan Li @ sKyKy-bFgc"" collected 316 from pot with Pair, 2's (combination: 2♦, 2♠, A♣, J♦, 9♥)",2023-04-08T19:00:29.002Z,168098042900200
"River: J♦, 9♥, 2♠, 3♣ [7♥]",2023-04-08T19:00:24.944Z,168098042494400
"Turn: J♦, 9♥, 2♠ [3♣]",2023-04-08T19:00:20.895Z,168098042089500
"Flop:  [J♦, 9♥, 2♠]",2023-04-08T19:00:16.802Z,168098041680200
"""Ryan Li @ sKyKy-bFgc"" shows a A♣, 2♦.",2023-04-08T19:00:12.792Z,168098041279201
"""Stotz @ 2SjhW4VKA9"" shows a 8♠, Q♥.",2023-04-08T19:00:12.792Z,168098041279200
"""Ryan Li @ sKyKy-bFgc"" calls 148",2023-04-08T19:00:11.921Z,168098041192100
"""Stotz @ 2SjhW4VKA9"" raises to 148 and go all in",2023-04-08T19:00:10.739Z,168098041073900
"""Ryan Li @ sKyKy-bFgc"" posts a big blind of 100",2023-04-08T19:00:09.191Z,168098040919107
"""Stotz @ 2SjhW4VKA9"" posts a small blind of 50",2023-04-08T19:00:09.191Z,168098040919106
"""Ryan Li @ sKyKy-bFgc"" posts an ante of 10",2023-04-08T19:00:09.191Z,168098040919105
"""Stotz @ 2SjhW4VKA9"" posts an ante of 10",2023-04-08T19:00:09.191Z,168098040919104
"Player stacks: #2 ""Stotz @ 2SjhW4VKA9"" (158) | #10 ""Ryan Li @ sKyKy-bFgc"" (7842)",2023-04-08T19:00:09.191Z,168098040919101
"-- starting hand #133 (id: qzhmk26uzikv)  (No Limit Texas Hold'em) (dealer: ""Stotz @ 2SjhW4VKA9"") --",2023-04-08T19:00:09.191Z,168098040919100
"-- ending hand #132 --",2023-04-08T19:00:06.275Z,168098040627502
"""Ryan Li @ sKyKy-bFgc"" collected 220 from pot",2023-04-08T19:00:06.275Z,168098040627501
"Uncalled bet of 158 returned to ""Ryan Li @ sKyKy-bFgc""",2023-04-08T19:00:06.275Z,168098040627500
"""Stotz @ 2SjhW4VKA9"" folds",2023-04-08T19:00:05.390Z,168098040539000
"""Ryan Li @ sKyKy-bFgc"" raises to 258",2023-04-08T19:00:04.486Z,168098040448600
"""Stotz @ 2SjhW4VKA9"" posts a big blind of 100",2023-04-08T19:00:00.679Z,168098040067907
"""Ryan Li @ sKyKy-bFgc"" posts a small blind of 50",2023-04-08T19:00:00.679Z,168098040067906
"""Ryan Li @ sKyKy-bFgc"" posts an ante of 10",2023-04-08T19:00:00.679Z,168098040067905
"""Stotz @ 2SjhW4VKA9"" posts an ante of 10",2023-04-08T19:00:00.679Z,168098040067904
