entry,at,order
"The player ""James @ 6wLWTrrt9d"" quits the game with a stack of 0.",2023-04-08T19:49:26.736Z,168098336673600
"-- ending hand #102 --",2023-04-08T19:49:20.729Z,168098336072901
"""Jonathon K @ 8sT7pFjXW_"" collected 5838 from pot with Pair, K's (combination: K♠, K♥, A♣, 10♠, 9♦)",2023-04-08T19:49:20.729Z,168098336072900
"River: K♠, K♥, 10♠, 4♣ [9♦]",2023-04-08T19:49:16.653Z,168098335665300
"Turn: K♠, K♥, 10♠ [4♣]",2023-04-08T19:49:12.598Z,168098335259800
"Flop:  [K♠, K♥, 10♠]",2023-04-08T19:49:08.588Z,168098334858800
"""Jonathon K @ 8sT7pFjXW_"" shows a 3♣, A♣.",2023-04-08T19:49:04.518Z,168098334451801
"""James @ 6wLWTrrt9d"" shows a Q♦, 5♦.",2023-04-08T19:49:04.518Z,168098334451800
"""Jonathon K @ 8sT7pFjXW_"" calls 2894",2023-04-08T19:49:03.649Z,168098334364900
"""James @ 6wLWTrrt9d"" raises to 2894 and go all in",2023-04-08T19:48:48.006Z,168098332800600
"""Jonathon K @ 8sT7pFjXW_"" posts a big blind of 250",2023-04-08T19:48:43.258Z,168098332325807
"""James @ 6wLWTrrt9d"" posts a small blind of 125",2023-04-08T19:48:43.258Z,168098332325806
"""Jonathon K @ 8sT7pFjXW_"" posts an ante of 25",2023-04-08T19:48:43.258Z,168098332325805
"""James @ 6wLWTrrt9d"" posts an ante of 25",2023-04-08T19:48:43.258Z,168098332325804
"Player stacks: #5 ""James @ 6wLWTrrt9d"" (2919) | #8 ""Jonathon K @ 8sT7pFjXW_"" (5081)",2023-04-08T19:48:43.258Z,168098332325801
"-- starting hand #102 (id: 18be0urm69kg)  (No Limit Texas Hold'em) (dealer: ""James @ 6wLWTrrt9d"") --",2023-04-08T19:48:43.258Z,168098332325800
"-- ending hand #101 --",2023-04-08T19:48:40.307Z,168098332030702
"""Jonathon K @ 8sT7pFjXW_"" collected 550 from pot",2023-04-08T19:48:40.307Z,168098332030701
"Uncalled bet of 2919 returned to ""Jonathon K @ 8sT7pFjXW_""",2023-04-08T19:48:40.307Z,168098332030700
"""James @ 6wLWTrrt9d"" folds",2023-04-08T19:48:39.432Z,168098331943200
"""Jonathon K @ 8sT7pFjXW_"" raises to 3169",2023-04-08T19:48:35.170Z,168098331517000
