entry,at,order
"The player ""Alekz @ w5Z8nBzqiQ"" passed the room ownership to ""john @ DEW1IOhZ8L"".",2023-04-15T19:17:11.644Z,168158623164400
"The player ""Solomon @ dxUv6n4s4V"" quits the game with a stack of 0.",2023-04-15T19:11:11.579Z,168158587157900
"-- ending hand #76 --",2023-04-15T19:11:05.570Z,168158586557001
"""john @ DEW1IOhZ8L"" collected 996 from pot with Pair, 6's (combination: 6♠, 6♦, A♣, Q♥, 9♣)",2023-04-15T19:11:05.570Z,168158586557000
"River: 6♦, 9♣, Q♥, 5♥ [4♥]",2023-04-15T19:11:01.532Z,168158586153200
"Turn: 6♦, 9♣, Q♥ [5♥]",2023-04-15T19:10:57.526Z,168158585752600
"Flop:  [6♦, 9♣, Q♥]",2023-04-15T19:10:53.513Z,168158585351300
"""john @ DEW1IOhZ8L"" shows a A♣, 6♠.",2023-04-15T19:10:49.448Z,168158584944801
"""Solomon @ dxUv6n4s4V"" shows a 10♠, J♥.",2023-04-15T19:10:49.448Z,168158584944800
"""john @ DEW1IOhZ8L"" calls 490",2023-04-15T19:10:48.603Z,168158584860300
"""Solomon @ dxUv6n4s4V"" raises to 490 and go all in",2023-04-15T19:10:46.428Z,168158584642800
"""john @ DEW1IOhZ8L"" posts a big blind of 80",2023-04-15T19:10:42.711Z,168158584271107
"""Solomon @ dxUv6n4s4V"" posts a small blind of 40",2023-04-15T19:10:42.711Z,168158584271106
"""john @ DEW1IOhZ8L"" posts an ante of 8",2023-04-15T19:10:42.711Z,168158584271105
"""Solomon @ dxUv6n4s4V"" posts an ante of 8",2023-04-15T19:10:42.711Z,168158584271104
"Player stacks: #1 ""Solomon @ dxUv6n4s4V"" (498) | #3 ""john @ DEW1IOhZ8L"" (7502)",2023-04-15T19:10:42.711Z,168158584271101
"-- starting hand #76 (id: wm8n66g0wl8p)  (No Limit Texas Hold'em) (dealer: ""Solomon @ dxUv6n4s4V"") --",2023-04-15T19:10:42.711Z,168158584271100
"-- ending hand #75 --",2023-04-15T19:10:39.742Z,168158583974202
"""john @ DEW1IOhZ8L"" collected 176 from pot",2023-04-15T19:10:39.742Z,168158583974201
"Uncalled bet of 498 returned to ""john @ DEW1IOhZ8L""",2023-04-15T19:10:39.742Z,168158583974200
"""Solomon @ dxUv6n4s4V"" folds",2023-04-15T19:10:38.915Z,168158583891500
"""john @ DEW1IOhZ8L"" raises to 578",2023-04-15T19:10:34.334Z,168158583433400
"""Solomon @ dxUv6n4s4V"" posts a big blind of 80",2023-04-15T19:10:31.611Z,168158583161107
"""john @ DEW1IOhZ8L"" posts a small blind of 40",2023-04-15T19:10:31.611Z,168158583161106
"""john @ DEW1IOhZ8L"" posts an ante of 8",2023-04-15T19:10:31.611Z,168158583161105
"""Solomon @ dxUv6n4s4V"" posts an ante of 8",2023-04-15T19:10:31.611Z,168158583161104
"Player stacks: #1 ""Solomon @ dxUv6n4s4V"" (586) | #3 ""john @ DEW1IOhZ8L"" (7414)",2023-04-15T19:10:31.611Z,168158583161101
"-- starting hand #75 (id: irihdgpmkwom)  (No Limit Texas Hold'em) (dealer: ""john @ DEW1IOhZ8L"") --",2023-04-15T19:10:31.611Z,168158583161100
"-- ending hand #74 --",2023-04-15T19:10:28.703Z,168158582870302
"""john @ DEW1IOhZ8L"" collected 96 from pot",2023-04-15T19:10:28.703Z,168158582870301
"Uncalled bet of 40 returned to ""john @ DEW1IOhZ8L""",2023-04-15T19:10:28.703Z,168158582870300
"""Solomon @ dxUv6n4s4V"" folds",2023-04-15T19:10:27.832Z,168158582783200
"""john @ DEW1IOhZ8L"" posts a big blind of 80",2023-04-15T19:10:24.720Z,168158582472007
"""Solomon @ dxUv6n4s4V"" posts a small blind of 40",2023-04-15T19:10:24.720Z,168158582472006
"""john @ DEW1IOhZ8L"" posts an ante of 8",2023-04-15T19:10:24.720Z,168158582472005
"""Solomon @ dxUv6n4s4V"" posts an ante of 8",2023-04-15T19:10:24.720Z,168158582472004
"Player stacks: #1 ""Solomon @ dxUv6n4s4V"" (634) | #3 ""john @ DEW1IOhZ8L"" (7366)",2023-04-15T19:10:24.720Z,168158582472001
"-- starting hand #74 (id: drvs2ceihwyh)  (No Limit Texas Hold'em) (dealer: ""Solomon @ dxUv6n4s4V"") --",2023-04-15T19:10:24.720Z,168158582472000
"-- ending hand #73 --",2023-04-15T19:10:21.798Z,168158582179802
"""Solomon @ dxUv6n4s4V"" collected 96 from pot",2023-04-15T19:10:21.798Z,168158582179801
"Uncalled bet of 40 returned to ""Solomon @ dxUv6n4s4V""",2023-04-15T19:10:21.798Z,168158582179800
"""john @ DEW1IOhZ8L"" folds",2023-04-15T19:10:20.993Z,168158582099300
