entry,at,order
"The player ""Casey @ MriB3wZZlK"" quits the game with a stack of 0.",2023-04-15T19:14:16.700Z,168158605670000
"-- ending hand #114 --",2023-04-15T19:14:10.685Z,168158605068501
"""Henry @ VEKb5bHVQm"" collected 2074 from pot with Pair, K's (combination: K♥, K♠, A♣, J♦, 10♣)",2023-04-15T19:14:10.685Z,168158605068500
"River: 6♣, J♦, 10♣, K♠ [7♣]",2023-04-15T19:14:06.626Z,168158604662600
"Turn: 6♣, J♦, 10♣ [K♠]",2023-04-15T19:14:02.563Z,168158604256300
"Flop:  [6♣, J♦, 10♣]",2023-04-15T19:13:58.546Z,168158603854600
"""Henry @ VEKb5bHVQm"" shows a K♥, A♣.",2023-04-15T19:13:54.448Z,168158603444801
"""Casey @ MriB3wZZlK"" shows a A♦, 3♣.",2023-04-15T19:13:54.448Z,168158603444800
"""Henry @ VEKb5bHVQm"" calls 1022",2023-04-15T19:13:53.611Z,168158603361100
"""Casey @ MriB3wZZlK"" raises to 1022 and go all in",2023-04-15T19:13:51.016Z,168158603101600
"""Henry @ VEKb5bHVQm"" calls 150",2023-04-15T19:13:47.925Z,168158602792500
"""Casey @ MriB3wZZlK"" posts a big blind of 150",2023-04-15T19:13:44.737Z,168158602473707
"""Henry @ VEKb5bHVQm"" posts a small blind of 75",2023-04-15T19:13:44.737Z,168158602473706
"""Henry @ VEKb5bHVQm"" posts an ante of 15",2023-04-15T19:13:44.737Z,168158602473705
"""Casey @ MriB3wZZlK"" posts an ante of 15",2023-04-15T19:13:44.737Z,168158602473704
"Player stacks: #2 ""Casey @ MriB3wZZlK"" (1037) | #4 ""Henry @ VEKb5bHVQm"" (6963)",2023-04-15T19:13:44.737Z,168158602473701
"-- starting hand #114 (id: ejohbeyitnbp)  (No Limit Texas Hold'em) (dealer: ""Henry @ VEKb5bHVQm"") --",2023-04-15T19:13:44.737Z,168158602473700
"-- ending hand #113 --",2023-04-15T19:13:41.781Z,168158602178102
"""Henry @ VEKb5bHVQm"" collected 180 from pot",2023-04-15T19:13:41.781Z,168158602178101
"Uncalled bet of 75 returned to ""Henry @ VEKb5bHVQm""",2023-04-15T19:13:41.781Z,168158602178100
