entry,at,order
"The player ""IPA @ ch9GmABv_d"" passed the room ownership to ""Edward @ JBZIPu4oFy"".",2023-04-02T19:06:18.053Z,168046237805300
"The player ""Austin @ -13Ec7-eVY"" quits the game with a stack of 0.",2023-04-02T18:40:41.327Z,168046084132700
"-- ending hand #203 --",2023-04-02T18:40:35.254Z,168046083525401
"""Edward @ JBZIPu4oFy"" collected 4788 from pot with Pair, J's (combination: J♥, J♣, A♥, K♦, 9♣)",2023-04-02T18:40:35.254Z,168046083525400
"River: 3♣, 9♣, 7♥, J♣ [K♦]",2023-04-02T18:40:31.139Z,168046083113900
"Turn: 3♣, 9♣, 7♥ [J♣]",2023-04-02T18:40:27.135Z,168046082713500
"Flop:  [3♣, 9♣, 7♥]",2023-04-02T18:40:23.111Z,168046082311100
"""Edward @ JBZIPu4oFy"" shows a A♥, J♥.",2023-04-02T18:40:19.040Z,168046081904001
"""Austin @ -13Ec7-eVY"" shows a 8♠, 9♥.",2023-04-02T18:40:19.040Z,168046081904000
"""Edward @ JBZIPu4oFy"" calls 2364",2023-04-02T18:40:18.196Z,168046081819600
"""Austin @ -13Ec7-eVY"" raises to 2364 and go all in",2023-04-02T18:40:16.149Z,168046081614900
"""Edward @ JBZIPu4oFy"" posts a big blind of 300",2023-04-02T18:40:07.627Z,168046080762707
"""Austin @ -13Ec7-eVY"" posts a small blind of 150",2023-04-02T18:40:07.627Z,168046080762706
"""Edward @ JBZIPu4oFy"" posts an ante of 30",2023-04-02T18:40:07.627Z,168046080762705
"""Austin @ -13Ec7-eVY"" posts an ante of 30",2023-04-02T18:40:07.627Z,168046080762704
"Player stacks: #2 ""Austin @ -13Ec7-eVY"" (2394) | #7 ""Edward @ JBZIPu4oFy"" (7606)",2023-04-02T18:40:07.627Z,168046080762701
"-- starting hand #203 (id: 2kjheyzeieqg)  (No Limit Texas Hold'em) (dealer: ""Austin @ -13Ec7-eVY"") --",2023-04-02T18:40:07.627Z,168046080762700
"-- ending hand #202 --",2023-04-02T18:40:04.698Z,168046080469802
"""Edward @ JBZIPu4oFy"" collected 660 from pot",2023-04-02T18:40:04.698Z,168046080469801
"Uncalled bet of 300 returned to ""Edward @ JBZIPu4oFy""",2023-04-02T18:40:04.698Z,168046080469800
"""Austin @ -13Ec7-eVY"" folds",2023-04-02T18:40:03.893Z,168046080389300
"""Edward @ JBZIPu4oFy"" raises to 600",2023-04-02T18:39:59.618Z,168046079961800
"""Austin @ -13Ec7-eVY"" posts a big blind of 300",2023-04-02T18:39:57.264Z,168046079726407
"""Edward @ JBZIPu4oFy"" posts a small blind of 150",2023-04-02T18:39:57.264Z,168046079726406
"""Edward @ JBZIPu4oFy"" posts an ante of 30",2023-04-02T18:39:57.264Z,168046079726405
"""Austin @ -13Ec7-eVY"" posts an ante of 30",2023-04-02T18:39:57.264Z,168046079726404
"Player stacks: #2 ""Austin @ -13Ec7-eVY"" (2724) | #7 ""Edward @ JBZIPu4oFy"" (7276)",2023-04-02T18:39:57.264Z,168046079726401
"-- starting hand #202 (id: thso8cpiqc3h)  (No Limit Texas Hold'em) (dealer: ""Edward @ JBZIPu4oFy"") --",2023-04-02T18:39:57.264Z,168046079726400
"-- ending hand #201 --",2023-04-02T18:39:54.358Z,168046079435802
"""Edward @ JBZIPu4oFy"" collected 360 from pot",2023-04-02T18:39:54.358Z,168046079435801
"Uncalled bet of 150 returned to ""Edward @ JBZIPu4oFy""",2023-04-02T18:39:54.358Z,168046079435800
"""Austin @ -13Ec7-eVY"" folds",2023-04-02T18:39:53.554Z,168046079355400
"""Edward @ JBZIPu4oFy"" posts a big blind of 300",2023-04-02T18:39:52.061Z,168046079206107
"""Austin @ -13Ec7-eVY"" posts a small blind of 150",2023-04-02T18:39:52.061Z,168046079206106
"""Edward @ JBZIPu4oFy"" posts an ante of 30",2023-04-02T18:39:52.061Z,168046079206105
"""Austin @ -13Ec7-eVY"" posts an ante of 30",2023-04-02T18:39:52.061Z,168046079206104
"Player stacks: #2 ""Austin @ -13Ec7-eVY"" (2904) | #7 ""Edward @ JBZIPu4oFy"" (7096)",2023-04-02T18:39:52.061Z,168046079206101
"-- starting hand #201 (id: mkshvddlbbgw)  (No Limit Texas Hold'em) (dealer: ""Austin @ -13Ec7-eVY"") --",2023-04-02T18:39:52.061Z,168046079206100
"-- ending hand #200 --",2023-04-02T18:39:49.079Z,168046078907902
"""Edward @ JBZIPu4oFy"" collected 660 from pot",2023-04-02T18:39:49.079Z,168046078907901
"Uncalled bet of 300 returned to ""Edward @ JBZIPu4oFy""",2023-04-02T18:39:49.079Z,168046078907900
"""Austin @ -13Ec7-eVY"" folds",2023-04-02T18:39:48.230Z,168046078823000
"""Edward @ JBZIPu4oFy"" raises to 600",2023-04-02T18:39:46.206Z,168046078620600
"""Austin @ -13Ec7-eVY"" posts a big blind of 300",2023-04-02T18:39:40.653Z,168046078065307
"""Edward @ JBZIPu4oFy"" posts a small blind of 150",2023-04-02T18:39:40.653Z,168046078065306
"""Edward @ JBZIPu4oFy"" posts an ante of 30",2023-04-02T18:39:40.653Z,168046078065305
"""Austin @ -13Ec7-eVY"" posts an ante of 30",2023-04-02T18:39:40.653Z,168046078065304
"Player stacks: #2 ""Austin @ -13Ec7-eVY"" (3234) | #7 ""Edward @ JBZIPu4oFy"" (6766)",2023-04-02T18:39:40.653Z,168046078065301
"-- starting hand #200 (id: qxlrf6gpjsys)  (No Limit Texas Hold'em) (dealer: ""Edward @ JBZIPu4oFy"") --",2023-04-02T18:39:40.653Z,168046078065300
"-- ending hand #199 --",2023-04-02T18:39:37.653Z,168046077765302
"""Edward @ JBZIPu4oFy"" collected 360 from pot",2023-04-02T18:39:37.653Z,168046077765301
"Uncalled bet of 150 returned to ""Edward @ JBZIPu4oFy""",2023-04-02T18:39:37.653Z,168046077765300
"""Austin @ -13Ec7-eVY"" folds",2023-04-02T18:39:36.762Z,168046077676200
"""Edward @ JBZIPu4oFy"" posts a big blind of 300",2023-04-02T18:39:35.048Z,168046077504807
"""Austin @ -13Ec7-eVY"" posts a small blind of 150",2023-04-02T18:39:35.048Z,168046077504806
"""Edward @ JBZIPu4oFy"" posts an ante of 30",2023-04-02T18:39:35.048Z,168046077504805
"""Austin @ -13Ec7-eVY"" posts an ante of 30",2023-04-02T18:39:35.048Z,168046077504804
"Player stacks: #2 ""Austin @ -13Ec7-eVY"" (3414) | #7 ""Edward @ JBZIPu4oFy"" (6586)",2023-04-02T18:39:35.048Z,168046077504801
"-- starting hand #199 (id: 1ahvd2e25jjy)  (No Limit Texas Hold'em) (dealer: ""Austin @ -13Ec7-eVY"") --",2023-04-02T18:39:35.048Z,168046077504800
"-- ending hand #198 --",2023-04-02T18:39:32.048Z,168046077204802
"""Austin @ -13Ec7-eVY"" collected 1260 from pot",2023-04-02T18:39:32.048Z,168046077204801
"Uncalled bet of 2154 returned to ""Austin @ -13Ec7-eVY""",2023-04-02T18:39:32.048Z,168046077204800
"""Edward @ JBZIPu4oFy"" folds",2023-04-02T18:39:31.234Z,168046077123400
"""Austin @ -13Ec7-eVY"" raises to 2754 and go all in",2023-04-02T18:39:28.817Z,168046076881700
"""Edward @ JBZIPu4oFy"" raises to 600",2023-04-02T18:39:24.632Z,168046076463200
"""Austin @ -13Ec7-eVY"" posts a big blind of 300",2023-04-02T18:39:19.021Z,168046075902110
"""Edward @ JBZIPu4oFy"" posts a small blind of 150",2023-04-02T18:39:19.021Z,168046075902109
"""Edward @ JBZIPu4oFy"" posts an ante of 30",2023-04-02T18:39:19.021Z,168046075902108
"""Austin @ -13Ec7-eVY"" posts an ante of 30",2023-04-02T18:39:19.021Z,168046075902107
"Player stacks: #2 ""Austin @ -13Ec7-eVY"" (2784) | #7 ""Edward @ JBZIPu4oFy"" (7216)",2023-04-02T18:39:19.021Z,168046075902104
"-- starting hand #198 (id: wmnsci9t7ymp)  (No Limit Texas Hold'em) (dealer: ""Edward @ JBZIPu4oFy"") --",2023-04-02T18:39:19.021Z,168046075902103
"The game's ante was changed from 25 to 30.",2023-04-02T18:39:19.021Z,168046075902102
"The game's big blind was changed from 250 to 300.",2023-04-02T18:39:19.021Z,168046075902101
"The game's small blind was changed from 125 to 150.",2023-04-02T18:39:19.021Z,168046075902100
"-- ending hand #197 --",2023-04-02T18:39:16.015Z,168046075601502
"""Edward @ JBZIPu4oFy"" collected 300 from pot",2023-04-02T18:39:16.015Z,168046075601501
