entry,at,order
"The player ""IPA @ ch9GmABv_d"" passed the room ownership to ""Quincy @ R1q1cqro59"".",2023-04-15T18:51:03.076Z,168158466307600
"The player ""Erik @ Sh53Vbk78q"" quits the game with a stack of 0.",2023-04-15T18:47:06.155Z,168158442615500
"-- ending hand #50 --",2023-04-15T18:47:00.057Z,168158442005701
"""Quincy @ R1q1cqro59"" collected 3372 from pot with Pair, J's (combination: J♥, J♠, K♠, 10♥, 9♦)",2023-04-15T18:47:00.057Z,168158442005700
"River: 9♦, 2♥, 3♥, 10♥ [K♠]",2023-04-15T18:46:56.000Z,168158441600000
"Turn: 9♦, 2♥, 3♥ [10♥]",2023-04-15T18:46:51.943Z,168158441194300
"Flop:  [9♦, 2♥, 3♥]",2023-04-15T18:46:47.938Z,168158440793800
"""Quincy @ R1q1cqro59"" shows a J♥, J♠.",2023-04-15T18:46:43.851Z,168158440385101
"""Erik @ Sh53Vbk78q"" shows a A♦, J♣.",2023-04-15T18:46:43.851Z,168158440385100
"""Quincy @ R1q1cqro59"" calls 1682",2023-04-15T18:46:42.995Z,168158440299500
"""Erik @ Sh53Vbk78q"" raises to 1682 and go all in",2023-04-15T18:46:41.849Z,168158440184900
"""Quincy @ R1q1cqro59"" raises to 360",2023-04-15T18:46:38.009Z,168158439800900
"""Erik @ Sh53Vbk78q"" raises to 100",2023-04-15T18:46:33.326Z,168158439332600
"""Quincy @ R1q1cqro59"" posts a big blind of 40",2023-04-15T18:46:29.541Z,168158438954107
"""Erik @ Sh53Vbk78q"" posts a small blind of 20",2023-04-15T18:46:29.541Z,168158438954106
"""Quincy @ R1q1cqro59"" posts an ante of 4",2023-04-15T18:46:29.541Z,168158438954105
"""Erik @ Sh53Vbk78q"" posts an ante of 4",2023-04-15T18:46:29.541Z,168158438954104
"Player stacks: #6 ""Erik @ Sh53Vbk78q"" (1686) | #8 ""Quincy @ R1q1cqro59"" (4314)",2023-04-15T18:46:29.541Z,168158438954101
"-- starting hand #50 (id: t7ytehncahmx)  (No Limit Texas Hold'em) (dealer: ""Erik @ Sh53Vbk78q"") --",2023-04-15T18:46:29.541Z,168158438954100
"-- ending hand #49 --",2023-04-15T18:46:26.624Z,168158438662402
"""Erik @ Sh53Vbk78q"" collected 48 from pot",2023-04-15T18:46:26.624Z,168158438662401
"Uncalled bet of 20 returned to ""Erik @ Sh53Vbk78q""",2023-04-15T18:46:26.624Z,168158438662400
"""Quincy @ R1q1cqro59"" folds",2023-04-15T18:46:25.784Z,168158438578400
"""Erik @ Sh53Vbk78q"" posts a big blind of 40",2023-04-15T18:46:24.285Z,168158438428507
"""Quincy @ R1q1cqro59"" posts a small blind of 20",2023-04-15T18:46:24.285Z,168158438428506
"""Quincy @ R1q1cqro59"" posts an ante of 4",2023-04-15T18:46:24.285Z,168158438428505
"""Erik @ Sh53Vbk78q"" posts an ante of 4",2023-04-15T18:46:24.285Z,168158438428504
"Player stacks: #6 ""Erik @ Sh53Vbk78q"" (1662) | #8 ""Quincy @ R1q1cqro59"" (4338)",2023-04-15T18:46:24.285Z,168158438428501
"-- starting hand #49 (id: bbyfyg5fxged)  (No Limit Texas Hold'em) (dealer: ""Quincy @ R1q1cqro59"") --",2023-04-15T18:46:24.285Z,168158438428500
"-- ending hand #48 --",2023-04-15T18:46:21.338Z,168158438133802
"""Quincy @ R1q1cqro59"" collected 1168 from pot",2023-04-15T18:46:21.338Z,168158438133801
"Uncalled bet of 480 returned to ""Quincy @ R1q1cqro59""",2023-04-15T18:46:21.338Z,168158438133800
"""Erik @ Sh53Vbk78q"" folds",2023-04-15T18:46:20.500Z,168158438050000
"""Quincy @ R1q1cqro59"" bets 480",2023-04-15T18:46:15.472Z,168158437547200
