entry,at,order
"The player ""Rajan @ oiG6sa2mBk"" passed the room ownership to ""Chris @ J6r-M9pbX1"".",2023-04-15T20:09:25.055Z,168158936505500
"The player ""Rajan @ oiG6sa2mBk"" quits the game with a stack of 0.",2023-04-15T19:45:43.963Z,168158794396300
"-- ending hand #234 --",2023-04-15T19:45:37.951Z,168158793795101
"""Chris @ J6r-M9pbX1"" collected 6316 from pot with Pair, K's (combination: K♠, K♥, Q♦, 10♣, 8♠)",2023-04-15T19:45:37.951Z,168158793795100
"River: 2♥, 5♥, 10♣, K♥ [8♠]",2023-04-15T19:45:33.924Z,168158793392400
"Turn: 2♥, 5♥, 10♣ [K♥]",2023-04-15T19:45:29.850Z,168158792985000
"Flop:  [2♥, 5♥, 10♣]",2023-04-15T19:45:25.836Z,168158792583600
"""Rajan @ oiG6sa2mBk"" shows a J♠, A♦.",2023-04-15T19:45:21.815Z,168158792181501
"""Chris @ J6r-M9pbX1"" shows a Q♦, K♠.",2023-04-15T19:45:21.815Z,168158792181500
"""Rajan @ oiG6sa2mBk"" calls 3133 and go all in",2023-04-15T19:45:20.951Z,168158792095100
"""Chris @ J6r-M9pbX1"" raises to 3133",2023-04-15T19:45:19.651Z,168158791965100
"""Rajan @ oiG6sa2mBk"" raises to 500",2023-04-15T19:45:17.263Z,168158791726300
"""Chris @ J6r-M9pbX1"" posts a big blind of 250",2023-04-15T19:45:14.413Z,168158791441307
"""Rajan @ oiG6sa2mBk"" posts a small blind of 125",2023-04-15T19:45:14.413Z,168158791441306
"""Rajan @ oiG6sa2mBk"" posts an ante of 25",2023-04-15T19:45:14.413Z,168158791441305
"""Chris @ J6r-M9pbX1"" posts an ante of 25",2023-04-15T19:45:14.413Z,168158791441304
"Player stacks: #6 ""Chris @ J6r-M9pbX1"" (4842) | #7 ""Rajan @ oiG6sa2mBk"" (3158)",2023-04-15T19:45:14.413Z,168158791441301
"-- starting hand #234 (id: keebgnytpwnv)  (No Limit Texas Hold'em) (dealer: ""Rajan @ oiG6sa2mBk"") --",2023-04-15T19:45:14.413Z,168158791441300
"-- ending hand #233 --",2023-04-15T19:45:11.502Z,168158791150202
"""Rajan @ oiG6sa2mBk"" collected 300 from pot",2023-04-15T19:45:11.502Z,168158791150201
