entry,at,order
"The player ""Rishabh @ C3PAp4_CsL"" passed the room ownership to ""Justin @ lwkUkonLdX"".",2023-04-15T19:45:54.972Z,168158795497200
"The player ""Rishabh @ C3PAp4_CsL"" quits the game with a stack of 0.",2023-04-15T19:41:18.800Z,168158767880000
"-- ending hand #110 --",2023-04-15T19:41:12.773Z,168158767277301
"""Justin @ lwkUkonLdX"" collected 3760 from pot with Full House, 7's over 10's (combination: 7♥, 7♣, 7♠, 10♣, 10♥)",2023-04-15T19:41:12.773Z,168158767277300
"River: 6♠, 10♣, 2♠, 7♠ [10♥]",2023-04-15T19:41:08.765Z,168158766876500
"Turn: 6♠, 10♣, 2♠ [7♠]",2023-04-15T19:41:04.736Z,168158766473600
"Flop:  [6♠, 10♣, 2♠]",2023-04-15T19:41:00.730Z,168158766073000
"""Justin @ lwkUkonLdX"" shows a 7♥, 7♣.",2023-04-15T19:40:56.719Z,168158765671901
"""Rishabh @ C3PAp4_CsL"" shows a Q♥, 2♥.",2023-04-15T19:40:56.719Z,168158765671900
"""Justin @ lwkUkonLdX"" calls 1850",2023-04-15T19:40:55.907Z,168158765590700
"""Rishabh @ C3PAp4_CsL"" raises to 1850 and go all in",2023-04-15T19:40:54.577Z,168158765457700
"""Justin @ lwkUkonLdX"" posts a big blind of 300",2023-04-15T19:40:52.010Z,168158765201007
"""Rishabh @ C3PAp4_CsL"" posts a small blind of 150",2023-04-15T19:40:52.010Z,168158765201006
"""Justin @ lwkUkonLdX"" posts an ante of 30",2023-04-15T19:40:52.010Z,168158765201005
"""Rishabh @ C3PAp4_CsL"" posts an ante of 30",2023-04-15T19:40:52.010Z,168158765201004
"Player stacks: #2 ""Rishabh @ C3PAp4_CsL"" (1880) | #9 ""Justin @ lwkUkonLdX"" (6120)",2023-04-15T19:40:52.010Z,168158765201001
"-- starting hand #110 (id: winw06fknjlb)  (No Limit Texas Hold'em) (dealer: ""Rishabh @ C3PAp4_CsL"") --",2023-04-15T19:40:52.010Z,168158765201000
"-- ending hand #109 --",2023-04-15T19:40:49.101Z,168158764910102
"""Justin @ lwkUkonLdX"" collected 660 from pot",2023-04-15T19:40:49.101Z,168158764910101
"Uncalled bet of 1880 returned to ""Justin @ lwkUkonLdX""",2023-04-15T19:40:49.101Z,168158764910100
"""Rishabh @ C3PAp4_CsL"" folds",2023-04-15T19:40:48.287Z,168158764828700
"""Justin @ lwkUkonLdX"" raises to 2180",2023-04-15T19:40:45.627Z,168158764562700
"""Rishabh @ C3PAp4_CsL"" posts a big blind of 300",2023-04-15T19:40:31.377Z,168158763137707
"""Justin @ lwkUkonLdX"" posts a small blind of 150",2023-04-15T19:40:31.377Z,168158763137706
"""Justin @ lwkUkonLdX"" posts an ante of 30",2023-04-15T19:40:31.377Z,168158763137705
"""Rishabh @ C3PAp4_CsL"" posts an ante of 30",2023-04-15T19:40:31.377Z,168158763137704
"Player stacks: #2 ""Rishabh @ C3PAp4_CsL"" (2210) | #9 ""Justin @ lwkUkonLdX"" (5790)",2023-04-15T19:40:31.377Z,168158763137701
"-- starting hand #109 (id: oesxqtd4dysq)  (No Limit Texas Hold'em) (dealer: ""Justin @ lwkUkonLdX"") --",2023-04-15T19:40:31.377Z,168158763137700
"-- ending hand #108 --",2023-04-15T19:40:28.427Z,168158762842702
"""Justin @ lwkUkonLdX"" collected 360 from pot",2023-04-15T19:40:28.427Z,168158762842701
"Uncalled bet of 150 returned to ""Justin @ lwkUkonLdX""",2023-04-15T19:40:28.427Z,168158762842700
"""Rishabh @ C3PAp4_CsL"" folds",2023-04-15T19:40:27.602Z,168158762760200
