entry,at,order
"The player ""Drew H @ ddoHqYla_r"" passed the room ownership to ""Adam (UW) @ YaJ9txnhVs"".",2023-04-15T19:07:39.643Z,168158565964300
"The player ""Edward @ JBZIPu4oFy"" quits the game with a stack of 0.",2023-04-15T19:01:31.505Z,168158529150500
"-- ending hand #117 --",2023-04-15T19:01:25.503Z,168158528550301
"""Adam (UW) @ YaJ9txnhVs"" collected 2786 from pot with Three of a Kind, 2's (combination: 2♥, 2♦, 2♠, K♠, J♥)",2023-04-15T19:01:25.503Z,168158528550300
"River: 2♠, 7♣, J♥, 9♦ [K♠]",2023-04-15T19:01:21.499Z,168158528149900
"""Edward @ JBZIPu4oFy"" shows a 9♠, 10♣.",2023-04-15T19:01:17.466Z,168158527746601
"""Adam (UW) @ YaJ9txnhVs"" shows a 2♥, 2♦.",2023-04-15T19:01:17.466Z,168158527746600
"""Adam (UW) @ YaJ9txnhVs"" calls 1283",2023-04-15T19:01:16.537Z,168158527653700
"""Edward @ JBZIPu4oFy"" raises to 1283 and go all in",2023-04-15T19:01:05.016Z,168158526501600
"""Adam (UW) @ YaJ9txnhVs"" bets 110",2023-04-15T19:01:02.401Z,168158526240100
"Turn: 2♠, 7♣, J♥ [9♦]",2023-04-15T19:00:58.477Z,168158525847700
"""Edward @ JBZIPu4oFy"" checks",2023-04-15T19:00:57.655Z,168158525765500
"""Adam (UW) @ YaJ9txnhVs"" checks",2023-04-15T19:00:55.919Z,168158525591900
"Flop:  [2♠, 7♣, J♥]",2023-04-15T19:00:50.463Z,168158525046300
"""Adam (UW) @ YaJ9txnhVs"" checks",2023-04-15T19:00:49.559Z,168158524955900
"""Edward @ JBZIPu4oFy"" calls 100",2023-04-15T19:00:47.468Z,168158524746800
"""Adam (UW) @ YaJ9txnhVs"" posts a big blind of 100",2023-04-15T19:00:44.860Z,168158524486007
"""Edward @ JBZIPu4oFy"" posts a small blind of 50",2023-04-15T19:00:44.860Z,168158524486006
"""Edward @ JBZIPu4oFy"" posts an ante of 10",2023-04-15T19:00:44.860Z,168158524486005
"""Adam (UW) @ YaJ9txnhVs"" posts an ante of 10",2023-04-15T19:00:44.860Z,168158524486004
"Player stacks: #7 ""Adam (UW) @ YaJ9txnhVs"" (6607) | #9 ""Edward @ JBZIPu4oFy"" (1393)",2023-04-15T19:00:44.860Z,168158524486001
"-- starting hand #117 (id: rikgfclugqty)  (No Limit Texas Hold'em) (dealer: ""Edward @ JBZIPu4oFy"") --",2023-04-15T19:00:44.860Z,168158524486000
"-- ending hand #116 --",2023-04-15T19:00:41.902Z,168158524190202
"""Edward @ JBZIPu4oFy"" collected 420 from pot",2023-04-15T19:00:41.902Z,168158524190201
"Uncalled bet of 973 returned to ""Edward @ JBZIPu4oFy""",2023-04-15T19:00:41.902Z,168158524190200
"""Adam (UW) @ YaJ9txnhVs"" folds",2023-04-15T19:00:41.092Z,168158524109200
"""Edward @ JBZIPu4oFy"" raises to 1173 and go all in",2023-04-15T19:00:33.006Z,168158523300600
"""Adam (UW) @ YaJ9txnhVs"" raises to 200",2023-04-15T19:00:29.825Z,168158522982500
"""Edward @ JBZIPu4oFy"" posts a big blind of 100",2023-04-15T19:00:21.834Z,168158522183407
"""Adam (UW) @ YaJ9txnhVs"" posts a small blind of 50",2023-04-15T19:00:21.834Z,168158522183406
"""Edward @ JBZIPu4oFy"" posts an ante of 10",2023-04-15T19:00:21.834Z,168158522183405
"""Adam (UW) @ YaJ9txnhVs"" posts an ante of 10",2023-04-15T19:00:21.834Z,168158522183404
"Player stacks: #7 ""Adam (UW) @ YaJ9txnhVs"" (6817) | #9 ""Edward @ JBZIPu4oFy"" (1183)",2023-04-15T19:00:21.834Z,168158522183401
"-- starting hand #116 (id: cxvhkooqb8d5)  (No Limit Texas Hold'em) (dealer: ""Adam (UW) @ YaJ9txnhVs"") --",2023-04-15T19:00:21.834Z,168158522183400
"-- ending hand #115 --",2023-04-15T19:00:18.834Z,168158521883402
"""Adam (UW) @ YaJ9txnhVs"" collected 120 from pot",2023-04-15T19:00:18.834Z,168158521883401
"Uncalled bet of 50 returned to ""Adam (UW) @ YaJ9txnhVs""",2023-04-15T19:00:18.834Z,168158521883400
