entry,at,order
"The player ""IPA @ ch9GmABv_d"" passed the room ownership to ""Charlie Welch @ caWUFRpDtq"".",2023-04-02T19:01:43.634Z,168046210363400
"The player ""Casey @ MriB3wZZlK"" quits the game with a stack of 0.",2023-04-02T18:01:34.048Z,168045849404800
"-- ending hand #102 --",2023-04-02T18:01:28.044Z,168045848804401
"""Charlie Welch @ caWUFRpDtq"" collected 448 from pot with Pair, 10's (combination: 10♣, 10♥, K♠, 6♠, 5♥)",2023-04-02T18:01:28.044Z,168045848804400
"River: 5♥, 10♣, 10♥, 3♦ [6♠]",2023-04-02T18:01:23.976Z,168045848397600
"Turn: 5♥, 10♣, 10♥ [3♦]",2023-04-02T18:01:19.881Z,168045847988100
"Flop:  [5♥, 10♣, 10♥]",2023-04-02T18:01:15.832Z,168045847583200
"""Casey @ MriB3wZZlK"" shows a Q♥, 2♠.",2023-04-02T18:01:11.765Z,168045847176501
"""Charlie Welch @ caWUFRpDtq"" shows a K♠, 2♣.",2023-04-02T18:01:11.765Z,168045847176500
"""Charlie Welch @ caWUFRpDtq"" calls 216",2023-04-02T18:01:10.929Z,168045847092900
"""Casey @ MriB3wZZlK"" raises to 216 and go all in",2023-04-02T18:01:08.394Z,168045846839400
"""Charlie Welch @ caWUFRpDtq"" posts a big blind of 80",2023-04-02T18:01:04.767Z,168045846476707
"""Casey @ MriB3wZZlK"" posts a small blind of 40",2023-04-02T18:01:04.767Z,168045846476706
"""Casey @ MriB3wZZlK"" posts an ante of 8",2023-04-02T18:01:04.767Z,168045846476705
"""Charlie Welch @ caWUFRpDtq"" posts an ante of 8",2023-04-02T18:01:04.767Z,168045846476704
"Player stacks: #2 ""Charlie Welch @ caWUFRpDtq"" (7776) | #9 ""Casey @ MriB3wZZlK"" (224)",2023-04-02T18:01:04.767Z,168045846476701
"-- starting hand #102 (id: yttixrkxo8s7)  (No Limit Texas Hold'em) (dealer: ""Casey @ MriB3wZZlK"") --",2023-04-02T18:01:04.767Z,168045846476700
"-- ending hand #101 --",2023-04-02T18:01:01.857Z,168045846185702
"""Charlie Welch @ caWUFRpDtq"" collected 176 from pot",2023-04-02T18:01:01.857Z,168045846185701
"Uncalled bet of 224 returned to ""Charlie Welch @ caWUFRpDtq""",2023-04-02T18:01:01.857Z,168045846185700
"""Casey @ MriB3wZZlK"" folds",2023-04-02T18:01:01.000Z,168045846100000
"""Charlie Welch @ caWUFRpDtq"" raises to 304",2023-04-02T18:01:00.105Z,168045846010500
"""Casey @ MriB3wZZlK"" posts a big blind of 80",2023-04-02T18:00:57.558Z,168045845755807
"""Charlie Welch @ caWUFRpDtq"" posts a small blind of 40",2023-04-02T18:00:57.558Z,168045845755806
"""Casey @ MriB3wZZlK"" posts an ante of 8",2023-04-02T18:00:57.558Z,168045845755805
"""Charlie Welch @ caWUFRpDtq"" posts an ante of 8",2023-04-02T18:00:57.558Z,168045845755804
"Player stacks: #2 ""Charlie Welch @ caWUFRpDtq"" (7688) | #9 ""Casey @ MriB3wZZlK"" (312)",2023-04-02T18:00:57.558Z,168045845755801
"-- starting hand #101 (id: r5lscr4v6xr1)  (No Limit Texas Hold'em) (dealer: ""Charlie Welch @ caWUFRpDtq"") --",2023-04-02T18:00:57.558Z,168045845755800
"-- ending hand #100 --",2023-04-02T18:00:54.641Z,168045845464102
"""Charlie Welch @ caWUFRpDtq"" collected 96 from pot",2023-04-02T18:00:54.641Z,168045845464101
"Uncalled bet of 40 returned to ""Charlie Welch @ caWUFRpDtq""",2023-04-02T18:00:54.641Z,168045845464100
"""Casey @ MriB3wZZlK"" folds",2023-04-02T18:00:53.811Z,168045845381100
"""Charlie Welch @ caWUFRpDtq"" posts a big blind of 80",2023-04-02T18:00:52.433Z,168045845243307
"""Casey @ MriB3wZZlK"" posts a small blind of 40",2023-04-02T18:00:52.433Z,168045845243306
"""Casey @ MriB3wZZlK"" posts an ante of 8",2023-04-02T18:00:52.433Z,168045845243305
"""Charlie Welch @ caWUFRpDtq"" posts an ante of 8",2023-04-02T18:00:52.433Z,168045845243304
"Player stacks: #2 ""Charlie Welch @ caWUFRpDtq"" (7640) | #9 ""Casey @ MriB3wZZlK"" (360)",2023-04-02T18:00:52.433Z,168045845243301
"-- starting hand #100 (id: usmpiovw98sx)  (No Limit Texas Hold'em) (dealer: ""Casey @ MriB3wZZlK"") --",2023-04-02T18:00:52.433Z,168045845243300
"-- ending hand #99 --",2023-04-02T18:00:49.506Z,168045844950602
"""Charlie Welch @ caWUFRpDtq"" collected 176 from pot",2023-04-02T18:00:49.506Z,168045844950601
"Uncalled bet of 360 returned to ""Charlie Welch @ caWUFRpDtq""",2023-04-02T18:00:49.506Z,168045844950600
"""Casey @ MriB3wZZlK"" folds",2023-04-02T18:00:48.688Z,168045844868800
"""Charlie Welch @ caWUFRpDtq"" raises to 440",2023-04-02T18:00:47.349Z,168045844734900
"""Casey @ MriB3wZZlK"" posts a big blind of 80",2023-04-02T18:00:44.748Z,168045844474807
"""Charlie Welch @ caWUFRpDtq"" posts a small blind of 40",2023-04-02T18:00:44.748Z,168045844474806
