entry,at,order
"""Evan @ UyBvyBOc-f"" folds",2023-04-18T06:33:53.271Z,168179963327100
"""David @ 8izogiVoS9"" posts a big blind of 1.00",2023-04-18T06:31:08.761Z,168179946876105
"""Evan @ UyBvyBOc-f"" posts a small blind of 0.50",2023-04-18T06:31:08.761Z,168179946876104
"Player stacks: #3 ""Evan @ UyBvyBOc-f"" (619.51) | #10 ""David @ 8izogiVoS9"" (384.17)",2023-04-18T06:31:08.761Z,168179946876101
"-- starting hand #475 (id: w70omdevsga6)  (No Limit Texas Hold'em) (dealer: ""Evan @ UyBvyBOc-f"") --",2023-04-18T06:31:08.761Z,168179946876100
"-- ending hand #474 --",2023-04-18T06:31:02.727Z,168179946272702
"""David @ 8izogiVoS9"" collected 21.24 from pot with Two Pair, K's & 8's (combination: K♠, K♣, 8♣, 8♠, 10♦)",2023-04-18T06:31:02.727Z,168179946272701
"""David @ 8izogiVoS9"" shows a 3♠, K♠.",2023-04-18T06:31:02.727Z,168179946272700
"""Evan @ UyBvyBOc-f"" calls 6.37",2023-04-18T06:31:01.880Z,168179946188000
"""David @ 8izogiVoS9"" bets 6.37",2023-04-18T06:30:57.356Z,168179945735600
"""Evan @ UyBvyBOc-f"" checks",2023-04-18T06:30:55.149Z,168179945514900
"River: 10♦, 6♥, 8♣, K♣ [8♠]",2023-04-18T06:30:54.036Z,168179945403600
"""Evan @ UyBvyBOc-f"" calls 1.75",2023-04-18T06:30:53.210Z,168179945321000
"""David @ 8izogiVoS9"" bets 1.75",2023-04-18T06:30:51.100Z,168179945110000
"""Evan @ UyBvyBOc-f"" checks",2023-04-18T06:30:48.772Z,168179944877200
"Turn: 10♦, 6♥, 8♣ [K♣]",2023-04-18T06:30:47.342Z,168179944734200
"""David @ 8izogiVoS9"" checks",2023-04-18T06:30:46.535Z,168179944653500
"""Evan @ UyBvyBOc-f"" checks",2023-04-18T06:30:45.320Z,168179944532000
"Flop:  [10♦, 6♥, 8♣]",2023-04-18T06:30:43.707Z,168179944370700
"""Evan @ UyBvyBOc-f"" calls 2.50",2023-04-18T06:30:42.899Z,168179944289900
"""David @ 8izogiVoS9"" raises to 2.50",2023-04-18T06:30:41.577Z,168179944157700
"""Evan @ UyBvyBOc-f"" posts a big blind of 1.00",2023-04-18T06:30:40.023Z,168179944002305
"""David @ 8izogiVoS9"" posts a small blind of 0.50",2023-04-18T06:30:40.023Z,168179944002304
"Player stacks: #3 ""Evan @ UyBvyBOc-f"" (630.13) | #10 ""David @ 8izogiVoS9"" (373.55)",2023-04-18T06:30:40.023Z,168179944002301
"-- starting hand #474 (id: qlsdeug3n1j4)  (No Limit Texas Hold'em) (dealer: ""David @ 8izogiVoS9"") --",2023-04-18T06:30:40.023Z,168179944002300
"-- ending hand #473 --",2023-04-18T06:30:37.022Z,168179943702202
"""Evan @ UyBvyBOc-f"" collected 2.00 from pot",2023-04-18T06:30:37.022Z,168179943702201
"Uncalled bet of 1.50 returned to ""Evan @ UyBvyBOc-f""",2023-04-18T06:30:37.022Z,168179943702200
"""David @ 8izogiVoS9"" folds",2023-04-18T06:30:36.132Z,168179943613200
"""Evan @ UyBvyBOc-f"" raises to 2.50",2023-04-18T06:30:34.651Z,168179943465100
"""David @ 8izogiVoS9"" posts a big blind of 1.00",2023-04-18T06:30:31.611Z,168179943161105
"""Evan @ UyBvyBOc-f"" posts a small blind of 0.50",2023-04-18T06:30:31.611Z,168179943161104
"Player stacks: #3 ""Evan @ UyBvyBOc-f"" (629.13) | #10 ""David @ 8izogiVoS9"" (374.55)",2023-04-18T06:30:31.611Z,168179943161101
"-- starting hand #473 (id: zsnzmhqfsn0d)  (No Limit Texas Hold'em) (dealer: ""Evan @ UyBvyBOc-f"") --",2023-04-18T06:30:31.611Z,168179943161100
"-- ending hand #472 --",2023-04-18T06:30:28.608Z,168179942860802
"""Evan @ UyBvyBOc-f"" collected 1.00 from pot",2023-04-18T06:30:28.608Z,168179942860801
"Uncalled bet of 0.50 returned to ""Evan @ UyBvyBOc-f""",2023-04-18T06:30:28.608Z,168179942860800
"""David @ 8izogiVoS9"" folds",2023-04-18T06:30:27.738Z,168179942773800
"""Evan @ UyBvyBOc-f"" posts a big blind of 1.00",2023-04-18T06:30:26.495Z,168179942649505
"""David @ 8izogiVoS9"" posts a small blind of 0.50",2023-04-18T06:30:26.495Z,168179942649504
"Player stacks: #3 ""Evan @ UyBvyBOc-f"" (628.63) | #10 ""David @ 8izogiVoS9"" (375.05)",2023-04-18T06:30:26.495Z,168179942649501
"-- starting hand #472 (id: nmpbowzrcbit)  (No Limit Texas Hold'em) (dealer: ""David @ 8izogiVoS9"") --",2023-04-18T06:30:26.495Z,168179942649500
"""David @ 8izogiVoS9"" shows a 4♣, 10♠.",2023-04-18T06:30:23.114Z,168179942311400
"-- ending hand #471 --",2023-04-18T06:30:22.885Z,168179942288502
"""David @ 8izogiVoS9"" collected 1.00 from pot",2023-04-18T06:30:22.885Z,168179942288501
"Uncalled bet of 0.50 returned to ""David @ 8izogiVoS9""",2023-04-18T06:30:22.885Z,168179942288500
"""Evan @ UyBvyBOc-f"" folds",2023-04-18T06:30:22.078Z,168179942207800
"""David @ 8izogiVoS9"" posts a big blind of 1.00",2023-04-18T06:30:12.882Z,168179941288205
"""Evan @ UyBvyBOc-f"" posts a small blind of 0.50",2023-04-18T06:30:12.882Z,168179941288204
"Player stacks: #3 ""Evan @ UyBvyBOc-f"" (629.13) | #10 ""David @ 8izogiVoS9"" (374.55)",2023-04-18T06:30:12.882Z,168179941288201
"-- starting hand #471 (id: qipuwuxdhlhn)  (No Limit Texas Hold'em) (dealer: ""Evan @ UyBvyBOc-f"") --",2023-04-18T06:30:12.882Z,168179941288200
"-- ending hand #470 --",2023-04-18T06:30:06.876Z,168179940687604
