entry,at,order
"The player ""Michael @ GScnVzO7r5"" passed the room ownership to ""Nikhil @ u8MG7LdRwp"".",2023-04-19T05:52:21.083Z,168188354108300
"The player ""Evan @ kmuRP4JUH5"" quits the game with a stack of 94.63.",2023-04-19T05:49:31.401Z,168188337140100
"The player ""Nikhil @ u8MG7LdRwp"" quits the game with a stack of 81.43.",2023-04-19T05:49:30.475Z,168188337047500
"-- ending hand #183 --",2023-04-19T05:49:27.529Z,168188336752902
"""Evan @ kmuRP4JUH5"" collected 0.50 from pot",2023-04-19T05:49:27.529Z,168188336752901
"Uncalled bet of 0.25 returned to ""Evan @ kmuRP4JUH5""",2023-04-19T05:49:27.529Z,168188336752900
"""Nikhil @ u8MG7LdRwp"" folds",2023-04-19T05:49:26.676Z,168188336667600
"""Evan @ kmuRP4JUH5"" posts a big blind of 0.50",2023-04-19T05:49:21.031Z,168188336103107
"""Nikhil @ u8MG7LdRwp"" posts a small blind of 0.25",2023-04-19T05:49:21.031Z,168188336103106
"Player stacks: #3 ""Nikhil @ u8MG7LdRwp"" (81.68) | #9 ""Evan @ kmuRP4JUH5"" (94.38)",2023-04-19T05:49:21.031Z,168188336103103
"-- starting hand #183 (id: tqp35eltcxuc)  (No Limit Texas Hold'em) (dealer: ""Nikhil @ u8MG7LdRwp"") --",2023-04-19T05:49:21.031Z,168188336103102
"The player ""David3 @ 8izogiVoS9"" quits the game with a stack of 262.31.",2023-04-19T05:49:21.031Z,168188336103101
"The player ""Toby @ 76KLHFOJAT"" quits the game with a stack of 146.40.",2023-04-19T05:49:21.031Z,168188336103100
"-- ending hand #182 --",2023-04-19T05:49:18.115Z,168188335811502
"""Nikhil @ u8MG7LdRwp"" collected 0.50 from pot",2023-04-19T05:49:18.115Z,168188335811501
"Uncalled bet of 0.25 returned to ""Nikhil @ u8MG7LdRwp""",2023-04-19T05:49:18.115Z,168188335811500
"""David3 @ 8izogiVoS9"" folds",2023-04-19T05:49:17.261Z,168188335726100
"""Evan @ kmuRP4JUH5"" folds",2023-04-19T05:49:16.372Z,168188335637200
"""Toby @ 76KLHFOJAT"" folds",2023-04-19T05:49:09.791Z,168188334979100
"""Nikhil @ u8MG7LdRwp"" posts a big blind of 0.50",2023-04-19T05:49:03.503Z,168188334350307
"""David3 @ 8izogiVoS9"" posts a small blind of 0.25",2023-04-19T05:49:03.503Z,168188334350306
"Player stacks: #1 ""David3 @ 8izogiVoS9"" (262.56) | #3 ""Nikhil @ u8MG7LdRwp"" (81.43) | #5 ""Toby @ 76KLHFOJAT"" (146.40) | #9 ""Evan @ kmuRP4JUH5"" (94.38)",2023-04-19T05:49:03.503Z,168188334350301
"-- starting hand #182 (id: flnnx4qhkmx9)  (No Limit Texas Hold'em) (dealer: ""Evan @ kmuRP4JUH5"") --",2023-04-19T05:49:03.503Z,168188334350300
"""David3 @ 8izogiVoS9"" shows a 10♠, K♦.",2023-04-19T05:48:58.183Z,168188333818300
"-- ending hand #181 --",2023-04-19T05:48:56.974Z,168188333697403
"""Evan @ kmuRP4JUH5"" shows a 10♣, 3♦.",2023-04-19T05:48:56.974Z,168188333697402
"""Toby @ 76KLHFOJAT"" collected 20.00 from pot with Two Pair, J's & 7's (combination: J♣, J♥, 7♣, 7♠, Q♦)",2023-04-19T05:48:56.974Z,168188333697401
"""Toby @ 76KLHFOJAT"" shows a 7♣, 7♠.",2023-04-19T05:48:56.974Z,168188333697400
"""Toby @ 76KLHFOJAT"" checks",2023-04-19T05:48:56.132Z,168188333613200
"""Nikhil @ u8MG7LdRwp"" checks",2023-04-19T05:48:55.263Z,168188333526300
"""David3 @ 8izogiVoS9"" checks",2023-04-19T05:48:54.386Z,168188333438600
"""Evan @ kmuRP4JUH5"" checks",2023-04-19T05:48:53.522Z,168188333352200
"River: 6♣, 3♠, J♣, J♥ [Q♦]",2023-04-19T05:48:52.561Z,168188333256100
"""Toby @ 76KLHFOJAT"" checks",2023-04-19T05:48:51.703Z,168188333170300
"""Nikhil @ u8MG7LdRwp"" checks",2023-04-19T05:48:50.849Z,168188333084900
"""David3 @ 8izogiVoS9"" checks",2023-04-19T05:48:49.775Z,168188332977500
"""Evan @ kmuRP4JUH5"" checks",2023-04-19T05:48:48.881Z,168188332888100
"Turn: 6♣, 3♠, J♣ [J♥]",2023-04-19T05:48:47.830Z,168188332783000
"""Toby @ 76KLHFOJAT"" checks",2023-04-19T05:48:46.972Z,168188332697200
"""Nikhil @ u8MG7LdRwp"" checks",2023-04-19T05:48:46.097Z,168188332609700
"""David3 @ 8izogiVoS9"" checks",2023-04-19T05:48:44.249Z,168188332424900
"""Evan @ kmuRP4JUH5"" checks",2023-04-19T05:48:43.393Z,168188332339300
"Flop:  [6♣, 3♠, J♣]",2023-04-19T05:48:41.540Z,168188332154000
"""Nikhil @ u8MG7LdRwp"" calls 5.00",2023-04-19T05:48:40.685Z,168188332068500
"""David3 @ 8izogiVoS9"" calls 5.00",2023-04-19T05:48:36.849Z,168188331684900
"""Evan @ kmuRP4JUH5"" calls 5.00",2023-04-19T05:48:35.952Z,168188331595200
"""Toby @ 76KLHFOJAT"" raises to 5.00",2023-04-19T05:48:31.259Z,168188331125900
"""Nikhil @ u8MG7LdRwp"" calls 0.50",2023-04-19T05:48:27.209Z,168188330720900
"""David3 @ 8izogiVoS9"" posts a big blind of 0.50",2023-04-19T05:48:24.848Z,168188330484807
"""Evan @ kmuRP4JUH5"" posts a small blind of 0.25",2023-04-19T05:48:24.848Z,168188330484806
