entry,at,order
"""Matt P(2) @ eGioB_PAIX"" folds",2023-04-20T02:41:41.855Z,168195850185500
"""David @ 8izogiVoS9"" posts a big blind of 1.00",2023-04-20T02:32:19.988Z,168195793998805
"""Matt P(2) @ eGioB_PAIX"" posts a small blind of 0.50",2023-04-20T02:32:19.988Z,168195793998804
"Player stacks: #2 ""Matt P(2) @ eGioB_PAIX"" (234.00) | #9 ""David @ 8izogiVoS9"" (238.72)",2023-04-20T02:32:19.988Z,168195793998801
"-- starting hand #137 (id: hncmzi7i6nze)  (No Limit Texas Hold'em) (dealer: ""Matt P(2) @ eGioB_PAIX"") --",2023-04-20T02:32:19.988Z,168195793998800
"-- ending hand #136 --",2023-04-20T02:32:17.032Z,168195793703202
"""Matt P(2) @ eGioB_PAIX"" collected 5.00 from pot",2023-04-20T02:32:17.032Z,168195793703201
"Uncalled bet of 10.00 returned to ""Matt P(2) @ eGioB_PAIX""",2023-04-20T02:32:17.032Z,168195793703200
"""David @ 8izogiVoS9"" folds",2023-04-20T02:32:16.171Z,168195793617100
"""Matt P(2) @ eGioB_PAIX"" bets 10.00",2023-04-20T02:32:12.865Z,168195793286500
"Turn: 10♣, K♣, 8♠ [10♦]",2023-04-20T02:32:04.966Z,168195792496600
"""David @ 8izogiVoS9"" checks",2023-04-20T02:32:04.150Z,168195792415000
"""Matt P(2) @ eGioB_PAIX"" checks",2023-04-20T02:32:01.130Z,168195792113000
"Flop:  [10♣, K♣, 8♠]",2023-04-20T02:31:56.709Z,168195791670900
"""Matt P(2) @ eGioB_PAIX"" calls 2.50",2023-04-20T02:31:55.803Z,168195791580300
"""David @ 8izogiVoS9"" raises to 2.50",2023-04-20T02:31:54.247Z,168195791424700
"""Matt P(2) @ eGioB_PAIX"" posts a big blind of 1.00",2023-04-20T02:31:52.283Z,168195791228305
"""David @ 8izogiVoS9"" posts a small blind of 0.50",2023-04-20T02:31:52.283Z,168195791228304
"Player stacks: #2 ""Matt P(2) @ eGioB_PAIX"" (231.50) | #9 ""David @ 8izogiVoS9"" (241.22)",2023-04-20T02:31:52.283Z,168195791228301
"-- starting hand #136 (id: polqf9hoidf6)  (No Limit Texas Hold'em) (dealer: ""David @ 8izogiVoS9"") --",2023-04-20T02:31:52.283Z,168195791228300
"""David @ 8izogiVoS9"" shows a Q♦, 2♦.",2023-04-20T02:31:50.142Z,168195791014200
"-- ending hand #135 --",2023-04-20T02:31:48.678Z,168195790867802
"""David @ 8izogiVoS9"" collected 4.00 from pot",2023-04-20T02:31:48.678Z,168195790867801
"Uncalled bet of 2.00 returned to ""David @ 8izogiVoS9""",2023-04-20T02:31:48.678Z,168195790867800
"""Matt P(2) @ eGioB_PAIX"" folds",2023-04-20T02:31:47.817Z,168195790781700
"""David @ 8izogiVoS9"" bets 2.00",2023-04-20T02:31:45.044Z,168195790504400
"Turn: 6♦, Q♠, 10♥ [2♥]",2023-04-20T02:31:42.680Z,168195790268000
"""Matt P(2) @ eGioB_PAIX"" checks",2023-04-20T02:31:41.853Z,168195790185300
"""David @ 8izogiVoS9"" checks",2023-04-20T02:31:32.126Z,168195789212600
"Flop:  [6♦, Q♠, 10♥]",2023-04-20T02:31:31.453Z,168195789145300
"""David @ 8izogiVoS9"" calls 2.00",2023-04-20T02:31:30.615Z,168195789061500
"""Matt P(2) @ eGioB_PAIX"" raises to 2.00",2023-04-20T02:31:27.542Z,168195788754200
"""David @ 8izogiVoS9"" posts a big blind of 1.00",2023-04-20T02:31:25.048Z,168195788504805
