entry,at,order
"The player ""David2 @ GbJO-TzmXK"" passed the room ownership to ""Evan @ UyBvyBOc-f"".",2023-04-23T05:42:49.549Z,168222856954900
"""Toby @ 76KLHFOJAT"" folds",2023-04-23T05:28:25.322Z,168222770532200
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-04-23T05:25:33.181Z,168222753318105
"""Toby @ 76KLHFOJAT"" posts a small blind of 1.00",2023-04-23T05:25:33.181Z,168222753318104
"Player stacks: #5 ""Toby @ 76KLHFOJAT"" (758.95) | #6 ""Seneca @ 3K1udw0KZ8"" (479.19)",2023-04-23T05:25:33.181Z,168222753318101
"-- starting hand #346 (id: k1ua2w6siwga)  (No Limit Texas Hold'em) (dealer: ""Toby @ 76KLHFOJAT"") --",2023-04-23T05:25:33.181Z,168222753318100
"-- ending hand #345 --",2023-04-23T05:25:27.169Z,168222752716903
"""Seneca @ 3K1udw0KZ8"" shows a 4♥, 10♦.",2023-04-23T05:25:27.169Z,168222752716902
"""Toby @ 76KLHFOJAT"" collected 20.00 from pot with Pair, 9's (combination: 9♣, 9♥, A♣, J♦, 7♦)",2023-04-23T05:25:27.169Z,168222752716901
"""Toby @ 76KLHFOJAT"" shows a 9♣, J♦.",2023-04-23T05:25:27.169Z,168222752716900
"""Seneca @ 3K1udw0KZ8"" checks",2023-04-23T05:25:26.326Z,168222752632600
"""Toby @ 76KLHFOJAT"" checks",2023-04-23T05:25:25.472Z,168222752547200
"River: 7♦, 3♦, A♣, 9♥ [6♣]",2023-04-23T05:25:25.164Z,168222752516400
"""Seneca @ 3K1udw0KZ8"" checks",2023-04-23T05:25:24.344Z,168222752434400
"""Toby @ 76KLHFOJAT"" checks",2023-04-23T05:25:23.426Z,168222752342600
"Turn: 7♦, 3♦, A♣ [9♥]",2023-04-23T05:25:22.764Z,168222752276400
"""Seneca @ 3K1udw0KZ8"" checks",2023-04-23T05:25:21.900Z,168222752190000
"""Toby @ 76KLHFOJAT"" checks",2023-04-23T05:25:21.011Z,168222752101100
"Flop:  [7♦, 3♦, A♣]",2023-04-23T05:25:20.665Z,168222752066500
"""Toby @ 76KLHFOJAT"" calls 10.00",2023-04-23T05:25:19.842Z,168222751984200
"""Seneca @ 3K1udw0KZ8"" raises to 10.00",2023-04-23T05:25:18.274Z,168222751827400
"""Toby @ 76KLHFOJAT"" posts a big blind of 2.00",2023-04-23T05:25:14.657Z,168222751465705
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-04-23T05:25:14.657Z,168222751465704
"Player stacks: #5 ""Toby @ 76KLHFOJAT"" (748.95) | #6 ""Seneca @ 3K1udw0KZ8"" (489.19)",2023-04-23T05:25:14.657Z,168222751465701
"-- starting hand #345 (id: muylwst7k7ww)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-04-23T05:25:14.657Z,168222751465700
"-- ending hand #344 --",2023-04-23T05:25:11.753Z,168222751175302
"""Toby @ 76KLHFOJAT"" collected 4.00 from pot",2023-04-23T05:25:11.753Z,168222751175301
"Uncalled bet of 3.00 returned to ""Toby @ 76KLHFOJAT""",2023-04-23T05:25:11.753Z,168222751175300
"""Seneca @ 3K1udw0KZ8"" folds",2023-04-23T05:25:10.947Z,168222751094700
"""Toby @ 76KLHFOJAT"" raises to 5.00",2023-04-23T05:25:02.985Z,168222750298500
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-04-23T05:24:51.098Z,168222749109806
"""Toby @ 76KLHFOJAT"" posts a small blind of 1.00",2023-04-23T05:24:51.098Z,168222749109805
"Player stacks: #5 ""Toby @ 76KLHFOJAT"" (746.95) | #6 ""Seneca @ 3K1udw0KZ8"" (491.19)",2023-04-23T05:24:51.098Z,168222749109802
"-- starting hand #344 (id: ubn9rctgolcd)  (No Limit Texas Hold'em) (dealer: ""Toby @ 76KLHFOJAT"") --",2023-04-23T05:24:51.098Z,168222749109801
"The player ""Justin @ lwkUkonLdX"" stand up with the stack of 602.74.",2023-04-23T05:24:51.098Z,168222749109800
"-- ending hand #343 --",2023-04-23T05:24:48.180Z,168222748818002
"""Seneca @ 3K1udw0KZ8"" collected 10.00 from pot",2023-04-23T05:24:48.180Z,168222748818001
"Uncalled bet of 4.00 returned to ""Seneca @ 3K1udw0KZ8""",2023-04-23T05:24:48.180Z,168222748818000
"""Toby @ 76KLHFOJAT"" folds",2023-04-23T05:24:47.318Z,168222748731800
"""Seneca @ 3K1udw0KZ8"" bets 4.00",2023-04-23T05:24:44.598Z,168222748459800
"""Toby @ 76KLHFOJAT"" checks",2023-04-23T05:24:40.960Z,168222748096000
"Flop:  [8♣, 3♥, A♣]",2023-04-23T05:24:39.040Z,168222747904000
"""Toby @ 76KLHFOJAT"" calls 4.50",2023-04-23T05:24:38.175Z,168222747817500
"""Justin @ lwkUkonLdX"" folds",2023-04-23T05:24:21.686Z,168222746168600
"""Seneca @ 3K1udw0KZ8"" raises to 4.50",2023-04-23T05:24:20.595Z,168222746059500
"""Toby @ 76KLHFOJAT"" posts a big blind of 2.00",2023-04-23T05:24:18.200Z,168222745820006
"""Justin @ lwkUkonLdX"" posts a small blind of 1.00",2023-04-23T05:24:18.200Z,168222745820005
"Player stacks: #4 ""Justin @ lwkUkonLdX"" (603.74) | #5 ""Toby @ 76KLHFOJAT"" (751.45) | #6 ""Seneca @ 3K1udw0KZ8"" (485.69)",2023-04-23T05:24:18.200Z,168222745820001
"-- starting hand #343 (id: xjqd7snqbwob)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-04-23T05:24:18.200Z,168222745820000
"-- ending hand #342 --",2023-04-23T05:24:15.267Z,168222745526702
"""Justin @ lwkUkonLdX"" collected 2.00 from pot",2023-04-23T05:24:15.267Z,168222745526701
"Uncalled bet of 1.00 returned to ""Justin @ lwkUkonLdX""",2023-04-23T05:24:15.267Z,168222745526700
"""Seneca @ 3K1udw0KZ8"" folds",2023-04-23T05:24:14.427Z,168222745442700
"""Toby @ 76KLHFOJAT"" folds",2023-04-23T05:24:11.868Z,168222745186800
"""Justin @ lwkUkonLdX"" posts a big blind of 2.00",2023-04-23T05:24:08.755Z,168222744875507
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-04-23T05:24:08.755Z,168222744875506
"Player stacks: #4 ""Justin @ lwkUkonLdX"" (602.74) | #5 ""Toby @ 76KLHFOJAT"" (751.45) | #6 ""Seneca @ 3K1udw0KZ8"" (486.69)",2023-04-23T05:24:08.755Z,168222744875502
"-- starting hand #342 (id: spbxysqa76ql)  (No Limit Texas Hold'em) (dealer: ""Toby @ 76KLHFOJAT"") --",2023-04-23T05:24:08.755Z,168222744875501
"The player ""David2 @ GbJO-TzmXK"" quits the game with a stack of 92.76.",2023-04-23T05:24:08.755Z,168222744875500
"-- ending hand #341 --",2023-04-23T05:24:05.760Z,168222744576002
"""Justin @ lwkUkonLdX"" collected 6.00 from pot",2023-04-23T05:24:05.760Z,168222744576001
"Uncalled bet of 3.00 returned to ""Justin @ lwkUkonLdX""",2023-04-23T05:24:05.760Z,168222744576000
"""Seneca @ 3K1udw0KZ8"" folds",2023-04-23T05:24:04.950Z,168222744495000
"""Toby @ 76KLHFOJAT"" folds",2023-04-23T05:24:02.908Z,168222744290800
"""Justin @ lwkUkonLdX"" raises to 5.00",2023-04-23T05:24:02.022Z,168222744202200
"""David2 @ GbJO-TzmXK"" folds",2023-04-23T05:23:59.465Z,168222743946500
"""Seneca @ 3K1udw0KZ8"" posts a missing small blind of 1.00",2023-04-23T05:23:38.514Z,168222741851409
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-04-23T05:23:38.514Z,168222741851408
"""Toby @ 76KLHFOJAT"" posts a small blind of 1.00",2023-04-23T05:23:38.514Z,168222741851407
"Player stacks: #4 ""Justin @ lwkUkonLdX"" (598.74) | #5 ""Toby @ 76KLHFOJAT"" (752.45) | #6 ""Seneca @ 3K1udw0KZ8"" (489.69) | #9 ""David2 @ GbJO-TzmXK"" (92.76)",2023-04-23T05:23:38.514Z,168222741851402
"-- starting hand #341 (id: toum784mt4zi)  (No Limit Texas Hold'em) (dealer: ""Justin @ lwkUkonLdX"") --",2023-04-23T05:23:38.514Z,168222741851401
"The player ""Seneca @ 3K1udw0KZ8"" joined the game with a stack of 489.69.",2023-04-23T05:23:38.514Z,168222741851400
"-- ending hand #340 --",2023-04-23T05:23:35.582Z,168222741558202
"""Justin @ lwkUkonLdX"" collected 153.28 from pot",2023-04-23T05:23:35.582Z,168222741558201
"Uncalled bet of 92.76 returned to ""Justin @ lwkUkonLdX""",2023-04-23T05:23:35.582Z,168222741558200
"""David2 @ GbJO-TzmXK"" folds",2023-04-23T05:23:34.780Z,168222741478000
"""Justin @ lwkUkonLdX"" bets 92.76",2023-04-23T05:23:32.192Z,168222741219200
"River: 2♠, 8♠, K♥, 3♣ [4♦]",2023-04-23T05:23:08.156Z,168222738815600
"""David2 @ GbJO-TzmXK"" calls 38.32",2023-04-23T05:23:07.335Z,168222738733500
"""Justin @ lwkUkonLdX"" bets 38.32",2023-04-23T05:22:57.617Z,168222737761700
"Turn: 2♠, 8♠, K♥ [3♣]",2023-04-23T05:22:29.221Z,168222734922100
"""David2 @ GbJO-TzmXK"" calls 15.32",2023-04-23T05:22:28.311Z,168222734831100
"""Justin @ lwkUkonLdX"" bets 15.32",2023-04-23T05:22:23.709Z,168222734370900
"Flop:  [2♠, 8♠, K♥]",2023-04-23T05:22:13.194Z,168222733319400
"""David2 @ GbJO-TzmXK"" calls 22.00",2023-04-23T05:22:12.350Z,168222733235000
"""Toby @ 76KLHFOJAT"" folds",2023-04-23T05:22:09.795Z,168222732979500
