entry,at,order
"The player ""Goml @ hWHbHSDgs2"" stand up with the stack of 71.12.",2023-05-04T21:44:29.147Z,168323666914700
"-- ending hand #271 --",2023-05-04T21:44:26.215Z,168323666621502
"""Goml @ hWHbHSDgs2"" collected 1.00 from pot",2023-05-04T21:44:26.215Z,168323666621501
"Uncalled bet of 0.50 returned to ""Goml @ hWHbHSDgs2""",2023-05-04T21:44:26.215Z,168323666621500
"""The Top G @ dyr2KdooJk"" folds",2023-05-04T21:44:25.352Z,168323666535200
"""Goml @ hWHbHSDgs2"" posts a big blind of 1.00",2023-05-04T21:44:21.145Z,168323666114505
"""The Top G @ dyr2KdooJk"" posts a small blind of 0.50",2023-05-04T21:44:21.145Z,168323666114504
"Player stacks: #1 ""Goml @ hWHbHSDgs2"" (70.62) | #10 ""The Top G @ dyr2KdooJk"" (319.81)",2023-05-04T21:44:21.145Z,168323666114501
"-- starting hand #271 (id: ujix7hxbqcsy)  (No Limit Texas Hold'em) (dealer: ""The Top G @ dyr2KdooJk"") --",2023-05-04T21:44:21.145Z,168323666114500
"-- ending hand #270 --",2023-05-04T21:44:15.207Z,168323665520702
"""The Top G @ dyr2KdooJk"" collected 6.00 from pot",2023-05-04T21:44:15.207Z,168323665520701
"Uncalled bet of 4.50 returned to ""The Top G @ dyr2KdooJk""",2023-05-04T21:44:15.207Z,168323665520700
"""Goml @ hWHbHSDgs2"" folds",2023-05-04T21:44:14.369Z,168323665436900
"""The Top G @ dyr2KdooJk"" bets 4.50",2023-05-04T21:44:12.513Z,168323665251300
"Flop:  [2♠, 4♠, Q♣]",2023-05-04T21:44:04.643Z,168323664464300
"""Goml @ hWHbHSDgs2"" calls 3.00",2023-05-04T21:44:03.791Z,168323664379100
"""The Top G @ dyr2KdooJk"" raises to 3.00",2023-05-04T21:44:00.203Z,168323664020300
"""Goml @ hWHbHSDgs2"" calls 1.00",2023-05-04T21:43:53.712Z,168323663371200
"""The Top G @ dyr2KdooJk"" posts a big blind of 1.00",2023-05-04T21:43:51.965Z,168323663196505
"""Goml @ hWHbHSDgs2"" posts a small blind of 0.50",2023-05-04T21:43:51.965Z,168323663196504
"Player stacks: #1 ""Goml @ hWHbHSDgs2"" (73.62) | #10 ""The Top G @ dyr2KdooJk"" (316.81)",2023-05-04T21:43:51.965Z,168323663196501
"-- starting hand #270 (id: cmvvbff0qe6b)  (No Limit Texas Hold'em) (dealer: ""Goml @ hWHbHSDgs2"") --",2023-05-04T21:43:51.965Z,168323663196500
"-- ending hand #269 --",2023-05-04T21:43:46.030Z,168323662603002
"""Goml @ hWHbHSDgs2"" collected 1.00 from pot",2023-05-04T21:43:46.030Z,168323662603001
"Uncalled bet of 0.50 returned to ""Goml @ hWHbHSDgs2""",2023-05-04T21:43:46.030Z,168323662603000
"""The Top G @ dyr2KdooJk"" folds",2023-05-04T21:43:45.195Z,168323662519500
"""Goml @ hWHbHSDgs2"" posts a big blind of 1.00",2023-05-04T21:43:36.556Z,168323661655605
"""The Top G @ dyr2KdooJk"" posts a small blind of 0.50",2023-05-04T21:43:36.556Z,168323661655604
"Player stacks: #1 ""Goml @ hWHbHSDgs2"" (73.12) | #10 ""The Top G @ dyr2KdooJk"" (317.31)",2023-05-04T21:43:36.556Z,168323661655601
"-- starting hand #269 (id: mjsk3xgpemfz)  (No Limit Texas Hold'em) (dealer: ""The Top G @ dyr2KdooJk"") --",2023-05-04T21:43:36.556Z,168323661655600
"-- ending hand #268 --",2023-05-04T21:43:30.553Z,168323661055302
"""The Top G @ dyr2KdooJk"" collected 1.00 from pot",2023-05-04T21:43:30.553Z,168323661055301
"Uncalled bet of 0.50 returned to ""The Top G @ dyr2KdooJk""",2023-05-04T21:43:30.553Z,168323661055300
"""Goml @ hWHbHSDgs2"" folds",2023-05-04T21:43:29.728Z,168323660972800
"""The Top G @ dyr2KdooJk"" posts a big blind of 1.00",2023-05-04T21:43:28.525Z,168323660852505
"""Goml @ hWHbHSDgs2"" posts a small blind of 0.50",2023-05-04T21:43:28.525Z,168323660852504
"Player stacks: #1 ""Goml @ hWHbHSDgs2"" (73.62) | #10 ""The Top G @ dyr2KdooJk"" (316.81)",2023-05-04T21:43:28.525Z,168323660852501
"-- starting hand #268 (id: mlxr0bztwxme)  (No Limit Texas Hold'em) (dealer: ""Goml @ hWHbHSDgs2"") --",2023-05-04T21:43:28.525Z,168323660852500
"-- ending hand #267 --",2023-05-04T21:43:22.614Z,168323660261402
"""Goml @ hWHbHSDgs2"" collected 2.00 from pot",2023-05-04T21:43:22.614Z,168323660261401
"Uncalled bet of 1.00 returned to ""Goml @ hWHbHSDgs2""",2023-05-04T21:43:22.614Z,168323660261400
"""The Top G @ dyr2KdooJk"" folds",2023-05-04T21:43:21.738Z,168323660173800
"""Goml @ hWHbHSDgs2"" bets 1.00",2023-05-04T21:43:13.854Z,168323659385400
"Flop:  [A♦, K♦, 3♣]",2023-05-04T21:43:11.198Z,168323659119800
"""Goml @ hWHbHSDgs2"" checks",2023-05-04T21:43:10.341Z,168323659034100
"""The Top G @ dyr2KdooJk"" calls 1.00",2023-05-04T21:43:09.181Z,168323658918100
