entry,at,order
"The player ""Evan Ding1 @ MThp1b8ki1"" quits the game with a stack of 0.00.",2023-05-10T04:49:19.545Z,168369415954500
"-- ending hand #819 --",2023-05-10T04:49:16.494Z,168369415649401
"""Gill iPhone @ 2nfte7Yn67"" collected 302.46 from pot with Full House, J's over 10's (combination: J♣, J♥, J♠, 10♠, 10♥)",2023-05-10T04:49:16.494Z,168369415649400
"River: 8♦, 6♦, 10♠, 10♥ [J♠]",2023-05-10T04:49:12.436Z,168369415243600
"Turn: 8♦, 6♦, 10♠ [10♥]",2023-05-10T04:49:08.338Z,168369414833800
"""Evan Ding1 @ MThp1b8ki1"" shows a 6♣, 5♣.",2023-05-10T04:49:04.328Z,168369414432801
"""Gill iPhone @ 2nfte7Yn67"" shows a J♣, J♥.",2023-05-10T04:49:04.328Z,168369414432800
"Some players choose to not run it twice.",2023-05-10T04:49:03.496Z,168369414349601
"""Gill iPhone @ 2nfte7Yn67"" chooses to not run it twice.",2023-05-10T04:49:03.496Z,168369414349600
"Remaining players decide whether to run it twice.",2023-05-10T04:49:03.132Z,168369414313201
"""Evan Ding1 @ MThp1b8ki1"" calls 91.23 and go all in",2023-05-10T04:49:03.132Z,168369414313200
"""Gill iPhone @ 2nfte7Yn67"" bets 91.23",2023-05-10T04:49:01.724Z,168369414172400
"Flop:  [8♦, 6♦, 10♠]",2023-05-10T04:48:58.920Z,168369413892000
"""Gill iPhone @ 2nfte7Yn67"" calls 60.00",2023-05-10T04:48:58.102Z,168369413810200
"""Evan Ding1 @ MThp1b8ki1"" raises to 60.00",2023-05-10T04:48:55.780Z,168369413578000
"""Gill iPhone @ 2nfte7Yn67"" raises to 20.00",2023-05-10T04:48:50.203Z,168369413020300
"""Evan Ding1 @ MThp1b8ki1"" raises to 6.00",2023-05-10T04:48:47.073Z,168369412707300
"""Gill iPhone @ 2nfte7Yn67"" posts a big blind of 2.00",2023-05-10T04:48:43.862Z,168369412386205
"""Evan Ding1 @ MThp1b8ki1"" posts a small blind of 1.00",2023-05-10T04:48:43.862Z,168369412386204
"Player stacks: #3 ""Gill iPhone @ 2nfte7Yn67"" (964.88) | #6 ""Evan Ding1 @ MThp1b8ki1"" (151.23)",2023-05-10T04:48:43.862Z,168369412386201
"-- starting hand #819 (id: nvbenmqezmi7)  (No Limit Texas Hold'em) (dealer: ""Evan Ding1 @ MThp1b8ki1"") --",2023-05-10T04:48:43.862Z,168369412386200
"-- ending hand #818 --",2023-05-10T04:48:40.857Z,168369412085702
"""Gill iPhone @ 2nfte7Yn67"" collected 200.00 from pot with Straight, Q High (combination: Q♠, J♥, 10♥, 9♣, 8♦)",2023-05-10T04:48:40.857Z,168369412085701
"""Gill iPhone @ 2nfte7Yn67"" shows a 10♥, 9♣.",2023-05-10T04:48:40.857Z,168369412085700
"""Evan Ding1 @ MThp1b8ki1"" calls 72.00",2023-05-10T04:48:40.008Z,168369412000800
"""Gill iPhone @ 2nfte7Yn67"" bets 72.00",2023-05-10T04:48:31.439Z,168369411143900
"""Evan Ding1 @ MThp1b8ki1"" checks",2023-05-10T04:48:10.677Z,168369409067700
"River: Q♠, 4♥, 3♠, J♥ [8♦]",2023-05-10T04:48:09.240Z,168369408924000
"""Evan Ding1 @ MThp1b8ki1"" calls 16.00",2023-05-10T04:48:08.417Z,168369408841700
"""Gill iPhone @ 2nfte7Yn67"" bets 16.00",2023-05-10T04:48:02.398Z,168369408239800
"""Evan Ding1 @ MThp1b8ki1"" checks",2023-05-10T04:47:55.780Z,168369407578000
"Turn: Q♠, 4♥, 3♠ [J♥]",2023-05-10T04:47:54.735Z,168369407473500
"""Evan Ding1 @ MThp1b8ki1"" calls 6.00",2023-05-10T04:47:53.855Z,168369407385500
"""Gill iPhone @ 2nfte7Yn67"" bets 6.00",2023-05-10T04:47:52.093Z,168369407209300
"""Evan Ding1 @ MThp1b8ki1"" checks",2023-05-10T04:47:49.566Z,168369406956600
"Flop:  [Q♠, 4♥, 3♠]",2023-05-10T04:47:47.923Z,168369406792300
"""Evan Ding1 @ MThp1b8ki1"" calls 6.00",2023-05-10T04:47:47.047Z,168369406704700
"""Gill iPhone @ 2nfte7Yn67"" raises to 6.00",2023-05-10T04:47:45.428Z,168369406542800
