entry,at,order
"The player ""JV @ 0cQsl1KGaI"" stand up with the stack of 638.57.",2023-05-12T08:33:33.450Z,168388041345000
"""JV @ 0cQsl1KGaI"" shows a 6♥, 2♥.",2023-05-12T08:33:29.416Z,168388040941600
"""BP @ _zk24nnVPb"" shows a 8♥, K♦.",2023-05-12T08:33:27.282Z,168388040728200
"-- ending hand #1127 --",2023-05-12T08:33:26.104Z,168388040610402
"""BP @ _zk24nnVPb"" collected 20.00 from pot",2023-05-12T08:33:26.104Z,168388040610401
"Uncalled bet of 20.00 returned to ""BP @ _zk24nnVPb""",2023-05-12T08:33:26.104Z,168388040610400
"""JV @ 0cQsl1KGaI"" folds",2023-05-12T08:33:25.235Z,168388040523500
"""BP @ _zk24nnVPb"" bets 20.00",2023-05-12T08:33:23.590Z,168388040359000
"Turn: 6♣, A♥, K♠ [5♦]",2023-05-12T08:33:21.594Z,168388040159400
"""JV @ 0cQsl1KGaI"" checks",2023-05-12T08:33:20.730Z,168388040073000
"""BP @ _zk24nnVPb"" checks",2023-05-12T08:33:19.061Z,168388039906100
"Flop:  [6♣, A♥, K♠]",2023-05-12T08:33:16.382Z,168388039638200
"""JV @ 0cQsl1KGaI"" calls 10.00",2023-05-12T08:33:15.506Z,168388039550600
"""BP @ _zk24nnVPb"" raises to 10.00",2023-05-12T08:33:12.681Z,168388039268100
"""JV @ 0cQsl1KGaI"" posts a straddle of 2.00",2023-05-12T08:33:00.762Z,168388038076206
"""BP @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-12T08:33:00.762Z,168388038076205
"""JV @ 0cQsl1KGaI"" posts a small blind of 0.50",2023-05-12T08:33:00.762Z,168388038076204
"Player stacks: #4 ""JV @ 0cQsl1KGaI"" (648.57) | #10 ""BP @ _zk24nnVPb"" (312.61)",2023-05-12T08:33:00.762Z,168388038076201
"-- starting hand #1127 (id: 5oz5hribcwls)  (No Limit Texas Hold'em) (dealer: ""JV @ 0cQsl1KGaI"") --",2023-05-12T08:33:00.762Z,168388038076200
"""BP @ _zk24nnVPb"" shows a J♥, J♦.",2023-05-12T08:32:55.221Z,168388037522100
"-- ending hand #1126 --",2023-05-12T08:32:54.156Z,168388037415602
"""JV @ 0cQsl1KGaI"" collected 86.00 from pot with Pair, A's (combination: A♦, A♣, K♥, Q♦, 10♥)",2023-05-12T08:32:54.156Z,168388037415601
"""JV @ 0cQsl1KGaI"" shows a K♥, A♦.",2023-05-12T08:32:54.156Z,168388037415600
"""BP @ _zk24nnVPb"" calls 21.00",2023-05-12T08:32:53.323Z,168388037332300
"""JV @ 0cQsl1KGaI"" bets 21.00",2023-05-12T08:32:52.198Z,168388037219800
"River: A♣, 8♣, Q♦, 3♦ [10♥]",2023-05-12T08:32:44.039Z,168388036403900
"""BP @ _zk24nnVPb"" checks",2023-05-12T08:32:43.209Z,168388036320900
"""JV @ 0cQsl1KGaI"" checks",2023-05-12T08:32:41.995Z,168388036199500
"Turn: A♣, 8♣, Q♦ [3♦]",2023-05-12T08:32:40.713Z,168388036071300
"""JV @ 0cQsl1KGaI"" calls 12.00",2023-05-12T08:32:39.857Z,168388035985700
"""BP @ _zk24nnVPb"" bets 12.00",2023-05-12T08:32:34.846Z,168388035484600
"""JV @ 0cQsl1KGaI"" checks",2023-05-12T08:32:30.905Z,168388035090500
"Flop:  [A♣, 8♣, Q♦]",2023-05-12T08:32:28.363Z,168388034836300
"""BP @ _zk24nnVPb"" calls 10.00",2023-05-12T08:32:27.559Z,168388034755900
"""JV @ 0cQsl1KGaI"" raises to 10.00",2023-05-12T08:32:25.425Z,168388034542500
"""BP @ _zk24nnVPb"" posts a straddle of 2.00",2023-05-12T08:32:07.660Z,168388032766006
"""JV @ 0cQsl1KGaI"" posts a big blind of 1.00",2023-05-12T08:32:07.660Z,168388032766005
"""BP @ _zk24nnVPb"" posts a small blind of 0.50",2023-05-12T08:32:07.660Z,168388032766004
"Player stacks: #4 ""JV @ 0cQsl1KGaI"" (605.57) | #10 ""BP @ _zk24nnVPb"" (355.61)",2023-05-12T08:32:07.660Z,168388032766001
"-- starting hand #1126 (id: stkiiekelbrz)  (No Limit Texas Hold'em) (dealer: ""BP @ _zk24nnVPb"") --",2023-05-12T08:32:07.660Z,168388032766000
"-- ending hand #1125 --",2023-05-12T08:32:01.675Z,168388032167502
"""BP @ _zk24nnVPb"" collected 14.00 from pot",2023-05-12T08:32:01.675Z,168388032167501
"Uncalled bet of 11.50 returned to ""BP @ _zk24nnVPb""",2023-05-12T08:32:01.675Z,168388032167500
"""JV @ 0cQsl1KGaI"" folds",2023-05-12T08:32:00.831Z,168388032083100
"""BP @ _zk24nnVPb"" bets 11.50",2023-05-12T08:31:58.392Z,168388031839200
"Flop:  [6♦, 5♥, 5♦]",2023-05-12T08:31:44.455Z,168388030445500
"""JV @ 0cQsl1KGaI"" calls 7.00",2023-05-12T08:31:43.640Z,168388030364000
"""BP @ _zk24nnVPb"" raises to 7.00",2023-05-12T08:31:20.597Z,168388028059700
"""JV @ 0cQsl1KGaI"" posts a straddle of 2.00",2023-05-12T08:31:17.790Z,168388027779006
"""BP @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-12T08:31:17.790Z,168388027779005
"""JV @ 0cQsl1KGaI"" posts a small blind of 0.50",2023-05-12T08:31:17.790Z,168388027779004
"Player stacks: #4 ""JV @ 0cQsl1KGaI"" (612.57) | #10 ""BP @ _zk24nnVPb"" (348.61)",2023-05-12T08:31:17.790Z,168388027779001
