entry,at,order
"The player ""Farnan @ 6GVYVlWnT4"" stand up with the stack of 582.60.",2023-05-13T07:10:35.137Z,168396183513702
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 973.00.",2023-05-13T07:10:35.137Z,168396183513701
"The player ""Kitsos @ 4DT3vFeWj1"" stand up with the stack of 609.00.",2023-05-13T07:10:35.137Z,168396183513700
"-- ending hand #371 --",2023-05-13T07:10:29.226Z,168396182922602
"""Farnan @ 6GVYVlWnT4"" collected 26.00 from pot",2023-05-13T07:10:29.226Z,168396182922601
"Uncalled bet of 10.00 returned to ""Farnan @ 6GVYVlWnT4""",2023-05-13T07:10:29.226Z,168396182922600
"""Hayden @ 2LakBwr16r"" folds",2023-05-13T07:10:28.339Z,168396182833900
"""Farnan @ 6GVYVlWnT4"" bets 10.00",2023-05-13T07:10:17.476Z,168396181747600
"Turn: 5♦, 3♠, 9♦ [4♠]",2023-05-13T07:10:12.807Z,168396181280700
"""Hayden @ 2LakBwr16r"" checks",2023-05-13T07:10:11.978Z,168396181197800
"""Farnan @ 6GVYVlWnT4"" checks",2023-05-13T07:10:00.781Z,168396180078100
"Flop:  [5♦, 3♠, 9♦]",2023-05-13T07:09:55.188Z,168396179518800
"""Hayden @ 2LakBwr16r"" calls 12.00",2023-05-13T07:09:54.342Z,168396179434200
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-13T07:09:52.388Z,168396179238800
"""Farnan @ 6GVYVlWnT4"" raises to 12.00",2023-05-13T07:09:47.269Z,168396178726900
"""Kitsos @ 4DT3vFeWj1"" folds",2023-05-13T07:09:36.187Z,168396177618700
"""Hayden @ 2LakBwr16r"" posts a straddle of 4.00",2023-05-13T07:09:33.880Z,168396177388009
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 2.00",2023-05-13T07:09:33.880Z,168396177388008
"""Farnan @ 6GVYVlWnT4"" posts a small blind of 1.00",2023-05-13T07:09:33.880Z,168396177388007
"Player stacks: #2 ""Kitsos @ 4DT3vFeWj1"" (609.00) | #4 ""Farnan @ 6GVYVlWnT4"" (568.60) | #7 ""Gill iPad @ rBxx2OqQ80"" (783.06) | #10 ""Hayden @ 2LakBwr16r"" (985.00)",2023-05-13T07:09:33.880Z,168396177388002
"-- starting hand #371 (id: h5krhd5hqlyl)  (No Limit Texas Hold'em) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-05-13T07:09:33.880Z,168396177388001
"The player ""Rik @ wAgo7xgxkb"" stand up with the stack of 11167.35.",2023-05-13T07:09:33.880Z,168396177388000
"-- ending hand #370 --",2023-05-13T07:09:27.958Z,168396176795802
"""Gill iPad @ rBxx2OqQ80"" collected 5.00 from pot",2023-05-13T07:09:27.958Z,168396176795801
"Uncalled bet of 2.00 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-13T07:09:27.958Z,168396176795800
"""Farnan @ 6GVYVlWnT4"" folds",2023-05-13T07:09:27.147Z,168396176714700
"""Kitsos @ 4DT3vFeWj1"" folds",2023-05-13T07:09:24.805Z,168396176480500
"""Hayden @ 2LakBwr16r"" folds",2023-05-13T07:09:23.891Z,168396176389100
"""Rik @ wAgo7xgxkb"" folds",2023-05-13T07:09:21.511Z,168396176151100
"""Gill iPad @ rBxx2OqQ80"" posts a straddle of 4.00",2023-05-13T07:09:19.844Z,168396175984409
"""Farnan @ 6GVYVlWnT4"" posts a big blind of 2.00",2023-05-13T07:09:19.844Z,168396175984408
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 1.00",2023-05-13T07:09:19.844Z,168396175984407
