entry,at,order
"The player ""TN @ sNeS9K2qUs"" stand up with the stack of 358.33.",2023-05-15T23:03:27.352Z,168419180735200
"The player ""TN @ sNeS9K2qUs"" sit back with the stack of 358.33.",2023-05-15T23:03:23.821Z,168419180382100
"The player ""Phil @ fjzrNiYyv8"" stand up with the stack of 371.40.",2023-05-15T23:03:23.639Z,168419180363900
"The player ""TN @ sNeS9K2qUs"" stand up with the stack of 358.33.",2023-05-15T23:03:21.081Z,168419180108100
"-- ending hand #331 --",2023-05-15T23:03:18.140Z,168419179814002
"""Phil @ fjzrNiYyv8"" collected 2.00 from pot",2023-05-15T23:03:18.140Z,168419179814001
"Uncalled bet of 2.00 returned to ""Phil @ fjzrNiYyv8""",2023-05-15T23:03:18.140Z,168419179814000
"""TN @ sNeS9K2qUs"" folds",2023-05-15T23:03:17.331Z,168419179733100
"""Phil @ fjzrNiYyv8"" raises to 3.00",2023-05-15T23:03:15.036Z,168419179503600
"""TN @ sNeS9K2qUs"" posts a big blind of 1.00",2023-05-15T23:03:13.058Z,168419179305805
"""Phil @ fjzrNiYyv8"" posts a small blind of 0.50",2023-05-15T23:03:13.058Z,168419179305804
"Player stacks: #1 ""TN @ sNeS9K2qUs"" (359.33) | #4 ""Phil @ fjzrNiYyv8"" (370.40)",2023-05-15T23:03:13.058Z,168419179305801
"-- starting hand #331 (id: tnqgz3hceupf)  (No Limit Texas Hold'em) (dealer: ""Phil @ fjzrNiYyv8"") --",2023-05-15T23:03:13.058Z,168419179305800
"-- ending hand #330 --",2023-05-15T23:03:10.132Z,168419179013202
"""Phil @ fjzrNiYyv8"" collected 15.00 from pot",2023-05-15T23:03:10.132Z,168419179013201
"Uncalled bet of 6.50 returned to ""Phil @ fjzrNiYyv8""",2023-05-15T23:03:10.132Z,168419179013200
"""TN @ sNeS9K2qUs"" folds",2023-05-15T23:03:09.272Z,168419178927200
"""Phil @ fjzrNiYyv8"" bets 6.50",2023-05-15T23:03:07.827Z,168419178782700
"Flop:  [8♦, 3♠, 4♦]",2023-05-15T23:03:03.465Z,168419178346500
"""TN @ sNeS9K2qUs"" calls 7.50",2023-05-15T23:03:02.621Z,168419178262100
"""Phil @ fjzrNiYyv8"" raises to 7.50",2023-05-15T23:03:00.677Z,168419178067700
"""TN @ sNeS9K2qUs"" raises to 2.50",2023-05-15T23:02:57.671Z,168419177767100
