entry,at,order
"The player ""Don @ YyWpODWXWx"" quits the game with a stack of 153.96.",2023-05-09T07:29:47.012Z,168361738701200
"-- ending hand #141 --",2023-05-09T07:29:41.069Z,168361738106902
"""FARNIT @ 6GVYVlWnT4"" collected 7.50 from pot",2023-05-09T07:29:41.069Z,168361738106901
"Uncalled bet of 3.00 returned to ""FARNIT @ 6GVYVlWnT4""",2023-05-09T07:29:41.069Z,168361738106900
"""mp @ -DkySTil6a"" folds",2023-05-09T07:29:40.200Z,168361738020000
"""FARNIT @ 6GVYVlWnT4"" bets 3.00",2023-05-09T07:29:39.279Z,168361737927900
"Flop:  [J♣, 4♠, Q♥]",2023-05-09T07:29:31.298Z,168361737129800
"""mp @ -DkySTil6a"" calls 3.50",2023-05-09T07:29:30.469Z,168361737046900
"""FARNIT @ 6GVYVlWnT4"" raises to 3.50",2023-05-09T07:29:28.946Z,168361736894600
"""Hayden @ 2LakBwr16r"" folds",2023-05-09T07:29:24.073Z,168361736407300
"""mp @ -DkySTil6a"" calls 1.00",2023-05-09T07:29:20.096Z,168361736009600
"The admin ""mp @ -DkySTil6a"" enqueued the game stop on next hand.",2023-05-09T07:29:19.358Z,168361735935800
"""FARNIT @ 6GVYVlWnT4"" posts a big blind of 1.00",2023-05-09T07:29:18.678Z,168361735867807
"""Hayden @ 2LakBwr16r"" posts a small blind of 0.50",2023-05-09T07:29:18.678Z,168361735867806
"Player stacks: #1 ""mp @ -DkySTil6a"" (176.99) | #2 ""Hayden @ 2LakBwr16r"" (86.25) | #9 ""FARNIT @ 6GVYVlWnT4"" (573.95)",2023-05-09T07:29:18.678Z,168361735867802
"-- starting hand #141 (id: 3oqkn1luijtk)  (Pot Limit Omaha Hi) (dealer: ""mp @ -DkySTil6a"") --",2023-05-09T07:29:18.678Z,168361735867801
"The player ""Don @ YyWpODWXWx"" stand up with the stack of 153.96.",2023-05-09T07:29:18.678Z,168361735867800
"-- ending hand #140 --",2023-05-09T07:29:12.756Z,168361735275602
"""Hayden @ 2LakBwr16r"" collected 1.00 from pot",2023-05-09T07:29:12.756Z,168361735275601
"Uncalled bet of 0.50 returned to ""Hayden @ 2LakBwr16r""",2023-05-09T07:29:12.756Z,168361735275600
"""mp @ -DkySTil6a"" folds",2023-05-09T07:29:11.914Z,168361735191400
"""FARNIT @ 6GVYVlWnT4"" folds",2023-05-09T07:29:11.049Z,168361735104900
"""Don @ YyWpODWXWx"" folds",2023-05-09T07:29:10.162Z,168361735016200
"""Hayden @ 2LakBwr16r"" posts a big blind of 1.00",2023-05-09T07:29:05.592Z,168361734559207
"""mp @ -DkySTil6a"" posts a small blind of 0.50",2023-05-09T07:29:05.592Z,168361734559206
"Player stacks: #1 ""mp @ -DkySTil6a"" (177.49) | #2 ""Hayden @ 2LakBwr16r"" (85.75) | #4 ""Don @ YyWpODWXWx"" (153.96) | #9 ""FARNIT @ 6GVYVlWnT4"" (573.95)",2023-05-09T07:29:05.592Z,168361734559201
"-- starting hand #140 (id: mnzdessc8dk5)  (Pot Limit Omaha Hi) (dealer: ""FARNIT @ 6GVYVlWnT4"") --",2023-05-09T07:29:05.592Z,168361734559200
"-- ending hand #139 --",2023-05-09T07:28:59.577Z,168361733957702
"""Hayden @ 2LakBwr16r"" collected 32.00 from pot with Flush (combination: A♠, K♠, 8♠, 7♠, 6♠)",2023-05-09T07:28:59.577Z,168361733957701
"""Hayden @ 2LakBwr16r"" shows a K♠, 2♣, A♠, 8♣.",2023-05-09T07:28:59.577Z,168361733957700
"""FARNIT @ 6GVYVlWnT4"" calls 12.00",2023-05-09T07:28:58.759Z,168361733875900
"""Hayden @ 2LakBwr16r"" raises to 12.00",2023-05-09T07:28:49.603Z,168361732960300
"""FARNIT @ 6GVYVlWnT4"" bets 4.00",2023-05-09T07:28:44.017Z,168361732401700
"River: 7♠, 8♠, Q♦, 7♥ [6♠]",2023-05-09T07:28:39.519Z,168361731951900
"""Hayden @ 2LakBwr16r"" checks",2023-05-09T07:28:38.663Z,168361731866300
"""FARNIT @ 6GVYVlWnT4"" checks",2023-05-09T07:28:36.075Z,168361731607500
"Turn: 7♠, 8♠, Q♦ [7♥]",2023-05-09T07:28:33.823Z,168361731382300
"""Hayden @ 2LakBwr16r"" checks",2023-05-09T07:28:32.973Z,168361731297300
"""FARNIT @ 6GVYVlWnT4"" checks",2023-05-09T07:28:27.505Z,168361730750500
"Flop:  [7♠, 8♠, Q♦]",2023-05-09T07:28:24.420Z,168361730442000
"""mp @ -DkySTil6a"" folds",2023-05-09T07:28:23.540Z,168361730354000
"""FARNIT @ 6GVYVlWnT4"" calls 3.50",2023-05-09T07:28:17.968Z,168361729796800
"""Don @ YyWpODWXWx"" folds",2023-05-09T07:28:14.547Z,168361729454700
"""Hayden @ 2LakBwr16r"" raises to 3.50",2023-05-09T07:28:12.490Z,168361729249000
"""mp @ -DkySTil6a"" posts a big blind of 1.00",2023-05-09T07:28:08.902Z,168361728890207
"""FARNIT @ 6GVYVlWnT4"" posts a small blind of 0.50",2023-05-09T07:28:08.902Z,168361728890206
"Player stacks: #1 ""mp @ -DkySTil6a"" (178.49) | #2 ""Hayden @ 2LakBwr16r"" (69.25) | #4 ""Don @ YyWpODWXWx"" (153.96) | #9 ""FARNIT @ 6GVYVlWnT4"" (589.45)",2023-05-09T07:28:08.902Z,168361728890201
"-- starting hand #139 (id: qmekp7pblnt0)  (Pot Limit Omaha Hi) (dealer: ""Don @ YyWpODWXWx"") --",2023-05-09T07:28:08.902Z,168361728890200
"-- ending hand #138 --",2023-05-09T07:28:02.993Z,168361728299302
"""mp @ -DkySTil6a"" collected 11.50 from pot",2023-05-09T07:28:02.993Z,168361728299301
"Uncalled bet of 5.75 returned to ""mp @ -DkySTil6a""",2023-05-09T07:28:02.993Z,168361728299300
"""Don @ YyWpODWXWx"" folds",2023-05-09T07:28:02.172Z,168361728217200
"""Hayden @ 2LakBwr16r"" folds",2023-05-09T07:28:00.624Z,168361728062400
"""mp @ -DkySTil6a"" bets 5.75",2023-05-09T07:27:56.441Z,168361727644100
"""Don @ YyWpODWXWx"" checks",2023-05-09T07:27:48.142Z,168361726814200
"Flop:  [10♣, 10♥, 4♣]",2023-05-09T07:27:45.854Z,168361726585400
"""FARNIT @ 6GVYVlWnT4"" folds",2023-05-09T07:27:44.982Z,168361726498200
"""Don @ YyWpODWXWx"" calls 3.50",2023-05-09T07:27:41.838Z,168361726183800
"""Hayden @ 2LakBwr16r"" calls 3.50",2023-05-09T07:27:39.753Z,168361725975300
"""mp @ -DkySTil6a"" raises to 3.50",2023-05-09T07:27:35.289Z,168361725528900
"""FARNIT @ 6GVYVlWnT4"" posts a big blind of 1.00",2023-05-09T07:27:32.153Z,168361725215307
"""Don @ YyWpODWXWx"" posts a small blind of 0.50",2023-05-09T07:27:32.153Z,168361725215306
"Player stacks: #1 ""mp @ -DkySTil6a"" (170.49) | #2 ""Hayden @ 2LakBwr16r"" (72.75) | #4 ""Don @ YyWpODWXWx"" (157.46) | #9 ""FARNIT @ 6GVYVlWnT4"" (590.45)",2023-05-09T07:27:32.153Z,168361725215301
"-- starting hand #138 (id: tmuxdasgz7yw)  (Pot Limit Omaha Hi) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-09T07:27:32.153Z,168361725215300
"-- ending hand #137 --",2023-05-09T07:27:26.221Z,168361724622102
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-05-09T07:27:26.221Z,168361724622101
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-09T07:27:26.221Z,168361724622100
"""Don @ YyWpODWXWx"" folds",2023-05-09T07:27:25.361Z,168361724536100
"""Hayden @ 2LakBwr16r"" raises to 3.00",2023-05-09T07:27:23.950Z,168361724395000
"""mp @ -DkySTil6a"" folds",2023-05-09T07:27:21.346Z,168361724134600
"""FARNIT @ 6GVYVlWnT4"" folds",2023-05-09T07:27:20.393Z,168361724039300
"""Don @ YyWpODWXWx"" posts a big blind of 1.00",2023-05-09T07:27:15.605Z,168361723560507
"""Hayden @ 2LakBwr16r"" posts a small blind of 0.50",2023-05-09T07:27:15.605Z,168361723560506
"Player stacks: #1 ""mp @ -DkySTil6a"" (170.49) | #2 ""Hayden @ 2LakBwr16r"" (71.75) | #4 ""Don @ YyWpODWXWx"" (158.46) | #9 ""FARNIT @ 6GVYVlWnT4"" (590.45)",2023-05-09T07:27:15.605Z,168361723560501
"-- starting hand #137 (id: pkhyror3w5ym)  (Pot Limit Omaha Hi) (dealer: ""mp @ -DkySTil6a"") --",2023-05-09T07:27:15.605Z,168361723560500
"-- ending hand #136 --",2023-05-09T07:27:12.688Z,168361723268802
"""mp @ -DkySTil6a"" collected 10.50 from pot",2023-05-09T07:27:12.688Z,168361723268801
"Uncalled bet of 7.87 returned to ""mp @ -DkySTil6a""",2023-05-09T07:27:12.688Z,168361723268800
"""FARNIT @ 6GVYVlWnT4"" folds",2023-05-09T07:27:11.812Z,168361723181200
"""mp @ -DkySTil6a"" bets 7.87",2023-05-09T07:27:04.523Z,168361722452300
"River: 5♣, 7♠, 7♣, 9♠ [A♣]",2023-05-09T07:26:55.268Z,168361721526800
"""FARNIT @ 6GVYVlWnT4"" checks",2023-05-09T07:26:54.403Z,168361721440300
"""mp @ -DkySTil6a"" checks",2023-05-09T07:26:51.922Z,168361721192200
"Turn: 5♣, 7♠, 7♣ [9♠]",2023-05-09T07:26:50.377Z,168361721037700
"""FARNIT @ 6GVYVlWnT4"" checks",2023-05-09T07:26:49.544Z,168361720954400
"""Hayden @ 2LakBwr16r"" folds",2023-05-09T07:26:48.679Z,168361720867900
"""mp @ -DkySTil6a"" checks",2023-05-09T07:26:47.722Z,168361720772200
"Flop:  [5♣, 7♠, 7♣]",2023-05-09T07:26:45.976Z,168361720597600
"""Hayden @ 2LakBwr16r"" calls 3.50",2023-05-09T07:26:45.141Z,168361720514100
"""mp @ -DkySTil6a"" calls 3.50",2023-05-09T07:26:43.825Z,168361720382500
"""FARNIT @ 6GVYVlWnT4"" raises to 3.50",2023-05-09T07:26:42.735Z,168361720273500
"""Don @ YyWpODWXWx"" folds",2023-05-09T07:26:38.881Z,168361719888100
"""Hayden @ 2LakBwr16r"" posts a big blind of 1.00",2023-05-09T07:26:37.366Z,168361719736607
"""mp @ -DkySTil6a"" posts a small blind of 0.50",2023-05-09T07:26:37.366Z,168361719736606
"Player stacks: #1 ""mp @ -DkySTil6a"" (163.49) | #2 ""Hayden @ 2LakBwr16r"" (75.25) | #4 ""Don @ YyWpODWXWx"" (158.46) | #9 ""FARNIT @ 6GVYVlWnT4"" (593.95)",2023-05-09T07:26:37.366Z,168361719736601
"-- starting hand #136 (id: i2pux2bxtw5i)  (Pot Limit Omaha Hi) (dealer: ""FARNIT @ 6GVYVlWnT4"") --",2023-05-09T07:26:37.366Z,168361719736600
"-- ending hand #135 --",2023-05-09T07:26:31.446Z,168361719144602
"""Hayden @ 2LakBwr16r"" collected 2.50 from pot",2023-05-09T07:26:31.446Z,168361719144601
"Uncalled bet of 2.50 returned to ""Hayden @ 2LakBwr16r""",2023-05-09T07:26:31.446Z,168361719144600
"""mp @ -DkySTil6a"" folds",2023-05-09T07:26:30.611Z,168361719061100
"""FARNIT @ 6GVYVlWnT4"" folds",2023-05-09T07:26:24.907Z,168361718490700
"""Don @ YyWpODWXWx"" folds",2023-05-09T07:26:21.041Z,168361718104100
"""Hayden @ 2LakBwr16r"" raises to 3.50",2023-05-09T07:26:20.093Z,168361718009300
"""mp @ -DkySTil6a"" posts a big blind of 1.00",2023-05-09T07:26:17.458Z,168361717745807
"""FARNIT @ 6GVYVlWnT4"" posts a small blind of 0.50",2023-05-09T07:26:17.458Z,168361717745806
"Player stacks: #1 ""mp @ -DkySTil6a"" (164.49) | #2 ""Hayden @ 2LakBwr16r"" (73.75) | #4 ""Don @ YyWpODWXWx"" (158.46) | #9 ""FARNIT @ 6GVYVlWnT4"" (594.45)",2023-05-09T07:26:17.458Z,168361717745801
"-- starting hand #135 (id: uvbf1h6q5fy5)  (Pot Limit Omaha Hi) (dealer: ""Don @ YyWpODWXWx"") --",2023-05-09T07:26:17.458Z,168361717745800
"-- ending hand #134 --",2023-05-09T07:26:11.549Z,168361717154902
"""Hayden @ 2LakBwr16r"" collected 2.50 from pot",2023-05-09T07:26:11.549Z,168361717154901
"Uncalled bet of 2.50 returned to ""Hayden @ 2LakBwr16r""",2023-05-09T07:26:11.549Z,168361717154900
"""FARNIT @ 6GVYVlWnT4"" folds",2023-05-09T07:26:10.653Z,168361717065300
"""Don @ YyWpODWXWx"" folds",2023-05-09T07:26:02.203Z,168361716220300
"""Hayden @ 2LakBwr16r"" raises to 3.50",2023-05-09T07:26:00.969Z,168361716096900
"""mp @ -DkySTil6a"" folds",2023-05-09T07:25:58.425Z,168361715842500
"""FARNIT @ 6GVYVlWnT4"" posts a big blind of 1.00",2023-05-09T07:25:56.592Z,168361715659207
"""Don @ YyWpODWXWx"" posts a small blind of 0.50",2023-05-09T07:25:56.592Z,168361715659206
"Player stacks: #1 ""mp @ -DkySTil6a"" (164.49) | #2 ""Hayden @ 2LakBwr16r"" (72.25) | #4 ""Don @ YyWpODWXWx"" (158.96) | #9 ""FARNIT @ 6GVYVlWnT4"" (595.45)",2023-05-09T07:25:56.592Z,168361715659201
"-- starting hand #134 (id: wzn2ylnwekow)  (Pot Limit Omaha Hi) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-09T07:25:56.592Z,168361715659200
"""Don @ YyWpODWXWx"" shows a 10♣, 2♣, 10♥, 6♣.",2023-05-09T07:25:55.357Z,168361715535700
"-- ending hand #133 --",2023-05-09T07:25:49.982Z,168361714998202
"""Don @ YyWpODWXWx"" collected 2.50 from pot",2023-05-09T07:25:49.982Z,168361714998201
"Uncalled bet of 2.50 returned to ""Don @ YyWpODWXWx""",2023-05-09T07:25:49.982Z,168361714998200
"""mp @ -DkySTil6a"" folds",2023-05-09T07:25:49.179Z,168361714917900
"""Don @ YyWpODWXWx"" bets 2.50",2023-05-09T07:25:48.212Z,168361714821200
"Turn: Q♣, A♣, J♦ [3♣]",2023-05-09T07:25:46.214Z,168361714621400
"""mp @ -DkySTil6a"" checks",2023-05-09T07:25:45.376Z,168361714537600
"""Don @ YyWpODWXWx"" checks",2023-05-09T07:25:44.213Z,168361714421300
"Flop:  [Q♣, A♣, J♦]",2023-05-09T07:25:42.009Z,168361714200900
"""Don @ YyWpODWXWx"" checks",2023-05-09T07:25:41.190Z,168361714119000
"""Hayden @ 2LakBwr16r"" folds",2023-05-09T07:25:39.835Z,168361713983500
"""mp @ -DkySTil6a"" calls 1.00",2023-05-09T07:25:37.712Z,168361713771200
"""FARNIT @ 6GVYVlWnT4"" folds",2023-05-09T07:25:36.707Z,168361713670700
"""Don @ YyWpODWXWx"" posts a big blind of 1.00",2023-05-09T07:25:31.566Z,168361713156607
"""Hayden @ 2LakBwr16r"" posts a small blind of 0.50",2023-05-09T07:25:31.566Z,168361713156606
