entry,at,order
"The player ""Kitsos @ 4DT3vFeWj1"" stand up with the stack of 387.05.",2023-05-18T09:16:00.631Z,168440136063100
"The player ""BP @ _zk24nnVPb"" quits the game with a stack of 63.44.",2023-05-18T09:15:51.200Z,168440135120000
"The player ""BP @ _zk24nnVPb"" stand up with the stack of 63.44.",2023-05-18T09:15:42.926Z,168440134292600
"-- ending hand #308 --",2023-05-18T09:15:36.921Z,168440133692103
"""BP @ _zk24nnVPb"" shows a 6♥, A♠, 10♥, 4♥.",2023-05-18T09:15:36.921Z,168440133692102
"""Kitsos @ 4DT3vFeWj1"" collected 36.00 from pot with Flush (combination: 9♦, 8♦, 7♦, 3♦, 2♦)",2023-05-18T09:15:36.921Z,168440133692101
"""Kitsos @ 4DT3vFeWj1"" shows a 7♦, 7♥, 3♥, 8♦.",2023-05-18T09:15:36.921Z,168440133692100
"""Kitsos @ 4DT3vFeWj1"" calls 12.00",2023-05-18T09:15:36.043Z,168440133604300
"""BP @ _zk24nnVPb"" bets 12.00",2023-05-18T09:15:35.032Z,168440133503200
"River: 9♦, 3♦, 2♦, 10♠ [Q♥]",2023-05-18T09:15:33.315Z,168440133331500
"""Kitsos @ 4DT3vFeWj1"" checks",2023-05-18T09:15:32.502Z,168440133250200
"""BP @ _zk24nnVPb"" checks",2023-05-18T09:15:31.589Z,168440133158900
"Turn: 9♦, 3♦, 2♦ [10♠]",2023-05-18T09:15:31.313Z,168440133131300
"""Kitsos @ 4DT3vFeWj1"" checks",2023-05-18T09:15:30.468Z,168440133046800
"""BP @ _zk24nnVPb"" checks",2023-05-18T09:15:29.393Z,168440132939300
"Flop:  [9♦, 3♦, 2♦]",2023-05-18T09:15:27.507Z,168440132750700
"""Kitsos @ 4DT3vFeWj1"" calls 6.00",2023-05-18T09:15:26.596Z,168440132659600
"""BP @ _zk24nnVPb"" raises to 6.00",2023-05-18T09:15:24.223Z,168440132422300
"""Kitsos @ 4DT3vFeWj1"" posts a straddle of 2.00",2023-05-18T09:15:22.299Z,168440132229906
"""BP @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-18T09:15:22.299Z,168440132229905
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 0.50",2023-05-18T09:15:22.299Z,168440132229904
"Player stacks: #1 ""Kitsos @ 4DT3vFeWj1"" (369.05) | #8 ""BP @ _zk24nnVPb"" (81.44)",2023-05-18T09:15:22.299Z,168440132229901
"-- starting hand #308 (id: orp6j7v0x8oo)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-05-18T09:15:22.299Z,168440132229900
"-- ending hand #307 --",2023-05-18T09:15:16.382Z,168440131638202
"""Kitsos @ 4DT3vFeWj1"" collected 18.00 from pot",2023-05-18T09:15:16.382Z,168440131638201
"Uncalled bet of 10.00 returned to ""Kitsos @ 4DT3vFeWj1""",2023-05-18T09:15:16.382Z,168440131638200
"""BP @ _zk24nnVPb"" folds",2023-05-18T09:15:15.542Z,168440131554200
"""Kitsos @ 4DT3vFeWj1"" bets 10.00",2023-05-18T09:15:14.573Z,168440131457300
"Flop:  [8♠, 9♥, A♠]",2023-05-18T09:15:09.576Z,168440130957600
