entry,at,order
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-26T00:06:25.645Z,168505958564500
"""Mamo @ abVmUlEwy_"" posts a big blind of 1.00",2023-05-26T00:05:20.603Z,168505952060309
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-05-26T00:05:20.603Z,168505952060308
"Player stacks: #6 ""Shlapp @ ZWO9_p1DU9"" (254.46) | #9 ""Mamo @ abVmUlEwy_"" (103.31)",2023-05-26T00:05:20.603Z,168505952060305
"The player ""brett @ C-NjgDuYnf"" joined the game with a stack of 666.33.",2023-05-26T00:05:20.603Z,168505952060304
"The player ""Mamo @ abVmUlEwy_"" joined the game with a stack of 103.31.",2023-05-26T00:05:20.603Z,168505952060303
"The player ""DK @ 6T4espke1S"" joined the game with a stack of 145.08.",2023-05-26T00:05:20.603Z,168505952060302
"The player ""Shlapp @ ZWO9_p1DU9"" joined the game with a stack of 254.46.",2023-05-26T00:05:20.603Z,168505952060301
"-- starting hand #183 (id: zi0x6ipxwrdp)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-05-26T00:05:20.603Z,168505952060300
"The player ""brett @ C-NjgDuYnf"" stand up with the stack of 666.33.",2023-05-25T22:56:13.576Z,168505537357600
"-- ending hand #182 --",2023-05-25T22:56:04.159Z,168505536415902
"""Shlapp @ ZWO9_p1DU9"" collected 6.00 from pot",2023-05-25T22:56:04.159Z,168505536415901
"Uncalled bet of 4.00 returned to ""Shlapp @ ZWO9_p1DU9""",2023-05-25T22:56:04.159Z,168505536415900
"""Mamo @ abVmUlEwy_"" folds",2023-05-25T22:56:03.317Z,168505536331700
"""Shlapp @ ZWO9_p1DU9"" bets 4.00",2023-05-25T22:56:01.168Z,168505536116800
"Flop:  [9♥, 5♠, 3♥]",2023-05-25T22:55:56.684Z,168505535668400
"""Shlapp @ ZWO9_p1DU9"" calls 3.00",2023-05-25T22:55:55.842Z,168505535584200
"""Mamo @ abVmUlEwy_"" raises to 3.00",2023-05-25T22:55:54.416Z,168505535441600
"""Shlapp @ ZWO9_p1DU9"" calls 1.00",2023-05-25T22:55:51.912Z,168505535191200
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the game stop on next hand.",2023-05-25T22:55:51.131Z,168505535113100
"""brett @ C-NjgDuYnf"" folds",2023-05-25T22:55:47.918Z,168505534791800
"""Mamo @ abVmUlEwy_"" posts a big blind of 1.00",2023-05-25T22:55:46.128Z,168505534612806
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-05-25T22:55:46.128Z,168505534612805
"Player stacks: #6 ""Shlapp @ ZWO9_p1DU9"" (251.46) | #9 ""Mamo @ abVmUlEwy_"" (106.31) | #10 ""brett @ C-NjgDuYnf"" (666.33)",2023-05-25T22:55:46.128Z,168505534612801
"-- starting hand #182 (id: 8nhzprl5kxw6)  (No Limit Texas Hold'em) (dealer: ""brett @ C-NjgDuYnf"") --",2023-05-25T22:55:46.128Z,168505534612800
"-- ending hand #181 --",2023-05-25T22:55:40.176Z,168505534017602
"""Mamo @ abVmUlEwy_"" collected 2.50 from pot",2023-05-25T22:55:40.176Z,168505534017601
"Uncalled bet of 2.00 returned to ""Mamo @ abVmUlEwy_""",2023-05-25T22:55:40.176Z,168505534017600
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-25T22:55:39.362Z,168505533936200
"""brett @ C-NjgDuYnf"" folds",2023-05-25T22:55:38.301Z,168505533830100
"""Mamo @ abVmUlEwy_"" raises to 3.00",2023-05-25T22:55:37.418Z,168505533741800
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-05-25T22:55:35.166Z,168505533516606
"""brett @ C-NjgDuYnf"" posts a small blind of 0.50",2023-05-25T22:55:35.166Z,168505533516605
"Player stacks: #6 ""Shlapp @ ZWO9_p1DU9"" (252.46) | #9 ""Mamo @ abVmUlEwy_"" (104.81) | #10 ""brett @ C-NjgDuYnf"" (666.83)",2023-05-25T22:55:35.166Z,168505533516601
"-- starting hand #181 (id: kzpyqh0964am)  (No Limit Texas Hold'em) (dealer: ""Mamo @ abVmUlEwy_"") --",2023-05-25T22:55:35.166Z,168505533516600
"-- ending hand #180 --",2023-05-25T22:55:29.237Z,168505532923702
"""Shlapp @ ZWO9_p1DU9"" collected 2.50 from pot",2023-05-25T22:55:29.237Z,168505532923701
"Uncalled bet of 1.00 returned to ""Shlapp @ ZWO9_p1DU9""",2023-05-25T22:55:29.237Z,168505532923700
"""brett @ C-NjgDuYnf"" folds",2023-05-25T22:55:28.363Z,168505532836300
"""Shlapp @ ZWO9_p1DU9"" bets 1.00",2023-05-25T22:55:25.186Z,168505532518600
"""brett @ C-NjgDuYnf"" checks",2023-05-25T22:55:23.039Z,168505532303900
"Flop:  [J♣, J♠, 6♥]",2023-05-25T22:55:21.350Z,168505532135000
"""brett @ C-NjgDuYnf"" checks",2023-05-25T22:55:20.534Z,168505532053400
"""Mamo @ abVmUlEwy_"" folds",2023-05-25T22:55:19.629Z,168505531962900
"""Shlapp @ ZWO9_p1DU9"" calls 1.00",2023-05-25T22:55:17.627Z,168505531762700
"""brett @ C-NjgDuYnf"" posts a big blind of 1.00",2023-05-25T22:55:12.428Z,168505531242806
"""Mamo @ abVmUlEwy_"" posts a small blind of 0.50",2023-05-25T22:55:12.428Z,168505531242805
"Player stacks: #6 ""Shlapp @ ZWO9_p1DU9"" (250.96) | #9 ""Mamo @ abVmUlEwy_"" (105.31) | #10 ""brett @ C-NjgDuYnf"" (667.83)",2023-05-25T22:55:12.428Z,168505531242801
"-- starting hand #180 (id: yfqw0yq6wy3e)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-05-25T22:55:12.428Z,168505531242800
"-- ending hand #179 --",2023-05-25T22:55:09.497Z,168505530949702
"""Shlapp @ ZWO9_p1DU9"" collected 10.00 from pot",2023-05-25T22:55:09.497Z,168505530949701
"Uncalled bet of 8.00 returned to ""Shlapp @ ZWO9_p1DU9""",2023-05-25T22:55:09.497Z,168505530949700
"""Mamo @ abVmUlEwy_"" folds",2023-05-25T22:55:08.689Z,168505530868900
"""Shlapp @ ZWO9_p1DU9"" bets 8.00",2023-05-25T22:55:05.657Z,168505530565700
"River: 7♥, 6♦, 8♥, 2♠ [8♣]",2023-05-25T22:55:00.800Z,168505530080000
"""Mamo @ abVmUlEwy_"" calls 3.00",2023-05-25T22:54:59.974Z,168505529997400
"""Shlapp @ ZWO9_p1DU9"" bets 3.00",2023-05-25T22:54:58.275Z,168505529827500
"Turn: 7♥, 6♦, 8♥ [2♠]",2023-05-25T22:54:55.334Z,168505529533400
"""Mamo @ abVmUlEwy_"" calls 1.00",2023-05-25T22:54:54.509Z,168505529450900
"""Shlapp @ ZWO9_p1DU9"" bets 1.00",2023-05-25T22:54:52.591Z,168505529259100
"Flop:  [7♥, 6♦, 8♥]",2023-05-25T22:54:47.844Z,168505528784400
"""Mamo @ abVmUlEwy_"" checks",2023-05-25T22:54:47.034Z,168505528703400
"""Shlapp @ ZWO9_p1DU9"" calls 1.00",2023-05-25T22:54:43.311Z,168505528331100
"""brett @ C-NjgDuYnf"" folds",2023-05-25T22:54:42.250Z,168505528225000
"""Mamo @ abVmUlEwy_"" posts a big blind of 1.00",2023-05-25T22:54:40.164Z,168505528016406
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-05-25T22:54:40.164Z,168505528016405
"Player stacks: #6 ""Shlapp @ ZWO9_p1DU9"" (245.96) | #9 ""Mamo @ abVmUlEwy_"" (110.31) | #10 ""brett @ C-NjgDuYnf"" (667.83)",2023-05-25T22:54:40.164Z,168505528016401
"-- starting hand #179 (id: 2ljvpbappeij)  (No Limit Texas Hold'em) (dealer: ""brett @ C-NjgDuYnf"") --",2023-05-25T22:54:40.164Z,168505528016400
"-- ending hand #178 --",2023-05-25T22:54:37.228Z,168505527722802
"""brett @ C-NjgDuYnf"" collected 23.00 from pot",2023-05-25T22:54:37.228Z,168505527722801
"Uncalled bet of 15.00 returned to ""brett @ C-NjgDuYnf""",2023-05-25T22:54:37.228Z,168505527722800
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-25T22:54:36.406Z,168505527640600
"""brett @ C-NjgDuYnf"" bets 15.00",2023-05-25T22:54:34.077Z,168505527407700
"River: 8♥, 9♥, 5♠, 4♦ [2♠]",2023-05-25T22:54:19.037Z,168505525903700
"""Shlapp @ ZWO9_p1DU9"" calls 6.00",2023-05-25T22:54:18.171Z,168505525817100
"""brett @ C-NjgDuYnf"" bets 6.00",2023-05-25T22:54:08.273Z,168505524827300
"Turn: 8♥, 9♥, 5♠ [4♦]",2023-05-25T22:54:03.793Z,168505524379300
"""Shlapp @ ZWO9_p1DU9"" calls 2.50",2023-05-25T22:54:02.924Z,168505524292400
"""brett @ C-NjgDuYnf"" bets 2.50",2023-05-25T22:54:00.735Z,168505524073500
"Flop:  [8♥, 9♥, 5♠]",2023-05-25T22:53:52.490Z,168505523249000
"""Shlapp @ ZWO9_p1DU9"" calls 3.00",2023-05-25T22:53:51.680Z,168505523168000
"""brett @ C-NjgDuYnf"" raises to 3.00",2023-05-25T22:53:47.173Z,168505522717300
"""Mamo @ abVmUlEwy_"" folds",2023-05-25T22:53:44.109Z,168505522410900
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-05-25T22:53:42.997Z,168505522299706
"""brett @ C-NjgDuYnf"" posts a small blind of 0.50",2023-05-25T22:53:42.997Z,168505522299705
"Player stacks: #6 ""Shlapp @ ZWO9_p1DU9"" (257.46) | #9 ""Mamo @ abVmUlEwy_"" (110.31) | #10 ""brett @ C-NjgDuYnf"" (656.33)",2023-05-25T22:53:42.997Z,168505522299701
"-- starting hand #178 (id: 57k43mykuuih)  (No Limit Texas Hold'em) (dealer: ""Mamo @ abVmUlEwy_"") --",2023-05-25T22:53:42.997Z,168505522299700
"-- ending hand #177 --",2023-05-25T22:53:37.068Z,168505521706802
"""Mamo @ abVmUlEwy_"" collected 2.00 from pot",2023-05-25T22:53:37.068Z,168505521706801
"Uncalled bet of 2.00 returned to ""Mamo @ abVmUlEwy_""",2023-05-25T22:53:37.068Z,168505521706800
"""brett @ C-NjgDuYnf"" folds",2023-05-25T22:53:36.231Z,168505521623100
"""Mamo @ abVmUlEwy_"" bets 2.00",2023-05-25T22:53:33.252Z,168505521325200
"Turn: 4♥, J♠, 6♠ [8♣]",2023-05-25T22:53:27.104Z,168505520710400
"""brett @ C-NjgDuYnf"" checks",2023-05-25T22:53:26.255Z,168505520625500
"""Mamo @ abVmUlEwy_"" checks",2023-05-25T22:53:08.300Z,168505518830000
"Flop:  [4♥, J♠, 6♠]",2023-05-25T22:53:00.883Z,168505518088300
"""brett @ C-NjgDuYnf"" checks",2023-05-25T22:53:00.049Z,168505518004900
"""Mamo @ abVmUlEwy_"" calls 1.00",2023-05-25T22:52:58.504Z,168505517850400
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-25T22:52:50.177Z,168505517017700
"""brett @ C-NjgDuYnf"" posts a big blind of 1.00",2023-05-25T22:52:46.871Z,168505516687106
"""Mamo @ abVmUlEwy_"" posts a small blind of 0.50",2023-05-25T22:52:46.871Z,168505516687105
