entry,at,order
"The player ""Pudge @ VHScDU0VDj"" quits the game with a stack of 468.",2023-06-19T07:52:27.333Z,168716114733300
"The player ""Phil @ G71Wfb2gET"" quits the game with a stack of 1006.",2023-06-19T07:30:16.951Z,168715981695100
"The player ""Phil @ G71Wfb2gET"" stand up with the stack of 1006.",2023-06-19T07:29:04.694Z,168715974469400
"-- ending hand #490 --",2023-06-19T07:29:01.748Z,168715974174802
"""Pudge @ VHScDU0VDj"" collected 2 from pot",2023-06-19T07:29:01.748Z,168715974174801
"Uncalled bet of 1 returned to ""Pudge @ VHScDU0VDj""",2023-06-19T07:29:01.748Z,168715974174800
"""Phil @ G71Wfb2gET"" folds",2023-06-19T07:29:00.897Z,168715974089700
"""Pudge @ VHScDU0VDj"" posts a big blind of 2",2023-06-19T07:28:59.490Z,168715973949005
"""Phil @ G71Wfb2gET"" posts a small blind of 1",2023-06-19T07:28:59.490Z,168715973949004
"Player stacks: #6 ""Pudge @ VHScDU0VDj"" (467) | #8 ""Phil @ G71Wfb2gET"" (1007)",2023-06-19T07:28:59.490Z,168715973949001
"-- starting hand #490 (id: zxisykt74wh3)  (No Limit Texas Hold'em) (dealer: ""Phil @ G71Wfb2gET"") --",2023-06-19T07:28:59.490Z,168715973949000
"-- ending hand #489 --",2023-06-19T07:28:56.417Z,168715973641702
"""Pudge @ VHScDU0VDj"" collected 72 from pot with Two Pair, 7's & 6's (combination: 7♥, 7♠, 6♥, 6♦, J♦)",2023-06-19T07:28:56.417Z,168715973641701
"""Pudge @ VHScDU0VDj"" shows a 7♥, 6♥.",2023-06-19T07:28:56.417Z,168715973641700
"""Pudge @ VHScDU0VDj"" checks",2023-06-19T07:28:55.589Z,168715973558900
"""Phil @ G71Wfb2gET"" checks",2023-06-19T07:28:54.504Z,168715973450400
"River: 4♣, J♦, 5♦, 7♠ [6♦]",2023-06-19T07:28:52.544Z,168715973254400
"""Pudge @ VHScDU0VDj"" checks",2023-06-19T07:28:51.705Z,168715973170500
"""Phil @ G71Wfb2gET"" checks",2023-06-19T07:28:50.669Z,168715973066900
"Turn: 4♣, J♦, 5♦ [7♠]",2023-06-19T07:28:49.529Z,168715972952900
"""Pudge @ VHScDU0VDj"" calls 18",2023-06-19T07:28:48.723Z,168715972872300
"""Phil @ G71Wfb2gET"" bets 18",2023-06-19T07:28:46.824Z,168715972682400
"Flop:  [4♣, J♦, 5♦]",2023-06-19T07:28:37.599Z,168715971759900
"""Pudge @ VHScDU0VDj"" calls 18",2023-06-19T07:28:36.720Z,168715971672000
"""Phil @ G71Wfb2gET"" raises to 18",2023-06-19T07:28:35.566Z,168715971556600
"""Pudge @ VHScDU0VDj"" raises to 6",2023-06-19T07:28:33.584Z,168715971358400
"""Phil @ G71Wfb2gET"" posts a big blind of 2",2023-06-19T07:28:31.870Z,168715971187005
"""Pudge @ VHScDU0VDj"" posts a small blind of 1",2023-06-19T07:28:31.870Z,168715971187004
"Player stacks: #6 ""Pudge @ VHScDU0VDj"" (431) | #8 ""Phil @ G71Wfb2gET"" (1043)",2023-06-19T07:28:31.870Z,168715971187001
"-- starting hand #489 (id: qfekhsnxa6qw)  (No Limit Texas Hold'em) (dealer: ""Pudge @ VHScDU0VDj"") --",2023-06-19T07:28:31.870Z,168715971187000
"-- ending hand #488 --",2023-06-19T07:28:25.909Z,168715970590902
"""Pudge @ VHScDU0VDj"" collected 2 from pot",2023-06-19T07:28:25.909Z,168715970590901
"Uncalled bet of 1 returned to ""Pudge @ VHScDU0VDj""",2023-06-19T07:28:25.909Z,168715970590900
"""Phil @ G71Wfb2gET"" folds",2023-06-19T07:28:25.081Z,168715970508100
"""Pudge @ VHScDU0VDj"" posts a big blind of 2",2023-06-19T07:28:23.907Z,168715970390705
"""Phil @ G71Wfb2gET"" posts a small blind of 1",2023-06-19T07:28:23.907Z,168715970390704
"Player stacks: #6 ""Pudge @ VHScDU0VDj"" (430) | #8 ""Phil @ G71Wfb2gET"" (1044)",2023-06-19T07:28:23.907Z,168715970390701
"-- starting hand #488 (id: 86gry1oqkwmr)  (No Limit Texas Hold'em) (dealer: ""Phil @ G71Wfb2gET"") --",2023-06-19T07:28:23.907Z,168715970390700
"-- ending hand #487 --",2023-06-19T07:28:20.987Z,168715970098702
"""Phil @ G71Wfb2gET"" collected 2 from pot",2023-06-19T07:28:20.987Z,168715970098701
"Uncalled bet of 1 returned to ""Phil @ G71Wfb2gET""",2023-06-19T07:28:20.987Z,168715970098700
"""Pudge @ VHScDU0VDj"" folds",2023-06-19T07:28:20.112Z,168715970011200
"""Phil @ G71Wfb2gET"" posts a big blind of 2",2023-06-19T07:28:16.304Z,168715969630405
"""Pudge @ VHScDU0VDj"" posts a small blind of 1",2023-06-19T07:28:16.304Z,168715969630404
"Player stacks: #6 ""Pudge @ VHScDU0VDj"" (431) | #8 ""Phil @ G71Wfb2gET"" (1043)",2023-06-19T07:28:16.304Z,168715969630401
"-- starting hand #487 (id: jqisrcn8njst)  (No Limit Texas Hold'em) (dealer: ""Pudge @ VHScDU0VDj"") --",2023-06-19T07:28:16.304Z,168715969630400
"-- ending hand #486 --",2023-06-19T07:28:13.381Z,168715969338102
"""Pudge @ VHScDU0VDj"" collected 2 from pot",2023-06-19T07:28:13.381Z,168715969338101
"Uncalled bet of 1 returned to ""Pudge @ VHScDU0VDj""",2023-06-19T07:28:13.381Z,168715969338100
"""Phil @ G71Wfb2gET"" folds",2023-06-19T07:28:12.559Z,168715969255900
"""Pudge @ VHScDU0VDj"" posts a big blind of 2",2023-06-19T07:28:11.583Z,168715969158305
"""Phil @ G71Wfb2gET"" posts a small blind of 1",2023-06-19T07:28:11.583Z,168715969158304
"Player stacks: #6 ""Pudge @ VHScDU0VDj"" (430) | #8 ""Phil @ G71Wfb2gET"" (1044)",2023-06-19T07:28:11.583Z,168715969158301
"-- starting hand #486 (id: x1wq31ksoqfn)  (No Limit Texas Hold'em) (dealer: ""Phil @ G71Wfb2gET"") --",2023-06-19T07:28:11.583Z,168715969158300
"-- ending hand #485 --",2023-06-19T07:28:05.649Z,168715968564902
"""Pudge @ VHScDU0VDj"" collected 96 from pot",2023-06-19T07:28:05.649Z,168715968564901
"Uncalled bet of 48 returned to ""Pudge @ VHScDU0VDj""",2023-06-19T07:28:05.649Z,168715968564900
"""Phil @ G71Wfb2gET"" folds",2023-06-19T07:28:04.803Z,168715968480300
"""Pudge @ VHScDU0VDj"" raises to 78",2023-06-19T07:27:58.872Z,168715967887200
"""Phil @ G71Wfb2gET"" raises to 30",2023-06-19T07:27:51.062Z,168715967106200
"""Pudge @ VHScDU0VDj"" bets 14",2023-06-19T07:27:46.972Z,168715966697200
"""Phil @ G71Wfb2gET"" checks",2023-06-19T07:27:43.336Z,168715966333600
"Flop:  [10♥, 7♥, 8♥]",2023-06-19T07:27:40.604Z,168715966060400
"""Pudge @ VHScDU0VDj"" calls 18",2023-06-19T07:27:39.745Z,168715965974500
"""Phil @ G71Wfb2gET"" raises to 18",2023-06-19T07:27:38.587Z,168715965858700
"""Pudge @ VHScDU0VDj"" raises to 6",2023-06-19T07:27:35.759Z,168715965575900
"""Phil @ G71Wfb2gET"" posts a big blind of 2",2023-06-19T07:27:33.126Z,168715965312605
"""Pudge @ VHScDU0VDj"" posts a small blind of 1",2023-06-19T07:27:33.126Z,168715965312604
"Player stacks: #6 ""Pudge @ VHScDU0VDj"" (382) | #8 ""Phil @ G71Wfb2gET"" (1092)",2023-06-19T07:27:33.126Z,168715965312601
"-- starting hand #485 (id: cbobticvslsv)  (No Limit Texas Hold'em) (dealer: ""Pudge @ VHScDU0VDj"") --",2023-06-19T07:27:33.126Z,168715965312600
"-- ending hand #484 --",2023-06-19T07:27:30.126Z,168715965012602
"""Pudge @ VHScDU0VDj"" collected 2 from pot",2023-06-19T07:27:30.126Z,168715965012601
"Uncalled bet of 1 returned to ""Pudge @ VHScDU0VDj""",2023-06-19T07:27:30.126Z,168715965012600
"""Phil @ G71Wfb2gET"" folds",2023-06-19T07:27:29.267Z,168715964926700
"""Pudge @ VHScDU0VDj"" posts a big blind of 2",2023-06-19T07:27:27.725Z,168715964772505
"""Phil @ G71Wfb2gET"" posts a small blind of 1",2023-06-19T07:27:27.725Z,168715964772504
"Player stacks: #6 ""Pudge @ VHScDU0VDj"" (381) | #8 ""Phil @ G71Wfb2gET"" (1093)",2023-06-19T07:27:27.725Z,168715964772501
"-- starting hand #484 (id: 1szlv86frsuf)  (No Limit Texas Hold'em) (dealer: ""Phil @ G71Wfb2gET"") --",2023-06-19T07:27:27.725Z,168715964772500
"-- ending hand #483 --",2023-06-19T07:27:21.787Z,168715964178702
"""Phil @ G71Wfb2gET"" collected 2 from pot",2023-06-19T07:27:21.787Z,168715964178701
"Uncalled bet of 1 returned to ""Phil @ G71Wfb2gET""",2023-06-19T07:27:21.787Z,168715964178700
"""Pudge @ VHScDU0VDj"" folds",2023-06-19T07:27:20.975Z,168715964097500
"""Phil @ G71Wfb2gET"" posts a big blind of 2",2023-06-19T07:27:19.914Z,168715963991405
"""Pudge @ VHScDU0VDj"" posts a small blind of 1",2023-06-19T07:27:19.914Z,168715963991404
"Player stacks: #6 ""Pudge @ VHScDU0VDj"" (382) | #8 ""Phil @ G71Wfb2gET"" (1092)",2023-06-19T07:27:19.914Z,168715963991401
"-- starting hand #483 (id: sq3o2wext6ya)  (No Limit Texas Hold'em) (dealer: ""Pudge @ VHScDU0VDj"") --",2023-06-19T07:27:19.914Z,168715963991400
"-- ending hand #482 --",2023-06-19T07:27:16.911Z,168715963691102
"""Phil @ G71Wfb2gET"" collected 4 from pot",2023-06-19T07:27:16.911Z,168715963691101
"Uncalled bet of 4 returned to ""Phil @ G71Wfb2gET""",2023-06-19T07:27:16.911Z,168715963691100
"""Pudge @ VHScDU0VDj"" folds",2023-06-19T07:27:16.104Z,168715963610400
