entry,at,order
"-- ending hand #60 --",2023-05-30T03:47:58.693Z,168541847869302
"""Phil @ JZNV0izPqn"" collected 1.00 from pot",2023-05-30T03:47:58.693Z,168541847869301
"Uncalled bet of 0.50 returned to ""Phil @ JZNV0izPqn""",2023-05-30T03:47:58.693Z,168541847869300
"""Dp @ YyWpODWXWx"" folds",2023-05-30T03:47:57.869Z,168541847786900
"""mp @ Cy9TNetRde"" folds",2023-05-30T03:47:56.914Z,168541847691400
"The admin ""mp @ Cy9TNetRde"" enqueued the game stop on next hand.",2023-05-30T03:47:15.394Z,168541843539400
"The player ""brett @ C-NjgDuYnf"" sit back with the stack of 246.15.",2023-05-30T03:47:05.772Z,168541842577200
"""Phil @ JZNV0izPqn"" posts a big blind of 1.00",2023-05-30T03:47:04.255Z,168541842425508
"""Dp @ YyWpODWXWx"" posts a small blind of 0.50",2023-05-30T03:47:04.255Z,168541842425507
"Player stacks: #4 ""mp @ Cy9TNetRde"" (114.05) | #5 ""Dp @ YyWpODWXWx"" (131.00) | #6 ""Phil @ JZNV0izPqn"" (250.90)",2023-05-30T03:47:04.255Z,168541842425503
"-- starting hand #60 (id: gsgb3sdk93pd)  (No Limit Texas Hold'em) (dealer: ""mp @ Cy9TNetRde"") --",2023-05-30T03:47:04.255Z,168541842425502
"The player ""Allen @ cMRMyhiJeR"" quits the game with a stack of 180.50.",2023-05-30T03:47:04.255Z,168541842425501
"The player ""brett @ C-NjgDuYnf"" stand up with the stack of 246.15.",2023-05-30T03:47:04.255Z,168541842425500
"-- ending hand #59 --",2023-05-30T03:46:58.288Z,168541841828802
"""Dp @ YyWpODWXWx"" collected 1.00 from pot",2023-05-30T03:46:58.288Z,168541841828801
"Uncalled bet of 0.50 returned to ""Dp @ YyWpODWXWx""",2023-05-30T03:46:58.288Z,168541841828800
"""mp @ Cy9TNetRde"" folds",2023-05-30T03:46:57.457Z,168541841745700
"""Allen @ cMRMyhiJeR"" folds",2023-05-30T03:46:56.435Z,168541841643500
"""brett @ C-NjgDuYnf"" folds",2023-05-30T03:46:55.603Z,168541841560301
"The admin ""mp @ Cy9TNetRde"" forced the player ""brett @ C-NjgDuYnf"" to away mode in the next hand.",2023-05-30T03:46:55.603Z,168541841560300
"""Phil @ JZNV0izPqn"" folds",2023-05-30T03:45:59.722Z,168541835972200
"""Dp @ YyWpODWXWx"" posts a big blind of 1.00",2023-05-30T03:45:54.533Z,168541835453308
"""mp @ Cy9TNetRde"" posts a small blind of 0.50",2023-05-30T03:45:54.533Z,168541835453307
"Player stacks: #2 ""Allen @ cMRMyhiJeR"" (180.50) | #4 ""mp @ Cy9TNetRde"" (114.55) | #5 ""Dp @ YyWpODWXWx"" (130.50) | #6 ""Phil @ JZNV0izPqn"" (250.90) | #10 ""brett @ C-NjgDuYnf"" (246.15)",2023-05-30T03:45:54.533Z,168541835453301
"-- starting hand #59 (id: xlrqv1qbqgoq)  (No Limit Texas Hold'em) (dealer: ""Allen @ cMRMyhiJeR"") --",2023-05-30T03:45:54.533Z,168541835453300
"-- ending hand #58 --",2023-05-30T03:45:48.585Z,168541834858502
"""Allen @ cMRMyhiJeR"" collected 3.00 from pot",2023-05-30T03:45:48.585Z,168541834858501
"Uncalled bet of 2.00 returned to ""Allen @ cMRMyhiJeR""",2023-05-30T03:45:48.585Z,168541834858500
"""brett @ C-NjgDuYnf"" folds",2023-05-30T03:45:47.778Z,168541834777800
"""mp @ Cy9TNetRde"" folds",2023-05-30T03:45:22.210Z,168541832221000
"""Allen @ cMRMyhiJeR"" raises to 3.00",2023-05-30T03:45:21.220Z,168541832122000
"""brett @ C-NjgDuYnf"" calls 1.00",2023-05-30T03:45:13.218Z,168541831321800
"""Phil @ JZNV0izPqn"" folds",2023-05-30T03:45:10.679Z,168541831067900
"""Dp @ YyWpODWXWx"" folds",2023-05-30T03:45:09.749Z,168541830974900
"""mp @ Cy9TNetRde"" posts a big blind of 1.00",2023-05-30T03:45:08.675Z,168541830867508
"""Allen @ cMRMyhiJeR"" posts a small blind of 0.50",2023-05-30T03:45:08.675Z,168541830867507
"Player stacks: #2 ""Allen @ cMRMyhiJeR"" (178.50) | #4 ""mp @ Cy9TNetRde"" (115.55) | #5 ""Dp @ YyWpODWXWx"" (130.50) | #6 ""Phil @ JZNV0izPqn"" (250.90) | #10 ""brett @ C-NjgDuYnf"" (247.15)",2023-05-30T03:45:08.675Z,168541830867501
"-- starting hand #58 (id: fhagceq46nk0)  (No Limit Texas Hold'em) (dealer: ""brett @ C-NjgDuYnf"") --",2023-05-30T03:45:08.675Z,168541830867500
"-- ending hand #57 --",2023-05-30T03:45:02.738Z,168541830273802
"""Dp @ YyWpODWXWx"" collected 12.50 from pot",2023-05-30T03:45:02.738Z,168541830273801
"Uncalled bet of 6.25 returned to ""Dp @ YyWpODWXWx""",2023-05-30T03:45:02.738Z,168541830273800
"""Allen @ cMRMyhiJeR"" folds",2023-05-30T03:45:01.887Z,168541830188700
"""Dp @ YyWpODWXWx"" bets 6.25",2023-05-30T03:44:56.169Z,168541829616900
"""Allen @ cMRMyhiJeR"" checks",2023-05-30T03:44:52.803Z,168541829280300
"Turn: 3♥, 8♦, 10♥ [6♥]",2023-05-30T03:44:47.472Z,168541828747200
"""Allen @ cMRMyhiJeR"" calls 3.00",2023-05-30T03:44:46.666Z,168541828666600
"""Dp @ YyWpODWXWx"" bets 3.00",2023-05-30T03:44:37.856Z,168541827785600
"""Allen @ cMRMyhiJeR"" checks",2023-05-30T03:44:34.526Z,168541827452600
"Flop:  [3♥, 8♦, 10♥]",2023-05-30T03:44:30.572Z,168541827057200
"""Allen @ cMRMyhiJeR"" calls 3.00",2023-05-30T03:44:29.751Z,168541826975100
"""brett @ C-NjgDuYnf"" folds",2023-05-30T03:44:23.679Z,168541826367900
"""Phil @ JZNV0izPqn"" folds",2023-05-30T03:44:22.822Z,168541826282200
"""Dp @ YyWpODWXWx"" raises to 3.00",2023-05-30T03:44:21.662Z,168541826166200
"""mp @ Cy9TNetRde"" folds",2023-05-30T03:44:15.419Z,168541825541900
"""Allen @ cMRMyhiJeR"" posts a big blind of 1.00",2023-05-30T03:44:08.437Z,168541824843708
"""brett @ C-NjgDuYnf"" posts a small blind of 0.50",2023-05-30T03:44:08.437Z,168541824843707
"Player stacks: #2 ""Allen @ cMRMyhiJeR"" (184.50) | #4 ""mp @ Cy9TNetRde"" (115.55) | #5 ""Dp @ YyWpODWXWx"" (124.00) | #6 ""Phil @ JZNV0izPqn"" (250.90) | #10 ""brett @ C-NjgDuYnf"" (247.65)",2023-05-30T03:44:08.437Z,168541824843701
"-- starting hand #57 (id: qhpagrrumpvm)  (No Limit Texas Hold'em) (dealer: ""Phil @ JZNV0izPqn"") --",2023-05-30T03:44:08.437Z,168541824843700
"-- ending hand #56 --",2023-05-30T03:44:02.531Z,168541824253102
"""brett @ C-NjgDuYnf"" collected 28.00 from pot",2023-05-30T03:44:02.531Z,168541824253101
"Uncalled bet of 17.00 returned to ""brett @ C-NjgDuYnf""",2023-05-30T03:44:02.531Z,168541824253100
"""Phil @ JZNV0izPqn"" folds",2023-05-30T03:44:01.715Z,168541824171500
"""brett @ C-NjgDuYnf"" raises to 25.00",2023-05-30T03:43:55.979Z,168541823597900
"""Phil @ JZNV0izPqn"" bets 8.00",2023-05-30T03:43:44.597Z,168541822459700
"Turn: 5♠, 10♦, 3♦ [J♠]",2023-05-30T03:43:39.311Z,168541821931100
"""brett @ C-NjgDuYnf"" calls 3.00",2023-05-30T03:43:38.422Z,168541821842200
"""Phil @ JZNV0izPqn"" bets 3.00",2023-05-30T03:43:35.556Z,168541821555600
"Flop:  [5♠, 10♦, 3♦]",2023-05-30T03:43:31.406Z,168541821140600
"""brett @ C-NjgDuYnf"" calls 3.00",2023-05-30T03:43:30.556Z,168541821055600
"""Phil @ JZNV0izPqn"" raises to 3.00",2023-05-30T03:43:27.751Z,168541820775100
"""Dp @ YyWpODWXWx"" folds",2023-05-30T03:43:24.841Z,168541820484100
"""mp @ Cy9TNetRde"" folds",2023-05-30T03:43:04.987Z,168541818498700
"""Allen @ cMRMyhiJeR"" folds",2023-05-30T03:43:03.935Z,168541818393500
"""brett @ C-NjgDuYnf"" posts a big blind of 1.00",2023-05-30T03:43:03.020Z,168541818302009
"""Phil @ JZNV0izPqn"" posts a small blind of 0.50",2023-05-30T03:43:03.020Z,168541818302008
"Player stacks: #2 ""Allen @ cMRMyhiJeR"" (184.50) | #4 ""mp @ Cy9TNetRde"" (115.55) | #5 ""Dp @ YyWpODWXWx"" (124.00) | #6 ""Phil @ JZNV0izPqn"" (264.90) | #10 ""brett @ C-NjgDuYnf"" (233.65)",2023-05-30T03:43:03.020Z,168541818302002
"-- starting hand #56 (id: zrjubaghjzpf)  (No Limit Texas Hold'em) (dealer: ""Dp @ YyWpODWXWx"") --",2023-05-30T03:43:03.020Z,168541818302001
"The player ""joepc @ _t70J__qQ8"" quits the game with a stack of 27.40.",2023-05-30T03:43:03.020Z,168541818302000
"-- ending hand #55 --",2023-05-30T03:42:57.062Z,168541817706202
"""Allen @ cMRMyhiJeR"" collected 9.00 from pot",2023-05-30T03:42:57.062Z,168541817706201
"Uncalled bet of 3.00 returned to ""Allen @ cMRMyhiJeR""",2023-05-30T03:42:57.062Z,168541817706200
"""Phil @ JZNV0izPqn"" folds",2023-05-30T03:42:56.224Z,168541817622400
"""Dp @ YyWpODWXWx"" folds",2023-05-30T03:42:55.233Z,168541817523300
"""Allen @ cMRMyhiJeR"" bets 3.00",2023-05-30T03:42:39.658Z,168541815965800
"""Phil @ JZNV0izPqn"" checks",2023-05-30T03:42:36.472Z,168541815647200
"""Dp @ YyWpODWXWx"" checks",2023-05-30T03:42:35.265Z,168541815526500
"Flop:  [Q♦, 5♣, 8♣]",2023-05-30T03:42:33.781Z,168541815378100
"""Phil @ JZNV0izPqn"" calls 3.00",2023-05-30T03:42:32.950Z,168541815295000
"""Dp @ YyWpODWXWx"" calls 3.00",2023-05-30T03:42:30.808Z,168541815080800
"""mp @ Cy9TNetRde"" folds",2023-05-30T03:42:19.604Z,168541813960400
"""Allen @ cMRMyhiJeR"" raises to 3.00",2023-05-30T03:42:15.895Z,168541813589500
"""joepc @ _t70J__qQ8"" folds",2023-05-30T03:42:13.791Z,168541813379100
"""brett @ C-NjgDuYnf"" folds",2023-05-30T03:42:12.728Z,168541813272800
"""Phil @ JZNV0izPqn"" posts a big blind of 1.00",2023-05-30T03:42:11.309Z,168541813130909
"""Dp @ YyWpODWXWx"" posts a small blind of 0.50",2023-05-30T03:42:11.309Z,168541813130908
"Player stacks: #1 ""joepc @ _t70J__qQ8"" (27.40) | #2 ""Allen @ cMRMyhiJeR"" (178.50) | #4 ""mp @ Cy9TNetRde"" (115.55) | #5 ""Dp @ YyWpODWXWx"" (127.00) | #6 ""Phil @ JZNV0izPqn"" (267.90) | #10 ""brett @ C-NjgDuYnf"" (233.65)",2023-05-30T03:42:11.309Z,168541813130901
"-- starting hand #55 (id: kki358g7xasq)  (No Limit Texas Hold'em) (dealer: ""mp @ Cy9TNetRde"") --",2023-05-30T03:42:11.309Z,168541813130900
"-- ending hand #54 --",2023-05-30T03:42:05.343Z,168541812534302
"""Allen @ cMRMyhiJeR"" collected 15.50 from pot",2023-05-30T03:42:05.343Z,168541812534301
"Uncalled bet of 7.00 returned to ""Allen @ cMRMyhiJeR""",2023-05-30T03:42:05.343Z,168541812534300
"""brett @ C-NjgDuYnf"" folds",2023-05-30T03:42:04.510Z,168541812451000
"""Allen @ cMRMyhiJeR"" bets 7.00",2023-05-30T03:42:03.261Z,168541812326100
"""brett @ C-NjgDuYnf"" checks",2023-05-30T03:41:58.623Z,168541811862300
"Turn: 6♣, 4♠, 3♠ [9♣]",2023-05-30T03:41:56.739Z,168541811673900
"""brett @ C-NjgDuYnf"" calls 3.00",2023-05-30T03:41:55.929Z,168541811592900
"""Dp @ YyWpODWXWx"" folds",2023-05-30T03:41:47.270Z,168541810727000
"""Allen @ cMRMyhiJeR"" bets 3.00",2023-05-30T03:41:33.330Z,168541809333000
"""brett @ C-NjgDuYnf"" checks",2023-05-30T03:41:22.973Z,168541808297300
"""Dp @ YyWpODWXWx"" checks",2023-05-30T03:41:16.374Z,168541807637400
"Flop:  [6♣, 4♠, 3♠]",2023-05-30T03:41:15.212Z,168541807521200
"""brett @ C-NjgDuYnf"" calls 3.00",2023-05-30T03:41:14.332Z,168541807433200
"""Dp @ YyWpODWXWx"" calls 3.00",2023-05-30T03:41:13.030Z,168541807303000
"""mp @ Cy9TNetRde"" folds",2023-05-30T03:41:08.408Z,168541806840800
"""Allen @ cMRMyhiJeR"" raises to 3.00",2023-05-30T03:41:07.378Z,168541806737800
