entry,at,order
"The player ""Kitsos @ 4DT3vFeWj1"" stand up with the stack of 804.74.",2023-06-15T05:04:11.464Z,168680545146400
"-- ending hand #414 --",2023-06-15T05:04:05.468Z,168680544546802
"""Brett @ ss3rs3f7NU"" collected 12.00 from pot",2023-06-15T05:04:05.468Z,168680544546801
"Uncalled bet of 5.00 returned to ""Brett @ ss3rs3f7NU""",2023-06-15T05:04:05.468Z,168680544546800
"""hide @ -lWc4gfc-Z"" folds",2023-06-15T05:04:04.623Z,168680544462300
"""Brett @ ss3rs3f7NU"" bets 5.00",2023-06-15T05:04:03.266Z,168680544326600
"""hide @ -lWc4gfc-Z"" checks",2023-06-15T05:03:56.595Z,168680543659500
"Turn: 4♣, 7♦, J♣ [10♠]",2023-06-15T05:03:54.754Z,168680543475400
"""Brett @ ss3rs3f7NU"" checks",2023-06-15T05:03:53.939Z,168680543393900
"""hide @ -lWc4gfc-Z"" checks",2023-06-15T05:03:47.958Z,168680542795800
"Flop:  [4♣, 7♦, J♣]",2023-06-15T05:03:41.145Z,168680542114500
"""Brett @ ss3rs3f7NU"" calls 6.00",2023-06-15T05:03:40.329Z,168680542032900
"""hide @ -lWc4gfc-Z"" raises to 6.00",2023-06-15T05:03:37.831Z,168680541783100
"The admin ""Marv69 @ YZlSsdHybx"" enqueued the game stop on next hand.",2023-06-15T05:03:35.375Z,168680541537500
"""Marv69 @ YZlSsdHybx"" folds",2023-06-15T05:03:32.855Z,168680541285500
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-15T05:03:31.620Z,168680541162000
"""Farnan @ 6GVYVlWnT4"" folds",2023-06-15T05:03:30.605Z,168680541060500
"""Brett @ ss3rs3f7NU"" posts a big blind of 2.00",2023-06-15T05:03:26.001Z,168680540600108
"""hide @ -lWc4gfc-Z"" posts a small blind of 1.00",2023-06-15T05:03:26.001Z,168680540600107
"Player stacks: #5 ""Brett @ ss3rs3f7NU"" (148.75) | #6 ""Farnan @ 6GVYVlWnT4"" (550.50) | #8 ""Kitsos @ 4DT3vFeWj1"" (804.74) | #9 ""Marv69 @ YZlSsdHybx"" (285.00) | #10 ""hide @ -lWc4gfc-Z"" (286.50)",2023-06-15T05:03:26.001Z,168680540600101
"-- starting hand #414 (id: autfa0p7yvef)  (No Limit Texas Hold'em) (dealer: ""Marv69 @ YZlSsdHybx"") --",2023-06-15T05:03:26.001Z,168680540600100
"-- ending hand #413 --",2023-06-15T05:03:23.057Z,168680540305702
"""Farnan @ 6GVYVlWnT4"" collected 116.50 from pot",2023-06-15T05:03:23.057Z,168680540305701
"Uncalled bet of 148.75 returned to ""Farnan @ 6GVYVlWnT4""",2023-06-15T05:03:23.057Z,168680540305700
"""Brett @ ss3rs3f7NU"" folds",2023-06-15T05:03:22.186Z,168680540218600
"""Farnan @ 6GVYVlWnT4"" bets 148.75",2023-06-15T05:03:20.182Z,168680540018200
"""Brett @ ss3rs3f7NU"" checks",2023-06-15T05:03:11.019Z,168680539101900
"River: 4♦, A♣, J♦, Q♠ [K♣]",2023-06-15T05:03:03.097Z,168680538309700
"""Brett @ ss3rs3f7NU"" calls 41.50",2023-06-15T05:03:02.243Z,168680538224300
"""Farnan @ 6GVYVlWnT4"" bets 41.50",2023-06-15T05:02:54.482Z,168680537448200
"""Brett @ ss3rs3f7NU"" checks",2023-06-15T05:02:48.314Z,168680536831400
"Turn: 4♦, A♣, J♦ [Q♠]",2023-06-15T05:02:46.212Z,168680536621200
"""Brett @ ss3rs3f7NU"" calls 9.25",2023-06-15T05:02:45.364Z,168680536536400
"""Farnan @ 6GVYVlWnT4"" bets 9.25",2023-06-15T05:02:33.834Z,168680535383400
"""Brett @ ss3rs3f7NU"" checks",2023-06-15T05:02:28.752Z,168680534875200
"Flop:  [4♦, A♣, J♦]",2023-06-15T05:02:25.592Z,168680534559200
"""Brett @ ss3rs3f7NU"" calls 6.00",2023-06-15T05:02:24.723Z,168680534472300
"""hide @ -lWc4gfc-Z"" folds",2023-06-15T05:02:20.595Z,168680534059500
"""Marv69 @ YZlSsdHybx"" folds",2023-06-15T05:02:19.595Z,168680533959500
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-15T05:02:18.542Z,168680533854200
"""Farnan @ 6GVYVlWnT4"" raises to 6.00",2023-06-15T05:02:17.554Z,168680533755400
