entry,at,order
"The player ""brett @ eKDH2_sDqp"" stand up with the stack of 579.97.",2023-06-17T08:56:06.168Z,168699216616801
"The player ""Goml @ 0Wu49JHCY3"" stand up with the stack of 392.39.",2023-06-17T08:56:06.168Z,168699216616800
"""brett @ eKDH2_sDqp"" shows a 3♣, 5♥.",2023-06-17T08:56:00.872Z,168699216087200
"-- ending hand #59 --",2023-06-17T08:55:59.636Z,168699215963602
"""Goml @ 0Wu49JHCY3"" collected 4.00 from pot with Pair, 2's (combination: 2♣, 2♠, Q♥, J♥, 10♠)",2023-06-17T08:55:59.636Z,168699215963601
"""Goml @ 0Wu49JHCY3"" shows a Q♥, 10♠.",2023-06-17T08:55:59.636Z,168699215963600
"""Goml @ 0Wu49JHCY3"" checks",2023-06-17T08:55:58.769Z,168699215876900
"""brett @ eKDH2_sDqp"" checks",2023-06-17T08:55:57.367Z,168699215736700
"River: 2♣, 8♣, 2♠, 4♣ [J♥]",2023-06-17T08:55:54.230Z,168699215423000
"""Goml @ 0Wu49JHCY3"" checks",2023-06-17T08:55:53.389Z,168699215338900
"""brett @ eKDH2_sDqp"" checks",2023-06-17T08:55:50.762Z,168699215076200
"Turn: 2♣, 8♣, 2♠ [4♣]",2023-06-17T08:55:49.158Z,168699214915800
"""Goml @ 0Wu49JHCY3"" checks",2023-06-17T08:55:48.333Z,168699214833300
"""brett @ eKDH2_sDqp"" checks",2023-06-17T08:55:46.913Z,168699214691300
"Flop:  [2♣, 8♣, 2♠]",2023-06-17T08:55:46.556Z,168699214655600
"""brett @ eKDH2_sDqp"" checks",2023-06-17T08:55:45.740Z,168699214574000
"""Goml @ 0Wu49JHCY3"" calls 2.00",2023-06-17T08:55:43.196Z,168699214319600
"""brett @ eKDH2_sDqp"" posts a big blind of 2.00",2023-06-17T08:55:41.621Z,168699214162106
"""Goml @ 0Wu49JHCY3"" posts a small blind of 1.00",2023-06-17T08:55:41.621Z,168699214162105
"Player stacks: #3 ""brett @ eKDH2_sDqp"" (581.97) | #4 ""Goml @ 0Wu49JHCY3"" (390.39)",2023-06-17T08:55:41.621Z,168699214162102
"-- starting hand #59 (id: uczvayr7f8mt)  (No Limit Texas Hold'em) (dealer: ""Goml @ 0Wu49JHCY3"") --",2023-06-17T08:55:41.621Z,168699214162101
"The player ""Allen @ cMRMyhiJeR"" stand up with the stack of 344.50.",2023-06-17T08:55:41.621Z,168699214162100
"-- ending hand #58 --",2023-06-17T08:55:35.667Z,168699213566702
"""Allen @ cMRMyhiJeR"" collected 4.00 from pot",2023-06-17T08:55:35.667Z,168699213566701
"Uncalled bet of 3.00 returned to ""Allen @ cMRMyhiJeR""",2023-06-17T08:55:35.667Z,168699213566700
"""Goml @ 0Wu49JHCY3"" folds",2023-06-17T08:55:34.822Z,168699213482200
"""Allen @ cMRMyhiJeR"" bets 3.00",2023-06-17T08:55:33.808Z,168699213380800
"""Goml @ 0Wu49JHCY3"" checks",2023-06-17T08:55:30.259Z,168699213025900
"Flop:  [9♥, 7♠, 2♣]",2023-06-17T08:55:28.543Z,168699212854300
"""Allen @ cMRMyhiJeR"" checks",2023-06-17T08:55:27.655Z,168699212765500
"""Goml @ 0Wu49JHCY3"" calls 2.00",2023-06-17T08:55:19.873Z,168699211987300
"""brett @ eKDH2_sDqp"" folds",2023-06-17T08:55:18.427Z,168699211842700
"""Allen @ cMRMyhiJeR"" posts a big blind of 2.00",2023-06-17T08:55:11.238Z,168699211123806
"""Goml @ 0Wu49JHCY3"" posts a small blind of 1.00",2023-06-17T08:55:11.238Z,168699211123805
"Player stacks: #3 ""brett @ eKDH2_sDqp"" (581.97) | #4 ""Goml @ 0Wu49JHCY3"" (392.39) | #10 ""Allen @ cMRMyhiJeR"" (342.50)",2023-06-17T08:55:11.238Z,168699211123801
"-- starting hand #58 (id: w4qzj9iukew8)  (No Limit Texas Hold'em) (dealer: ""brett @ eKDH2_sDqp"") --",2023-06-17T08:55:11.238Z,168699211123800
"-- ending hand #57 --",2023-06-17T08:55:05.317Z,168699210531702
"""Allen @ cMRMyhiJeR"" collected 5.00 from pot",2023-06-17T08:55:05.317Z,168699210531701
"Uncalled bet of 4.00 returned to ""Allen @ cMRMyhiJeR""",2023-06-17T08:55:05.317Z,168699210531700
"""Goml @ 0Wu49JHCY3"" folds",2023-06-17T08:55:04.406Z,168699210440600
"""brett @ eKDH2_sDqp"" folds",2023-06-17T08:54:56.093Z,168699209609300
"""Allen @ cMRMyhiJeR"" raises to 6.00",2023-06-17T08:54:53.564Z,168699209356400
"""Goml @ 0Wu49JHCY3"" posts a big blind of 2.00",2023-06-17T08:54:43.485Z,168699208348507
"""brett @ eKDH2_sDqp"" posts a small blind of 1.00",2023-06-17T08:54:43.485Z,168699208348506
"Player stacks: #3 ""brett @ eKDH2_sDqp"" (582.97) | #4 ""Goml @ 0Wu49JHCY3"" (394.39) | #10 ""Allen @ cMRMyhiJeR"" (339.50)",2023-06-17T08:54:43.485Z,168699208348502
"-- starting hand #57 (id: mksbomv5udgt)  (No Limit Texas Hold'em) (dead button) --",2023-06-17T08:54:43.485Z,168699208348501
"The player ""Farnan @ 4a9jNw8eIn"" stand up with the stack of 478.00.",2023-06-17T08:54:43.485Z,168699208348500
"-- ending hand #56 --",2023-06-17T08:54:37.582Z,168699207758202
"""brett @ eKDH2_sDqp"" collected 128.00 from pot",2023-06-17T08:54:37.582Z,168699207758201
"Uncalled bet of 60.00 returned to ""brett @ eKDH2_sDqp""",2023-06-17T08:54:37.582Z,168699207758200
"""Farnan @ 4a9jNw8eIn"" folds",2023-06-17T08:54:36.691Z,168699207669100
"""brett @ eKDH2_sDqp"" bets 60.00",2023-06-17T08:54:34.673Z,168699207467300
"""Farnan @ 4a9jNw8eIn"" checks",2023-06-17T08:54:21.682Z,168699206168200
"Turn: 10♥, 6♦, 4♠ [Q♥]",2023-06-17T08:54:20.398Z,168699206039800
"""Farnan @ 4a9jNw8eIn"" calls 25.00",2023-06-17T08:54:19.596Z,168699205959600
"""Goml @ 0Wu49JHCY3"" folds",2023-06-17T08:54:14.847Z,168699205484700
"""brett @ eKDH2_sDqp"" bets 25.00",2023-06-17T08:54:12.897Z,168699205289700
"""Farnan @ 4a9jNw8eIn"" checks",2023-06-17T08:53:56.902Z,168699203690200
"Flop:  [10♥, 6♦, 4♠]",2023-06-17T08:53:56.532Z,168699203653200
"""Farnan @ 4a9jNw8eIn"" calls 26.00",2023-06-17T08:53:55.615Z,168699203561500
"""Goml @ 0Wu49JHCY3"" calls 26.00",2023-06-17T08:53:54.402Z,168699203440200
"""brett @ eKDH2_sDqp"" raises to 26.00",2023-06-17T08:53:51.209Z,168699203120900
"""Farnan @ 4a9jNw8eIn"" calls 8.00",2023-06-17T08:53:41.971Z,168699202197100
"""Allen @ cMRMyhiJeR"" folds",2023-06-17T08:53:38.835Z,168699201883500
"""Goml @ 0Wu49JHCY3"" raises to 8.00",2023-06-17T08:53:37.857Z,168699201785700
"""brett @ eKDH2_sDqp"" posts a big blind of 2.00",2023-06-17T08:53:34.509Z,168699201450907
"""Farnan @ 4a9jNw8eIn"" posts a small blind of 1.00",2023-06-17T08:53:34.509Z,168699201450906
