entry,at,order
"-- ending hand #251 --",2023-06-05T00:07:53.875Z,168592367387502
"""Goml @ EmSRszG5Xa"" collected 9.00 from pot",2023-06-05T00:07:53.875Z,168592367387501
"Uncalled bet of 4.50 returned to ""Goml @ EmSRszG5Xa""",2023-06-05T00:07:53.875Z,168592367387500
"""Jay @ YqOVYC0A3f"" folds",2023-06-05T00:07:53.030Z,168592367303000
"""Goml @ EmSRszG5Xa"" bets 4.50",2023-06-05T00:07:51.980Z,168592367198000
"Flop:  [7♠, J♦, J♠]",2023-06-05T00:07:48.671Z,168592366867100
"""Jay @ YqOVYC0A3f"" calls 4.00",2023-06-05T00:07:47.814Z,168592366781400
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-05T00:07:46.246Z,168592366624600
"""Goml @ EmSRszG5Xa"" raises to 4.00",2023-06-05T00:07:43.877Z,168592366387700
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the game stop on next hand.",2023-06-05T00:07:43.106Z,168592366310600
"""Jay @ YqOVYC0A3f"" calls 1.00",2023-06-05T00:07:40.887Z,168592366088700
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-06-05T00:07:39.264Z,168592365926406
"""Goml @ EmSRszG5Xa"" posts a small blind of 0.50",2023-06-05T00:07:39.264Z,168592365926405
"Player stacks: #5 ""Shlapp @ ZWO9_p1DU9"" (284.00) | #6 ""Jay @ YqOVYC0A3f"" (52.00) | #9 ""Goml @ EmSRszG5Xa"" (91.73)",2023-06-05T00:07:39.264Z,168592365926401
"-- starting hand #251 (id: ksbbme6nybjj)  (No Limit Texas Hold'em) (dealer: ""Jay @ YqOVYC0A3f"") --",2023-06-05T00:07:39.264Z,168592365926400
"-- ending hand #250 --",2023-06-05T00:07:36.335Z,168592365633502
"""Shlapp @ ZWO9_p1DU9"" collected 17.00 from pot",2023-06-05T00:07:36.335Z,168592365633501
"Uncalled bet of 10.50 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-05T00:07:36.335Z,168592365633500
"""Jay @ YqOVYC0A3f"" folds",2023-06-05T00:07:35.517Z,168592365551700
"""Shlapp @ ZWO9_p1DU9"" bets 10.50",2023-06-05T00:07:34.312Z,168592365431200
"""Jay @ YqOVYC0A3f"" checks",2023-06-05T00:07:29.240Z,168592364924000
"River: 10♦, A♣, J♦, 8♥ [7♦]",2023-06-05T00:07:26.647Z,168592364664700
"""Jay @ YqOVYC0A3f"" calls 5.00",2023-06-05T00:07:25.824Z,168592364582400
"""Shlapp @ ZWO9_p1DU9"" bets 5.00",2023-06-05T00:07:24.506Z,168592364450600
"""Jay @ YqOVYC0A3f"" checks",2023-06-05T00:07:20.705Z,168592364070500
"Turn: 10♦, A♣, J♦ [8♥]",2023-06-05T00:07:19.641Z,168592363964100
"""Goml @ EmSRszG5Xa"" folds",2023-06-05T00:07:18.797Z,168592363879700
"""Jay @ YqOVYC0A3f"" calls 2.00",2023-06-05T00:07:17.471Z,168592363747100
"""Shlapp @ ZWO9_p1DU9"" bets 2.00",2023-06-05T00:07:16.490Z,168592363649000
"""Goml @ EmSRszG5Xa"" checks",2023-06-05T00:07:12.918Z,168592363291800
"""Jay @ YqOVYC0A3f"" checks",2023-06-05T00:07:11.434Z,168592363143400
"Flop:  [10♦, A♣, J♦]",2023-06-05T00:07:10.304Z,168592363030400
"""Goml @ EmSRszG5Xa"" checks",2023-06-05T00:07:09.497Z,168592362949700
"""Jay @ YqOVYC0A3f"" calls 1.00",2023-06-05T00:07:08.623Z,168592362862300
"""Shlapp @ ZWO9_p1DU9"" calls 1.00",2023-06-05T00:07:07.584Z,168592362758400
"""Goml @ EmSRszG5Xa"" posts a big blind of 1.00",2023-06-05T00:06:49.498Z,168592360949807
"""Jay @ YqOVYC0A3f"" posts a small blind of 0.50",2023-06-05T00:06:49.498Z,168592360949806
"Player stacks: #5 ""Shlapp @ ZWO9_p1DU9"" (275.00) | #6 ""Jay @ YqOVYC0A3f"" (60.00) | #9 ""Goml @ EmSRszG5Xa"" (92.73)",2023-06-05T00:06:49.498Z,168592360949802
"-- starting hand #250 (id: 13gijoiwnzne)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-06-05T00:06:49.498Z,168592360949801
"The player ""mp @ -DkySTil6a"" quits the game with a stack of 197.37.",2023-06-05T00:06:49.498Z,168592360949800
"-- ending hand #249 --",2023-06-05T00:06:43.477Z,168592360347703
"""Shlapp @ ZWO9_p1DU9"" shows a J♦, Q♣.",2023-06-05T00:06:43.477Z,168592360347702
"""Goml @ EmSRszG5Xa"" collected 22.00 from pot with Pair, 3's (combination: 3♣, 3♥, A♥, K♠, J♥)",2023-06-05T00:06:43.477Z,168592360347701
"""Goml @ EmSRszG5Xa"" shows a J♥, A♥.",2023-06-05T00:06:43.477Z,168592360347700
"""Goml @ EmSRszG5Xa"" checks",2023-06-05T00:06:42.622Z,168592360262200
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-05T00:06:41.132Z,168592360113200
"River: 10♣, 5♣, K♠, 3♣ [3♥]",2023-06-05T00:06:38.393Z,168592359839300
"""Goml @ EmSRszG5Xa"" checks",2023-06-05T00:06:37.542Z,168592359754200
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-05T00:06:36.639Z,168592359663900
"Turn: 10♣, 5♣, K♠ [3♣]",2023-06-05T00:06:29.067Z,168592358906700
"""mp @ -DkySTil6a"" folds",2023-06-05T00:06:28.251Z,168592358825100
"""Goml @ EmSRszG5Xa"" calls 6.00",2023-06-05T00:06:26.617Z,168592358661700
"""Shlapp @ ZWO9_p1DU9"" bets 6.00",2023-06-05T00:06:24.058Z,168592358405800
"Flop:  [10♣, 5♣, K♠]",2023-06-05T00:06:17.647Z,168592357764700
"""Jay @ YqOVYC0A3f"" folds",2023-06-05T00:06:16.827Z,168592357682700
"""Shlapp @ ZWO9_p1DU9"" calls 3.00",2023-06-05T00:06:15.862Z,168592357586200
"""mp @ -DkySTil6a"" calls 3.00",2023-06-05T00:06:12.734Z,168592357273400
"""Goml @ EmSRszG5Xa"" raises to 3.00",2023-06-05T00:06:11.292Z,168592357129200
"""Jay @ YqOVYC0A3f"" posts a big blind of 1.00",2023-06-05T00:06:08.634Z,168592356863407
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-05T00:06:08.634Z,168592356863406
"Player stacks: #5 ""Shlapp @ ZWO9_p1DU9"" (284.00) | #6 ""Jay @ YqOVYC0A3f"" (61.00) | #9 ""Goml @ EmSRszG5Xa"" (79.73) | #10 ""mp @ -DkySTil6a"" (200.37)",2023-06-05T00:06:08.634Z,168592356863401
"-- starting hand #249 (id: pb7tlflei0kc)  (No Limit Texas Hold'em) (dealer: ""mp @ -DkySTil6a"") --",2023-06-05T00:06:08.634Z,168592356863400
"-- ending hand #248 --",2023-06-05T00:06:02.682Z,168592356268202
"""Shlapp @ ZWO9_p1DU9"" collected 1.00 from pot",2023-06-05T00:06:02.682Z,168592356268201
"Uncalled bet of 0.50 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-05T00:06:02.682Z,168592356268200
"""mp @ -DkySTil6a"" folds",2023-06-05T00:06:01.843Z,168592356184300
"""Goml @ EmSRszG5Xa"" folds",2023-06-05T00:06:00.902Z,168592356090200
"""Jay @ YqOVYC0A3f"" folds",2023-06-05T00:05:59.921Z,168592355992100
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-06-05T00:05:58.331Z,168592355833107
"""mp @ -DkySTil6a"" posts a small blind of 0.50",2023-06-05T00:05:58.331Z,168592355833106
"Player stacks: #5 ""Shlapp @ ZWO9_p1DU9"" (283.50) | #6 ""Jay @ YqOVYC0A3f"" (61.00) | #9 ""Goml @ EmSRszG5Xa"" (79.73) | #10 ""mp @ -DkySTil6a"" (200.87)",2023-06-05T00:05:58.331Z,168592355833101
"-- starting hand #248 (id: i3orwwkxmbua)  (No Limit Texas Hold'em) (dealer: ""Goml @ EmSRszG5Xa"") --",2023-06-05T00:05:58.331Z,168592355833100
"-- ending hand #247 --",2023-06-05T00:05:55.401Z,168592355540102
"""Goml @ EmSRszG5Xa"" collected 7.00 from pot",2023-06-05T00:05:55.401Z,168592355540101
"Uncalled bet of 3.50 returned to ""Goml @ EmSRszG5Xa""",2023-06-05T00:05:55.401Z,168592355540100
"""Jay @ YqOVYC0A3f"" folds",2023-06-05T00:05:54.591Z,168592355459100
"""Goml @ EmSRszG5Xa"" bets 3.50",2023-06-05T00:05:53.259Z,168592355325900
"River: 6♠, 2♦, 8♣, 9♠ [9♥]",2023-06-05T00:05:50.792Z,168592355079200
"""Jay @ YqOVYC0A3f"" checks",2023-06-05T00:05:49.933Z,168592354993300
"""Goml @ EmSRszG5Xa"" checks",2023-06-05T00:05:48.875Z,168592354887500
"Turn: 6♠, 2♦, 8♣ [9♠]",2023-06-05T00:05:44.591Z,168592354459100
"""Jay @ YqOVYC0A3f"" checks",2023-06-05T00:05:43.774Z,168592354377400
"""Goml @ EmSRszG5Xa"" checks",2023-06-05T00:05:42.572Z,168592354257200
"Flop:  [6♠, 2♦, 8♣]",2023-06-05T00:05:38.588Z,168592353858800
"""mp @ -DkySTil6a"" folds",2023-06-05T00:05:37.713Z,168592353771300
"""Goml @ EmSRszG5Xa"" calls 3.00",2023-06-05T00:05:36.832Z,168592353683200
"""Jay @ YqOVYC0A3f"" raises to 3.00",2023-06-05T00:05:33.003Z,168592353300300
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-05T00:05:28.561Z,168592352856100
"""mp @ -DkySTil6a"" posts a big blind of 1.00",2023-06-05T00:05:26.840Z,168592352684007
"""Goml @ EmSRszG5Xa"" posts a small blind of 0.50",2023-06-05T00:05:26.840Z,168592352684006
"Player stacks: #5 ""Shlapp @ ZWO9_p1DU9"" (283.50) | #6 ""Jay @ YqOVYC0A3f"" (64.00) | #9 ""Goml @ EmSRszG5Xa"" (75.73) | #10 ""mp @ -DkySTil6a"" (201.87)",2023-06-05T00:05:26.840Z,168592352684001
"-- starting hand #247 (id: 9mnpjufwmhew)  (No Limit Texas Hold'em) (dealer: ""Jay @ YqOVYC0A3f"") --",2023-06-05T00:05:26.840Z,168592352684000
"-- ending hand #246 --",2023-06-05T00:05:20.879Z,168592352087902
"""Shlapp @ ZWO9_p1DU9"" collected 7.00 from pot",2023-06-05T00:05:20.879Z,168592352087901
"Uncalled bet of 4.00 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-05T00:05:20.879Z,168592352087900
"""Jay @ YqOVYC0A3f"" folds",2023-06-05T00:05:20.045Z,168592352004500
"""Shlapp @ ZWO9_p1DU9"" bets 4.00",2023-06-05T00:05:16.582Z,168592351658200
"""Jay @ YqOVYC0A3f"" checks",2023-06-05T00:05:13.416Z,168592351341600
"Turn: 5♠, 7♥, 2♦ [K♦]",2023-06-05T00:05:12.032Z,168592351203200
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-05T00:05:11.173Z,168592351117300
"""Jay @ YqOVYC0A3f"" checks",2023-06-05T00:05:09.234Z,168592350923400
"Flop:  [5♠, 7♥, 2♦]",2023-06-05T00:05:08.062Z,168592350806200
"""Goml @ EmSRszG5Xa"" folds",2023-06-05T00:05:07.253Z,168592350725300
"""Jay @ YqOVYC0A3f"" calls 3.00",2023-06-05T00:05:02.334Z,168592350233400
