entry,at,order
"The player ""Phil @ GCtQMn_f2C"" quits the game with a stack of 1584.",2023-06-12T06:56:46.744Z,168655300674400
"The player ""Hayden @ 2LakBwr16r"" quits the game with a stack of 596.",2023-06-12T06:52:00.280Z,168655272028001
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 596.",2023-06-12T06:52:00.280Z,168655272028000
"-- ending hand #968 --",2023-06-12T06:51:57.362Z,168655271736202
"""Phil @ GCtQMn_f2C"" collected 2 from pot",2023-06-12T06:51:57.362Z,168655271736201
"Uncalled bet of 2 returned to ""Phil @ GCtQMn_f2C""",2023-06-12T06:51:57.362Z,168655271736200
"""Hayden @ 2LakBwr16r"" folds",2023-06-12T06:51:56.541Z,168655271654100
"""Phil @ GCtQMn_f2C"" posts a big blind of 3",2023-06-12T06:51:53.944Z,168655271394405
"""Hayden @ 2LakBwr16r"" posts a small blind of 1",2023-06-12T06:51:53.944Z,168655271394404
"Player stacks: #7 ""Hayden @ 2LakBwr16r"" (597) | #10 ""Phil @ GCtQMn_f2C"" (1583)",2023-06-12T06:51:53.944Z,168655271394401
"-- starting hand #968 (id: lntxe3gfwg3a)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-06-12T06:51:53.944Z,168655271394400
"-- ending hand #967 --",2023-06-12T06:51:51.032Z,168655271103202
"""Hayden @ 2LakBwr16r"" collected 2 from pot",2023-06-12T06:51:51.032Z,168655271103201
"Uncalled bet of 2 returned to ""Hayden @ 2LakBwr16r""",2023-06-12T06:51:51.032Z,168655271103200
"""Phil @ GCtQMn_f2C"" folds",2023-06-12T06:51:50.140Z,168655271014000
"""Hayden @ 2LakBwr16r"" posts a big blind of 3",2023-06-12T06:51:49.231Z,168655270923105
"""Phil @ GCtQMn_f2C"" posts a small blind of 1",2023-06-12T06:51:49.231Z,168655270923104
"Player stacks: #7 ""Hayden @ 2LakBwr16r"" (596) | #10 ""Phil @ GCtQMn_f2C"" (1584)",2023-06-12T06:51:49.231Z,168655270923101
"-- starting hand #967 (id: gmsrm8rwyjsh)  (No Limit Texas Hold'em) (dealer: ""Phil @ GCtQMn_f2C"") --",2023-06-12T06:51:49.231Z,168655270923100
"-- ending hand #966 --",2023-06-12T06:51:46.233Z,168655270623302
"""Phil @ GCtQMn_f2C"" collected 18 from pot",2023-06-12T06:51:46.233Z,168655270623301
"Uncalled bet of 9 returned to ""Phil @ GCtQMn_f2C""",2023-06-12T06:51:46.233Z,168655270623300
"""Hayden @ 2LakBwr16r"" folds",2023-06-12T06:51:45.396Z,168655270539600
"""Phil @ GCtQMn_f2C"" bets 9",2023-06-12T06:51:39.343Z,168655269934300
"Turn: A♠, J♦, 4♠ [2♦]",2023-06-12T06:51:37.064Z,168655269706400
"""Hayden @ 2LakBwr16r"" checks",2023-06-12T06:51:36.242Z,168655269624200
"""Phil @ GCtQMn_f2C"" checks",2023-06-12T06:51:34.467Z,168655269446700
"Flop:  [A♠, J♦, 4♠]",2023-06-12T06:51:33.448Z,168655269344800
"""Phil @ GCtQMn_f2C"" calls 9",2023-06-12T06:51:32.626Z,168655269262600
"""Hayden @ 2LakBwr16r"" raises to 9",2023-06-12T06:51:29.746Z,168655268974600
"""Phil @ GCtQMn_f2C"" posts a big blind of 3",2023-06-12T06:51:28.045Z,168655268804505
"""Hayden @ 2LakBwr16r"" posts a small blind of 1",2023-06-12T06:51:28.045Z,168655268804504
"Player stacks: #7 ""Hayden @ 2LakBwr16r"" (605) | #10 ""Phil @ GCtQMn_f2C"" (1575)",2023-06-12T06:51:28.045Z,168655268804501
"-- starting hand #966 (id: xrdmbq2uq0u5)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-06-12T06:51:28.045Z,168655268804500
"-- ending hand #965 --",2023-06-12T06:51:22.041Z,168655268204104
"""Phil @ GCtQMn_f2C"" collected 14 from pot with Pair, A's (combination: A♣, A♠, Q♦, J♣, 10♠)",2023-06-12T06:51:22.041Z,168655268204103
"""Phil @ GCtQMn_f2C"" shows a A♣, 3♠.",2023-06-12T06:51:22.041Z,168655268204102
"""Hayden @ 2LakBwr16r"" collected 14 from pot with Pair, A's (combination: A♥, A♠, Q♦, J♣, 10♠)",2023-06-12T06:51:22.041Z,168655268204101
"""Hayden @ 2LakBwr16r"" shows a 8♦, A♥.",2023-06-12T06:51:22.041Z,168655268204100
"""Phil @ GCtQMn_f2C"" checks",2023-06-12T06:51:21.228Z,168655268122800
"""Hayden @ 2LakBwr16r"" checks",2023-06-12T06:51:20.387Z,168655268038700
"River: Q♦, J♣, 2♣, A♠ [10♠]",2023-06-12T06:51:15.397Z,168655267539700
"""Phil @ GCtQMn_f2C"" calls 7",2023-06-12T06:51:14.551Z,168655267455100
"""Hayden @ 2LakBwr16r"" bets 7",2023-06-12T06:51:10.471Z,168655267047100
"Turn: Q♦, J♣, 2♣ [A♠]",2023-06-12T06:51:07.679Z,168655266767900
"""Phil @ GCtQMn_f2C"" checks",2023-06-12T06:51:06.856Z,168655266685600
"""Hayden @ 2LakBwr16r"" checks",2023-06-12T06:51:05.989Z,168655266598900
"Flop:  [Q♦, J♣, 2♣]",2023-06-12T06:51:04.572Z,168655266457200
"""Hayden @ 2LakBwr16r"" calls 7",2023-06-12T06:51:03.689Z,168655266368900
"""Phil @ GCtQMn_f2C"" raises to 7",2023-06-12T06:51:02.501Z,168655266250100
"""Hayden @ 2LakBwr16r"" posts a big blind of 3",2023-06-12T06:51:00.767Z,168655266076705
"""Phil @ GCtQMn_f2C"" posts a small blind of 1",2023-06-12T06:51:00.767Z,168655266076704
"Player stacks: #7 ""Hayden @ 2LakBwr16r"" (605) | #10 ""Phil @ GCtQMn_f2C"" (1575)",2023-06-12T06:51:00.767Z,168655266076701
