entry,at,order
"The player ""Kalp @ yFjFMNeeoA"" stand up with the stack of 1102.",2023-06-09T06:34:57.810Z,168629249781000
"The player ""Phil @ GCtQMn_f2C"" quits the game with a stack of 0.",2023-06-09T06:32:26.539Z,168629234653900
"-- ending hand #380 --",2023-06-09T06:32:23.505Z,168629234350501
"""Kalp @ yFjFMNeeoA"" collected 64 from pot with Two Pair, 7's & 6's (combination: 7♥, 7♠, 6♥, 6♠, K♦)",2023-06-09T06:32:23.505Z,168629234350500
"River: 9♠, 3♦, K♦, 6♥ [6♠]",2023-06-09T06:32:19.461Z,168629233946100
"Turn: 9♠, 3♦, K♦ [6♥]",2023-06-09T06:32:15.448Z,168629233544800
"Flop:  [9♠, 3♦, K♦]",2023-06-09T06:32:11.399Z,168629233139900
"""Kalp @ yFjFMNeeoA"" shows a 7♥, 7♠.",2023-06-09T06:32:07.394Z,168629232739401
"""Phil @ GCtQMn_f2C"" shows a J♣, A♠.",2023-06-09T06:32:07.394Z,168629232739400
"Some players choose to not run it twice.",2023-06-09T06:32:06.510Z,168629232651001
"""Kalp @ yFjFMNeeoA"" chooses to not run it twice.",2023-06-09T06:32:06.510Z,168629232651000
"Remaining players decide whether to run it twice.",2023-06-09T06:32:05.675Z,168629232567501
"""Kalp @ yFjFMNeeoA"" calls 32",2023-06-09T06:32:05.675Z,168629232567500
"""Phil @ GCtQMn_f2C"" raises to 32 and go all in",2023-06-09T06:31:54.920Z,168629231492000
"""Kalp @ yFjFMNeeoA"" raises to 16",2023-06-09T06:31:51.838Z,168629231183800
"""Phil @ GCtQMn_f2C"" raises to 6",2023-06-09T06:31:45.502Z,168629230550200
"""Kalp @ yFjFMNeeoA"" posts a big blind of 2",2023-06-09T06:31:42.076Z,168629230207605
"""Phil @ GCtQMn_f2C"" posts a small blind of 1",2023-06-09T06:31:42.076Z,168629230207604
"Player stacks: #2 ""Phil @ GCtQMn_f2C"" (32) | #10 ""Kalp @ yFjFMNeeoA"" (1070)",2023-06-09T06:31:42.076Z,168629230207601
"-- starting hand #380 (id: lmq9ggdmn9tg)  (No Limit Texas Hold'em) (dealer: ""Phil @ GCtQMn_f2C"") --",2023-06-09T06:31:42.076Z,168629230207600
"-- ending hand #379 --",2023-06-09T06:31:36.127Z,168629229612702
"""Phil @ GCtQMn_f2C"" collected 4 from pot",2023-06-09T06:31:36.127Z,168629229612701
"Uncalled bet of 6 returned to ""Phil @ GCtQMn_f2C""",2023-06-09T06:31:36.127Z,168629229612700
"""Kalp @ yFjFMNeeoA"" folds",2023-06-09T06:31:35.278Z,168629229527800
"""Phil @ GCtQMn_f2C"" raises to 8",2023-06-09T06:31:34.251Z,168629229425100
"""Kalp @ yFjFMNeeoA"" calls 2",2023-06-09T06:31:31.850Z,168629229185000
"""Phil @ GCtQMn_f2C"" posts a big blind of 2",2023-06-09T06:31:30.461Z,168629229046105
"""Kalp @ yFjFMNeeoA"" posts a small blind of 1",2023-06-09T06:31:30.461Z,168629229046104
"Player stacks: #2 ""Phil @ GCtQMn_f2C"" (30) | #10 ""Kalp @ yFjFMNeeoA"" (1072)",2023-06-09T06:31:30.461Z,168629229046101
"-- starting hand #379 (id: itwildwyoc8z)  (No Limit Texas Hold'em) (dealer: ""Kalp @ yFjFMNeeoA"") --",2023-06-09T06:31:30.461Z,168629229046100
"-- ending hand #378 --",2023-06-09T06:31:24.494Z,168629228449402
"""Kalp @ yFjFMNeeoA"" collected 2 from pot",2023-06-09T06:31:24.494Z,168629228449401
"Uncalled bet of 1 returned to ""Kalp @ yFjFMNeeoA""",2023-06-09T06:31:24.494Z,168629228449400
"""Phil @ GCtQMn_f2C"" folds",2023-06-09T06:31:23.683Z,168629228368300
"""Kalp @ yFjFMNeeoA"" posts a big blind of 2",2023-06-09T06:31:21.700Z,168629228170005
"""Phil @ GCtQMn_f2C"" posts a small blind of 1",2023-06-09T06:31:21.700Z,168629228170004
"Player stacks: #2 ""Phil @ GCtQMn_f2C"" (31) | #10 ""Kalp @ yFjFMNeeoA"" (1071)",2023-06-09T06:31:21.700Z,168629228170001
"-- starting hand #378 (id: pt44ynrf6x8s)  (No Limit Texas Hold'em) (dealer: ""Phil @ GCtQMn_f2C"") --",2023-06-09T06:31:21.700Z,168629228170000
"-- ending hand #377 --",2023-06-09T06:31:18.764Z,168629227876402
"""Phil @ GCtQMn_f2C"" collected 4 from pot",2023-06-09T06:31:18.764Z,168629227876401
"Uncalled bet of 2 returned to ""Phil @ GCtQMn_f2C""",2023-06-09T06:31:18.764Z,168629227876400
"""Kalp @ yFjFMNeeoA"" folds",2023-06-09T06:31:17.934Z,168629227793400
"""Phil @ GCtQMn_f2C"" bets 2",2023-06-09T06:31:14.606Z,168629227460600
"River: Q♥, 3♣, 3♠, 9♥ [5♦]",2023-06-09T06:31:14.163Z,168629227416300
"""Kalp @ yFjFMNeeoA"" checks",2023-06-09T06:31:13.302Z,168629227330200
"""Phil @ GCtQMn_f2C"" checks",2023-06-09T06:31:12.110Z,168629227211000
"Turn: Q♥, 3♣, 3♠ [9♥]",2023-06-09T06:31:11.838Z,168629227183800
"""Kalp @ yFjFMNeeoA"" checks",2023-06-09T06:31:11.006Z,168629227100600
"""Phil @ GCtQMn_f2C"" checks",2023-06-09T06:31:10.062Z,168629227006200
"Flop:  [Q♥, 3♣, 3♠]",2023-06-09T06:31:08.478Z,168629226847800
"""Phil @ GCtQMn_f2C"" checks",2023-06-09T06:31:07.653Z,168629226765300
"""Kalp @ yFjFMNeeoA"" calls 2",2023-06-09T06:31:06.790Z,168629226679000
"""Phil @ GCtQMn_f2C"" posts a big blind of 2",2023-06-09T06:31:02.948Z,168629226294805
"""Kalp @ yFjFMNeeoA"" posts a small blind of 1",2023-06-09T06:31:02.948Z,168629226294804
"Player stacks: #2 ""Phil @ GCtQMn_f2C"" (29) | #10 ""Kalp @ yFjFMNeeoA"" (1073)",2023-06-09T06:31:02.948Z,168629226294801
"-- starting hand #377 (id: zt48qvkmsoaq)  (No Limit Texas Hold'em) (dealer: ""Kalp @ yFjFMNeeoA"") --",2023-06-09T06:31:02.948Z,168629226294800
"-- ending hand #376 --",2023-06-09T06:30:57.018Z,168629225701802
"""Kalp @ yFjFMNeeoA"" collected 2 from pot",2023-06-09T06:30:57.018Z,168629225701801
"Uncalled bet of 1 returned to ""Kalp @ yFjFMNeeoA""",2023-06-09T06:30:57.018Z,168629225701800
"""Phil @ GCtQMn_f2C"" folds",2023-06-09T06:30:56.185Z,168629225618500
"""Kalp @ yFjFMNeeoA"" posts a big blind of 2",2023-06-09T06:30:54.140Z,168629225414005
"""Phil @ GCtQMn_f2C"" posts a small blind of 1",2023-06-09T06:30:54.140Z,168629225414004
"Player stacks: #2 ""Phil @ GCtQMn_f2C"" (30) | #10 ""Kalp @ yFjFMNeeoA"" (1072)",2023-06-09T06:30:54.140Z,168629225414001
"-- starting hand #376 (id: viopm6p5lmje)  (No Limit Texas Hold'em) (dealer: ""Phil @ GCtQMn_f2C"") --",2023-06-09T06:30:54.140Z,168629225414000
"-- ending hand #375 --",2023-06-09T06:30:48.215Z,168629224821502
"""Kalp @ yFjFMNeeoA"" collected 4 from pot",2023-06-09T06:30:48.215Z,168629224821501
"Uncalled bet of 4 returned to ""Kalp @ yFjFMNeeoA""",2023-06-09T06:30:48.215Z,168629224821500
"""Phil @ GCtQMn_f2C"" folds",2023-06-09T06:30:47.369Z,168629224736900
