entry,at,order
"The player ""Shlapp @ ZWO9_p1DU9"" passed the room ownership to ""Kamala @ vXwBeOraW0"".",2023-06-23T08:00:38.605Z,168750723860500
"The player ""Jojo___ @ eDnybaVAZ4"" stand up with the stack of 1256.69.",2023-06-23T07:18:10.075Z,168750469007500
"-- ending hand #533 --",2023-06-23T07:18:04.156Z,168750468415602
"""Seneca @ 3K1udw0KZ8"" collected 2.00 from pot",2023-06-23T07:18:04.156Z,168750468415601
"Uncalled bet of 1.00 returned to ""Seneca @ 3K1udw0KZ8""",2023-06-23T07:18:04.156Z,168750468415600
"""Jojo___ @ eDnybaVAZ4"" folds",2023-06-23T07:18:03.310Z,168750468331000
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-06-23T07:18:01.455Z,168750468145505
"""Jojo___ @ eDnybaVAZ4"" posts a small blind of 1.00",2023-06-23T07:18:01.455Z,168750468145504
"Player stacks: #1 ""Seneca @ 3K1udw0KZ8"" (384.00) | #6 ""Jojo___ @ eDnybaVAZ4"" (1257.69)",2023-06-23T07:18:01.455Z,168750468145501
"-- starting hand #533 (id: 3pumi2es0zlj)  (No Limit Texas Hold'em) (dealer: ""Jojo___ @ eDnybaVAZ4"") --",2023-06-23T07:18:01.455Z,168750468145500
"-- ending hand #532 --",2023-06-23T07:17:58.525Z,168750467852502
"""Jojo___ @ eDnybaVAZ4"" collected 2.00 from pot",2023-06-23T07:17:58.525Z,168750467852501
"Uncalled bet of 1.00 returned to ""Jojo___ @ eDnybaVAZ4""",2023-06-23T07:17:58.525Z,168750467852500
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-23T07:17:57.657Z,168750467765700
"""Jojo___ @ eDnybaVAZ4"" posts a big blind of 2.00",2023-06-23T07:17:56.254Z,168750467625405
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-06-23T07:17:56.254Z,168750467625404
"Player stacks: #1 ""Seneca @ 3K1udw0KZ8"" (385.00) | #6 ""Jojo___ @ eDnybaVAZ4"" (1256.69)",2023-06-23T07:17:56.254Z,168750467625401
"-- starting hand #532 (id: owwdxw4eoobh)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-06-23T07:17:56.254Z,168750467625400
"-- ending hand #531 --",2023-06-23T07:17:53.318Z,168750467331802
"""Seneca @ 3K1udw0KZ8"" collected 2.00 from pot",2023-06-23T07:17:53.318Z,168750467331801
"Uncalled bet of 1.00 returned to ""Seneca @ 3K1udw0KZ8""",2023-06-23T07:17:53.318Z,168750467331800
"""Jojo___ @ eDnybaVAZ4"" folds",2023-06-23T07:17:52.513Z,168750467251300
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-06-23T07:17:51.256Z,168750467125605
"""Jojo___ @ eDnybaVAZ4"" posts a small blind of 1.00",2023-06-23T07:17:51.256Z,168750467125604
"Player stacks: #1 ""Seneca @ 3K1udw0KZ8"" (384.00) | #6 ""Jojo___ @ eDnybaVAZ4"" (1257.69)",2023-06-23T07:17:51.256Z,168750467125601
"-- starting hand #531 (id: ir3szmekwdp7)  (No Limit Texas Hold'em) (dealer: ""Jojo___ @ eDnybaVAZ4"") --",2023-06-23T07:17:51.256Z,168750467125600
"-- ending hand #530 --",2023-06-23T07:17:45.323Z,168750466532302
