entry,at,order
"The player ""DP @ 6T4espke1S"" quits the game with a stack of 348.40.",2023-06-02T10:32:52.558Z,168570197255801
"The player ""Sushi @ 3f91MMrAMb"" stand up with the stack of 158.42.",2023-06-02T10:32:52.558Z,168570197255800
"""BP @ _zk24nnVPb"" shows a J♦, K♠, A♥, 3♠.",2023-06-02T10:32:47.931Z,168570196793100
"-- ending hand #576 --",2023-06-02T10:32:45.945Z,168570196594502
"""BP @ _zk24nnVPb"" collected 29.97 from pot",2023-06-02T10:32:45.945Z,168570196594501
"Uncalled bet of 14.98 returned to ""BP @ _zk24nnVPb""",2023-06-02T10:32:45.945Z,168570196594500
"""DP @ 6T4espke1S"" folds",2023-06-02T10:32:45.110Z,168570196511000
"""Sushi @ 3f91MMrAMb"" folds",2023-06-02T10:32:43.384Z,168570196338400
"""BP @ _zk24nnVPb"" bets 14.98",2023-06-02T10:32:42.457Z,168570196245700
"""DP @ 6T4espke1S"" checks",2023-06-02T10:32:38.708Z,168570195870800
"""Sushi @ 3f91MMrAMb"" checks",2023-06-02T10:32:36.560Z,168570195656000
"Flop:  [7♣, 2♥, J♠]",2023-06-02T10:32:33.132Z,168570195313200
"""BP @ _zk24nnVPb"" calls 9.99",2023-06-02T10:32:32.318Z,168570195231800
"""DP @ 6T4espke1S"" calls 9.99",2023-06-02T10:32:17.212Z,168570193721200
"""Sushi @ 3f91MMrAMb"" raises to 9.99",2023-06-02T10:32:15.281Z,168570193528100
"""BP @ _zk24nnVPb"" raises to 3.50",2023-06-02T10:32:07.475Z,168570192747500
"""DP @ 6T4espke1S"" posts a big blind of 1.00",2023-06-02T10:32:02.062Z,168570192206206
"""Sushi @ 3f91MMrAMb"" posts a small blind of 0.50",2023-06-02T10:32:02.062Z,168570192206205
"Player stacks: #1 ""DP @ 6T4espke1S"" (358.39) | #8 ""BP @ _zk24nnVPb"" (530.72) | #9 ""Sushi @ 3f91MMrAMb"" (168.41)",2023-06-02T10:32:02.062Z,168570192206201
"-- starting hand #576 (id: cai46dklulde)  (Pot Limit Omaha Hi) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-02T10:32:02.062Z,168570192206200
"-- ending hand #575 --",2023-06-02T10:31:56.142Z,168570191614202
"""DP @ 6T4espke1S"" collected 30.00 from pot",2023-06-02T10:31:56.142Z,168570191614201
"Uncalled bet of 15.00 returned to ""DP @ 6T4espke1S""",2023-06-02T10:31:56.142Z,168570191614200
"""BP @ _zk24nnVPb"" folds",2023-06-02T10:31:55.264Z,168570191526400
