entry,at,order
"The player ""Tomson @ 2ESe23K5Xc"" quits the game with a stack of 0.00.",2023-06-18T09:19:12.544Z,168707995254400
"-- ending hand #722 --",2023-06-18T09:19:04.541Z,168707994454102
"""Senda @ S5I5sgw_1P"" collected 52.82 from pot with Straight, 6 High on the second run  (combination: 6♥, 5♠, 4♥, 3♠, 2♥)",2023-06-18T09:19:04.541Z,168707994454101
"""Senda @ S5I5sgw_1P"" collected 52.82 from pot with Straight, 6 High (combination: 6♥, 5♠, 4♥, 3♠, 2♥)",2023-06-18T09:19:04.541Z,168707994454100
"River (second run): 2♥, 9♦, 3♠, 5♠ [10♦]",2023-06-18T09:19:00.532Z,168707994053200
"River: 2♥, 9♦, 3♠, 5♠ [Q♠]",2023-06-18T09:18:56.497Z,168707993649700
"""Senda @ S5I5sgw_1P"" shows a 4♥, 6♥.",2023-06-18T09:18:52.486Z,168707993248601
"""Tomson @ 2ESe23K5Xc"" shows a 9♣, J♣.",2023-06-18T09:18:52.486Z,168707993248600
"All players in hand choose to run it twice.",2023-06-18T09:18:51.653Z,168707993165301
"""Senda @ S5I5sgw_1P"" chooses to  run it twice.",2023-06-18T09:18:51.653Z,168707993165300
"""Tomson @ 2ESe23K5Xc"" chooses to  run it twice.",2023-06-18T09:18:50.597Z,168707993059700
"Remaining players decide whether to run it twice.",2023-06-18T09:18:49.541Z,168707992954101
"""Senda @ S5I5sgw_1P"" calls 40.82",2023-06-18T09:18:49.541Z,168707992954100
"""Tomson @ 2ESe23K5Xc"" raises to 40.82 and go all in",2023-06-18T09:18:48.021Z,168707992802100
"""Senda @ S5I5sgw_1P"" bets 12.00",2023-06-18T09:18:45.304Z,168707992530400
"""Tomson @ 2ESe23K5Xc"" checks",2023-06-18T09:18:30.647Z,168707991064700
"Turn: 2♥, 9♦, 3♠ [5♠]",2023-06-18T09:18:28.854Z,168707990885400
"""Tomson @ 2ESe23K5Xc"" calls 6.00",2023-06-18T09:18:28.043Z,168707990804300
"""Senda @ S5I5sgw_1P"" bets 6.00",2023-06-18T09:18:24.077Z,168707990407700
"""Tomson @ 2ESe23K5Xc"" checks",2023-06-18T09:18:17.643Z,168707989764300
"Flop:  [2♥, 9♦, 3♠]",2023-06-18T09:18:15.890Z,168707989589000
"""Tomson @ 2ESe23K5Xc"" calls 6.00",2023-06-18T09:18:15.067Z,168707989506700
"""Senda @ S5I5sgw_1P"" raises to 6.00",2023-06-18T09:18:14.125Z,168707989412500
"""Tomson @ 2ESe23K5Xc"" posts a big blind of 2.00",2023-06-18T09:18:11.159Z,168707989115905
"""Senda @ S5I5sgw_1P"" posts a small blind of 1.00",2023-06-18T09:18:11.159Z,168707989115904
"Player stacks: #2 ""Tomson @ 2ESe23K5Xc"" (52.82) | #10 ""Senda @ S5I5sgw_1P"" (423.25)",2023-06-18T09:18:11.159Z,168707989115901
"-- starting hand #722 (id: 9xfed6hkgrxm)  (No Limit Texas Hold'em) (dealer: ""Senda @ S5I5sgw_1P"") --",2023-06-18T09:18:11.159Z,168707989115900
"-- ending hand #721 --",2023-06-18T09:18:08.229Z,168707988822902
"""Senda @ S5I5sgw_1P"" collected 2.00 from pot",2023-06-18T09:18:08.229Z,168707988822901
"Uncalled bet of 1.00 returned to ""Senda @ S5I5sgw_1P""",2023-06-18T09:18:08.229Z,168707988822900
"""Tomson @ 2ESe23K5Xc"" folds",2023-06-18T09:18:07.358Z,168707988735800
"""Senda @ S5I5sgw_1P"" posts a big blind of 2.00",2023-06-18T09:18:05.876Z,168707988587605
"""Tomson @ 2ESe23K5Xc"" posts a small blind of 1.00",2023-06-18T09:18:05.876Z,168707988587604
"Player stacks: #2 ""Tomson @ 2ESe23K5Xc"" (53.82) | #10 ""Senda @ S5I5sgw_1P"" (422.25)",2023-06-18T09:18:05.876Z,168707988587601
