entry,at,order
"""Evan Ding @ MThp1b8ki1"" folds",2023-05-31T05:46:47.850Z,168551200785000
"""Toby @ 76KLHFOJAT"" folds",2023-05-31T03:23:28.456Z,168550340845600
"""Bowser @ 2nfte7Yn67"" posts a big blind of 2.00",2023-05-31T03:23:26.039Z,168550340603910
"Dead Small Blind",2023-05-31T03:23:26.039Z,168550340603909
"Player stacks: #4 ""Bowser @ 2nfte7Yn67"" (445.48) | #7 ""Toby @ 76KLHFOJAT"" (567.50) | #8 ""Evan Ding @ MThp1b8ki1"" (258.25)",2023-05-31T03:23:26.039Z,168550340603905
"-- starting hand #94 (id: te7twssdgrz0)  (No Limit Texas Hold'em) (dealer: ""Evan Ding @ MThp1b8ki1"") --",2023-05-31T03:23:26.039Z,168550340603904
"The player ""Action Whale @ 6GVYVlWnT4"" quits the game with a stack of 639.00.",2023-05-31T03:23:26.039Z,168550340603903
"The player ""Joe iPad @ goTXqzj-aI"" quits the game with a stack of 468.64.",2023-05-31T03:23:26.039Z,168550340603902
"The player ""Nish @ 9wZVDzU6-u"" quits the game with a stack of 296.63.",2023-05-31T03:23:26.039Z,168550340603901
"The player ""Nish @ 9wZVDzU6-u"" stand up with the stack of 296.63.",2023-05-31T03:23:26.039Z,168550340603900
"-- ending hand #93 --",2023-05-31T03:23:20.033Z,168550340003303
"""Evan Ding @ MThp1b8ki1"" shows a Q♦, A♠.",2023-05-31T03:23:20.033Z,168550340003302
"""Bowser @ 2nfte7Yn67"" collected 80.00 from pot with Two Pair, J's & 10's (combination: J♥, J♣, 10♣, 10♥, 8♣)",2023-05-31T03:23:20.033Z,168550340003301
"""Bowser @ 2nfte7Yn67"" shows a 10♣, 10♥.",2023-05-31T03:23:20.033Z,168550340003300
"""Bowser @ 2nfte7Yn67"" checks",2023-05-31T03:23:19.171Z,168550339917100
"""Evan Ding @ MThp1b8ki1"" checks",2023-05-31T03:23:18.279Z,168550339827900
"River: J♥, 4♥, 4♦, J♣ [8♣]",2023-05-31T03:23:15.541Z,168550339554100
"""Bowser @ 2nfte7Yn67"" checks",2023-05-31T03:23:14.709Z,168550339470900
"""Evan Ding @ MThp1b8ki1"" checks",2023-05-31T03:23:13.061Z,168550339306100
"Turn: J♥, 4♥, 4♦ [J♣]",2023-05-31T03:23:06.610Z,168550338661000
"""Bowser @ 2nfte7Yn67"" calls 18.00",2023-05-31T03:23:05.803Z,168550338580300
"""Evan Ding @ MThp1b8ki1"" bets 18.00",2023-05-31T03:23:03.321Z,168550338332100
"Flop:  [J♥, 4♥, 4♦]",2023-05-31T03:22:55.323Z,168550337532300
"""Bowser @ 2nfte7Yn67"" calls 21.00",2023-05-31T03:22:54.484Z,168550337448400
"""Action Whale @ 6GVYVlWnT4"" folds",2023-05-31T03:22:52.179Z,168550337217900
"""Evan Ding @ MThp1b8ki1"" raises to 21.00",2023-05-31T03:22:51.323Z,168550337132300
"The admin ""RikTop @ wAgo7xgxkb"" canceled the game stop on next hand.",2023-05-31T03:21:54.895Z,168550331489500
"The admin ""RikTop @ wAgo7xgxkb"" enqueued the game stop on next hand.",2023-05-31T03:21:34.243Z,168550329424300
"""Toby @ 76KLHFOJAT"" folds",2023-05-31T03:21:16.566Z,168550327656600
"""Bowser @ 2nfte7Yn67"" raises to 5.75",2023-05-31T03:21:09.233Z,168550326923300
"""Nish @ 9wZVDzU6-u"" folds",2023-05-31T03:21:04.996Z,168550326499600
"""Joe iPad @ goTXqzj-aI"" folds",2023-05-31T03:21:04.119Z,168550326411900
"""Action Whale @ 6GVYVlWnT4"" posts a big blind of 2.00",2023-05-31T03:21:02.491Z,168550326249109
"""Evan Ding @ MThp1b8ki1"" posts a small blind of 1.00",2023-05-31T03:21:02.491Z,168550326249108
"Player stacks: #2 ""Joe iPad @ goTXqzj-aI"" (468.64) | #3 ""Nish @ 9wZVDzU6-u"" (296.63) | #4 ""Bowser @ 2nfte7Yn67"" (404.48) | #7 ""Toby @ 76KLHFOJAT"" (567.50) | #8 ""Evan Ding @ MThp1b8ki1"" (297.25) | #9 ""Action Whale @ 6GVYVlWnT4"" (641.00)",2023-05-31T03:21:02.491Z,168550326249101
"-- starting hand #93 (id: vuc8ve5gerqt)  (No Limit Texas Hold'em) (dealer: ""Toby @ 76KLHFOJAT"") --",2023-05-31T03:21:02.491Z,168550326249100
"-- ending hand #92 --",2023-05-31T03:20:56.422Z,168550325642203
"""Action Whale @ 6GVYVlWnT4"" shows a K♠, A♦.",2023-05-31T03:20:56.422Z,168550325642202
"""Bowser @ 2nfte7Yn67"" collected 180.00 from pot with Pair, 9's (combination: 9♣, 9♠, 10♥, 8♣, 5♦)",2023-05-31T03:20:56.422Z,168550325642201
"""Bowser @ 2nfte7Yn67"" shows a 9♣, 9♠.",2023-05-31T03:20:56.422Z,168550325642200
"""Bowser @ 2nfte7Yn67"" checks",2023-05-31T03:20:55.555Z,168550325555500
"""Action Whale @ 6GVYVlWnT4"" checks",2023-05-31T03:20:54.315Z,168550325431500
"River: 3♠, 4♠, 10♥, 5♦ [8♣]",2023-05-31T03:20:48.114Z,168550324811400
"""Bowser @ 2nfte7Yn67"" checks",2023-05-31T03:20:47.288Z,168550324728800
"""Action Whale @ 6GVYVlWnT4"" checks",2023-05-31T03:20:43.101Z,168550324310100
"Turn: 3♠, 4♠, 10♥ [5♦]",2023-05-31T03:20:40.204Z,168550324020400
"""Bowser @ 2nfte7Yn67"" calls 31.00",2023-05-31T03:20:39.337Z,168550323933700
"""Action Whale @ 6GVYVlWnT4"" bets 31.00",2023-05-31T03:20:33.403Z,168550323340300
"Flop:  [3♠, 4♠, 10♥]",2023-05-31T03:20:22.379Z,168550322237900
"""Bowser @ 2nfte7Yn67"" calls 57.50",2023-05-31T03:20:21.535Z,168550322153500
"""Action Whale @ 6GVYVlWnT4"" raises to 57.50",2023-05-31T03:20:15.873Z,168550321587300
"""Evan Ding @ MThp1b8ki1"" folds",2023-05-31T03:19:52.336Z,168550319233600
"""Toby @ 76KLHFOJAT"" folds",2023-05-31T03:19:41.207Z,168550318120700
"""Bowser @ 2nfte7Yn67"" raises to 17.50",2023-05-31T03:19:27.227Z,168550316722700
"""Nish @ 9wZVDzU6-u"" folds",2023-05-31T03:19:19.704Z,168550315970400
"""Joe iPad @ goTXqzj-aI"" folds",2023-05-31T03:19:18.795Z,168550315879500
"""Action Whale @ 6GVYVlWnT4"" raises to 6.00",2023-05-31T03:19:17.902Z,168550315790200
"""Evan Ding @ MThp1b8ki1"" posts a big blind of 2.00",2023-05-31T03:19:13.182Z,168550315318209
"""Toby @ 76KLHFOJAT"" posts a small blind of 1.00",2023-05-31T03:19:13.182Z,168550315318208
"Player stacks: #2 ""Joe iPad @ goTXqzj-aI"" (468.64) | #3 ""Nish @ 9wZVDzU6-u"" (296.63) | #4 ""Bowser @ 2nfte7Yn67"" (312.98) | #7 ""Toby @ 76KLHFOJAT"" (568.50) | #8 ""Evan Ding @ MThp1b8ki1"" (299.25) | #9 ""Action Whale @ 6GVYVlWnT4"" (729.50)",2023-05-31T03:19:13.182Z,168550315318201
"-- starting hand #92 (id: 7idjgpwtslpj)  (No Limit Texas Hold'em) (dealer: ""Bowser @ 2nfte7Yn67"") --",2023-05-31T03:19:13.182Z,168550315318200
"-- ending hand #91 --",2023-05-31T03:19:10.259Z,168550315025902
"""Joe iPad @ goTXqzj-aI"" collected 38.00 from pot",2023-05-31T03:19:10.259Z,168550315025901
"Uncalled bet of 25.00 returned to ""Joe iPad @ goTXqzj-aI""",2023-05-31T03:19:10.259Z,168550315025900
"""Nish @ 9wZVDzU6-u"" folds",2023-05-31T03:19:09.379Z,168550314937900
"""Joe iPad @ goTXqzj-aI"" bets 25.00",2023-05-31T03:19:08.176Z,168550314817600
"River: 8♠, 7♥, 8♥, 3♥ [K♦]",2023-05-31T03:19:00.243Z,168550314024300
"""Toby @ 76KLHFOJAT"" folds",2023-05-31T03:18:59.364Z,168550313936400
"""Nish @ 9wZVDzU6-u"" calls 9.50",2023-05-31T03:18:57.531Z,168550313753100
"""Joe iPad @ goTXqzj-aI"" bets 9.50",2023-05-31T03:18:54.917Z,168550313491700
"""Toby @ 76KLHFOJAT"" checks",2023-05-31T03:18:51.568Z,168550313156800
"Turn: 8♠, 7♥, 8♥ [3♥]",2023-05-31T03:18:45.354Z,168550312535400
"""Nish @ 9wZVDzU6-u"" checks",2023-05-31T03:18:44.506Z,168550312450600
"""Joe iPad @ goTXqzj-aI"" checks",2023-05-31T03:18:41.247Z,168550312124700
"""Toby @ 76KLHFOJAT"" checks",2023-05-31T03:18:33.638Z,168550311363800
"Flop:  [8♠, 7♥, 8♥]",2023-05-31T03:18:32.495Z,168550311249500
"""Toby @ 76KLHFOJAT"" calls 6.00",2023-05-31T03:18:31.683Z,168550311168300
"""Bowser @ 2nfte7Yn67"" folds",2023-05-31T03:18:21.605Z,168550310160500
"""Nish @ 9wZVDzU6-u"" calls 6.00",2023-05-31T03:18:20.572Z,168550310057200
"""Joe iPad @ goTXqzj-aI"" raises to 6.00",2023-05-31T03:18:17.505Z,168550309750500
"""Action Whale @ 6GVYVlWnT4"" folds",2023-05-31T03:18:15.527Z,168550309552700
"""Evan Ding @ MThp1b8ki1"" folds",2023-05-31T03:18:13.723Z,168550309372300
"""Toby @ 76KLHFOJAT"" posts a big blind of 2.00",2023-05-31T03:18:12.661Z,168550309266109
"""Bowser @ 2nfte7Yn67"" posts a small blind of 1.00",2023-05-31T03:18:12.661Z,168550309266108
"Player stacks: #2 ""Joe iPad @ goTXqzj-aI"" (446.14) | #3 ""Nish @ 9wZVDzU6-u"" (312.13) | #4 ""Bowser @ 2nfte7Yn67"" (313.98) | #7 ""Toby @ 76KLHFOJAT"" (574.50) | #8 ""Evan Ding @ MThp1b8ki1"" (299.25) | #9 ""Action Whale @ 6GVYVlWnT4"" (729.50)",2023-05-31T03:18:12.661Z,168550309266101
"-- starting hand #91 (id: xievhybfbt7q)  (No Limit Texas Hold'em) (dealer: ""Nish @ 9wZVDzU6-u"") --",2023-05-31T03:18:12.661Z,168550309266100
"-- ending hand #90 --",2023-05-31T03:18:09.692Z,168550308969202
"""Bowser @ 2nfte7Yn67"" collected 104.00 from pot",2023-05-31T03:18:09.692Z,168550308969201
"Uncalled bet of 56.00 returned to ""Bowser @ 2nfte7Yn67""",2023-05-31T03:18:09.692Z,168550308969200
"""Nish @ 9wZVDzU6-u"" folds",2023-05-31T03:18:08.858Z,168550308885800
"""Bowser @ 2nfte7Yn67"" raises to 85.00",2023-05-31T03:18:02.373Z,168550308237300
"""Nish @ 9wZVDzU6-u"" bets 29.00",2023-05-31T03:17:52.097Z,168550307209700
"River: 9♣, 4♦, J♠, K♦ [4♣]",2023-05-31T03:17:43.135Z,168550306313500
"""Bowser @ 2nfte7Yn67"" calls 13.00",2023-05-31T03:17:42.292Z,168550306229200
"""Nish @ 9wZVDzU6-u"" bets 13.00",2023-05-31T03:17:40.123Z,168550306012300
"Turn: 9♣, 4♦, J♠ [K♦]",2023-05-31T03:17:35.331Z,168550305533100
"""Bowser @ 2nfte7Yn67"" calls 4.00",2023-05-31T03:17:34.503Z,168550305450300
"""Nish @ 9wZVDzU6-u"" bets 4.00",2023-05-31T03:17:32.099Z,168550305209900
"Flop:  [9♣, 4♦, J♠]",2023-05-31T03:17:27.152Z,168550304715200
"""Bowser @ 2nfte7Yn67"" calls 6.00",2023-05-31T03:17:26.338Z,168550304633800
"""Nish @ 9wZVDzU6-u"" raises to 6.00",2023-05-31T03:17:24.176Z,168550304417600
"""Joe iPad @ goTXqzj-aI"" folds",2023-05-31T03:17:22.105Z,168550304210500
"""Action Whale @ 6GVYVlWnT4"" folds",2023-05-31T03:17:21.181Z,168550304118100
"""Evan Ding @ MThp1b8ki1"" folds",2023-05-31T03:17:19.348Z,168550303934800
"""Toby @ 76KLHFOJAT"" folds",2023-05-31T03:17:18.507Z,168550303850700
"""Bowser @ 2nfte7Yn67"" posts a big blind of 2.00",2023-05-31T03:17:16.714Z,168550303671409
"""Nish @ 9wZVDzU6-u"" posts a small blind of 1.00",2023-05-31T03:17:16.714Z,168550303671408
"Player stacks: #2 ""Joe iPad @ goTXqzj-aI"" (446.14) | #3 ""Nish @ 9wZVDzU6-u"" (364.13) | #4 ""Bowser @ 2nfte7Yn67"" (261.98) | #7 ""Toby @ 76KLHFOJAT"" (574.50) | #8 ""Evan Ding @ MThp1b8ki1"" (299.25) | #9 ""Action Whale @ 6GVYVlWnT4"" (729.50)",2023-05-31T03:17:16.714Z,168550303671401
"-- starting hand #90 (id: gq7knpzxotgl)  (No Limit Texas Hold'em) (dealer: ""Joe iPad @ goTXqzj-aI"") --",2023-05-31T03:17:16.714Z,168550303671400
"-- ending hand #89 --",2023-05-31T03:17:10.806Z,168550303080602
"""Nish @ 9wZVDzU6-u"" collected 18.00 from pot",2023-05-31T03:17:10.806Z,168550303080601
"Uncalled bet of 20.50 returned to ""Nish @ 9wZVDzU6-u""",2023-05-31T03:17:10.806Z,168550303080600
"""Joe iPad @ goTXqzj-aI"" folds",2023-05-31T03:17:09.946Z,168550302994600
"""Evan Ding @ MThp1b8ki1"" folds",2023-05-31T03:17:09.089Z,168550302908900
"""Bowser @ 2nfte7Yn67"" folds",2023-05-31T03:17:07.568Z,168550302756800
"""Nish @ 9wZVDzU6-u"" raises to 25.00",2023-05-31T03:16:57.317Z,168550301731700
"""Joe iPad @ goTXqzj-aI"" calls 4.50",2023-05-31T03:16:50.861Z,168550301086100
"""Action Whale @ 6GVYVlWnT4"" folds",2023-05-31T03:16:46.934Z,168550300693400
"""Evan Ding @ MThp1b8ki1"" calls 4.50",2023-05-31T03:16:46.063Z,168550300606300
"""Toby @ 76KLHFOJAT"" folds",2023-05-31T03:16:43.292Z,168550300329200
