entry,at,order
"The player ""Phil @ JZNV0izPqn"" quits the game with a stack of 167.86.",2023-05-31T21:16:58.333Z,168556781833300
"The player ""Wolfman @ gqBg4dr_Ug"" quits the game with a stack of 167.43.",2023-05-31T21:16:53.057Z,168556781305701
"The player ""Don @ YyWpODWXWx"" stand up with the stack of 197.44.",2023-05-31T21:16:53.057Z,168556781305700
"-- ending hand #238 --",2023-05-31T21:16:47.113Z,168556780711302
"""Phil @ JZNV0izPqn"" collected 1.00 from pot",2023-05-31T21:16:47.113Z,168556780711301
"Uncalled bet of 0.50 returned to ""Phil @ JZNV0izPqn""",2023-05-31T21:16:47.113Z,168556780711300
"""Don @ YyWpODWXWx"" folds",2023-05-31T21:16:46.267Z,168556780626700
"""Phil @ JZNV0izPqn"" posts a big blind of 1.00",2023-05-31T21:16:44.778Z,168556780477807
"""Don @ YyWpODWXWx"" posts a small blind of 0.50",2023-05-31T21:16:44.778Z,168556780477806
"Player stacks: #5 ""Don @ YyWpODWXWx"" (197.94) | #7 ""Phil @ JZNV0izPqn"" (167.36)",2023-05-31T21:16:44.778Z,168556780477803
"-- starting hand #238 (id: jvj3axzq9u06)  (No Limit Texas Hold'em) (dealer: ""Don @ YyWpODWXWx"") --",2023-05-31T21:16:44.778Z,168556780477802
"The player ""Wolfman @ gqBg4dr_Ug"" stand up with the stack of 167.43.",2023-05-31T21:16:44.778Z,168556780477801
"The player ""mp @ Cy9TNetRde"" stand up with the stack of 88.26.",2023-05-31T21:16:44.778Z,168556780477800
"-- ending hand #237 --",2023-05-31T21:16:38.847Z,168556779884702
"""Phil @ JZNV0izPqn"" collected 3.50 from pot",2023-05-31T21:16:38.847Z,168556779884701
"Uncalled bet of 7.00 returned to ""Phil @ JZNV0izPqn""",2023-05-31T21:16:38.847Z,168556779884700
"""Don @ YyWpODWXWx"" folds",2023-05-31T21:16:38.006Z,168556779800600
"""mp @ Cy9TNetRde"" folds",2023-05-31T21:16:36.373Z,168556779637300
"""Wolfman @ gqBg4dr_Ug"" folds",2023-05-31T21:16:35.536Z,168556779553600
"""Phil @ JZNV0izPqn"" raises to 8.00",2023-05-31T21:16:30.940Z,168556779094000
"""Don @ YyWpODWXWx"" calls 1.00",2023-05-31T21:16:28.129Z,168556778812900
"""mp @ Cy9TNetRde"" posts a big blind of 1.00",2023-05-31T21:16:22.892Z,168556778289207
"""Wolfman @ gqBg4dr_Ug"" posts a small blind of 0.50",2023-05-31T21:16:22.892Z,168556778289206
"Player stacks: #1 ""Wolfman @ gqBg4dr_Ug"" (167.93) | #3 ""mp @ Cy9TNetRde"" (89.26) | #5 ""Don @ YyWpODWXWx"" (198.94) | #7 ""Phil @ JZNV0izPqn"" (164.86)",2023-05-31T21:16:22.892Z,168556778289201
"-- starting hand #237 (id: sjyrklsnn9dx)  (No Limit Texas Hold'em) (dealer: ""Phil @ JZNV0izPqn"") --",2023-05-31T21:16:22.892Z,168556778289200
"""Wolfman @ gqBg4dr_Ug"" shows a Q♥, 9♣.",2023-05-31T21:16:21.406Z,168556778140600
"-- ending hand #236 --",2023-05-31T21:16:19.231Z,168556777923102
"""Phil @ JZNV0izPqn"" collected 14.00 from pot",2023-05-31T21:16:19.231Z,168556777923101
"Uncalled bet of 14.00 returned to ""Phil @ JZNV0izPqn""",2023-05-31T21:16:19.231Z,168556777923100
"""Wolfman @ gqBg4dr_Ug"" folds",2023-05-31T21:16:18.402Z,168556777840200
"""Phil @ JZNV0izPqn"" bets 14.00",2023-05-31T21:16:14.635Z,168556777463500
"River: 7♦, 9♠, 10♠, 5♠ [8♥]",2023-05-31T21:16:12.352Z,168556777235200
"""Wolfman @ gqBg4dr_Ug"" calls 1.00",2023-05-31T21:16:11.506Z,168556777150600
"""Phil @ JZNV0izPqn"" bets 1.00",2023-05-31T21:16:10.090Z,168556777009000
"Turn: 7♦, 9♠, 10♠ [5♠]",2023-05-31T21:16:09.550Z,168556776955000
"""Wolfman @ gqBg4dr_Ug"" calls 3.00",2023-05-31T21:16:08.694Z,168556776869400
"""Phil @ JZNV0izPqn"" bets 3.00",2023-05-31T21:16:06.863Z,168556776686300
"Flop:  [7♦, 9♠, 10♠]",2023-05-31T21:16:04.613Z,168556776461300
"""Wolfman @ gqBg4dr_Ug"" calls 3.00",2023-05-31T21:16:03.796Z,168556776379600
"""Phil @ JZNV0izPqn"" raises to 3.00",2023-05-31T21:15:34.130Z,168556773413000
"""Don @ YyWpODWXWx"" folds",2023-05-31T21:15:32.451Z,168556773245100
"""mp @ Cy9TNetRde"" folds",2023-05-31T21:15:31.511Z,168556773151100
"""Wolfman @ gqBg4dr_Ug"" posts a big blind of 1.00",2023-05-31T21:15:29.891Z,168556772989107
"""Phil @ JZNV0izPqn"" posts a small blind of 0.50",2023-05-31T21:15:29.891Z,168556772989106
"Player stacks: #1 ""Wolfman @ gqBg4dr_Ug"" (174.93) | #3 ""mp @ Cy9TNetRde"" (89.26) | #5 ""Don @ YyWpODWXWx"" (198.94) | #7 ""Phil @ JZNV0izPqn"" (157.86)",2023-05-31T21:15:29.891Z,168556772989101
"-- starting hand #236 (id: 2bgqbatae8wi)  (No Limit Texas Hold'em) (dealer: ""Don @ YyWpODWXWx"") --",2023-05-31T21:15:29.891Z,168556772989100
"-- ending hand #235 --",2023-05-31T21:15:23.962Z,168556772396202
"""Wolfman @ gqBg4dr_Ug"" collected 19.00 from pot",2023-05-31T21:15:23.962Z,168556772396201
