entry,at,order
"The player ""MI @ YyWpODWXWx"" quits the game with a stack of 0.00.",2023-05-23T08:06:20.971Z,168482918097100
"-- ending hand #662 --",2023-05-23T08:06:14.965Z,168482917496501
"""Stuart @ rBxx2OqQ80"" collected 180.00 from pot with Three of a Kind, A's (combination: A♥, A♣, A♠, K♦, 9♠)",2023-05-23T08:06:14.965Z,168482917496500
"River: A♣, 9♠, 3♠, 8♥ [A♠]",2023-05-23T08:06:10.961Z,168482917096100
"Turn: A♣, 9♠, 3♠ [8♥]",2023-05-23T08:06:06.955Z,168482916695500
"Flop:  [A♣, 9♠, 3♠]",2023-05-23T08:06:02.889Z,168482916288900
"""Stuart @ rBxx2OqQ80"" shows a A♥, K♦.",2023-05-23T08:05:58.883Z,168482915888301
"""MI @ YyWpODWXWx"" shows a 6♠, 6♣.",2023-05-23T08:05:58.883Z,168482915888300
"Some players choose to not run it twice.",2023-05-23T08:05:58.067Z,168482915806701
"""Stuart @ rBxx2OqQ80"" chooses to not run it twice.",2023-05-23T08:05:58.067Z,168482915806700
"Remaining players decide whether to run it twice.",2023-05-23T08:05:56.113Z,168482915611301
"""MI @ YyWpODWXWx"" calls 90.00 and go all in",2023-05-23T08:05:56.113Z,168482915611300
"""Stuart @ rBxx2OqQ80"" raises to 90.00",2023-05-23T08:05:15.263Z,168482911526300
"""MI @ YyWpODWXWx"" raises to 6.00",2023-05-23T08:05:11.386Z,168482911138600
"""Stuart @ rBxx2OqQ80"" posts a big blind of 2.00",2023-05-23T08:05:08.482Z,168482910848205
"""MI @ YyWpODWXWx"" posts a small blind of 1.00",2023-05-23T08:05:08.482Z,168482910848204
"Player stacks: #7 ""MI @ YyWpODWXWx"" (90.00) | #9 ""Stuart @ rBxx2OqQ80"" (497.37)",2023-05-23T08:05:08.482Z,168482910848201
"-- starting hand #662 (id: skbqnmeuwym4)  (No Limit Texas Hold'em) (dealer: ""MI @ YyWpODWXWx"") --",2023-05-23T08:05:08.482Z,168482910848200
"-- ending hand #661 --",2023-05-23T08:05:02.508Z,168482910250802
"""Stuart @ rBxx2OqQ80"" collected 4.00 from pot",2023-05-23T08:05:02.508Z,168482910250801
"Uncalled bet of 3.00 returned to ""Stuart @ rBxx2OqQ80""",2023-05-23T08:05:02.508Z,168482910250800
"""MI @ YyWpODWXWx"" folds",2023-05-23T08:05:01.604Z,168482910160400
"""Stuart @ rBxx2OqQ80"" bets 3.00",2023-05-23T08:05:00.551Z,168482910055100
"""MI @ YyWpODWXWx"" checks",2023-05-23T08:04:57.526Z,168482909752600
"Flop:  [7♦, 4♥, 5♦]",2023-05-23T08:04:55.960Z,168482909596000
"""MI @ YyWpODWXWx"" checks",2023-05-23T08:04:55.148Z,168482909514800
"""Stuart @ rBxx2OqQ80"" calls 2.00",2023-05-23T08:04:52.429Z,168482909242900
"""MI @ YyWpODWXWx"" posts a big blind of 2.00",2023-05-23T08:04:50.758Z,168482909075805
"""Stuart @ rBxx2OqQ80"" posts a small blind of 1.00",2023-05-23T08:04:50.758Z,168482909075804
"Player stacks: #7 ""MI @ YyWpODWXWx"" (92.00) | #9 ""Stuart @ rBxx2OqQ80"" (495.37)",2023-05-23T08:04:50.758Z,168482909075801
"-- starting hand #661 (id: otl8wdhs4w6u)  (No Limit Texas Hold'em) (dealer: ""Stuart @ rBxx2OqQ80"") --",2023-05-23T08:04:50.758Z,168482909075800
"-- ending hand #660 --",2023-05-23T08:04:44.834Z,168482908483402
"""Stuart @ rBxx2OqQ80"" collected 2.00 from pot",2023-05-23T08:04:44.834Z,168482908483401
"Uncalled bet of 1.00 returned to ""Stuart @ rBxx2OqQ80""",2023-05-23T08:04:44.834Z,168482908483400
"""MI @ YyWpODWXWx"" folds",2023-05-23T08:04:43.990Z,168482908399000
"""Stuart @ rBxx2OqQ80"" posts a big blind of 2.00",2023-05-23T08:04:42.854Z,168482908285405
"""MI @ YyWpODWXWx"" posts a small blind of 1.00",2023-05-23T08:04:42.854Z,168482908285404
"Player stacks: #7 ""MI @ YyWpODWXWx"" (93.00) | #9 ""Stuart @ rBxx2OqQ80"" (494.37)",2023-05-23T08:04:42.854Z,168482908285401
