entry,at,order
"The player ""Wolfman @ TqiNrG8_Kk"" quits the game with a stack of 592.",2023-06-01T02:38:02.199Z,168558708219900
"The player ""Wolfman @ TqiNrG8_Kk"" stand up with the stack of 592.",2023-06-01T02:37:12.577Z,168558703257701
"The player ""Pudge @ YV6PH7qXc7"" stand up with the stack of 755.",2023-06-01T02:37:12.577Z,168558703257700
"-- ending hand #127 --",2023-06-01T02:37:06.620Z,168558702662002
"""Pudge @ YV6PH7qXc7"" collected 2 from pot",2023-06-01T02:37:06.620Z,168558702662001
"Uncalled bet of 2 returned to ""Pudge @ YV6PH7qXc7""",2023-06-01T02:37:06.620Z,168558702662000
"""Wolfman @ TqiNrG8_Kk"" folds",2023-06-01T02:37:05.784Z,168558702578400
"""Pudge @ YV6PH7qXc7"" posts a big blind of 3",2023-06-01T02:36:53.299Z,168558701329906
"""Wolfman @ TqiNrG8_Kk"" posts a small blind of 1",2023-06-01T02:36:53.299Z,168558701329905
"Player stacks: #4 ""Wolfman @ TqiNrG8_Kk"" (593) | #8 ""Pudge @ YV6PH7qXc7"" (754)",2023-06-01T02:36:53.299Z,168558701329902
"-- starting hand #127 (id: sxhtn0clvlqg)  (No Limit Texas Hold'em) (dealer: ""Wolfman @ TqiNrG8_Kk"") --",2023-06-01T02:36:53.299Z,168558701329901
"The player ""Harrisonp @ tho0llqapm"" stand up with the stack of 755.",2023-06-01T02:36:53.299Z,168558701329900
"-- ending hand #126 --",2023-06-01T02:36:50.341Z,168558701034102
"""Wolfman @ TqiNrG8_Kk"" collected 17 from pot",2023-06-01T02:36:50.341Z,168558701034101
"Uncalled bet of 11 returned to ""Wolfman @ TqiNrG8_Kk""",2023-06-01T02:36:50.341Z,168558701034100
"""Harrisonp @ tho0llqapm"" folds",2023-06-01T02:36:49.501Z,168558700950100
"""Wolfman @ TqiNrG8_Kk"" bets 11",2023-06-01T02:36:44.981Z,168558700498100
"""Harrisonp @ tho0llqapm"" checks",2023-06-01T02:36:38.568Z,168558699856800
"River: 8♣, 9♠, 3♥, 10♥ [6♠]",2023-06-01T02:36:33.393Z,168558699339300
"""Harrisonp @ tho0llqapm"" calls 5",2023-06-01T02:36:32.532Z,168558699253200
"""Wolfman @ TqiNrG8_Kk"" bets 5",2023-06-01T02:36:26.862Z,168558698686200
"""Harrisonp @ tho0llqapm"" checks",2023-06-01T02:36:20.115Z,168558698011500
"Turn: 8♣, 9♠, 3♥ [10♥]",2023-06-01T02:36:16.561Z,168558697656100
"""Wolfman @ TqiNrG8_Kk"" checks",2023-06-01T02:36:15.742Z,168558697574200
"""Harrisonp @ tho0llqapm"" checks",2023-06-01T02:36:11.130Z,168558697113000
"Flop:  [8♣, 9♠, 3♥]",2023-06-01T02:36:03.953Z,168558696395300
"""Wolfman @ TqiNrG8_Kk"" checks",2023-06-01T02:36:03.110Z,168558696311000
"""Harrisonp @ tho0llqapm"" checks",2023-06-01T02:35:58.696Z,168558695869600
"""Pudge @ YV6PH7qXc7"" folds",2023-06-01T02:35:56.810Z,168558695681000
"""Harrisonp @ tho0llqapm"" posts a missed big blind of 3",2023-06-01T02:35:55.462Z,168558695546209
"""Harrisonp @ tho0llqapm"" posts a missing small blind of 1",2023-06-01T02:35:55.462Z,168558695546208
"""Wolfman @ TqiNrG8_Kk"" posts a big blind of 3",2023-06-01T02:35:55.462Z,168558695546207
"""Harrisonp @ tho0llqapm"" posts a small blind of 1",2023-06-01T02:35:55.462Z,168558695546206
"Player stacks: #1 ""Harrisonp @ tho0llqapm"" (764) | #4 ""Wolfman @ TqiNrG8_Kk"" (584) | #8 ""Pudge @ YV6PH7qXc7"" (754)",2023-06-01T02:35:55.462Z,168558695546202
"-- starting hand #126 (id: fyfjnmm0f4el)  (No Limit Texas Hold'em) (dealer: ""Pudge @ YV6PH7qXc7"") --",2023-06-01T02:35:55.462Z,168558695546201
"The player ""Harrisonp @ tho0llqapm"" joined the game with a stack of 764.",2023-06-01T02:35:55.462Z,168558695546200
"-- ending hand #125 --",2023-06-01T02:35:49.452Z,168558694945202
"""Wolfman @ TqiNrG8_Kk"" collected 19 from pot with Pair, Q's (combination: Q♠, Q♦, A♥, J♦, 6♥)",2023-06-01T02:35:49.452Z,168558694945201
"""Wolfman @ TqiNrG8_Kk"" shows a 6♥, Q♠.",2023-06-01T02:35:49.452Z,168558694945200
"""Wolfman @ TqiNrG8_Kk"" checks",2023-06-01T02:35:48.625Z,168558694862500
"""Pudge @ YV6PH7qXc7"" checks",2023-06-01T02:35:46.211Z,168558694621100
"River: Q♦, A♥, 4♠, 2♣ [J♦]",2023-06-01T02:35:45.605Z,168558694560500
"""Pudge @ YV6PH7qXc7"" calls 6",2023-06-01T02:35:44.749Z,168558694474900
"The player ""Harrisonp @ tho0llqapm"" sit back with the stack of 764.",2023-06-01T02:35:43.887Z,168558694388700
"""Wolfman @ TqiNrG8_Kk"" bets 6",2023-06-01T02:35:41.319Z,168558694131900
"""Pudge @ YV6PH7qXc7"" checks",2023-06-01T02:35:35.908Z,168558693590800
"Turn: Q♦, A♥, 4♠ [2♣]",2023-06-01T02:35:34.711Z,168558693471100
"""Wolfman @ TqiNrG8_Kk"" checks",2023-06-01T02:35:33.903Z,168558693390300
"""Pudge @ YV6PH7qXc7"" checks",2023-06-01T02:35:29.557Z,168558692955700
"Flop:  [Q♦, A♥, 4♠]",2023-06-01T02:35:28.505Z,168558692850500
"""Pudge @ YV6PH7qXc7"" checks",2023-06-01T02:35:27.649Z,168558692764900
"""Wolfman @ TqiNrG8_Kk"" calls 3",2023-06-01T02:35:26.104Z,168558692610400
