entry,at,order
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the game stop on next hand.",2023-06-12T05:31:53.312Z,168654791331200
"""Rich @ 74LHX2xiDT"" shows a 8♦, 2♣.",2023-06-12T05:31:49.332Z,168654790933200
"-- ending hand #421 --",2023-06-12T05:31:46.883Z,168654790688302
"""Lou @ zd41TAZvP-"" collected 2.50 from pot",2023-06-12T05:31:46.883Z,168654790688301
"Uncalled bet of 2.50 returned to ""Lou @ zd41TAZvP-""",2023-06-12T05:31:46.883Z,168654790688300
"""Rich @ 74LHX2xiDT"" folds",2023-06-12T05:31:46.028Z,168654790602800
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-12T05:31:45.124Z,168654790512400
"""Lou @ zd41TAZvP-"" raises to 3.50",2023-06-12T05:31:38.194Z,168654789819400
"""Rich @ 74LHX2xiDT"" posts a big blind of 1.00",2023-06-12T05:31:35.272Z,168654789527206
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-12T05:31:35.272Z,168654789527205
"Player stacks: #2 ""Rich @ 74LHX2xiDT"" (142.62) | #3 ""Lou @ zd41TAZvP-"" (104.21) | #7 ""Shlapp @ ZWO9_p1DU9"" (341.49)",2023-06-12T05:31:35.272Z,168654789527201
"-- starting hand #421 (id: yi8elraox4xn)  (No Limit Texas Hold'em) (dealer: ""Lou @ zd41TAZvP-"") --",2023-06-12T05:31:35.272Z,168654789527200
"-- ending hand #420 --",2023-06-12T05:31:29.336Z,168654788933602
"""Rich @ 74LHX2xiDT"" collected 17.00 from pot",2023-06-12T05:31:29.336Z,168654788933601
"Uncalled bet of 9.50 returned to ""Rich @ 74LHX2xiDT""",2023-06-12T05:31:29.336Z,168654788933600
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-12T05:31:28.482Z,168654788848200
"""Rich @ 74LHX2xiDT"" bets 9.50",2023-06-12T05:31:27.469Z,168654788746900
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-12T05:31:19.336Z,168654787933600
"Turn: J♥, 7♠, Q♦ [K♠]",2023-06-12T05:31:17.319Z,168654787731900
"""Lou @ zd41TAZvP-"" folds",2023-06-12T05:31:16.456Z,168654787645600
"""Rich @ 74LHX2xiDT"" calls 4.00",2023-06-12T05:31:15.419Z,168654787541900
"""Shlapp @ ZWO9_p1DU9"" bets 4.00",2023-06-12T05:31:13.138Z,168654787313800
"""Lou @ zd41TAZvP-"" checks",2023-06-12T05:31:06.313Z,168654786631300
"Flop:  [J♥, 7♠, Q♦]",2023-06-12T05:31:04.552Z,168654786455200
"""Shlapp @ ZWO9_p1DU9"" calls 3.00",2023-06-12T05:31:03.697Z,168654786369700
"""Lou @ zd41TAZvP-"" calls 3.00",2023-06-12T05:31:02.399Z,168654786239900
"""Rich @ 74LHX2xiDT"" raises to 3.00",2023-06-12T05:31:01.260Z,168654786126000
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-06-12T05:30:58.132Z,168654785813206
"""Lou @ zd41TAZvP-"" posts a small blind of 0.50",2023-06-12T05:30:58.132Z,168654785813205
"Player stacks: #2 ""Rich @ 74LHX2xiDT"" (132.62) | #3 ""Lou @ zd41TAZvP-"" (107.21) | #7 ""Shlapp @ ZWO9_p1DU9"" (348.49)",2023-06-12T05:30:58.132Z,168654785813201
"-- starting hand #420 (id: casi6zkiknv8)  (No Limit Texas Hold'em) (dealer: ""Rich @ 74LHX2xiDT"") --",2023-06-12T05:30:58.132Z,168654785813200
"-- ending hand #419 --",2023-06-12T05:30:52.182Z,168654785218202
"""Lou @ zd41TAZvP-"" collected 1.00 from pot",2023-06-12T05:30:52.182Z,168654785218201
"Uncalled bet of 0.50 returned to ""Lou @ zd41TAZvP-""",2023-06-12T05:30:52.182Z,168654785218200
"""Rich @ 74LHX2xiDT"" folds",2023-06-12T05:30:51.371Z,168654785137100
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-12T05:30:49.557Z,168654784955700
"""Lou @ zd41TAZvP-"" posts a big blind of 1.00",2023-06-12T05:30:48.121Z,168654784812106
"""Rich @ 74LHX2xiDT"" posts a small blind of 0.50",2023-06-12T05:30:48.121Z,168654784812105
"Player stacks: #2 ""Rich @ 74LHX2xiDT"" (133.12) | #3 ""Lou @ zd41TAZvP-"" (106.71) | #7 ""Shlapp @ ZWO9_p1DU9"" (348.49)",2023-06-12T05:30:48.121Z,168654784812101
"-- starting hand #419 (id: ivffeb2pkabe)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-06-12T05:30:48.121Z,168654784812100
"-- ending hand #418 --",2023-06-12T05:30:42.167Z,168654784216702
"""Lou @ zd41TAZvP-"" collected 2.50 from pot",2023-06-12T05:30:42.167Z,168654784216701
"Uncalled bet of 2.00 returned to ""Lou @ zd41TAZvP-""",2023-06-12T05:30:42.167Z,168654784216700
"""Rich @ 74LHX2xiDT"" folds",2023-06-12T05:30:41.348Z,168654784134800
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-12T05:30:39.308Z,168654783930800
"""Lou @ zd41TAZvP-"" raises to 3.00",2023-06-12T05:30:36.277Z,168654783627700
"""Rich @ 74LHX2xiDT"" posts a big blind of 1.00",2023-06-12T05:30:33.757Z,168654783375706
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-12T05:30:33.757Z,168654783375705
