entry,at,order
"The player ""Brax @ cdDGF7Uqb5"" stand up with the stack of 444.38.",2023-06-24T00:27:17.679Z,168756643767900
"""Shlapp @ ZWO9_p1DU9"" shows a 7♥, 6♥.",2023-06-24T00:27:14.908Z,168756643490800
"-- ending hand #552 --",2023-06-24T00:27:14.076Z,168756643407602
"""Shlapp @ ZWO9_p1DU9"" collected 8.00 from pot",2023-06-24T00:27:14.076Z,168756643407601
"Uncalled bet of 4.00 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-24T00:27:14.076Z,168756643407600
"""Brax @ cdDGF7Uqb5"" folds",2023-06-24T00:27:13.225Z,168756643322500
"""Shlapp @ ZWO9_p1DU9"" bets 4.00",2023-06-24T00:27:09.295Z,168756642929500
"""Brax @ cdDGF7Uqb5"" checks",2023-06-24T00:27:05.968Z,168756642596800
"Flop:  [5♦, 4♦, 8♠]",2023-06-24T00:26:59.442Z,168756641944200
"""Brax @ cdDGF7Uqb5"" calls 4.00",2023-06-24T00:26:58.601Z,168756641860100
"""Shlapp @ ZWO9_p1DU9"" raises to 4.00",2023-06-24T00:26:56.273Z,168756641627300
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the game stop on next hand.",2023-06-24T00:26:54.050Z,168756641405000
"""Brax @ cdDGF7Uqb5"" posts a big blind of 1.00",2023-06-24T00:26:51.127Z,168756641112705
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-24T00:26:51.127Z,168756641112704
"Player stacks: #5 ""Shlapp @ ZWO9_p1DU9"" (363.00) | #6 ""Brax @ cdDGF7Uqb5"" (448.38)",2023-06-24T00:26:51.127Z,168756641112701
"-- starting hand #552 (id: voylqokffrn5)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-06-24T00:26:51.127Z,168756641112700
"-- ending hand #551 --",2023-06-24T00:26:48.216Z,168756640821602
"""Shlapp @ ZWO9_p1DU9"" collected 5.00 from pot",2023-06-24T00:26:48.216Z,168756640821601
"Uncalled bet of 3.00 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-24T00:26:48.216Z,168756640821600
"""Brax @ cdDGF7Uqb5"" folds",2023-06-24T00:26:47.383Z,168756640738300
"""Shlapp @ ZWO9_p1DU9"" bets 3.00",2023-06-24T00:26:45.749Z,168756640574900
"Flop:  [6♣, 2♣, 7♦]",2023-06-24T00:26:42.513Z,168756640251300
"""Shlapp @ ZWO9_p1DU9"" calls 2.50",2023-06-24T00:26:41.705Z,168756640170500
"""Brax @ cdDGF7Uqb5"" raises to 2.50",2023-06-24T00:26:39.953Z,168756639995300
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-06-24T00:26:36.109Z,168756639610905
"""Brax @ cdDGF7Uqb5"" posts a small blind of 0.50",2023-06-24T00:26:36.109Z,168756639610904
"Player stacks: #5 ""Shlapp @ ZWO9_p1DU9"" (360.50) | #6 ""Brax @ cdDGF7Uqb5"" (450.88)",2023-06-24T00:26:36.109Z,168756639610901
"-- starting hand #551 (id: 09u8n7jcojrh)  (No Limit Texas Hold'em) (dealer: ""Brax @ cdDGF7Uqb5"") --",2023-06-24T00:26:36.109Z,168756639610900
"""Brax @ cdDGF7Uqb5"" shows a A♦, K♠.",2023-06-24T00:26:35.034Z,168756639503400
"""Shlapp @ ZWO9_p1DU9"" shows a 4♦, 4♣.",2023-06-24T00:26:33.732Z,168756639373200
"-- ending hand #550 --",2023-06-24T00:26:31.779Z,168756639177902
"""Brax @ cdDGF7Uqb5"" collected 40.00 from pot",2023-06-24T00:26:31.779Z,168756639177901
"Uncalled bet of 20.00 returned to ""Brax @ cdDGF7Uqb5""",2023-06-24T00:26:31.779Z,168756639177900
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-24T00:26:30.956Z,168756639095600
"""Brax @ cdDGF7Uqb5"" bets 20.00",2023-06-24T00:26:29.567Z,168756638956700
"Flop:  [K♦, J♣, 2♣]",2023-06-24T00:26:19.261Z,168756637926100
"""Shlapp @ ZWO9_p1DU9"" calls 20.00",2023-06-24T00:26:18.388Z,168756637838800
"""Brax @ cdDGF7Uqb5"" raises to 20.00",2023-06-24T00:26:16.948Z,168756637694800
"""Shlapp @ ZWO9_p1DU9"" raises to 4.00",2023-06-24T00:26:12.877Z,168756637287700
"""Brax @ cdDGF7Uqb5"" posts a big blind of 1.00",2023-06-24T00:26:10.557Z,168756637055705
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-24T00:26:10.557Z,168756637055704
"Player stacks: #5 ""Shlapp @ ZWO9_p1DU9"" (380.50) | #6 ""Brax @ cdDGF7Uqb5"" (430.88)",2023-06-24T00:26:10.557Z,168756637055701
