entry,at,order
"The player ""Goml @ yCc6EHXDdZ"" quits the game with a stack of 0.00.",2023-05-28T09:26:23.941Z,168526598394101
"The player ""Bowser @ rBxx2OqQ80"" stand up with the stack of 759.50.",2023-05-28T09:26:23.941Z,168526598394100
"-- ending hand #494 --",2023-05-28T09:26:17.935Z,168526597793501
"""Bowser @ rBxx2OqQ80"" collected 119.50 from pot with Two Pair, K's & 4's (combination: K♣, K♥, 4♣, 4♠, 9♠)",2023-05-28T09:26:17.935Z,168526597793500
"River: 8♣, 9♠, 7♥, 4♣ [4♠]",2023-05-28T09:26:13.931Z,168526597393100
"Turn: 8♣, 9♠, 7♥ [4♣]",2023-05-28T09:26:09.923Z,168526596992300
"""Bowser @ rBxx2OqQ80"" shows a K♣, K♥.",2023-05-28T09:26:05.868Z,168526596586801
"""Goml @ yCc6EHXDdZ"" shows a 10♥, 5♥.",2023-05-28T09:26:05.868Z,168526596586800
"Some players choose to not run it twice.",2023-05-28T09:26:04.987Z,168526596498701
"""Bowser @ rBxx2OqQ80"" chooses to not run it twice.",2023-05-28T09:26:04.987Z,168526596498700
"""Goml @ yCc6EHXDdZ"" chooses to  run it twice.",2023-05-28T09:26:04.576Z,168526596457600
"Remaining players decide whether to run it twice.",2023-05-28T09:26:03.609Z,168526596360901
"""Bowser @ rBxx2OqQ80"" calls 53.50",2023-05-28T09:26:03.609Z,168526596360900
"""Goml @ yCc6EHXDdZ"" raises to 53.50 and go all in",2023-05-28T09:26:02.341Z,168526596234100
"""Bowser @ rBxx2OqQ80"" bets 8.25",2023-05-28T09:25:59.990Z,168526595999000
"""Goml @ yCc6EHXDdZ"" checks",2023-05-28T09:25:55.396Z,168526595539600
"Flop:  [8♣, 9♠, 7♥]",2023-05-28T09:25:52.853Z,168526595285300
"""Goml @ yCc6EHXDdZ"" calls 5.75",2023-05-28T09:25:51.974Z,168526595197400
"""Time to GAMBOL @ IjZYxWfJf8"" folds",2023-05-28T09:25:50.614Z,168526595061400
"""Bowser @ rBxx2OqQ80"" raises to 5.75",2023-05-28T09:25:48.558Z,168526594855800
"""Goml @ yCc6EHXDdZ"" posts a big blind of 2.00",2023-05-28T09:25:44.444Z,168526594444406
