entry,at,order
"The admin ""Nish @ 6bYxv1rfoG"" enqueued the game stop on next hand.",2023-05-26T23:11:52.299Z,168514271229900
"""Sungie @ 3Nnrb1LXZK"" shows a 9♥, 9♣, 8♥, 6♦.",2023-05-26T23:11:50.411Z,168514271041100
"-- ending hand #54 --",2023-05-26T23:11:49.019Z,168514270901902
"""Jacob @ TZtQKfCkjz"" collected 35.00 from pot",2023-05-26T23:11:49.019Z,168514270901901
"Uncalled bet of 17.50 returned to ""Jacob @ TZtQKfCkjz""",2023-05-26T23:11:49.019Z,168514270901900
"""Howell @ t1dQ9HoySl"" folds",2023-05-26T23:11:48.177Z,168514270817700
"""Nish @ 6bYxv1rfoG"" folds",2023-05-26T23:11:45.246Z,168514270524600
"""Jacob @ TZtQKfCkjz"" bets 17.50",2023-05-26T23:11:42.956Z,168514270295600
"""Howell @ t1dQ9HoySl"" checks",2023-05-26T23:11:38.956Z,168514269895600
"River: Q♥, 7♥, A♣, 9♠ [10♥]",2023-05-26T23:11:36.106Z,168514269610600
"""Nish @ 6bYxv1rfoG"" checks",2023-05-26T23:11:35.287Z,168514269528700
"""Jacob @ TZtQKfCkjz"" checks",2023-05-26T23:11:32.919Z,168514269291900
"""Howell @ t1dQ9HoySl"" checks",2023-05-26T23:11:30.564Z,168514269056400
"Turn: Q♥, 7♥, A♣ [9♠]",2023-05-26T23:11:28.599Z,168514268859900
"""Sungie @ 3Nnrb1LXZK"" folds",2023-05-26T23:11:27.778Z,168514268777800
"""RB @ 2Ipj9Guzph"" folds",2023-05-26T23:11:26.890Z,168514268689000
"""Nish @ 6bYxv1rfoG"" calls 8.75",2023-05-26T23:11:25.806Z,168514268580600
"""Jacob @ TZtQKfCkjz"" calls 8.75",2023-05-26T23:11:22.925Z,168514268292500
"""Howell @ t1dQ9HoySl"" bets 8.75",2023-05-26T23:11:21.377Z,168514268137700
"Flop:  [Q♥, 7♥, A♣]",2023-05-26T23:11:11.288Z,168514267128800
"""Jacob @ TZtQKfCkjz"" calls 1.75",2023-05-26T23:11:10.437Z,168514267043700
"""Howell @ t1dQ9HoySl"" calls 1.75",2023-05-26T23:11:08.635Z,168514266863500
"""Sungie @ 3Nnrb1LXZK"" calls 1.75",2023-05-26T23:10:55.975Z,168514265597500
"""RB @ 2Ipj9Guzph"" calls 1.75",2023-05-26T23:10:52.778Z,168514265277800
"""Nish @ 6bYxv1rfoG"" raises to 1.75",2023-05-26T23:10:51.006Z,168514265100600
"""Jacob @ TZtQKfCkjz"" posts a big blind of 0.50",2023-05-26T23:10:47.280Z,168514264728008
"""Howell @ t1dQ9HoySl"" posts a small blind of 0.25",2023-05-26T23:10:47.280Z,168514264728007
"Player stacks: #1 ""RB @ 2Ipj9Guzph"" (131.91) | #2 ""Sungie @ 3Nnrb1LXZK"" (449.18) | #3 ""Howell @ t1dQ9HoySl"" (92.89) | #9 ""Jacob @ TZtQKfCkjz"" (105.74) | #10 ""Nish @ 6bYxv1rfoG"" (30.28)",2023-05-26T23:10:47.280Z,168514264728001
"-- starting hand #54 (id: nc36ddg8b7km)  (Pot Limit Omaha Hi) (dealer: ""Sungie @ 3Nnrb1LXZK"") --",2023-05-26T23:10:47.280Z,168514264728000
"""Sungie @ 3Nnrb1LXZK"" shows a 10♠, 4♥, A♣, J♠.",2023-05-26T23:10:45.182Z,168514264518200
"""Jacob @ TZtQKfCkjz"" shows a 10♥, 2♦, 4♦, A♦.",2023-05-26T23:10:43.589Z,168514264358900
"-- ending hand #53 --",2023-05-26T23:10:42.953Z,168514264295302
"""Sungie @ 3Nnrb1LXZK"" collected 112.00 from pot",2023-05-26T23:10:42.953Z,168514264295301
"Uncalled bet of 32.55 returned to ""Sungie @ 3Nnrb1LXZK""",2023-05-26T23:10:42.953Z,168514264295300
"""Nish @ 6bYxv1rfoG"" folds",2023-05-26T23:10:42.126Z,168514264212600
"""Jacob @ TZtQKfCkjz"" folds",2023-05-26T23:10:34.232Z,168514263423200
"""Sungie @ 3Nnrb1LXZK"" bets 32.55",2023-05-26T23:10:28.628Z,168514262862800
"River: Q♣, J♥, 7♦, J♦ [K♠]",2023-05-26T23:10:16.819Z,168514261681900
"""Nish @ 6bYxv1rfoG"" calls 28.00",2023-05-26T23:10:16.007Z,168514261600700
"""Jacob @ TZtQKfCkjz"" calls 28.00",2023-05-26T23:10:05.745Z,168514260574500
"""Sungie @ 3Nnrb1LXZK"" bets 28.00",2023-05-26T23:10:02.537Z,168514260253700
"Turn: Q♣, J♥, 7♦ [J♦]",2023-05-26T23:09:57.994Z,168514259799400
"""Nish @ 6bYxv1rfoG"" calls 6.00",2023-05-26T23:09:57.151Z,168514259715100
"""Jacob @ TZtQKfCkjz"" calls 6.00",2023-05-26T23:09:55.205Z,168514259520500
"""Howell @ t1dQ9HoySl"" folds",2023-05-26T23:09:54.214Z,168514259421400
"""Sungie @ 3Nnrb1LXZK"" bets 6.00",2023-05-26T23:09:49.501Z,168514258950100
"Flop:  [Q♣, J♥, 7♦]",2023-05-26T23:09:42.261Z,168514258226100
"""Nish @ 6bYxv1rfoG"" calls 2.50",2023-05-26T23:09:41.448Z,168514258144800
"""Jacob @ TZtQKfCkjz"" calls 2.50",2023-05-26T23:09:39.469Z,168514257946900
"""Howell @ t1dQ9HoySl"" calls 2.50",2023-05-26T23:09:35.633Z,168514257563300
"""Sungie @ 3Nnrb1LXZK"" raises to 2.50",2023-05-26T23:09:29.170Z,168514256917000
"""RB @ 2Ipj9Guzph"" folds",2023-05-26T23:09:26.811Z,168514256681100
"""Nish @ 6bYxv1rfoG"" calls 0.50",2023-05-26T23:09:25.908Z,168514256590800
"""Jacob @ TZtQKfCkjz"" calls 0.50",2023-05-26T23:09:23.731Z,168514256373100
"""Howell @ t1dQ9HoySl"" posts a big blind of 0.50",2023-05-26T23:09:20.357Z,168514256035708
"""Sungie @ 3Nnrb1LXZK"" posts a small blind of 0.25",2023-05-26T23:09:20.357Z,168514256035707
"Player stacks: #1 ""RB @ 2Ipj9Guzph"" (131.91) | #2 ""Sungie @ 3Nnrb1LXZK"" (373.68) | #3 ""Howell @ t1dQ9HoySl"" (95.39) | #9 ""Jacob @ TZtQKfCkjz"" (142.24) | #10 ""Nish @ 6bYxv1rfoG"" (66.78)",2023-05-26T23:09:20.357Z,168514256035701
"-- starting hand #53 (id: admnixwpaii2)  (Pot Limit Omaha Hi) (dealer: ""RB @ 2Ipj9Guzph"") --",2023-05-26T23:09:20.357Z,168514256035700
"""Sungie @ 3Nnrb1LXZK"" shows a 5♣, Q♠, 10♥, 7♠.",2023-05-26T23:09:19.011Z,168514255901100
"""Nish @ 6bYxv1rfoG"" shows a 5♦, A♥, 10♠, 9♠.",2023-05-26T23:09:17.807Z,168514255780700
"-- ending hand #52 --",2023-05-26T23:09:12.943Z,168514255294302
"""Nish @ 6bYxv1rfoG"" collected 25.00 from pot",2023-05-26T23:09:12.943Z,168514255294301
"Uncalled bet of 12.50 returned to ""Nish @ 6bYxv1rfoG""",2023-05-26T23:09:12.943Z,168514255294300
"""Jacob @ TZtQKfCkjz"" folds",2023-05-26T23:09:12.041Z,168514255204100
"""Sungie @ 3Nnrb1LXZK"" folds",2023-05-26T23:09:11.120Z,168514255112000
"""Nish @ 6bYxv1rfoG"" raises to 17.50",2023-05-26T23:09:09.797Z,168514254979700
"""Jacob @ TZtQKfCkjz"" calls 5.00",2023-05-26T23:09:04.590Z,168514254459000
"""Sungie @ 3Nnrb1LXZK"" bets 5.00",2023-05-26T23:09:03.304Z,168514254330400
"Turn: K♠, 3♠, J♦ [Q♣]",2023-05-26T23:08:59.481Z,168514253948100
"""RB @ 2Ipj9Guzph"" folds",2023-05-26T23:08:58.588Z,168514253858800
"""Nish @ 6bYxv1rfoG"" calls 2.50",2023-05-26T23:08:57.716Z,168514253771600
"""Jacob @ TZtQKfCkjz"" calls 2.50",2023-05-26T23:08:55.993Z,168514253599300
"""Howell @ t1dQ9HoySl"" folds",2023-05-26T23:08:54.153Z,168514253415300
"""Sungie @ 3Nnrb1LXZK"" bets 2.50",2023-05-26T23:08:49.220Z,168514252922000
"""RB @ 2Ipj9Guzph"" checks",2023-05-26T23:08:45.214Z,168514252521400
"Flop:  [K♠, 3♠, J♦]",2023-05-26T23:08:41.904Z,168514252190400
"""Sungie @ 3Nnrb1LXZK"" checks",2023-05-26T23:08:41.052Z,168514252105200
"""RB @ 2Ipj9Guzph"" calls 0.50",2023-05-26T23:08:36.772Z,168514251677200
"""Nish @ 6bYxv1rfoG"" calls 0.50",2023-05-26T23:08:35.942Z,168514251594200
"""Jacob @ TZtQKfCkjz"" calls 0.50",2023-05-26T23:08:33.971Z,168514251397100
"""Howell @ t1dQ9HoySl"" calls 0.50",2023-05-26T23:08:32.844Z,168514251284400
"""Sungie @ 3Nnrb1LXZK"" posts a big blind of 0.50",2023-05-26T23:08:27.144Z,168514250714408
"""RB @ 2Ipj9Guzph"" posts a small blind of 0.25",2023-05-26T23:08:27.144Z,168514250714407
"Player stacks: #1 ""RB @ 2Ipj9Guzph"" (132.41) | #2 ""Sungie @ 3Nnrb1LXZK"" (381.68) | #3 ""Howell @ t1dQ9HoySl"" (95.89) | #9 ""Jacob @ TZtQKfCkjz"" (150.24) | #10 ""Nish @ 6bYxv1rfoG"" (49.78)",2023-05-26T23:08:27.144Z,168514250714401
"-- starting hand #52 (id: a5zockt52kzg)  (Pot Limit Omaha Hi) (dealer: ""Nish @ 6bYxv1rfoG"") --",2023-05-26T23:08:27.144Z,168514250714400
"-- ending hand #51 --",2023-05-26T23:08:21.112Z,168514250111201
"""Nish @ 6bYxv1rfoG"" collected 49.78 from pot with Flush (combination: A♥, K♥, 8♥, 5♥, 2♥)",2023-05-26T23:08:21.112Z,168514250111200
"River: A♥, 2♥, 8♥, 9♦ [6♦]",2023-05-26T23:08:17.110Z,168514249711000
"""Nish @ 6bYxv1rfoG"" shows a 4♥, 5♦, 5♥, K♥.",2023-05-26T23:08:13.107Z,168514249310701
"""Jacob @ TZtQKfCkjz"" shows a 9♣, 7♥, J♣, Q♥.",2023-05-26T23:08:13.107Z,168514249310700
"Some players choose to not run it twice.",2023-05-26T23:08:12.288Z,168514249228801
"""Nish @ 6bYxv1rfoG"" chooses to not run it twice.",2023-05-26T23:08:12.288Z,168514249228800
"Remaining players decide whether to run it twice.",2023-05-26T23:08:10.571Z,168514249057101
"""Jacob @ TZtQKfCkjz"" calls 16.14",2023-05-26T23:08:10.571Z,168514249057100
"""Nish @ 6bYxv1rfoG"" raises to 16.14 and go all in",2023-05-26T23:08:09.463Z,168514248946300
"""Jacob @ TZtQKfCkjz"" bets 8.75",2023-05-26T23:08:04.672Z,168514248467200
"""Nish @ 6bYxv1rfoG"" checks",2023-05-26T23:08:00.606Z,168514248060600
"Turn: A♥, 2♥, 8♥ [9♦]",2023-05-26T23:07:57.261Z,168514247726100
"""Howell @ t1dQ9HoySl"" folds",2023-05-26T23:07:56.418Z,168514247641800
"""RB @ 2Ipj9Guzph"" folds",2023-05-26T23:07:55.421Z,168514247542100
