entry,at,order
"The player ""Kalp @ j_OvHcd8rZ"" stand up with the stack of 592.39.",2023-06-16T09:28:37.843Z,168690771784300
"-- ending hand #534 --",2023-06-16T09:28:31.723Z,168690771172303
"""Kalp @ j_OvHcd8rZ"" shows a 4♥, J♥.",2023-06-16T09:28:31.723Z,168690771172302
"""The Top G @ rBxx2OqQ80"" collected 24.00 from pot with Straight, 5 High (combination: 5♠, 4♦, 3♣, 2♦, A♥)",2023-06-16T09:28:31.723Z,168690771172301
"""The Top G @ rBxx2OqQ80"" shows a 3♣, 5♠.",2023-06-16T09:28:31.723Z,168690771172300
"""Kalp @ j_OvHcd8rZ"" checks",2023-06-16T09:28:30.911Z,168690771091100
"""The Top G @ rBxx2OqQ80"" checks",2023-06-16T09:28:29.521Z,168690770952100
"River: 2♦, 4♦, 5♦, A♥ [A♦]",2023-06-16T09:28:28.289Z,168690770828900
"""Kalp @ j_OvHcd8rZ"" checks",2023-06-16T09:28:27.440Z,168690770744000
"""The Top G @ rBxx2OqQ80"" checks",2023-06-16T09:28:25.503Z,168690770550300
"Turn: 2♦, 4♦, 5♦ [A♥]",2023-06-16T09:28:24.217Z,168690770421700
"""The Top G @ rBxx2OqQ80"" calls 6.00",2023-06-16T09:28:23.373Z,168690770337300
"""Kalp @ j_OvHcd8rZ"" bets 6.00",2023-06-16T09:28:21.631Z,168690770163100
"""The Top G @ rBxx2OqQ80"" checks",2023-06-16T09:28:18.522Z,168690769852200
"Flop:  [2♦, 4♦, 5♦]",2023-06-16T09:28:17.197Z,168690769719700
"""The Top G @ rBxx2OqQ80"" calls 6.00",2023-06-16T09:28:16.382Z,168690769638200
"""Kalp @ j_OvHcd8rZ"" raises to 6.00",2023-06-16T09:28:14.884Z,168690769488400
"""The Top G @ rBxx2OqQ80"" posts a big blind of 2.00",2023-06-16T09:28:12.467Z,168690769246705
"""Kalp @ j_OvHcd8rZ"" posts a small blind of 1.00",2023-06-16T09:28:12.467Z,168690769246704
