entry,at,order
"The player ""wyman @ yHxGgWUDXk"" stand up with the stack of 301.51.",2023-06-07T06:54:59.755Z,168612089975500
"-- ending hand #162 --",2023-06-07T06:54:53.779Z,168612089377902
"""wyman @ yHxGgWUDXk"" collected 4.00 from pot",2023-06-07T06:54:53.779Z,168612089377901
"Uncalled bet of 3.00 returned to ""wyman @ yHxGgWUDXk""",2023-06-07T06:54:53.779Z,168612089377900
"""BP @ _zk24nnVPb"" folds",2023-06-07T06:54:52.977Z,168612089297700
"""wyman @ yHxGgWUDXk"" raises to 5.00",2023-06-07T06:54:51.675Z,168612089167500
"""BP @ _zk24nnVPb"" posts a straddle of 2.00",2023-06-07T06:54:47.667Z,168612088766707
"""wyman @ yHxGgWUDXk"" posts a big blind of 1.00",2023-06-07T06:54:47.667Z,168612088766706
"""BP @ _zk24nnVPb"" posts a small blind of 0.50",2023-06-07T06:54:47.667Z,168612088766705
"Player stacks: #2 ""wyman @ yHxGgWUDXk"" (299.51) | #8 ""BP @ _zk24nnVPb"" (172.98)",2023-06-07T06:54:47.667Z,168612088766702
"-- starting hand #162 (id: uibqrdfu6tyd)  (No Limit Texas Hold'em) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-07T06:54:47.667Z,168612088766701
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 319.88.",2023-06-07T06:54:47.667Z,168612088766700
"-- ending hand #161 --",2023-06-07T06:54:41.663Z,168612088166302
"""wyman @ yHxGgWUDXk"" collected 32.50 from pot with Pair, 6's (combination: 6♦, 6♠, J♠, 9♦, 7♣)",2023-06-07T06:54:41.663Z,168612088166301
"""wyman @ yHxGgWUDXk"" shows a 2♦, 6♦.",2023-06-07T06:54:41.663Z,168612088166300
"""Hayden @ 2LakBwr16r"" checks",2023-06-07T06:54:40.781Z,168612088078100
"""wyman @ yHxGgWUDXk"" checks",2023-06-07T06:54:36.230Z,168612087623000
"River: 7♣, 9♦, 3♦, 6♠ [J♠]",2023-06-07T06:54:34.255Z,168612087425500
"""Hayden @ 2LakBwr16r"" calls 9.75",2023-06-07T06:54:33.397Z,168612087339700
"""wyman @ yHxGgWUDXk"" bets 9.75",2023-06-07T06:54:30.745Z,168612087074500
"Turn: 7♣, 9♦, 3♦ [6♠]",2023-06-07T06:54:27.119Z,168612086711900
