entry,at,order
"The player ""MJK @ 8xuYQoCB-e"" passed the room ownership to ""Phil @ 0sg0elEyIS"".",2023-06-25T09:32:08.123Z,168768552812300
"The player ""Phil @ 0sg0elEyIS"" stand up with the stack of 1246.35.",2023-06-25T08:10:33.759Z,168768063375900
"-- ending hand #421 --",2023-06-25T08:10:27.758Z,168768062775802
"""Phil @ 0sg0elEyIS"" collected 2.00 from pot",2023-06-25T08:10:27.758Z,168768062775801
"Uncalled bet of 1.00 returned to ""Phil @ 0sg0elEyIS""",2023-06-25T08:10:27.758Z,168768062775800
"""Marv699/11cum @ YQyHWah8-V"" folds",2023-06-25T08:10:26.924Z,168768062692400
"""Phil @ 0sg0elEyIS"" posts a big blind of 2.00",2023-06-25T08:10:25.155Z,168768062515505
"""Marv699/11cum @ YQyHWah8-V"" posts a small blind of 1.00",2023-06-25T08:10:25.155Z,168768062515504
"Player stacks: #1 ""Phil @ 0sg0elEyIS"" (1245.35) | #4 ""Marv699/11cum @ YQyHWah8-V"" (368.50)",2023-06-25T08:10:25.155Z,168768062515501
"-- starting hand #421 (id: w7nj7fd2qyos)  (No Limit Texas Hold'em) (dealer: ""Marv699/11cum @ YQyHWah8-V"") --",2023-06-25T08:10:25.155Z,168768062515500
"-- ending hand #420 --",2023-06-25T08:10:19.213Z,168768061921302
"""Marv699/11cum @ YQyHWah8-V"" collected 2.00 from pot",2023-06-25T08:10:19.213Z,168768061921301
"Uncalled bet of 1.00 returned to ""Marv699/11cum @ YQyHWah8-V""",2023-06-25T08:10:19.213Z,168768061921300
"""Phil @ 0sg0elEyIS"" folds",2023-06-25T08:10:18.409Z,168768061840900
"""Marv699/11cum @ YQyHWah8-V"" posts a big blind of 2.00",2023-06-25T08:10:15.635Z,168768061563506
"""Phil @ 0sg0elEyIS"" posts a small blind of 1.00",2023-06-25T08:10:15.635Z,168768061563505
"Player stacks: #1 ""Phil @ 0sg0elEyIS"" (1246.35) | #4 ""Marv699/11cum @ YQyHWah8-V"" (367.50)",2023-06-25T08:10:15.635Z,168768061563502
"-- starting hand #420 (id: mlux71qvecbu)  (No Limit Texas Hold'em) (dealer: ""Phil @ 0sg0elEyIS"") --",2023-06-25T08:10:15.635Z,168768061563501
"The player ""Dp @ 6T4espke1S"" stand up with the stack of 500.13.",2023-06-25T08:10:15.635Z,168768061563500
"""Marv699/11cum @ YQyHWah8-V"" shows a 9♥, K♦.",2023-06-25T08:10:12.007Z,168768061200700
"-- ending hand #419 --",2023-06-25T08:10:09.126Z,168768060912602
"""Phil @ 0sg0elEyIS"" collected 48.00 from pot with Two Pair, 10's & 6's (combination: 10♠, 10♦, 6♠, 6♥, A♣)",2023-06-25T08:10:09.126Z,168768060912601
"""Phil @ 0sg0elEyIS"" shows a 10♠, 10♦.",2023-06-25T08:10:09.126Z,168768060912600
"""Marv699/11cum @ YQyHWah8-V"" calls 12.00",2023-06-25T08:10:08.320Z,168768060832000
"""Phil @ 0sg0elEyIS"" bets 12.00",2023-06-25T08:10:07.272Z,168768060727200
"River: 9♠, 6♠, 6♥, A♣ [5♣]",2023-06-25T08:10:04.406Z,168768060440600
"""Marv699/11cum @ YQyHWah8-V"" checks",2023-06-25T08:10:03.601Z,168768060360100
"""Phil @ 0sg0elEyIS"" checks",2023-06-25T08:10:02.594Z,168768060259400
"Turn: 9♠, 6♠, 6♥ [A♣]",2023-06-25T08:10:01.501Z,168768060150100
"""Marv699/11cum @ YQyHWah8-V"" calls 6.00",2023-06-25T08:10:00.613Z,168768060061300
"""Phil @ 0sg0elEyIS"" bets 6.00",2023-06-25T08:09:59.621Z,168768059962100
"Flop:  [9♠, 6♠, 6♥]",2023-06-25T08:09:57.293Z,168768059729300
"""Marv699/11cum @ YQyHWah8-V"" calls 6.00",2023-06-25T08:09:56.415Z,168768059641500
"""Phil @ 0sg0elEyIS"" raises to 6.00",2023-06-25T08:09:49.147Z,168768058914700
"""Dp @ 6T4espke1S"" folds",2023-06-25T08:09:47.453Z,168768058745300
"""Marv699/11cum @ YQyHWah8-V"" posts a big blind of 2.00",2023-06-25T08:09:46.183Z,168768058618306
"""Phil @ 0sg0elEyIS"" posts a small blind of 1.00",2023-06-25T08:09:46.183Z,168768058618305
"Player stacks: #1 ""Phil @ 0sg0elEyIS"" (1222.35) | #4 ""Marv699/11cum @ YQyHWah8-V"" (391.50) | #6 ""Dp @ 6T4espke1S"" (500.13)",2023-06-25T08:09:46.183Z,168768058618301
"-- starting hand #419 (id: hobdy5a1zst2)  (No Limit Texas Hold'em) (dealer: ""Dp @ 6T4espke1S"") --",2023-06-25T08:09:46.183Z,168768058618300
"-- ending hand #418 --",2023-06-25T08:09:40.276Z,168768058027602
"""Dp @ 6T4espke1S"" collected 4.00 from pot",2023-06-25T08:09:40.276Z,168768058027601
"Uncalled bet of 2.00 returned to ""Dp @ 6T4espke1S""",2023-06-25T08:09:40.276Z,168768058027600
"""Phil @ 0sg0elEyIS"" folds",2023-06-25T08:09:39.409Z,168768057940900
"""Dp @ 6T4espke1S"" bets 2.00",2023-06-25T08:09:38.542Z,168768057854200
"Turn: 7♥, Q♣, J♠ [K♣]",2023-06-25T08:09:37.276Z,168768057727600
"""Phil @ 0sg0elEyIS"" checks",2023-06-25T08:09:36.405Z,168768057640500
"""Dp @ 6T4espke1S"" checks",2023-06-25T08:09:35.544Z,168768057554400
"Flop:  [7♥, Q♣, J♠]",2023-06-25T08:09:34.074Z,168768057407400
"""Phil @ 0sg0elEyIS"" checks",2023-06-25T08:09:33.189Z,168768057318900
"""Dp @ 6T4espke1S"" calls 2.00",2023-06-25T08:09:32.336Z,168768057233600
"""Marv699/11cum @ YQyHWah8-V"" folds",2023-06-25T08:09:30.875Z,168768057087500
"""Phil @ 0sg0elEyIS"" posts a big blind of 2.00",2023-06-25T08:09:29.468Z,168768056946806
"""Dp @ 6T4espke1S"" posts a small blind of 1.00",2023-06-25T08:09:29.468Z,168768056946805
"Player stacks: #1 ""Phil @ 0sg0elEyIS"" (1224.35) | #4 ""Marv699/11cum @ YQyHWah8-V"" (391.50) | #6 ""Dp @ 6T4espke1S"" (498.13)",2023-06-25T08:09:29.468Z,168768056946801
"-- starting hand #418 (id: gyo6ygvmexml)  (No Limit Texas Hold'em) (dealer: ""Marv699/11cum @ YQyHWah8-V"") --",2023-06-25T08:09:29.468Z,168768056946800
