entry,at,order
"""Howell @ t1dQ9HoySl"" shows a J♠, 8♥.",2023-05-19T05:15:48.708Z,168447334870800
"-- ending hand #156 --",2023-05-19T05:15:47.912Z,168447334791202
"""Howell @ t1dQ9HoySl"" collected 1.00 from pot",2023-05-19T05:15:47.912Z,168447334791201
"Uncalled bet of 0.50 returned to ""Howell @ t1dQ9HoySl""",2023-05-19T05:15:47.912Z,168447334791200
"""scrap @ kCWmUIa6xA"" folds",2023-05-19T05:15:47.047Z,168447334704700
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-19T05:15:46.047Z,168447334604700
"The admin ""Dp @ YyWpODWXWx"" enqueued the game stop on next hand.",2023-05-19T05:15:45.246Z,168447334524600
"""Tomson N @ 0l7EgkrDMI"" folds",2023-05-19T05:15:44.955Z,168447334495500
"""Howell @ t1dQ9HoySl"" posts a big blind of 1.00",2023-05-19T05:15:43.530Z,168447334353007
"""scrap @ kCWmUIa6xA"" posts a small blind of 0.50",2023-05-19T05:15:43.530Z,168447334353006
"Player stacks: #1 ""Shlapp @ ZWO9_p1DU9"" (337.63) | #3 ""scrap @ kCWmUIa6xA"" (63.50) | #5 ""Howell @ t1dQ9HoySl"" (285.77) | #10 ""Tomson N @ 0l7EgkrDMI"" (479.23)",2023-05-19T05:15:43.530Z,168447334353001
"-- starting hand #156 (id: 0q4ownh6heve)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-05-19T05:15:43.530Z,168447334353000
"-- ending hand #155 --",2023-05-19T05:15:37.628Z,168447333762802
"""scrap @ kCWmUIa6xA"" collected 10.50 from pot",2023-05-19T05:15:37.628Z,168447333762801
"Uncalled bet of 53.00 returned to ""scrap @ kCWmUIa6xA""",2023-05-19T05:15:37.628Z,168447333762800
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-19T05:15:36.739Z,168447333673900
"""Tomson N @ 0l7EgkrDMI"" folds",2023-05-19T05:15:35.617Z,168447333561700
"""scrap @ kCWmUIa6xA"" raises to 56.50 and go all in",2023-05-19T05:15:34.076Z,168447333407600
"""Shlapp @ ZWO9_p1DU9"" calls 3.50",2023-05-19T05:15:28.158Z,168447332815800
"""Tomson N @ 0l7EgkrDMI"" raises to 3.50",2023-05-19T05:15:26.592Z,168447332659200
"""Howell @ t1dQ9HoySl"" folds",2023-05-19T05:15:24.148Z,168447332414800
"""scrap @ kCWmUIa6xA"" posts a big blind of 1.00",2023-05-19T05:15:23.013Z,168447332301307
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-05-19T05:15:23.013Z,168447332301306
"Player stacks: #1 ""Shlapp @ ZWO9_p1DU9"" (341.13) | #3 ""scrap @ kCWmUIa6xA"" (56.50) | #5 ""Howell @ t1dQ9HoySl"" (285.77) | #10 ""Tomson N @ 0l7EgkrDMI"" (482.73)",2023-05-19T05:15:23.013Z,168447332301301
"-- starting hand #155 (id: qlhonrxsucv6)  (No Limit Texas Hold'em) (dealer: ""Tomson N @ 0l7EgkrDMI"") --",2023-05-19T05:15:23.013Z,168447332301300
"-- ending hand #154 --",2023-05-19T05:15:17.082Z,168447331708202
"""Shlapp @ ZWO9_p1DU9"" collected 63.00 from pot",2023-05-19T05:15:17.082Z,168447331708201
"Uncalled bet of 34.50 returned to ""Shlapp @ ZWO9_p1DU9""",2023-05-19T05:15:17.082Z,168447331708200
"""Howell @ t1dQ9HoySl"" folds",2023-05-19T05:15:16.277Z,168447331627700
"""Shlapp @ ZWO9_p1DU9"" bets 34.50",2023-05-19T05:15:15.085Z,168447331508500
"Turn: 6♠, 6♣, 8♦ [J♣]",2023-05-19T05:15:06.718Z,168447330671800
"""Shlapp @ ZWO9_p1DU9"" calls 15.00",2023-05-19T05:15:05.858Z,168447330585800
"""Tomson N @ 0l7EgkrDMI"" folds",2023-05-19T05:15:03.425Z,168447330342500
"""Howell @ t1dQ9HoySl"" bets 15.00",2023-05-19T05:15:02.229Z,168447330222900
"""Shlapp @ ZWO9_p1DU9"" checks",2023-05-19T05:14:56.228Z,168447329622800
"""Tomson N @ 0l7EgkrDMI"" checks",2023-05-19T05:14:53.699Z,168447329369900
"Flop:  [6♠, 6♣, 8♦]",2023-05-19T05:14:52.325Z,168447329232500
"""Tomson N @ 0l7EgkrDMI"" calls 11.00",2023-05-19T05:14:51.505Z,168447329150500
"""Howell @ t1dQ9HoySl"" calls 11.00",2023-05-19T05:14:50.630Z,168447329063000
"""Shlapp @ ZWO9_p1DU9"" raises to 11.00",2023-05-19T05:14:49.294Z,168447328929400
"""Tomson N @ 0l7EgkrDMI"" calls 3.00",2023-05-19T05:14:43.809Z,168447328380900
"""Howell @ t1dQ9HoySl"" raises to 3.00",2023-05-19T05:14:42.488Z,168447328248800
"""scrap @ kCWmUIa6xA"" folds",2023-05-19T05:14:40.248Z,168447328024800
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-05-19T05:14:38.723Z,168447327872307
"""Tomson N @ 0l7EgkrDMI"" posts a small blind of 0.50",2023-05-19T05:14:38.723Z,168447327872306
"Player stacks: #1 ""Shlapp @ ZWO9_p1DU9"" (304.13) | #3 ""scrap @ kCWmUIa6xA"" (56.50) | #5 ""Howell @ t1dQ9HoySl"" (311.77) | #10 ""Tomson N @ 0l7EgkrDMI"" (493.73)",2023-05-19T05:14:38.723Z,168447327872301
"-- starting hand #154 (id: q2suy5pb7vmn)  (No Limit Texas Hold'em) (dealer: ""Howell @ t1dQ9HoySl"") --",2023-05-19T05:14:38.723Z,168447327872300
"-- ending hand #153 --",2023-05-19T05:14:32.715Z,168447327271502
"""Howell @ t1dQ9HoySl"" collected 42.00 from pot with Pair, 8's (combination: 8♦, 8♥, K♠, 9♦, 7♣)",2023-05-19T05:14:32.715Z,168447327271501
"""Howell @ t1dQ9HoySl"" shows a 8♦, 9♦.",2023-05-19T05:14:32.715Z,168447327271500
"""scrap @ kCWmUIa6xA"" checks",2023-05-19T05:14:31.906Z,168447327190600
"""Howell @ t1dQ9HoySl"" checks",2023-05-19T05:14:30.422Z,168447327042200
"River: 5♥, 8♥, 7♣, 3♥ [K♠]",2023-05-19T05:14:29.199Z,168447326919900
"""scrap @ kCWmUIa6xA"" calls 10.50",2023-05-19T05:14:28.314Z,168447326831400
"""Howell @ t1dQ9HoySl"" bets 10.50",2023-05-19T05:14:25.040Z,168447326504000
"Turn: 5♥, 8♥, 7♣ [3♥]",2023-05-19T05:14:22.399Z,168447326239900
"""scrap @ kCWmUIa6xA"" calls 7.00",2023-05-19T05:14:21.505Z,168447326150500
"""Howell @ t1dQ9HoySl"" bets 7.00",2023-05-19T05:14:19.318Z,168447325931800
"Flop:  [5♥, 8♥, 7♣]",2023-05-19T05:14:16.295Z,168447325629500
"""scrap @ kCWmUIa6xA"" calls 3.00",2023-05-19T05:14:15.485Z,168447325548500
"""Tomson N @ 0l7EgkrDMI"" folds",2023-05-19T05:14:12.719Z,168447325271900
"""Howell @ t1dQ9HoySl"" raises to 3.00",2023-05-19T05:14:09.721Z,168447324972100
"""scrap @ kCWmUIa6xA"" calls 1.00",2023-05-19T05:14:00.413Z,168447324041300
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-19T05:13:55.295Z,168447323529500
"""Tomson N @ 0l7EgkrDMI"" posts a big blind of 1.00",2023-05-19T05:13:53.347Z,168447323334708
"""Howell @ t1dQ9HoySl"" posts a small blind of 0.50",2023-05-19T05:13:53.347Z,168447323334707
"Player stacks: #1 ""Shlapp @ ZWO9_p1DU9"" (304.13) | #3 ""scrap @ kCWmUIa6xA"" (77.00) | #5 ""Howell @ t1dQ9HoySl"" (290.27) | #10 ""Tomson N @ 0l7EgkrDMI"" (494.73)",2023-05-19T05:13:53.347Z,168447323334702
"-- starting hand #153 (id: tiakr8crcus6)  (No Limit Texas Hold'em) (dealer: ""scrap @ kCWmUIa6xA"") --",2023-05-19T05:13:53.347Z,168447323334701
"The player ""Dp @ YyWpODWXWx"" stand up with the stack of 199.99.",2023-05-19T05:13:53.347Z,168447323334700
"-- ending hand #152 --",2023-05-19T05:13:47.378Z,168447322737802
"""Howell @ t1dQ9HoySl"" collected 64.00 from pot",2023-05-19T05:13:47.378Z,168447322737801
"Uncalled bet of 77.00 returned to ""Howell @ t1dQ9HoySl""",2023-05-19T05:13:47.378Z,168447322737800
"""scrap @ kCWmUIa6xA"" folds",2023-05-19T05:13:46.562Z,168447322656200
"""Howell @ t1dQ9HoySl"" bets 77.00",2023-05-19T05:13:44.099Z,168447322409900
"""scrap @ kCWmUIa6xA"" checks",2023-05-19T05:13:41.796Z,168447322179600
"Flop:  [6♣, 5♣, 3♠]",2023-05-19T05:13:40.128Z,168447322012800
"""scrap @ kCWmUIa6xA"" calls 30.00",2023-05-19T05:13:39.301Z,168447321930100
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-19T05:13:33.397Z,168447321339700
"""Howell @ t1dQ9HoySl"" raises to 30.00",2023-05-19T05:13:31.559Z,168447321155900
