entry,at,order
"The player ""Kitsos @ 4DT3vFeWj1"" stand up with the stack of 712.04.",2023-05-22T10:16:28.103Z,168475058810300
"The admin ""MJPLO @ 8xuYQoCB-e"" enqueued the game stop on next hand.",2023-05-22T10:16:27.067Z,168475058706700
"-- ending hand #813 --",2023-05-22T10:16:24.977Z,168475058497702
"""MJPLO @ 8xuYQoCB-e"" collected 24.00 from pot",2023-05-22T10:16:24.977Z,168475058497701
"Uncalled bet of 18.00 returned to ""MJPLO @ 8xuYQoCB-e""",2023-05-22T10:16:24.977Z,168475058497700
"""Kitsos @ 4DT3vFeWj1"" folds",2023-05-22T10:16:24.135Z,168475058413500
"""MJPLO @ 8xuYQoCB-e"" bets 18.00",2023-05-22T10:16:21.867Z,168475058186700
"River: Q♥, 8♣, 6♣, 2♠ [J♣]",2023-05-22T10:16:19.767Z,168475057976700
"""Kitsos @ 4DT3vFeWj1"" checks",2023-05-22T10:16:18.884Z,168475057888400
"""MJPLO @ 8xuYQoCB-e"" checks",2023-05-22T10:16:17.886Z,168475057788600
"Turn: Q♥, 8♣, 6♣ [2♠]",2023-05-22T10:16:16.370Z,168475057637000
"""Kitsos @ 4DT3vFeWj1"" checks",2023-05-22T10:16:15.493Z,168475057549300
"""MJPLO @ 8xuYQoCB-e"" checks",2023-05-22T10:16:14.439Z,168475057443900
"Flop:  [Q♥, 8♣, 6♣]",2023-05-22T10:16:13.720Z,168475057372000
"""MJPLO @ 8xuYQoCB-e"" calls 12.00",2023-05-22T10:16:12.810Z,168475057281000
"""Kitsos @ 4DT3vFeWj1"" raises to 12.00",2023-05-22T10:16:11.805Z,168475057180500
"""MJPLO @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-22T10:16:09.174Z,168475056917405
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-22T10:16:09.174Z,168475056917404
"Player stacks: #1 ""Kitsos @ 4DT3vFeWj1"" (724.04) | #3 ""MJPLO @ 8xuYQoCB-e"" (2176.80)",2023-05-22T10:16:09.174Z,168475056917401
"-- starting hand #813 (id: 8n3z15lphc7h)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-05-22T10:16:09.174Z,168475056917400
"-- ending hand #812 --",2023-05-22T10:16:06.212Z,168475056621202
"""MJPLO @ 8xuYQoCB-e"" collected 24.00 from pot",2023-05-22T10:16:06.212Z,168475056621201
"Uncalled bet of 18.00 returned to ""MJPLO @ 8xuYQoCB-e""",2023-05-22T10:16:06.212Z,168475056621200
"""Kitsos @ 4DT3vFeWj1"" folds",2023-05-22T10:16:05.368Z,168475056536800
"""MJPLO @ 8xuYQoCB-e"" bets 18.00",2023-05-22T10:16:04.393Z,168475056439300
"""Kitsos @ 4DT3vFeWj1"" checks",2023-05-22T10:16:01.400Z,168475056140000
"Turn: J♠, A♥, 7♣ [4♦]",2023-05-22T10:16:00.289Z,168475056028900
"""MJPLO @ 8xuYQoCB-e"" checks",2023-05-22T10:15:59.457Z,168475055945700
"""Kitsos @ 4DT3vFeWj1"" checks",2023-05-22T10:15:58.300Z,168475055830000
"Flop:  [J♠, A♥, 7♣]",2023-05-22T10:15:56.881Z,168475055688100
"""Kitsos @ 4DT3vFeWj1"" calls 12.00",2023-05-22T10:15:55.959Z,168475055595900
"""MJPLO @ 8xuYQoCB-e"" raises to 12.00",2023-05-22T10:15:54.317Z,168475055431700
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-22T10:15:52.076Z,168475055207605
"""MJPLO @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-22T10:15:52.076Z,168475055207604
"Player stacks: #1 ""Kitsos @ 4DT3vFeWj1"" (736.04) | #3 ""MJPLO @ 8xuYQoCB-e"" (2164.80)",2023-05-22T10:15:52.076Z,168475055207601
"-- starting hand #812 (id: wgu1fcspbxbi)  (Pot Limit Omaha Hi) (dealer: ""MJPLO @ 8xuYQoCB-e"") --",2023-05-22T10:15:52.076Z,168475055207600
"""MJPLO @ 8xuYQoCB-e"" shows a 10♣, 5♠, 3♦, 4♠.",2023-05-22T10:15:46.241Z,168475054624100
"-- ending hand #811 --",2023-05-22T10:15:45.469Z,168475054546902
"""Kitsos @ 4DT3vFeWj1"" collected 60.00 from pot",2023-05-22T10:15:45.469Z,168475054546901
"Uncalled bet of 45.00 returned to ""Kitsos @ 4DT3vFeWj1""",2023-05-22T10:15:45.469Z,168475054546900
"""MJPLO @ 8xuYQoCB-e"" folds",2023-05-22T10:15:44.582Z,168475054458200
"""Kitsos @ 4DT3vFeWj1"" bets 45.00",2023-05-22T10:15:42.855Z,168475054285500
"""MJPLO @ 8xuYQoCB-e"" checks",2023-05-22T10:15:39.802Z,168475053980200
"Turn: Q♦, 10♠, 4♦ [9♥]",2023-05-22T10:15:39.262Z,168475053926200
"""MJPLO @ 8xuYQoCB-e"" calls 18.00",2023-05-22T10:15:38.433Z,168475053843300
"""Kitsos @ 4DT3vFeWj1"" bets 18.00",2023-05-22T10:15:37.040Z,168475053704000
"""MJPLO @ 8xuYQoCB-e"" checks",2023-05-22T10:15:34.149Z,168475053414900
"Flop:  [Q♦, 10♠, 4♦]",2023-05-22T10:15:33.457Z,168475053345700
"""MJPLO @ 8xuYQoCB-e"" calls 12.00",2023-05-22T10:15:32.519Z,168475053251900
"""Kitsos @ 4DT3vFeWj1"" raises to 12.00",2023-05-22T10:15:31.664Z,168475053166400
"""MJPLO @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-22T10:15:29.448Z,168475052944805
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-22T10:15:29.448Z,168475052944804
"Player stacks: #1 ""Kitsos @ 4DT3vFeWj1"" (706.04) | #3 ""MJPLO @ 8xuYQoCB-e"" (2194.80)",2023-05-22T10:15:29.448Z,168475052944801
"-- starting hand #811 (id: 2oxfm71hlngi)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-05-22T10:15:29.448Z,168475052944800
"-- ending hand #810 --",2023-05-22T10:15:23.445Z,168475052344502
"""MJPLO @ 8xuYQoCB-e"" collected 8.00 from pot",2023-05-22T10:15:23.445Z,168475052344501
"Uncalled bet of 8.00 returned to ""MJPLO @ 8xuYQoCB-e""",2023-05-22T10:15:23.445Z,168475052344500
"""Kitsos @ 4DT3vFeWj1"" folds",2023-05-22T10:15:22.558Z,168475052255800
"""MJPLO @ 8xuYQoCB-e"" raises to 12.00",2023-05-22T10:15:18.816Z,168475051881600
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 4.00",2023-05-22T10:15:16.637Z,168475051663705
"""MJPLO @ 8xuYQoCB-e"" posts a small blind of 2.00",2023-05-22T10:15:16.637Z,168475051663704
"Player stacks: #1 ""Kitsos @ 4DT3vFeWj1"" (710.04) | #3 ""MJPLO @ 8xuYQoCB-e"" (2190.80)",2023-05-22T10:15:16.637Z,168475051663701
"-- starting hand #810 (id: xyemoqzpfllk)  (Pot Limit Omaha Hi) (dealer: ""MJPLO @ 8xuYQoCB-e"") --",2023-05-22T10:15:16.637Z,168475051663700
"-- ending hand #809 --",2023-05-22T10:15:13.685Z,168475051368502
"""MJPLO @ 8xuYQoCB-e"" collected 4.00 from pot",2023-05-22T10:15:13.685Z,168475051368501
"Uncalled bet of 2.00 returned to ""MJPLO @ 8xuYQoCB-e""",2023-05-22T10:15:13.685Z,168475051368500
"""Kitsos @ 4DT3vFeWj1"" folds",2023-05-22T10:15:12.855Z,168475051285500
"""MJPLO @ 8xuYQoCB-e"" posts a big blind of 4.00",2023-05-22T10:15:11.227Z,168475051122705
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 2.00",2023-05-22T10:15:11.227Z,168475051122704
"Player stacks: #1 ""Kitsos @ 4DT3vFeWj1"" (712.04) | #3 ""MJPLO @ 8xuYQoCB-e"" (2188.80)",2023-05-22T10:15:11.227Z,168475051122701
"-- starting hand #809 (id: pktojmgqewz3)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-05-22T10:15:11.227Z,168475051122700
"-- ending hand #808 --",2023-05-22T10:15:08.224Z,168475050822402
