entry,at,order
"The player ""Seneca @ 3K1udw0KZ8"" quits the game with a stack of 0.00.",2023-06-14T08:57:42.021Z,168673306202100
"-- ending hand #817 --",2023-06-14T08:57:36.003Z,168673305600301
"""Lou @ 0Rymlayfh9"" collected 50.40 from pot with Two Pair, 10's & 6's (combination: 10♥, 10♦, 6♠, 6♣, K♠)",2023-06-14T08:57:36.003Z,168673305600300
"River: 10♦, K♠, 6♠, J♦ [6♣]",2023-06-14T08:57:31.995Z,168673305199500
"Turn: 10♦, K♠, 6♠ [J♦]",2023-06-14T08:57:27.872Z,168673304787200
"Flop:  [10♦, K♠, 6♠]",2023-06-14T08:57:23.790Z,168673304379000
"""Lou @ 0Rymlayfh9"" shows a 10♥, 7♥.",2023-06-14T08:57:19.782Z,168673303978201
"""Seneca @ 3K1udw0KZ8"" shows a 5♥, A♥.",2023-06-14T08:57:19.782Z,168673303978200
"Some players choose to not run it twice.",2023-06-14T08:57:18.980Z,168673303898001
"""Lou @ 0Rymlayfh9"" chooses to not run it twice.",2023-06-14T08:57:18.980Z,168673303898000
"Remaining players decide whether to run it twice.",2023-06-14T08:57:18.000Z,168673303800001
"""Seneca @ 3K1udw0KZ8"" calls 25.20 and go all in",2023-06-14T08:57:18.000Z,168673303800000
"""Lou @ 0Rymlayfh9"" raises to 25.20",2023-06-14T08:57:15.949Z,168673303594900
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-06-14T08:57:13.973Z,168673303397305
"""Lou @ 0Rymlayfh9"" posts a small blind of 1.00",2023-06-14T08:57:13.973Z,168673303397304
"Player stacks: #2 ""Seneca @ 3K1udw0KZ8"" (25.20) | #9 ""Lou @ 0Rymlayfh9"" (744.60)",2023-06-14T08:57:13.973Z,168673303397301
"-- starting hand #817 (id: dufylsr9cj4k)  (No Limit Texas Hold'em) (dealer: ""Lou @ 0Rymlayfh9"") --",2023-06-14T08:57:13.973Z,168673303397300
"-- ending hand #816 --",2023-06-14T08:57:11.057Z,168673303105702
"""Lou @ 0Rymlayfh9"" collected 2.00 from pot",2023-06-14T08:57:11.057Z,168673303105701
"Uncalled bet of 1.00 returned to ""Lou @ 0Rymlayfh9""",2023-06-14T08:57:11.057Z,168673303105700
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-14T08:57:10.222Z,168673303022200
"""Lou @ 0Rymlayfh9"" posts a big blind of 2.00",2023-06-14T08:57:07.057Z,168673302705705
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-06-14T08:57:07.057Z,168673302705704
"Player stacks: #2 ""Seneca @ 3K1udw0KZ8"" (26.20) | #9 ""Lou @ 0Rymlayfh9"" (743.60)",2023-06-14T08:57:07.057Z,168673302705701
"-- starting hand #816 (id: zdatx5zthd7k)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-06-14T08:57:07.057Z,168673302705700
"-- ending hand #815 --",2023-06-14T08:57:04.143Z,168673302414302
"""Seneca @ 3K1udw0KZ8"" collected 2.00 from pot",2023-06-14T08:57:04.143Z,168673302414301
"Uncalled bet of 1.00 returned to ""Seneca @ 3K1udw0KZ8""",2023-06-14T08:57:04.143Z,168673302414300
"""Lou @ 0Rymlayfh9"" folds",2023-06-14T08:57:03.283Z,168673302328300
