entry,at,order
"The player ""mp @ -DkySTil6a"" stand up with the stack of 125.63.",2023-05-21T04:30:27.561Z,168464342756100
"-- ending hand #441 --",2023-05-21T04:30:21.651Z,168464342165102
"""Marv69 @ jdW5CjQKgC"" collected 2.00 from pot",2023-05-21T04:30:21.651Z,168464342165101
"Uncalled bet of 1.00 returned to ""Marv69 @ jdW5CjQKgC""",2023-05-21T04:30:21.651Z,168464342165100
"""mp @ -DkySTil6a"" folds",2023-05-21T04:30:20.756Z,168464342075600
"""Marv69 @ jdW5CjQKgC"" bets 1.00",2023-05-21T04:30:19.899Z,168464341989900
"Flop:  [3♠, 7♥, 10♦]",2023-05-21T04:30:15.447Z,168464341544700
"""Marv69 @ jdW5CjQKgC"" checks",2023-05-21T04:30:14.590Z,168464341459000
"""mp @ -DkySTil6a"" calls 1.00",2023-05-21T04:30:12.037Z,168464341203700
"""Marv69 @ jdW5CjQKgC"" posts a big blind of 1.00",2023-05-21T04:30:10.548Z,168464341054805
"""mp @ -DkySTil6a"" posts a small blind of 0.50",2023-05-21T04:30:10.548Z,168464341054804
"Player stacks: #6 ""mp @ -DkySTil6a"" (126.63) | #8 ""Marv69 @ jdW5CjQKgC"" (834.76)",2023-05-21T04:30:10.548Z,168464341054801
"-- starting hand #441 (id: foky4magbqkw)  (Pot Limit Omaha Hi) (dealer: ""mp @ -DkySTil6a"") --",2023-05-21T04:30:10.548Z,168464341054800
"-- ending hand #440 --",2023-05-21T04:30:04.606Z,168464340460602
"""Marv69 @ jdW5CjQKgC"" collected 6.00 from pot",2023-05-21T04:30:04.606Z,168464340460601
"Uncalled bet of 3.00 returned to ""Marv69 @ jdW5CjQKgC""",2023-05-21T04:30:04.606Z,168464340460600
"""mp @ -DkySTil6a"" folds",2023-05-21T04:30:03.741Z,168464340374100
"""Marv69 @ jdW5CjQKgC"" bets 3.00",2023-05-21T04:30:02.133Z,168464340213300
"""mp @ -DkySTil6a"" checks",2023-05-21T04:29:58.723Z,168464339872300
"Flop:  [4♣, 4♥, 2♦]",2023-05-21T04:29:57.525Z,168464339752500
"""mp @ -DkySTil6a"" calls 3.00",2023-05-21T04:29:56.644Z,168464339664400
"""Marv69 @ jdW5CjQKgC"" raises to 3.00",2023-05-21T04:29:55.467Z,168464339546700
"""mp @ -DkySTil6a"" posts a big blind of 1.00",2023-05-21T04:29:52.436Z,168464339243605
"""Marv69 @ jdW5CjQKgC"" posts a small blind of 0.50",2023-05-21T04:29:52.436Z,168464339243604
"Player stacks: #6 ""mp @ -DkySTil6a"" (129.63) | #8 ""Marv69 @ jdW5CjQKgC"" (831.76)",2023-05-21T04:29:52.436Z,168464339243601
"-- starting hand #440 (id: jpcf3gef47qq)  (Pot Limit Omaha Hi) (dealer: ""Marv69 @ jdW5CjQKgC"") --",2023-05-21T04:29:52.436Z,168464339243600
"-- ending hand #439 --",2023-05-21T04:29:46.481Z,168464338648102
"""mp @ -DkySTil6a"" collected 2.00 from pot",2023-05-21T04:29:46.481Z,168464338648101
"Uncalled bet of 2.00 returned to ""mp @ -DkySTil6a""",2023-05-21T04:29:46.481Z,168464338648100
"""Marv69 @ jdW5CjQKgC"" folds",2023-05-21T04:29:45.639Z,168464338563900
"""mp @ -DkySTil6a"" bets 2.00",2023-05-21T04:29:43.435Z,168464338343500
"""Marv69 @ jdW5CjQKgC"" checks",2023-05-21T04:29:40.661Z,168464338066100
"Flop:  [7♣, A♥, K♠]",2023-05-21T04:29:37.567Z,168464337756700
"""Marv69 @ jdW5CjQKgC"" checks",2023-05-21T04:29:36.737Z,168464337673700
"""mp @ -DkySTil6a"" calls 1.00",2023-05-21T04:29:35.700Z,168464337570000
"""Marv69 @ jdW5CjQKgC"" posts a big blind of 1.00",2023-05-21T04:29:29.866Z,168464336986605
"""mp @ -DkySTil6a"" posts a small blind of 0.50",2023-05-21T04:29:29.866Z,168464336986604
"Player stacks: #6 ""mp @ -DkySTil6a"" (128.63) | #8 ""Marv69 @ jdW5CjQKgC"" (832.76)",2023-05-21T04:29:29.866Z,168464336986601
"-- starting hand #439 (id: hgaazkzzb5i1)  (Pot Limit Omaha Hi) (dealer: ""mp @ -DkySTil6a"") --",2023-05-21T04:29:29.866Z,168464336986600
"-- ending hand #438 --",2023-05-21T04:29:26.959Z,168464336695902
"""mp @ -DkySTil6a"" collected 6.00 from pot",2023-05-21T04:29:26.959Z,168464336695901
"Uncalled bet of 6.00 returned to ""mp @ -DkySTil6a""",2023-05-21T04:29:26.959Z,168464336695900
"""Marv69 @ jdW5CjQKgC"" folds",2023-05-21T04:29:26.107Z,168464336610700
