entry,at,order
"The admin ""MarvFish @ ptR3OFJmeY"" enqueued the game stop on next hand.",2023-06-18T00:29:08.164Z,168704814816400
"""BP @ _zk24nnVPb"" shows a 10♣, 7♦, 7♥, 10♥.",2023-06-18T00:29:08.008Z,168704814800800
"-- ending hand #205 --",2023-06-18T00:29:06.201Z,168704814620102
"""BP @ _zk24nnVPb"" collected 6.00 from pot",2023-06-18T00:29:06.201Z,168704814620101
"Uncalled bet of 4.00 returned to ""BP @ _zk24nnVPb""",2023-06-18T00:29:06.201Z,168704814620100
"""MarvFish @ ptR3OFJmeY"" folds",2023-06-18T00:29:05.287Z,168704814528700
"""BP @ _zk24nnVPb"" bets 4.00",2023-06-18T00:29:00.150Z,168704814015000
"Flop:  [6♣, 7♠, Q♠]",2023-06-18T00:28:52.364Z,168704813236400
"""MarvFish @ ptR3OFJmeY"" calls 3.00",2023-06-18T00:28:51.428Z,168704813142800
"""BP @ _zk24nnVPb"" raises to 3.00",2023-06-18T00:28:49.241Z,168704812924100
"""MarvFish @ ptR3OFJmeY"" calls 1.00",2023-06-18T00:28:46.185Z,168704812618500
"""BP @ _zk24nnVPb"" posts a big blind of 1.00",2023-06-18T00:28:36.783Z,168704811678306
"""MarvFish @ ptR3OFJmeY"" posts a small blind of 0.50",2023-06-18T00:28:36.783Z,168704811678305
"Player stacks: #2 ""MarvFish @ ptR3OFJmeY"" (308.46) | #7 ""BP @ _zk24nnVPb"" (427.14)",2023-06-18T00:28:36.783Z,168704811678302
"-- starting hand #205 (id: yvmtu1vdtkfe)  (Pot Limit Omaha Hi) (dealer: ""MarvFish @ ptR3OFJmeY"") --",2023-06-18T00:28:36.783Z,168704811678301
"The player ""Bruce @ aZy8GgOmC7"" stand up with the stack of 170.29.",2023-06-18T00:28:36.783Z,168704811678300
"""BP @ _zk24nnVPb"" shows a 8♣, 10♣, 6♥, 8♠.",2023-06-18T00:28:34.881Z,168704811488100
"-- ending hand #204 --",2023-06-18T00:28:33.154Z,168704811315402
"""BP @ _zk24nnVPb"" collected 222.00 from pot",2023-06-18T00:28:33.154Z,168704811315401
"Uncalled bet of 111.00 returned to ""BP @ _zk24nnVPb""",2023-06-18T00:28:33.154Z,168704811315400
"""Bruce @ aZy8GgOmC7"" folds",2023-06-18T00:28:32.282Z,168704811228200
"""BP @ _zk24nnVPb"" raises to 185.00",2023-06-18T00:28:18.821Z,168704809882100
"""Bruce @ aZy8GgOmC7"" bets 74.00",2023-06-18T00:28:11.221Z,168704809122100
"River: 2♠, 10♠, 8♥, 8♦ [A♥]",2023-06-18T00:28:01.215Z,168704808121500
"""BP @ _zk24nnVPb"" checks",2023-06-18T00:28:00.362Z,168704808036200
"""Bruce @ aZy8GgOmC7"" checks",2023-06-18T00:27:58.867Z,168704807886700
"Turn: 2♠, 10♠, 8♥ [8♦]",2023-06-18T00:27:53.008Z,168704807300800
"""Bruce @ aZy8GgOmC7"" calls 31.00",2023-06-18T00:27:52.182Z,168704807218200
"""BP @ _zk24nnVPb"" raises to 31.00",2023-06-18T00:27:41.919Z,168704806191900
"""MarvFish @ ptR3OFJmeY"" folds",2023-06-18T00:27:37.337Z,168704805733700
"""Bruce @ aZy8GgOmC7"" bets 12.00",2023-06-18T00:27:33.144Z,168704805314400
"Flop:  [2♠, 10♠, 8♥]",2023-06-18T00:27:26.448Z,168704804644800
"""BP @ _zk24nnVPb"" calls 4.00",2023-06-18T00:27:25.591Z,168704804559100
"""MarvFish @ ptR3OFJmeY"" calls 4.00",2023-06-18T00:27:24.327Z,168704804432700
"""Bruce @ aZy8GgOmC7"" raises to 4.00",2023-06-18T00:27:22.896Z,168704804289600
"""BP @ _zk24nnVPb"" calls 1.00",2023-06-18T00:27:19.402Z,168704803940200
"""MarvFish @ ptR3OFJmeY"" posts a big blind of 1.00",2023-06-18T00:27:17.565Z,168704803756506
"""Bruce @ aZy8GgOmC7"" posts a small blind of 0.50",2023-06-18T00:27:17.565Z,168704803756505
"Player stacks: #2 ""MarvFish @ ptR3OFJmeY"" (312.46) | #7 ""BP @ _zk24nnVPb"" (314.14) | #10 ""Bruce @ aZy8GgOmC7"" (279.29)",2023-06-18T00:27:17.565Z,168704803756501
"-- starting hand #204 (id: 7yflcnhdcbbq)  (Pot Limit Omaha Hi) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-18T00:27:17.565Z,168704803756500
"""MarvFish @ ptR3OFJmeY"" shows a 9♦, 10♥, A♣, 10♣.",2023-06-18T00:27:13.055Z,168704803305500
"-- ending hand #203 --",2023-06-18T00:27:10.959Z,168704803095902
"""MarvFish @ ptR3OFJmeY"" collected 10.50 from pot",2023-06-18T00:27:10.959Z,168704803095901
"Uncalled bet of 5.25 returned to ""MarvFish @ ptR3OFJmeY""",2023-06-18T00:27:10.959Z,168704803095900
"""Bruce @ aZy8GgOmC7"" folds",2023-06-18T00:27:10.066Z,168704803006600
"""BP @ _zk24nnVPb"" folds",2023-06-18T00:27:09.018Z,168704802901800
"""MarvFish @ ptR3OFJmeY"" bets 5.25",2023-06-18T00:27:07.888Z,168704802788800
"""Bruce @ aZy8GgOmC7"" checks",2023-06-18T00:27:05.152Z,168704802515200
"""BP @ _zk24nnVPb"" checks",2023-06-18T00:26:59.231Z,168704801923100
"Flop:  [3♣, K♣, 6♣]",2023-06-18T00:26:57.222Z,168704801722200
"""Bruce @ aZy8GgOmC7"" calls 3.50",2023-06-18T00:26:56.361Z,168704801636100
"""BP @ _zk24nnVPb"" calls 3.50",2023-06-18T00:26:52.162Z,168704801216200
"""MarvFish @ ptR3OFJmeY"" raises to 3.50",2023-06-18T00:26:50.995Z,168704801099500
"""Bruce @ aZy8GgOmC7"" posts a big blind of 1.00",2023-06-18T00:26:46.919Z,168704800691906
"""BP @ _zk24nnVPb"" posts a small blind of 0.50",2023-06-18T00:26:46.919Z,168704800691905
"Player stacks: #2 ""MarvFish @ ptR3OFJmeY"" (305.46) | #7 ""BP @ _zk24nnVPb"" (317.64) | #10 ""Bruce @ aZy8GgOmC7"" (282.79)",2023-06-18T00:26:46.919Z,168704800691901
"-- starting hand #203 (id: negbc3h6bqxu)  (Pot Limit Omaha Hi) (dealer: ""MarvFish @ ptR3OFJmeY"") --",2023-06-18T00:26:46.919Z,168704800691900
"-- ending hand #202 --",2023-06-18T00:26:40.911Z,168704800091102
"""BP @ _zk24nnVPb"" collected 36.00 from pot with Two Pair (combination: 8♠, 8♣, 5♥, 5♦, J♥)",2023-06-18T00:26:40.911Z,168704800091101
"""BP @ _zk24nnVPb"" shows a 8♠, 5♥, A♠, A♥.",2023-06-18T00:26:40.911Z,168704800091100
"""Bruce @ aZy8GgOmC7"" checks",2023-06-18T00:26:40.067Z,168704800006700
"""BP @ _zk24nnVPb"" checks",2023-06-18T00:26:36.681Z,168704799668100
"River: 4♣, J♥, 8♣, 5♦ [10♦]",2023-06-18T00:26:34.907Z,168704799490700
"""Bruce @ aZy8GgOmC7"" checks",2023-06-18T00:26:34.019Z,168704799401900
"""BP @ _zk24nnVPb"" checks",2023-06-18T00:26:22.024Z,168704798202400
"Turn: 4♣, J♥, 8♣ [5♦]",2023-06-18T00:26:20.891Z,168704798089100
"""BP @ _zk24nnVPb"" calls 12.00",2023-06-18T00:26:20.055Z,168704798005500
"""MarvFish @ ptR3OFJmeY"" folds",2023-06-18T00:26:18.816Z,168704797881600
"""Bruce @ aZy8GgOmC7"" bets 12.00",2023-06-18T00:26:17.677Z,168704797767700
"""BP @ _zk24nnVPb"" checks",2023-06-18T00:26:08.248Z,168704796824800
"""MarvFish @ ptR3OFJmeY"" checks",2023-06-18T00:26:07.045Z,168704796704500
"Flop:  [4♣, J♥, 8♣]",2023-06-18T00:26:04.967Z,168704796496700
"""MarvFish @ ptR3OFJmeY"" calls 4.00",2023-06-18T00:26:04.111Z,168704796411100
"""Bruce @ aZy8GgOmC7"" calls 4.00",2023-06-18T00:26:03.109Z,168704796310900
"""BP @ _zk24nnVPb"" raises to 4.00",2023-06-18T00:25:58.870Z,168704795887000
"""MarvFish @ ptR3OFJmeY"" calls 1.00",2023-06-18T00:25:55.700Z,168704795570000
"""Bruce @ aZy8GgOmC7"" calls 1.00",2023-06-18T00:25:52.729Z,168704795272900
"""BP @ _zk24nnVPb"" posts a big blind of 1.00",2023-06-18T00:25:50.953Z,168704795095306
"""MarvFish @ ptR3OFJmeY"" posts a small blind of 0.50",2023-06-18T00:25:50.953Z,168704795095305
"Player stacks: #2 ""MarvFish @ ptR3OFJmeY"" (309.46) | #7 ""BP @ _zk24nnVPb"" (297.64) | #10 ""Bruce @ aZy8GgOmC7"" (298.79)",2023-06-18T00:25:50.953Z,168704795095301
"-- starting hand #202 (id: msb25ge4xkgq)  (Pot Limit Omaha Hi) (dealer: ""Bruce @ aZy8GgOmC7"") --",2023-06-18T00:25:50.953Z,168704795095300
"-- ending hand #201 --",2023-06-18T00:25:45.040Z,168704794504002
"""BP @ _zk24nnVPb"" collected 3.00 from pot",2023-06-18T00:25:45.040Z,168704794504001
"Uncalled bet of 3.00 returned to ""BP @ _zk24nnVPb""",2023-06-18T00:25:45.040Z,168704794504000
"""MarvFish @ ptR3OFJmeY"" folds",2023-06-18T00:25:44.166Z,168704794416600
"""Bruce @ aZy8GgOmC7"" folds",2023-06-18T00:25:43.215Z,168704794321500
"""BP @ _zk24nnVPb"" bets 3.00",2023-06-18T00:25:38.149Z,168704793814900
"""MarvFish @ ptR3OFJmeY"" checks",2023-06-18T00:25:33.839Z,168704793383900
"""Bruce @ aZy8GgOmC7"" checks",2023-06-18T00:25:32.745Z,168704793274500
"Flop:  [K♦, 8♠, 2♥]",2023-06-18T00:25:30.022Z,168704793002200
"""MarvFish @ ptR3OFJmeY"" checks",2023-06-18T00:25:29.174Z,168704792917400
"""Bruce @ aZy8GgOmC7"" calls 1.00",2023-06-18T00:25:22.043Z,168704792204300
"""BP @ _zk24nnVPb"" calls 1.00",2023-06-18T00:25:16.569Z,168704791656900
"""MarvFish @ ptR3OFJmeY"" posts a big blind of 1.00",2023-06-18T00:25:14.516Z,168704791451606
"""Bruce @ aZy8GgOmC7"" posts a small blind of 0.50",2023-06-18T00:25:14.516Z,168704791451605
"Player stacks: #2 ""MarvFish @ ptR3OFJmeY"" (310.46) | #7 ""BP @ _zk24nnVPb"" (295.64) | #10 ""Bruce @ aZy8GgOmC7"" (299.79)",2023-06-18T00:25:14.516Z,168704791451601
"-- starting hand #201 (id: ngrpi5ymxrwq)  (Pot Limit Omaha Hi) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-18T00:25:14.516Z,168704791451600
"-- ending hand #200 --",2023-06-18T00:25:08.587Z,168704790858702
"""Bruce @ aZy8GgOmC7"" collected 6.00 from pot",2023-06-18T00:25:08.587Z,168704790858701
"Uncalled bet of 6.00 returned to ""Bruce @ aZy8GgOmC7""",2023-06-18T00:25:08.587Z,168704790858700
"""BP @ _zk24nnVPb"" folds",2023-06-18T00:25:07.717Z,168704790771700
"""Bruce @ aZy8GgOmC7"" bets 6.00",2023-06-18T00:25:06.161Z,168704790616100
"""BP @ _zk24nnVPb"" checks",2023-06-18T00:24:59.738Z,168704789973800
"Turn: 6♦, J♥, 6♥ [7♠]",2023-06-18T00:24:58.339Z,168704789833900
"""Bruce @ aZy8GgOmC7"" checks",2023-06-18T00:24:57.519Z,168704789751900
"""BP @ _zk24nnVPb"" checks",2023-06-18T00:24:52.150Z,168704789215000
"Flop:  [6♦, J♥, 6♥]",2023-06-18T00:24:50.326Z,168704789032600
"""Bruce @ aZy8GgOmC7"" calls 3.00",2023-06-18T00:24:49.506Z,168704788950600
"""BP @ _zk24nnVPb"" raises to 3.00",2023-06-18T00:24:46.308Z,168704788630800
"""MarvFish @ ptR3OFJmeY"" folds",2023-06-18T00:24:44.285Z,168704788428500
"""Bruce @ aZy8GgOmC7"" posts a big blind of 1.00",2023-06-18T00:24:42.668Z,168704788266806
"""BP @ _zk24nnVPb"" posts a small blind of 0.50",2023-06-18T00:24:42.668Z,168704788266805
"Player stacks: #2 ""MarvFish @ ptR3OFJmeY"" (310.46) | #7 ""BP @ _zk24nnVPb"" (298.64) | #10 ""Bruce @ aZy8GgOmC7"" (296.79)",2023-06-18T00:24:42.668Z,168704788266801
"-- starting hand #200 (id: mmyapa8uz4k9)  (Pot Limit Omaha Hi) (dealer: ""MarvFish @ ptR3OFJmeY"") --",2023-06-18T00:24:42.668Z,168704788266800
