entry,at,order
"The player ""BP @ _zk24nnVPb"" stand up with the stack of 192.87.",2023-06-07T04:42:51.865Z,168611297186500
"-- ending hand #392 --",2023-06-07T04:42:48.900Z,168611296890002
"""BP @ _zk24nnVPb"" collected 1.00 from pot",2023-06-07T04:42:48.900Z,168611296890001
"Uncalled bet of 0.50 returned to ""BP @ _zk24nnVPb""",2023-06-07T04:42:48.900Z,168611296890000
"""Brax2 @ m2inDE_Kzp"" folds",2023-06-07T04:42:48.082Z,168611296808200
"""BP @ _zk24nnVPb"" posts a big blind of 1.00",2023-06-07T04:42:36.330Z,168611295633010
"""Brax2 @ m2inDE_Kzp"" posts a small blind of 0.50",2023-06-07T04:42:36.330Z,168611295633009
"Player stacks: #4 ""BP @ _zk24nnVPb"" (192.37) | #10 ""Brax2 @ m2inDE_Kzp"" (670.25)",2023-06-07T04:42:36.330Z,168611295633006
"-- starting hand #392 (id: arb8tx78zdov)  (No Limit Texas Hold'em) (dealer: ""Brax2 @ m2inDE_Kzp"") --",2023-06-07T04:42:36.330Z,168611295633005
"The player ""Farnan @ 6GVYVlWnT4"" stand up with the stack of 322.51.",2023-06-07T04:42:36.330Z,168611295633004
"The player ""Tomson N @ V2NjxT4ENz"" stand up with the stack of 138.75.",2023-06-07T04:42:36.330Z,168611295633003
"The player ""wyman @ yHxGgWUDXk"" stand up with the stack of 351.03.",2023-06-07T04:42:36.330Z,168611295633002
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 959.17.",2023-06-07T04:42:36.330Z,168611295633001
"The player ""Brett @ VeVXdEFdHD"" stand up with the stack of 260.49.",2023-06-07T04:42:36.330Z,168611295633000
"-- ending hand #391 --",2023-06-07T04:42:30.325Z,168611295032502
"""Tomson N @ V2NjxT4ENz"" collected 34.00 from pot with Pair, A's (combination: A♥, A♦, J♠, 10♥, 8♦)",2023-06-07T04:42:30.325Z,168611295032501
"""Tomson N @ V2NjxT4ENz"" shows a J♠, A♥.",2023-06-07T04:42:30.325Z,168611295032500
"""Hayden @ 2LakBwr16r"" calls 8.50",2023-06-07T04:42:29.495Z,168611294949500
"""Tomson N @ V2NjxT4ENz"" bets 8.50",2023-06-07T04:42:28.074Z,168611294807400
"River: 6♠, A♦, 8♦, 10♥ [4♥]",2023-06-07T04:42:23.438Z,168611294343800
