entry,at,order
"""Ty @ 8ugHyNN1iO"" folds",2023-06-26T06:49:05.260Z,168776214526000
"""Tomson @ o5K-cabCXp"" posts a big blind of 2.00",2023-06-26T06:33:28.221Z,168776120822108
"""The Top G @ rBxx2OqQ80"" posts a small blind of 1.00",2023-06-26T06:33:28.221Z,168776120822107
"Player stacks: #2 ""Toby @ 76KLHFOJAT"" (331.75) | #4 ""The Top G @ rBxx2OqQ80"" (844.25) | #6 ""Tomson @ o5K-cabCXp"" (847.62) | #10 ""Ty @ 8ugHyNN1iO"" (306.50)",2023-06-26T06:33:28.221Z,168776120822102
"-- starting hand #381 (id: vsqgimihpwva)  (No Limit Texas Hold'em) (dealer: ""Toby @ 76KLHFOJAT"") --",2023-06-26T06:33:28.221Z,168776120822101
"The player ""Seneca @ IQaAeMMZIs"" stand up with the stack of 1145.75.",2023-06-26T06:33:28.221Z,168776120822100
"-- ending hand #380 --",2023-06-26T06:33:15.520Z,168776119552003
"""The Top G @ rBxx2OqQ80"" shows a 5♦, 6♣.",2023-06-26T06:33:15.520Z,168776119552002
"""Ty @ 8ugHyNN1iO"" collected 38.00 from pot with Two Pair, 3's & 2's (combination: 3♦, 3♠, 2♥, 2♦, J♣)",2023-06-26T06:33:15.520Z,168776119552001
"""Ty @ 8ugHyNN1iO"" shows a 3♦, 3♠.",2023-06-26T06:33:15.520Z,168776119552000
"""Ty @ 8ugHyNN1iO"" checks",2023-06-26T06:33:14.700Z,168776119470000
"""The Top G @ rBxx2OqQ80"" checks",2023-06-26T06:33:11.096Z,168776119109600
"River: 2♥, 4♥, J♣, 8♠ [2♦]",2023-06-26T06:33:09.397Z,168776118939700
"""Ty @ 8ugHyNN1iO"" checks",2023-06-26T06:33:08.529Z,168776118852900
"""The Top G @ rBxx2OqQ80"" checks",2023-06-26T06:33:05.609Z,168776118560900
"Turn: 2♥, 4♥, J♣ [8♠]",2023-06-26T06:33:03.113Z,168776118311300
"""Seneca @ IQaAeMMZIs"" folds",2023-06-26T06:33:02.285Z,168776118228500
"""The Top G @ rBxx2OqQ80"" calls 9.50",2023-06-26T06:32:47.966Z,168776116796600
"""Ty @ 8ugHyNN1iO"" bets 9.50",2023-06-26T06:32:45.912Z,168776116591200
"""Seneca @ IQaAeMMZIs"" checks",2023-06-26T06:32:41.783Z,168776116178300
"""The Top G @ rBxx2OqQ80"" checks",2023-06-26T06:32:33.294Z,168776115329400
"Flop:  [2♥, 4♥, J♣]",2023-06-26T06:32:31.805Z,168776115180500
"""The Top G @ rBxx2OqQ80"" calls 6.00",2023-06-26T06:32:30.966Z,168776115096600
"""Toby @ 76KLHFOJAT"" folds",2023-06-26T06:32:29.995Z,168776114999500
"""Ty @ 8ugHyNN1iO"" calls 6.00",2023-06-26T06:32:29.027Z,168776114902700
"""Seneca @ IQaAeMMZIs"" raises to 6.00",2023-06-26T06:32:27.212Z,168776114721200
"""Tomson @ o5K-cabCXp"" folds",2023-06-26T06:32:22.468Z,168776114246800
"""The Top G @ rBxx2OqQ80"" posts a big blind of 2.00",2023-06-26T06:32:07.459Z,168776112745908
"""Toby @ 76KLHFOJAT"" posts a small blind of 1.00",2023-06-26T06:32:07.459Z,168776112745907
"Player stacks: #2 ""Toby @ 76KLHFOJAT"" (332.75) | #4 ""The Top G @ rBxx2OqQ80"" (859.75) | #6 ""Tomson @ o5K-cabCXp"" (847.62) | #9 ""Seneca @ IQaAeMMZIs"" (1151.75) | #10 ""Ty @ 8ugHyNN1iO"" (284.00)",2023-06-26T06:32:07.459Z,168776112745901
"-- starting hand #380 (id: dkrf1staxnja)  (No Limit Texas Hold'em) (dealer: ""Ty @ 8ugHyNN1iO"") --",2023-06-26T06:32:07.459Z,168776112745900
"-- ending hand #379 --",2023-06-26T06:32:01.552Z,168776112155202
"""The Top G @ rBxx2OqQ80"" collected 18.00 from pot",2023-06-26T06:32:01.552Z,168776112155201
"Uncalled bet of 10.00 returned to ""The Top G @ rBxx2OqQ80""",2023-06-26T06:32:01.552Z,168776112155200
"""Toby @ 76KLHFOJAT"" folds",2023-06-26T06:32:00.724Z,168776112072400
"""Ty @ 8ugHyNN1iO"" folds",2023-06-26T06:31:59.029Z,168776111902900
"""The Top G @ rBxx2OqQ80"" bets 10.00",2023-06-26T06:31:58.035Z,168776111803500
"""Toby @ 76KLHFOJAT"" checks",2023-06-26T06:31:53.954Z,168776111395400
"""Ty @ 8ugHyNN1iO"" checks",2023-06-26T06:31:39.676Z,168776109967600
"Flop:  [Q♣, Q♠, 4♣]",2023-06-26T06:31:35.388Z,168776109538800
"""Toby @ 76KLHFOJAT"" calls 6.00",2023-06-26T06:31:34.582Z,168776109458200
"""Ty @ 8ugHyNN1iO"" calls 6.00",2023-06-26T06:31:29.322Z,168776108932200
"""Seneca @ IQaAeMMZIs"" folds",2023-06-26T06:31:27.728Z,168776108772800
"""Tomson @ o5K-cabCXp"" folds",2023-06-26T06:31:26.704Z,168776108670400
"""The Top G @ rBxx2OqQ80"" raises to 6.00",2023-06-26T06:31:10.829Z,168776107082900
"""Toby @ 76KLHFOJAT"" posts a big blind of 2.00",2023-06-26T06:31:05.483Z,168776106548308
"""Ty @ 8ugHyNN1iO"" posts a small blind of 1.00",2023-06-26T06:31:05.483Z,168776106548307
"Player stacks: #2 ""Toby @ 76KLHFOJAT"" (338.75) | #4 ""The Top G @ rBxx2OqQ80"" (847.75) | #6 ""Tomson @ o5K-cabCXp"" (847.62) | #9 ""Seneca @ IQaAeMMZIs"" (1151.75) | #10 ""Ty @ 8ugHyNN1iO"" (290.00)",2023-06-26T06:31:05.483Z,168776106548301
"-- starting hand #379 (id: pkltxb43eozt)  (No Limit Texas Hold'em) (dealer: ""Seneca @ IQaAeMMZIs"") --",2023-06-26T06:31:05.483Z,168776106548300
"-- ending hand #378 --",2023-06-26T06:30:59.479Z,168776105947903
"""Toby @ 76KLHFOJAT"" shows a A♦, 4♦.",2023-06-26T06:30:59.479Z,168776105947902
"""Tomson @ o5K-cabCXp"" collected 21.00 from pot with Pair, 8's (combination: 8♦, 8♠, A♥, K♣, J♣)",2023-06-26T06:30:59.479Z,168776105947901
"""Tomson @ o5K-cabCXp"" shows a A♥, 8♦.",2023-06-26T06:30:59.479Z,168776105947900
"""Tomson @ o5K-cabCXp"" checks",2023-06-26T06:30:58.589Z,168776105858900
"""The Top G @ rBxx2OqQ80"" checks",2023-06-26T06:30:42.729Z,168776104272900
"""Toby @ 76KLHFOJAT"" checks",2023-06-26T06:30:40.863Z,168776104086300
"River: J♣, K♣, 7♣, 8♠ [3♠]",2023-06-26T06:30:37.456Z,168776103745600
"""Tomson @ o5K-cabCXp"" checks",2023-06-26T06:30:36.554Z,168776103655400
"""The Top G @ rBxx2OqQ80"" checks",2023-06-26T06:30:20.709Z,168776102070900
"""Toby @ 76KLHFOJAT"" checks",2023-06-26T06:30:19.728Z,168776101972800
"Turn: J♣, K♣, 7♣ [8♠]",2023-06-26T06:30:15.237Z,168776101523700
"""Tomson @ o5K-cabCXp"" checks",2023-06-26T06:30:14.326Z,168776101432600
"""The Top G @ rBxx2OqQ80"" checks",2023-06-26T06:29:58.482Z,168776099848200
"""Toby @ 76KLHFOJAT"" checks",2023-06-26T06:29:57.502Z,168776099750200
"Flop:  [J♣, K♣, 7♣]",2023-06-26T06:29:53.024Z,168776099302400
"""Ty @ 8ugHyNN1iO"" folds",2023-06-26T06:29:52.183Z,168776099218300
"""Seneca @ IQaAeMMZIs"" folds",2023-06-26T06:29:50.728Z,168776099072800
"""Tomson @ o5K-cabCXp"" calls 6.00",2023-06-26T06:29:49.735Z,168776098973500
"""The Top G @ rBxx2OqQ80"" calls 6.00",2023-06-26T06:29:47.522Z,168776098752200
"""Toby @ 76KLHFOJAT"" raises to 6.00",2023-06-26T06:29:46.536Z,168776098653600
"""Ty @ 8ugHyNN1iO"" posts a big blind of 2.00",2023-06-26T06:29:43.970Z,168776098397008
"""Seneca @ IQaAeMMZIs"" posts a small blind of 1.00",2023-06-26T06:29:43.970Z,168776098397007
"Player stacks: #2 ""Toby @ 76KLHFOJAT"" (344.75) | #4 ""The Top G @ rBxx2OqQ80"" (853.75) | #6 ""Tomson @ o5K-cabCXp"" (832.62) | #9 ""Seneca @ IQaAeMMZIs"" (1152.75) | #10 ""Ty @ 8ugHyNN1iO"" (292.00)",2023-06-26T06:29:43.970Z,168776098397001
"-- starting hand #378 (id: mo2xqckgkpnj)  (No Limit Texas Hold'em) (dealer: ""Tomson @ o5K-cabCXp"") --",2023-06-26T06:29:43.970Z,168776098397000
"""The Top G @ rBxx2OqQ80"" shows a 10♥, 6♦.",2023-06-26T06:29:39.684Z,168776097968400
"-- ending hand #377 --",2023-06-26T06:29:37.369Z,168776097736902
