entry,at,order
"The player ""dawsssss @ xjgMoSVpRc"" quits the game with a stack of 310.40.",2023-06-02T22:16:41.045Z,168574420104502
"The player ""Phil @ JZNV0izPqn"" quits the game with a stack of 87.75.",2023-06-02T22:16:41.045Z,168574420104501
"The player ""Marv69 @ 79Mm4q7kU2"" stand up with the stack of 225.19.",2023-06-02T22:16:41.045Z,168574420104500
"-- ending hand #147 --",2023-06-02T22:16:35.039Z,168574419503904
"""Jackson @ yXr_bmZ3u2"" collected 22.75 from pot with Two Pair (combination: Q♥, Q♠, J♦, J♥, K♠)",2023-06-02T22:16:35.039Z,168574419503903
"""Jackson @ yXr_bmZ3u2"" shows a 6♦, Q♥, 10♣, K♠.",2023-06-02T22:16:35.039Z,168574419503902
"""Brett @ VeVXdEFdHD"" collected 22.75 from pot with Two Pair (combination: Q♣, Q♠, J♦, J♥, K♥)",2023-06-02T22:16:35.039Z,168574419503901
"""Brett @ VeVXdEFdHD"" shows a 10♠, 7♣, Q♣, K♥.",2023-06-02T22:16:35.039Z,168574419503900
"""Brett @ VeVXdEFdHD"" checks",2023-06-02T22:16:34.145Z,168574419414500
"""Don @ 6T4espke1S"" checks",2023-06-02T22:16:32.900Z,168574419290000
"""Jackson @ yXr_bmZ3u2"" checks",2023-06-02T22:16:29.901Z,168574418990100
"River: 5♦, 3♠, Q♠, J♦ [J♥]",2023-06-02T22:16:27.459Z,168574418745900
"""Brett @ VeVXdEFdHD"" checks",2023-06-02T22:16:26.622Z,168574418662200
"""Don @ 6T4espke1S"" checks",2023-06-02T22:16:24.277Z,168574418427700
"""Jackson @ yXr_bmZ3u2"" checks",2023-06-02T22:16:21.628Z,168574418162800
"Turn: 5♦, 3♠, Q♠ [J♦]",2023-06-02T22:16:17.813Z,168574417781300
"""mp @ -DkySTil6a"" folds",2023-06-02T22:16:16.969Z,168574417696900
"""Marv69 @ 79Mm4q7kU2"" folds",2023-06-02T22:16:15.949Z,168574417594900
"""Brett @ VeVXdEFdHD"" calls 9.00",2023-06-02T22:16:15.032Z,168574417503200
"""Don @ 6T4espke1S"" calls 9.00",2023-06-02T22:16:12.728Z,168574417272800
"""Jackson @ yXr_bmZ3u2"" bets 9.00",2023-06-02T22:16:09.411Z,168574416941100
"""mp @ -DkySTil6a"" checks",2023-06-02T22:16:03.703Z,168574416370300
"Flop:  [5♦, 3♠, Q♠]",2023-06-02T22:16:01.829Z,168574416182900
"""Jackson @ yXr_bmZ3u2"" calls 3.50",2023-06-02T22:16:00.993Z,168574416099300
"""dawsssss @ xjgMoSVpRc"" folds",2023-06-02T22:15:59.279Z,168574415927900
"""mp @ -DkySTil6a"" calls 3.50",2023-06-02T22:15:58.452Z,168574415845200
"""Marv69 @ 79Mm4q7kU2"" calls 3.50",2023-06-02T22:15:42.571Z,168574414257100
"""Brett @ VeVXdEFdHD"" calls 3.50",2023-06-02T22:15:41.372Z,168574414137200
"""Don @ 6T4espke1S"" raises to 3.50",2023-06-02T22:15:38.087Z,168574413808700
"The admin ""mp @ -DkySTil6a"" enqueued the game stop on next hand.",2023-06-02T22:15:33.519Z,168574413351900
"""Jackson @ yXr_bmZ3u2"" calls 1.00",2023-06-02T22:15:31.742Z,168574413174200
"""wyman @ yHxGgWUDXk"" folds",2023-06-02T22:15:22.733Z,168574412273300
"""Phil @ JZNV0izPqn"" folds",2023-06-02T22:15:16.778Z,168574411677800
"""dawsssss @ xjgMoSVpRc"" posts a big blind of 1.00",2023-06-02T22:15:14.006Z,168574411400611
"""mp @ -DkySTil6a"" posts a small blind of 0.50",2023-06-02T22:15:14.006Z,168574411400610
"Player stacks: #1 ""Don @ 6T4espke1S"" (189.75) | #3 ""Brett @ VeVXdEFdHD"" (100.58) | #4 ""Marv69 @ 79Mm4q7kU2"" (228.69) | #5 ""mp @ -DkySTil6a"" (280.00) | #6 ""dawsssss @ xjgMoSVpRc"" (311.40) | #7 ""Phil @ JZNV0izPqn"" (87.75) | #8 ""wyman @ yHxGgWUDXk"" (60.76) | #10 ""Jackson @ yXr_bmZ3u2"" (137.67)",2023-06-02T22:15:14.006Z,168574411400601
"-- starting hand #147 (id: aobfn8w60u6t)  (Pot Limit Omaha Hi) (dealer: ""Marv69 @ 79Mm4q7kU2"") --",2023-06-02T22:15:14.006Z,168574411400600
"-- ending hand #146 --",2023-06-02T22:15:08.096Z,168574410809602
"""mp @ -DkySTil6a"" collected 48.00 from pot",2023-06-02T22:15:08.096Z,168574410809601
"Uncalled bet of 17.00 returned to ""mp @ -DkySTil6a""",2023-06-02T22:15:08.096Z,168574410809600
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-02T22:15:07.179Z,168574410717900
"""mp @ -DkySTil6a"" bets 17.00",2023-06-02T22:15:05.339Z,168574410533900
"Flop:  [3♠, K♠, 10♥]",2023-06-02T22:15:00.527Z,168574410052700
"""Marv69 @ 79Mm4q7kU2"" folds",2023-06-02T22:14:59.682Z,168574409968200
"""Brett @ VeVXdEFdHD"" folds",2023-06-02T22:14:57.980Z,168574409798000
"""Jackson @ yXr_bmZ3u2"" calls 19.00",2023-06-02T22:14:56.934Z,168574409693400
"""wyman @ yHxGgWUDXk"" folds",2023-06-02T22:14:53.942Z,168574409394200
"""dawsssss @ xjgMoSVpRc"" folds",2023-06-02T22:14:41.369Z,168574408136900
"""mp @ -DkySTil6a"" raises to 19.00",2023-06-02T22:14:39.486Z,168574407948600
"""Marv69 @ 79Mm4q7kU2"" calls 3.00",2023-06-02T22:14:30.583Z,168574407058300
"""Brett @ VeVXdEFdHD"" calls 3.00",2023-06-02T22:14:28.896Z,168574406889600
"""Don @ 6T4espke1S"" folds",2023-06-02T22:14:27.043Z,168574406704300
"""Jackson @ yXr_bmZ3u2"" calls 3.00",2023-06-02T22:14:11.177Z,168574405117700
"""wyman @ yHxGgWUDXk"" raises to 3.00",2023-06-02T22:14:09.032Z,168574404903200
"""Phil @ JZNV0izPqn"" folds",2023-06-02T22:14:04.707Z,168574404470700
"""dawsssss @ xjgMoSVpRc"" calls 1.00",2023-06-02T22:14:03.679Z,168574404367900
"""mp @ -DkySTil6a"" posts a big blind of 1.00",2023-06-02T22:13:50.553Z,168574403055311
"""Marv69 @ 79Mm4q7kU2"" posts a small blind of 0.50",2023-06-02T22:13:50.553Z,168574403055310
"Player stacks: #1 ""Don @ 6T4espke1S"" (189.75) | #3 ""Brett @ VeVXdEFdHD"" (103.58) | #4 ""Marv69 @ 79Mm4q7kU2"" (231.69) | #5 ""mp @ -DkySTil6a"" (251.00) | #6 ""dawsssss @ xjgMoSVpRc"" (312.40) | #7 ""Phil @ JZNV0izPqn"" (87.75) | #8 ""wyman @ yHxGgWUDXk"" (63.76) | #10 ""Jackson @ yXr_bmZ3u2"" (156.67)",2023-06-02T22:13:50.553Z,168574403055301
