entry,at,order
"The player ""Kitsos @ YKnLYV6iFd"" stand up with the stack of 454.44.",2023-05-19T09:36:36.688Z,168448899668800
"The admin ""MJK @ 8xuYQoCB-e"" enqueued the game stop on next hand.",2023-05-19T09:36:03.383Z,168448896338300
"""MJK @ 8xuYQoCB-e"" shows a A♠, 4♠, 9♣, K♦.",2023-05-19T09:36:00.827Z,168448896082700
"-- ending hand #401 --",2023-05-19T09:35:58.405Z,168448895840502
"""Kitsos @ YKnLYV6iFd"" collected 12.00 from pot",2023-05-19T09:35:58.405Z,168448895840501
"Uncalled bet of 12.00 returned to ""Kitsos @ YKnLYV6iFd""",2023-05-19T09:35:58.405Z,168448895840500
"""MJK @ 8xuYQoCB-e"" folds",2023-05-19T09:35:57.593Z,168448895759300
"""Kitsos @ YKnLYV6iFd"" bets 12.00",2023-05-19T09:35:49.533Z,168448894953300
"Flop:  [6♣, 8♥, 7♣]",2023-05-19T09:35:45.196Z,168448894519600
"""MJK @ 8xuYQoCB-e"" calls 6.00",2023-05-19T09:35:44.347Z,168448894434700
"""Kitsos @ YKnLYV6iFd"" raises to 6.00",2023-05-19T09:35:43.384Z,168448894338400
"""MJK @ 8xuYQoCB-e"" posts a straddle of 2.00",2023-05-19T09:35:40.393Z,168448894039306
"""Kitsos @ YKnLYV6iFd"" posts a big blind of 1.00",2023-05-19T09:35:40.393Z,168448894039305
"""MJK @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-05-19T09:35:40.393Z,168448894039304
"Player stacks: #3 ""MJK @ 8xuYQoCB-e"" (1093.27) | #5 ""Kitsos @ YKnLYV6iFd"" (448.44)",2023-05-19T09:35:40.393Z,168448894039301
"-- starting hand #401 (id: rfamphhpbpfu)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-19T09:35:40.393Z,168448894039300
"""MJK @ 8xuYQoCB-e"" shows a J♠, Q♣, 5♣, 10♠.",2023-05-19T09:35:37.717Z,168448893771700
"-- ending hand #400 --",2023-05-19T09:35:36.788Z,168448893678802
"""MJK @ 8xuYQoCB-e"" collected 24.00 from pot",2023-05-19T09:35:36.788Z,168448893678801
"Uncalled bet of 18.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-19T09:35:36.788Z,168448893678800
"""Kitsos @ YKnLYV6iFd"" folds",2023-05-19T09:35:35.984Z,168448893598400
"""MJK @ 8xuYQoCB-e"" bets 18.00",2023-05-19T09:35:34.653Z,168448893465300
"River: Q♥, 2♠, Q♦, 7♥ [5♥]",2023-05-19T09:35:29.704Z,168448892970400
"""Kitsos @ YKnLYV6iFd"" checks",2023-05-19T09:35:28.832Z,168448892883200
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T09:35:26.783Z,168448892678300
"Turn: Q♥, 2♠, Q♦ [7♥]",2023-05-19T09:35:24.978Z,168448892497800
"""Kitsos @ YKnLYV6iFd"" calls 6.00",2023-05-19T09:35:24.130Z,168448892413000
"""MJK @ 8xuYQoCB-e"" bets 6.00",2023-05-19T09:35:22.210Z,168448892221000
"Flop:  [Q♥, 2♠, Q♦]",2023-05-19T09:35:19.405Z,168448891940500
"""Kitsos @ YKnLYV6iFd"" calls 6.00",2023-05-19T09:35:18.599Z,168448891859900
"""MJK @ 8xuYQoCB-e"" raises to 6.00",2023-05-19T09:35:16.919Z,168448891691900
"""Kitsos @ YKnLYV6iFd"" posts a straddle of 2.00",2023-05-19T09:35:14.397Z,168448891439706
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-05-19T09:35:14.397Z,168448891439705
"""Kitsos @ YKnLYV6iFd"" posts a small blind of 0.50",2023-05-19T09:35:14.397Z,168448891439704
"Player stacks: #3 ""MJK @ 8xuYQoCB-e"" (1081.27) | #5 ""Kitsos @ YKnLYV6iFd"" (460.44)",2023-05-19T09:35:14.397Z,168448891439701
"-- starting hand #400 (id: vawgystkymds)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ YKnLYV6iFd"") --",2023-05-19T09:35:14.397Z,168448891439700
"-- ending hand #399 --",2023-05-19T09:35:11.488Z,168448891148802
"""MJK @ 8xuYQoCB-e"" collected 12.00 from pot",2023-05-19T09:35:11.488Z,168448891148801
"Uncalled bet of 6.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-19T09:35:11.488Z,168448891148800
"""Kitsos @ YKnLYV6iFd"" folds",2023-05-19T09:35:10.607Z,168448891060700
"""MJK @ 8xuYQoCB-e"" bets 6.00",2023-05-19T09:35:09.285Z,168448890928500
"""Kitsos @ YKnLYV6iFd"" checks",2023-05-19T09:35:05.088Z,168448890508800
"River: K♠, 7♥, 4♥, A♣ [4♣]",2023-05-19T09:35:03.276Z,168448890327600
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T09:35:02.425Z,168448890242500
"""Kitsos @ YKnLYV6iFd"" checks",2023-05-19T09:35:01.241Z,168448890124100
"Turn: K♠, 7♥, 4♥ [A♣]",2023-05-19T09:34:59.346Z,168448889934600
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T09:34:58.484Z,168448889848400
"""Kitsos @ YKnLYV6iFd"" checks",2023-05-19T09:34:57.243Z,168448889724300
"Flop:  [K♠, 7♥, 4♥]",2023-05-19T09:34:54.458Z,168448889445800
"""MJK @ 8xuYQoCB-e"" calls 6.00",2023-05-19T09:34:53.595Z,168448889359500
"""Kitsos @ YKnLYV6iFd"" raises to 6.00",2023-05-19T09:34:52.354Z,168448889235400
"""MJK @ 8xuYQoCB-e"" posts a straddle of 2.00",2023-05-19T09:34:48.137Z,168448888813706
"""Kitsos @ YKnLYV6iFd"" posts a big blind of 1.00",2023-05-19T09:34:48.137Z,168448888813705
"""MJK @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-05-19T09:34:48.137Z,168448888813704
"Player stacks: #3 ""MJK @ 8xuYQoCB-e"" (1075.27) | #5 ""Kitsos @ YKnLYV6iFd"" (466.44)",2023-05-19T09:34:48.137Z,168448888813701
"-- starting hand #399 (id: jabvmjvt362b)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-19T09:34:48.137Z,168448888813700
"-- ending hand #398 --",2023-05-19T09:34:42.174Z,168448888217402
"""Kitsos @ YKnLYV6iFd"" collected 2.00 from pot",2023-05-19T09:34:42.174Z,168448888217401
"Uncalled bet of 1.00 returned to ""Kitsos @ YKnLYV6iFd""",2023-05-19T09:34:42.174Z,168448888217400
"""MJK @ 8xuYQoCB-e"" folds",2023-05-19T09:34:41.371Z,168448888137100
"""Kitsos @ YKnLYV6iFd"" posts a straddle of 2.00",2023-05-19T09:34:40.373Z,168448888037306
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-05-19T09:34:40.373Z,168448888037305
"""Kitsos @ YKnLYV6iFd"" posts a small blind of 0.50",2023-05-19T09:34:40.373Z,168448888037304
"Player stacks: #3 ""MJK @ 8xuYQoCB-e"" (1076.27) | #5 ""Kitsos @ YKnLYV6iFd"" (465.44)",2023-05-19T09:34:40.373Z,168448888037301
"-- starting hand #398 (id: wfibxiypsy84)  (Pot Limit Omaha Hi) (dealer: ""Kitsos @ YKnLYV6iFd"") --",2023-05-19T09:34:40.373Z,168448888037300
"-- ending hand #397 --",2023-05-19T09:34:34.370Z,168448887437002
"""MJK @ 8xuYQoCB-e"" collected 36.00 from pot with Straight (combination: Q♥, J♣, 10♦, 9♠, 8♥)",2023-05-19T09:34:34.370Z,168448887437001
"""MJK @ 8xuYQoCB-e"" shows a 9♠, 8♥, 9♣, 4♥.",2023-05-19T09:34:34.370Z,168448887437000
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T09:34:33.480Z,168448887348000
"""Kitsos @ YKnLYV6iFd"" checks",2023-05-19T09:34:32.545Z,168448887254500
"River: J♣, A♥, Q♥, 10♦ [5♣]",2023-05-19T09:34:31.273Z,168448887127300
"""MJK @ 8xuYQoCB-e"" calls 12.00",2023-05-19T09:34:30.397Z,168448887039700
"""Kitsos @ YKnLYV6iFd"" bets 12.00",2023-05-19T09:34:28.487Z,168448886848700
"Turn: J♣, A♥, Q♥ [10♦]",2023-05-19T09:34:26.261Z,168448886626100
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T09:34:25.368Z,168448886536800
"""Kitsos @ YKnLYV6iFd"" checks",2023-05-19T09:34:24.128Z,168448886412800
"Flop:  [J♣, A♥, Q♥]",2023-05-19T09:34:22.461Z,168448886246100
"""MJK @ 8xuYQoCB-e"" calls 6.00",2023-05-19T09:34:21.609Z,168448886160900
"""Kitsos @ YKnLYV6iFd"" raises to 6.00",2023-05-19T09:34:20.656Z,168448886065600
"""MJK @ 8xuYQoCB-e"" posts a straddle of 2.00",2023-05-19T09:34:18.257Z,168448885825706
"""Kitsos @ YKnLYV6iFd"" posts a big blind of 1.00",2023-05-19T09:34:18.257Z,168448885825705
"""MJK @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-05-19T09:34:18.257Z,168448885825704
"Player stacks: #3 ""MJK @ 8xuYQoCB-e"" (1058.27) | #5 ""Kitsos @ YKnLYV6iFd"" (483.44)",2023-05-19T09:34:18.257Z,168448885825701
"-- starting hand #397 (id: laq9vuh3b6x6)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-19T09:34:18.257Z,168448885825700
"-- ending hand #396 --",2023-05-19T09:34:15.348Z,168448885534802
"""MJK @ 8xuYQoCB-e"" collected 12.00 from pot",2023-05-19T09:34:15.348Z,168448885534801
"Uncalled bet of 6.00 returned to ""MJK @ 8xuYQoCB-e""",2023-05-19T09:34:15.348Z,168448885534800
"""Kitsos @ YKnLYV6iFd"" folds",2023-05-19T09:34:14.515Z,168448885451500
"""MJK @ 8xuYQoCB-e"" bets 6.00",2023-05-19T09:34:13.464Z,168448885346400
"River: K♥, 8♥, K♣, 2♣ [Q♠]",2023-05-19T09:34:11.129Z,168448885112900
"""Kitsos @ YKnLYV6iFd"" checks",2023-05-19T09:34:10.278Z,168448885027800
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T09:34:09.162Z,168448884916200
"Turn: K♥, 8♥, K♣ [2♣]",2023-05-19T09:34:07.942Z,168448884794200
"""Kitsos @ YKnLYV6iFd"" checks",2023-05-19T09:34:07.138Z,168448884713800
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T09:34:06.177Z,168448884617700
"Flop:  [K♥, 8♥, K♣]",2023-05-19T09:34:03.913Z,168448884391300
"""Kitsos @ YKnLYV6iFd"" calls 6.00",2023-05-19T09:34:03.077Z,168448884307700
"""MJK @ 8xuYQoCB-e"" raises to 6.00",2023-05-19T09:34:01.601Z,168448884160100
"""Kitsos @ YKnLYV6iFd"" posts a straddle of 2.00",2023-05-19T09:33:59.219Z,168448883921906
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-05-19T09:33:59.219Z,168448883921905
"""Kitsos @ YKnLYV6iFd"" posts a small blind of 0.50",2023-05-19T09:33:59.219Z,168448883921904
"Player stacks: #3 ""MJK @ 8xuYQoCB-e"" (1052.27) | #5 ""Kitsos @ YKnLYV6iFd"" (489.44)",2023-05-19T09:33:59.219Z,168448883921901
