entry,at,order
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 874.75.",2023-05-22T03:19:17.588Z,168472555758801
"The player ""Toby @ 76KLHFOJAT"" stand up with the stack of 502.25.",2023-05-22T03:19:17.588Z,168472555758800
"-- ending hand #257 --",2023-05-22T03:19:11.659Z,168472555165902
"""Hayden @ 2LakBwr16r"" collected 9.00 from pot",2023-05-22T03:19:11.659Z,168472555165901
"Uncalled bet of 10.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-22T03:19:11.659Z,168472555165900
"""Toby @ 76KLHFOJAT"" folds",2023-05-22T03:19:10.847Z,168472555084700
"""Hayden @ 2LakBwr16r"" raises to 14.00",2023-05-22T03:19:06.600Z,168472554660000
"""Evan @ MThp1b8ki1"" folds",2023-05-22T03:18:56.994Z,168472553699400
"""Toby @ 76KLHFOJAT"" posts a straddle of 4.00",2023-05-22T03:18:52.750Z,168472553275008
"""Hayden @ 2LakBwr16r"" posts a big blind of 2.00",2023-05-22T03:18:52.750Z,168472553275007
"""Evan @ MThp1b8ki1"" posts a small blind of 1.00",2023-05-22T03:18:52.750Z,168472553275006
"Player stacks: #3 ""Toby @ 76KLHFOJAT"" (506.25) | #4 ""Evan @ MThp1b8ki1"" (400.00) | #7 ""Hayden @ 2LakBwr16r"" (869.75)",2023-05-22T03:18:52.750Z,168472553275002
"-- starting hand #257 (id: myygvgkg4ktr)  (No Limit Texas Hold'em) (dealer: ""Toby @ 76KLHFOJAT"") --",2023-05-22T03:18:52.750Z,168472553275001
"The player ""Goml @ 2bPSIZZ4nG"" stand up with the stack of 248.25.",2023-05-22T03:18:52.750Z,168472553275000
"-- ending hand #256 --",2023-05-22T03:18:49.842Z,168472552984202
"""Hayden @ 2LakBwr16r"" collected 5.00 from pot",2023-05-22T03:18:49.842Z,168472552984201
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-22T03:18:49.842Z,168472552984200
"""Evan @ MThp1b8ki1"" folds",2023-05-22T03:18:49.039Z,168472552903900
"""Toby @ 76KLHFOJAT"" folds",2023-05-22T03:18:48.178Z,168472552817800
"""Goml @ 2bPSIZZ4nG"" folds",2023-05-22T03:18:47.295Z,168472552729500
"""Hayden @ 2LakBwr16r"" posts a straddle of 4.00",2023-05-22T03:18:45.541Z,168472552554110
"""Evan @ MThp1b8ki1"" posts a big blind of 2.00",2023-05-22T03:18:45.541Z,168472552554109
"""Toby @ 76KLHFOJAT"" posts a small blind of 1.00",2023-05-22T03:18:45.541Z,168472552554108
"Player stacks: #3 ""Toby @ 76KLHFOJAT"" (507.25) | #4 ""Evan @ MThp1b8ki1"" (402.00) | #7 ""Hayden @ 2LakBwr16r"" (866.75) | #8 ""Goml @ 2bPSIZZ4nG"" (248.25)",2023-05-22T03:18:45.541Z,168472552554103
"-- starting hand #256 (id: se2naqph0op0)  (No Limit Texas Hold'em) (dealer: ""Goml @ 2bPSIZZ4nG"") --",2023-05-22T03:18:45.541Z,168472552554102
"The player ""RikTop @ wAgo7xgxkb"" stand up with the stack of 1594.17.",2023-05-22T03:18:45.541Z,168472552554101
"The player ""Farnsos @ 6GVYVlWnT4"" stand up with the stack of 642.25.",2023-05-22T03:18:45.541Z,168472552554100
"-- ending hand #255 --",2023-05-22T03:18:39.540Z,168472551954002
"""Farnsos @ 6GVYVlWnT4"" collected 11.00 from pot",2023-05-22T03:18:39.540Z,168472551954001
"Uncalled bet of 8.00 returned to ""Farnsos @ 6GVYVlWnT4""",2023-05-22T03:18:39.540Z,168472551954000
"""Evan @ MThp1b8ki1"" folds",2023-05-22T03:18:38.685Z,168472551868500
"""Toby @ 76KLHFOJAT"" folds",2023-05-22T03:18:36.062Z,168472551606200
"""Goml @ 2bPSIZZ4nG"" folds",2023-05-22T03:18:35.220Z,168472551522000
"""Hayden @ 2LakBwr16r"" folds",2023-05-22T03:18:34.323Z,168472551432300
"""Farnsos @ 6GVYVlWnT4"" raises to 12.00",2023-05-22T03:18:32.092Z,168472551209200
"""RikTop @ wAgo7xgxkb"" folds",2023-05-22T03:18:26.753Z,168472550675300
"""Evan @ MThp1b8ki1"" posts a straddle of 4.00",2023-05-22T03:18:24.907Z,168472550490710
"""Toby @ 76KLHFOJAT"" posts a big blind of 2.00",2023-05-22T03:18:24.907Z,168472550490709
"""Goml @ 2bPSIZZ4nG"" posts a small blind of 1.00",2023-05-22T03:18:24.907Z,168472550490708
"Player stacks: #3 ""Toby @ 76KLHFOJAT"" (509.25) | #4 ""Evan @ MThp1b8ki1"" (406.00) | #5 ""RikTop @ wAgo7xgxkb"" (1594.17) | #6 ""Farnsos @ 6GVYVlWnT4"" (635.25) | #7 ""Hayden @ 2LakBwr16r"" (866.75) | #8 ""Goml @ 2bPSIZZ4nG"" (249.25)",2023-05-22T03:18:24.907Z,168472550490701
"-- starting hand #255 (id: 4e7zpwwgw3io)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-22T03:18:24.907Z,168472550490700
"-- ending hand #254 --",2023-05-22T03:18:18.951Z,168472549895102
"""RikTop @ wAgo7xgxkb"" collected 11.00 from pot",2023-05-22T03:18:18.951Z,168472549895101
"Uncalled bet of 8.00 returned to ""RikTop @ wAgo7xgxkb""",2023-05-22T03:18:18.951Z,168472549895100
"""Toby @ 76KLHFOJAT"" folds",2023-05-22T03:18:18.118Z,168472549811800
"""Goml @ 2bPSIZZ4nG"" folds",2023-05-22T03:18:16.149Z,168472549614900
"""Hayden @ 2LakBwr16r"" folds",2023-05-22T03:18:15.289Z,168472549528900
"""Farnsos @ 6GVYVlWnT4"" folds",2023-05-22T03:18:14.216Z,168472549421600
"""RikTop @ wAgo7xgxkb"" raises to 12.00",2023-05-22T03:17:57.080Z,168472547708000
"""Evan @ MThp1b8ki1"" folds",2023-05-22T03:17:53.301Z,168472547330100
"""Toby @ 76KLHFOJAT"" posts a straddle of 4.00",2023-05-22T03:17:52.322Z,168472547232210
"""Goml @ 2bPSIZZ4nG"" posts a big blind of 2.00",2023-05-22T03:17:52.322Z,168472547232209
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-22T03:17:52.322Z,168472547232208
"Player stacks: #3 ""Toby @ 76KLHFOJAT"" (513.25) | #4 ""Evan @ MThp1b8ki1"" (406.00) | #5 ""RikTop @ wAgo7xgxkb"" (1587.17) | #6 ""Farnsos @ 6GVYVlWnT4"" (635.25) | #7 ""Hayden @ 2LakBwr16r"" (867.75) | #8 ""Goml @ 2bPSIZZ4nG"" (251.25)",2023-05-22T03:17:52.322Z,168472547232201
"-- starting hand #254 (id: 9b1znxlet2dx)  (No Limit Texas Hold'em) (dealer: ""Farnsos @ 6GVYVlWnT4"") --",2023-05-22T03:17:52.322Z,168472547232200
"""Goml @ 2bPSIZZ4nG"" shows a J♣, 3♥.",2023-05-22T03:17:49.294Z,168472546929400
"""RikTop @ wAgo7xgxkb"" shows a 8♣, 8♠.",2023-05-22T03:17:46.317Z,168472546631700
"-- ending hand #253 --",2023-05-22T03:17:44.966Z,168472546496602
"""RikTop @ wAgo7xgxkb"" collected 11.00 from pot",2023-05-22T03:17:44.966Z,168472546496601
"Uncalled bet of 8.00 returned to ""RikTop @ wAgo7xgxkb""",2023-05-22T03:17:44.966Z,168472546496600
"""Goml @ 2bPSIZZ4nG"" folds",2023-05-22T03:17:44.158Z,168472546415800
"""Hayden @ 2LakBwr16r"" folds",2023-05-22T03:17:42.724Z,168472546272400
"""Farnsos @ 6GVYVlWnT4"" folds",2023-05-22T03:17:41.694Z,168472546169400
"""RikTop @ wAgo7xgxkb"" raises to 12.00",2023-05-22T03:17:40.799Z,168472546079900
"""Evan @ MThp1b8ki1"" folds",2023-05-22T03:17:17.771Z,168472543777100
"""Toby @ 76KLHFOJAT"" folds",2023-05-22T03:17:16.932Z,168472543693200
"""Goml @ 2bPSIZZ4nG"" posts a straddle of 4.00",2023-05-22T03:17:15.886Z,168472543588610
"""Hayden @ 2LakBwr16r"" posts a big blind of 2.00",2023-05-22T03:17:15.886Z,168472543588609
"""Farnsos @ 6GVYVlWnT4"" posts a small blind of 1.00",2023-05-22T03:17:15.886Z,168472543588608
"Player stacks: #3 ""Toby @ 76KLHFOJAT"" (513.25) | #4 ""Evan @ MThp1b8ki1"" (406.00) | #5 ""RikTop @ wAgo7xgxkb"" (1580.17) | #6 ""Farnsos @ 6GVYVlWnT4"" (636.25) | #7 ""Hayden @ 2LakBwr16r"" (869.75) | #8 ""Goml @ 2bPSIZZ4nG"" (255.25)",2023-05-22T03:17:15.886Z,168472543588601
"-- starting hand #253 (id: iqn0iuevhzzv)  (No Limit Texas Hold'em) (dealer: ""RikTop @ wAgo7xgxkb"") --",2023-05-22T03:17:15.886Z,168472543588600
"""Goml @ 2bPSIZZ4nG"" shows a Q♥, 4♣.",2023-05-22T03:17:12.607Z,168472543260700
"-- ending hand #252 --",2023-05-22T03:17:09.249Z,168472542924902
"""Toby @ 76KLHFOJAT"" collected 27.00 from pot",2023-05-22T03:17:09.249Z,168472542924901
"Uncalled bet of 10.00 returned to ""Toby @ 76KLHFOJAT""",2023-05-22T03:17:09.249Z,168472542924900
"""Hayden @ 2LakBwr16r"" folds",2023-05-22T03:17:08.425Z,168472542842500
"""Toby @ 76KLHFOJAT"" bets 10.00",2023-05-22T03:17:05.607Z,168472542560700
"""Hayden @ 2LakBwr16r"" checks",2023-05-22T03:16:59.033Z,168472541903300
"Flop:  [Q♣, 4♥, 4♦]",2023-05-22T03:16:57.381Z,168472541738100
"""Hayden @ 2LakBwr16r"" calls 12.00",2023-05-22T03:16:56.536Z,168472541653600
"""Farnsos @ 6GVYVlWnT4"" folds",2023-05-22T03:16:50.867Z,168472541086700
"""RikTop @ wAgo7xgxkb"" folds",2023-05-22T03:16:47.651Z,168472540765100
"""Evan @ MThp1b8ki1"" folds",2023-05-22T03:16:39.752Z,168472539975200
"""Toby @ 76KLHFOJAT"" raises to 12.00",2023-05-22T03:16:36.997Z,168472539699700
"""Goml @ 2bPSIZZ4nG"" folds",2023-05-22T03:16:33.659Z,168472539365900
"""Hayden @ 2LakBwr16r"" posts a straddle of 4.00",2023-05-22T03:16:32.474Z,168472539247410
"""Farnsos @ 6GVYVlWnT4"" posts a big blind of 2.00",2023-05-22T03:16:32.474Z,168472539247409
"""RikTop @ wAgo7xgxkb"" posts a small blind of 1.00",2023-05-22T03:16:32.474Z,168472539247408
"Player stacks: #3 ""Toby @ 76KLHFOJAT"" (498.25) | #4 ""Evan @ MThp1b8ki1"" (406.00) | #5 ""RikTop @ wAgo7xgxkb"" (1581.17) | #6 ""Farnsos @ 6GVYVlWnT4"" (638.25) | #7 ""Hayden @ 2LakBwr16r"" (881.75) | #8 ""Goml @ 2bPSIZZ4nG"" (255.25)",2023-05-22T03:16:32.474Z,168472539247401
"-- starting hand #252 (id: nd2nbvjcacir)  (No Limit Texas Hold'em) (dealer: ""Evan @ MThp1b8ki1"") --",2023-05-22T03:16:32.474Z,168472539247400
"-- ending hand #251 --",2023-05-22T03:16:26.463Z,168472538646302
"""Farnsos @ 6GVYVlWnT4"" collected 59.00 from pot with Two Pair, J's & 4's (combination: J♠, J♥, 4♠, 4♦, K♦)",2023-05-22T03:16:26.463Z,168472538646301
"""Farnsos @ 6GVYVlWnT4"" shows a 4♠, J♠.",2023-05-22T03:16:26.463Z,168472538646300
"""Goml @ 2bPSIZZ4nG"" checks",2023-05-22T03:16:25.598Z,168472538559800
"""Farnsos @ 6GVYVlWnT4"" checks",2023-05-22T03:16:24.706Z,168472538470600
"River: K♦, 9♦, J♥, 4♦ [6♣]",2023-05-22T03:16:22.742Z,168472538274200
"""Farnsos @ 6GVYVlWnT4"" calls 15.75",2023-05-22T03:16:21.893Z,168472538189300
"""Goml @ 2bPSIZZ4nG"" bets 15.75",2023-05-22T03:16:18.870Z,168472537887000
"""Farnsos @ 6GVYVlWnT4"" checks",2023-05-22T03:16:14.275Z,168472537427500
"Turn: K♦, 9♦, J♥ [4♦]",2023-05-22T03:16:12.537Z,168472537253700
"""Farnsos @ 6GVYVlWnT4"" calls 8.25",2023-05-22T03:16:11.698Z,168472537169800
"""Goml @ 2bPSIZZ4nG"" bets 8.25",2023-05-22T03:16:08.190Z,168472536819000
"""Farnsos @ 6GVYVlWnT4"" checks",2023-05-22T03:16:04.819Z,168472536481900
"Flop:  [K♦, 9♦, J♥]",2023-05-22T03:16:02.588Z,168472536258800
"""Farnsos @ 6GVYVlWnT4"" checks",2023-05-22T03:16:01.739Z,168472536173900
"""RikTop @ wAgo7xgxkb"" folds",2023-05-22T03:15:57.390Z,168472535739000
"""Evan @ MThp1b8ki1"" folds",2023-05-22T03:15:50.928Z,168472535092800
