entry,at,order
"The player ""Phil @ JZNV0izPqn"" stand up with the stack of 924.37.",2023-05-31T07:34:01.243Z,168551844124300
"-- ending hand #420 --",2023-05-31T07:33:55.272Z,168551843527202
"""Hayden @ 2LakBwr16r"" collected 12.00 from pot",2023-05-31T07:33:55.272Z,168551843527201
"Uncalled bet of 6.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-31T07:33:55.272Z,168551843527200
"""Phil @ JZNV0izPqn"" folds",2023-05-31T07:33:54.382Z,168551843438200
"""Hayden @ 2LakBwr16r"" bets 6.00",2023-05-31T07:33:53.084Z,168551843308400
"Turn: K♣, 2♠, 8♠ [6♣]",2023-05-31T07:33:49.370Z,168551842937000
"""Phil @ JZNV0izPqn"" checks",2023-05-31T07:33:48.539Z,168551842853900
"""Hayden @ 2LakBwr16r"" checks",2023-05-31T07:33:47.478Z,168551842747800
"Flop:  [K♣, 2♠, 8♠]",2023-05-31T07:33:45.533Z,168551842553300
"""Hayden @ 2LakBwr16r"" calls 6.00",2023-05-31T07:33:44.670Z,168551842467000
"""Phil @ JZNV0izPqn"" raises to 6.00",2023-05-31T07:33:42.566Z,168551842256600
"""Hayden @ 2LakBwr16r"" posts a big blind of 2.00",2023-05-31T07:33:40.259Z,168551842025905
"""Phil @ JZNV0izPqn"" posts a small blind of 1.00",2023-05-31T07:33:40.259Z,168551842025904
"Player stacks: #3 ""Phil @ JZNV0izPqn"" (930.37) | #5 ""Hayden @ 2LakBwr16r"" (1341.44)",2023-05-31T07:33:40.259Z,168551842025901
"-- starting hand #420 (id: hnhmecgz9p5r)  (No Limit Texas Hold'em) (dealer: ""Phil @ JZNV0izPqn"") --",2023-05-31T07:33:40.259Z,168551842025900
"-- ending hand #419 --",2023-05-31T07:33:34.324Z,168551841432402
"""Phil @ JZNV0izPqn"" collected 12.00 from pot",2023-05-31T07:33:34.324Z,168551841432401
"Uncalled bet of 12.00 returned to ""Phil @ JZNV0izPqn""",2023-05-31T07:33:34.324Z,168551841432400
"""Hayden @ 2LakBwr16r"" folds",2023-05-31T07:33:33.469Z,168551841346900
"""Phil @ JZNV0izPqn"" raises to 18.00",2023-05-31T07:33:28.190Z,168551840819000
"""Hayden @ 2LakBwr16r"" raises to 6.00",2023-05-31T07:33:25.537Z,168551840553700
"""Phil @ JZNV0izPqn"" posts a big blind of 2.00",2023-05-31T07:33:23.147Z,168551840314705
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-31T07:33:23.147Z,168551840314704
"Player stacks: #3 ""Phil @ JZNV0izPqn"" (924.37) | #5 ""Hayden @ 2LakBwr16r"" (1347.44)",2023-05-31T07:33:23.147Z,168551840314701
"-- starting hand #419 (id: wlehhyohnxsy)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-31T07:33:23.147Z,168551840314700
"-- ending hand #418 --",2023-05-31T07:33:20.242Z,168551840024202
"""Phil @ JZNV0izPqn"" collected 4.00 from pot",2023-05-31T07:33:20.242Z,168551840024201
"Uncalled bet of 4.00 returned to ""Phil @ JZNV0izPqn""",2023-05-31T07:33:20.242Z,168551840024200
"""Hayden @ 2LakBwr16r"" folds",2023-05-31T07:33:19.398Z,168551839939800
"""Phil @ JZNV0izPqn"" raises to 6.00",2023-05-31T07:33:11.202Z,168551839120200
"""Hayden @ 2LakBwr16r"" posts a big blind of 2.00",2023-05-31T07:33:08.327Z,168551838832706
"""Phil @ JZNV0izPqn"" posts a small blind of 1.00",2023-05-31T07:33:08.327Z,168551838832705
"Player stacks: #3 ""Phil @ JZNV0izPqn"" (922.37) | #5 ""Hayden @ 2LakBwr16r"" (1349.44)",2023-05-31T07:33:08.327Z,168551838832702
"-- starting hand #418 (id: gnehur8ajcjp)  (No Limit Texas Hold'em) (dealer: ""Phil @ JZNV0izPqn"") --",2023-05-31T07:33:08.327Z,168551838832701
"The player ""Kitsos @ 4DT3vFeWj1"" stand up with the stack of 535.85.",2023-05-31T07:33:08.327Z,168551838832700
"-- ending hand #417 --",2023-05-31T07:33:02.424Z,168551838242402
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-05-31T07:33:02.424Z,168551838242401
"Uncalled bet of 1.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-31T07:33:02.424Z,168551838242400
"""Phil @ JZNV0izPqn"" folds",2023-05-31T07:33:01.538Z,168551838153800
"""Kitsos @ 4DT3vFeWj1"" folds",2023-05-31T07:33:00.633Z,168551838063300
"""Hayden @ 2LakBwr16r"" posts a big blind of 2.00",2023-05-31T07:32:57.461Z,168551837746107
"""Phil @ JZNV0izPqn"" posts a small blind of 1.00",2023-05-31T07:32:57.461Z,168551837746106
"Player stacks: #1 ""Kitsos @ 4DT3vFeWj1"" (535.85) | #3 ""Phil @ JZNV0izPqn"" (923.37) | #5 ""Hayden @ 2LakBwr16r"" (1348.44)",2023-05-31T07:32:57.461Z,168551837746102
