entry,at,order
"The player ""Phil @ kH2Nd7T9jO"" quits the game with a stack of 462.48.",2023-06-22T04:40:20.529Z,168740882052900
"The player ""Rick @ UZZ05k8aJ-"" stand up with the stack of 933.51.",2023-06-22T04:38:05.831Z,168740868583100
"-- ending hand #293 --",2023-06-22T04:37:59.911Z,168740867991102
"""Phil @ kH2Nd7T9jO"" collected 244.00 from pot",2023-06-22T04:37:59.911Z,168740867991101
"Uncalled bet of 218.48 returned to ""Phil @ kH2Nd7T9jO""",2023-06-22T04:37:59.911Z,168740867991100
"""Rick @ UZZ05k8aJ-"" folds",2023-06-22T04:37:59.079Z,168740867907900
"""Phil @ kH2Nd7T9jO"" raises to 268.48 and go all in",2023-06-22T04:37:57.874Z,168740867787400
"""Rick @ UZZ05k8aJ-"" bets 50.00",2023-06-22T04:37:55.393Z,168740867539300
"""Phil @ kH2Nd7T9jO"" checks",2023-06-22T04:37:48.361Z,168740866836100
"Flop:  [10♥, 9♠, J♠]",2023-06-22T04:37:46.999Z,168740866699900
"""Phil @ kH2Nd7T9jO"" calls 72.00",2023-06-22T04:37:46.100Z,168740866610000
"""Rick @ UZZ05k8aJ-"" raises to 72.00",2023-06-22T04:37:41.749Z,168740866174900
"""Phil @ kH2Nd7T9jO"" raises to 24.00",2023-06-22T04:37:32.666Z,168740865266600
"""Rick @ UZZ05k8aJ-"" raises to 8.00",2023-06-22T04:37:30.392Z,168740865039200
"""Phil @ kH2Nd7T9jO"" posts a big blind of 2.00",2023-06-22T04:37:27.420Z,168740864742006
"""Rick @ UZZ05k8aJ-"" posts a small blind of 1.00",2023-06-22T04:37:27.420Z,168740864742005
"Player stacks: #5 ""Rick @ UZZ05k8aJ-"" (1055.51) | #7 ""Phil @ kH2Nd7T9jO"" (340.48)",2023-06-22T04:37:27.420Z,168740864742002
"-- starting hand #293 (id: sy8o2tg3prsv)  (No Limit Texas Hold'em) (dealer: ""Rick @ UZZ05k8aJ-"") --",2023-06-22T04:37:27.420Z,168740864742001
"The player ""Ty @ 8ugHyNN1iO"" stand up with the stack of 700.88.",2023-06-22T04:37:27.420Z,168740864742000
"""Rick @ UZZ05k8aJ-"" shows a A♥, A♣.",2023-06-22T04:37:24.773Z,168740864477300
"-- ending hand #292 --",2023-06-22T04:37:23.780Z,168740864378002
"""Rick @ UZZ05k8aJ-"" collected 48.00 from pot",2023-06-22T04:37:23.780Z,168740864378001
"Uncalled bet of 24.00 returned to ""Rick @ UZZ05k8aJ-""",2023-06-22T04:37:23.780Z,168740864378000
"""Phil @ kH2Nd7T9jO"" folds",2023-06-22T04:37:22.878Z,168740864287800
"""Rick @ UZZ05k8aJ-"" bets 24.00",2023-06-22T04:37:21.812Z,168740864181200
"River: 6♥, 10♠, J♥, Q♥ [J♦]",2023-06-22T04:37:17.979Z,168740863797900
"""Phil @ kH2Nd7T9jO"" calls 12.00",2023-06-22T04:37:17.124Z,168740863712400
"""Rick @ UZZ05k8aJ-"" bets 12.00",2023-06-22T04:37:15.918Z,168740863591800
"Turn: 6♥, 10♠, J♥ [Q♥]",2023-06-22T04:37:11.666Z,168740863166600
"""Phil @ kH2Nd7T9jO"" calls 6.00",2023-06-22T04:37:10.828Z,168740863082800
"""Rick @ UZZ05k8aJ-"" bets 6.00",2023-06-22T04:37:08.947Z,168740862894700
"Flop:  [6♥, 10♠, J♥]",2023-06-22T04:37:05.764Z,168740862576400
"""Phil @ kH2Nd7T9jO"" calls 6.00",2023-06-22T04:37:04.902Z,168740862490200
"""Rick @ UZZ05k8aJ-"" raises to 6.00",2023-06-22T04:37:03.133Z,168740862313300
"""Ty @ 8ugHyNN1iO"" folds",2023-06-22T04:36:56.728Z,168740861672800
"""Phil @ kH2Nd7T9jO"" posts a big blind of 2.00",2023-06-22T04:36:54.845Z,168740861484506
"""Rick @ UZZ05k8aJ-"" posts a small blind of 1.00",2023-06-22T04:36:54.845Z,168740861484505
"Player stacks: #3 ""Ty @ 8ugHyNN1iO"" (700.88) | #5 ""Rick @ UZZ05k8aJ-"" (1031.51) | #7 ""Phil @ kH2Nd7T9jO"" (364.48)",2023-06-22T04:36:54.845Z,168740861484501
"-- starting hand #292 (id: ulsupdec3fbc)  (No Limit Texas Hold'em) (dealer: ""Ty @ 8ugHyNN1iO"") --",2023-06-22T04:36:54.845Z,168740861484500
"-- ending hand #291 --",2023-06-22T04:36:51.941Z,168740861194102
"""Ty @ 8ugHyNN1iO"" collected 14.00 from pot",2023-06-22T04:36:51.941Z,168740861194101
"Uncalled bet of 10.50 returned to ""Ty @ 8ugHyNN1iO""",2023-06-22T04:36:51.941Z,168740861194100
"""Phil @ kH2Nd7T9jO"" folds",2023-06-22T04:36:51.060Z,168740861106000
"""Ty @ 8ugHyNN1iO"" bets 10.50",2023-06-22T04:36:48.630Z,168740860863000
"Turn: A♠, K♥, J♥ [5♦]",2023-06-22T04:36:43.328Z,168740860332800
"""Phil @ kH2Nd7T9jO"" checks",2023-06-22T04:36:42.471Z,168740860247100
"""Ty @ 8ugHyNN1iO"" checks",2023-06-22T04:36:38.245Z,168740859824500
"Flop:  [A♠, K♥, J♥]",2023-06-22T04:36:34.706Z,168740859470600
"""Rick @ UZZ05k8aJ-"" folds",2023-06-22T04:36:33.882Z,168740859388200
"""Ty @ 8ugHyNN1iO"" calls 6.00",2023-06-22T04:36:24.580Z,168740858458000
"""Phil @ kH2Nd7T9jO"" raises to 6.00",2023-06-22T04:36:22.080Z,168740858208000
"""Rick @ UZZ05k8aJ-"" posts a big blind of 2.00",2023-06-22T04:36:19.114Z,168740857911406
"""Ty @ 8ugHyNN1iO"" posts a small blind of 1.00",2023-06-22T04:36:19.114Z,168740857911405
"Player stacks: #3 ""Ty @ 8ugHyNN1iO"" (692.88) | #5 ""Rick @ UZZ05k8aJ-"" (1033.51) | #7 ""Phil @ kH2Nd7T9jO"" (370.48)",2023-06-22T04:36:19.114Z,168740857911401
"-- starting hand #291 (id: afmwu7eodef3)  (No Limit Texas Hold'em) (dealer: ""Phil @ kH2Nd7T9jO"") --",2023-06-22T04:36:19.114Z,168740857911400
"-- ending hand #290 --",2023-06-22T04:36:13.099Z,168740857309903
"""Phil @ kH2Nd7T9jO"" shows a 6♣, J♣.",2023-06-22T04:36:13.099Z,168740857309902
"""Rick @ UZZ05k8aJ-"" collected 14.00 from pot with Flush, Ad High (combination: A♦, Q♦, 8♦, 3♦, 2♦)",2023-06-22T04:36:13.099Z,168740857309901
"""Rick @ UZZ05k8aJ-"" shows a 2♦, 2♠.",2023-06-22T04:36:13.099Z,168740857309900
"""Rick @ UZZ05k8aJ-"" checks",2023-06-22T04:36:12.253Z,168740857225300
