entry,at,order
"The player ""scrap @ z2HyPltNTn"" stand up with the stack of 549.12.",2023-06-04T10:01:55.861Z,168587291586100
"-- ending hand #362 --",2023-06-04T10:01:49.857Z,168587290985702
"""Dp @ YyWpODWXWx"" collected 2.00 from pot",2023-06-04T10:01:49.857Z,168587290985701
"Uncalled bet of 69.03 returned to ""Dp @ YyWpODWXWx""",2023-06-04T10:01:49.857Z,168587290985700
"""scrap @ z2HyPltNTn"" folds",2023-06-04T10:01:48.985Z,168587290898500
"""Dp @ YyWpODWXWx"" raises to 70.03 and go all in",2023-06-04T10:01:46.914Z,168587290691400
"""scrap @ z2HyPltNTn"" posts a big blind of 1.00",2023-06-04T10:01:41.857Z,168587290185705
"""Dp @ YyWpODWXWx"" posts a small blind of 0.50",2023-06-04T10:01:41.857Z,168587290185704
"Player stacks: #2 ""Dp @ YyWpODWXWx"" (70.03) | #10 ""scrap @ z2HyPltNTn"" (550.12)",2023-06-04T10:01:41.857Z,168587290185701
"-- starting hand #362 (id: ryjdsuktptjw)  (No Limit Texas Hold'em) (dealer: ""Dp @ YyWpODWXWx"") --",2023-06-04T10:01:41.857Z,168587290185700
"-- ending hand #361 --",2023-06-04T10:01:35.847Z,168587289584703
"""Dp @ YyWpODWXWx"" shows a K♠, 2♠.",2023-06-04T10:01:35.847Z,168587289584702
"""scrap @ z2HyPltNTn"" collected 36.00 from pot with Three of a Kind, A's (combination: A♦, A♣, A♥, Q♥, J♦)",2023-06-04T10:01:35.847Z,168587289584701
"""scrap @ z2HyPltNTn"" shows a A♦, Q♥.",2023-06-04T10:01:35.847Z,168587289584700
"""scrap @ z2HyPltNTn"" calls 6.00",2023-06-04T10:01:34.962Z,168587289496200
"""Dp @ YyWpODWXWx"" bets 6.00",2023-06-04T10:01:31.625Z,168587289162500
"River: A♣, A♥, 2♥, 5♠ [J♦]",2023-06-04T10:01:26.460Z,168587288646000
"""Dp @ YyWpODWXWx"" calls 6.00",2023-06-04T10:01:25.644Z,168587288564400
"""scrap @ z2HyPltNTn"" bets 6.00",2023-06-04T10:01:24.297Z,168587288429700
"""Dp @ YyWpODWXWx"" checks",2023-06-04T10:01:20.139Z,168587288013900
"Turn: A♣, A♥, 2♥ [5♠]",2023-06-04T10:01:18.285Z,168587287828500
"""Dp @ YyWpODWXWx"" calls 3.00",2023-06-04T10:01:17.474Z,168587287747400
"""scrap @ z2HyPltNTn"" bets 3.00",2023-06-04T10:01:15.986Z,168587287598600
"""Dp @ YyWpODWXWx"" checks",2023-06-04T10:01:12.416Z,168587287241600
"Flop:  [A♣, A♥, 2♥]",2023-06-04T10:01:10.590Z,168587287059000
"""Dp @ YyWpODWXWx"" calls 3.00",2023-06-04T10:01:09.727Z,168587286972700
"""scrap @ z2HyPltNTn"" raises to 3.00",2023-06-04T10:01:08.427Z,168587286842700
"""Dp @ YyWpODWXWx"" posts a big blind of 1.00",2023-06-04T10:01:05.387Z,168587286538705
"""scrap @ z2HyPltNTn"" posts a small blind of 0.50",2023-06-04T10:01:05.387Z,168587286538704
"Player stacks: #2 ""Dp @ YyWpODWXWx"" (88.03) | #10 ""scrap @ z2HyPltNTn"" (532.12)",2023-06-04T10:01:05.387Z,168587286538701
"-- starting hand #361 (id: llnlxxfxmonp)  (No Limit Texas Hold'em) (dealer: ""scrap @ z2HyPltNTn"") --",2023-06-04T10:01:05.387Z,168587286538700
"""scrap @ z2HyPltNTn"" shows a 4♥, 2♦.",2023-06-04T10:01:01.699Z,168587286169900
"""Dp @ YyWpODWXWx"" shows a A♣, 4♠.",2023-06-04T10:00:59.965Z,168587285996500
"-- ending hand #360 --",2023-06-04T10:00:58.031Z,168587285803102
"""Dp @ YyWpODWXWx"" collected 2.00 from pot",2023-06-04T10:00:58.031Z,168587285803101
"Uncalled bet of 2.00 returned to ""Dp @ YyWpODWXWx""",2023-06-04T10:00:58.031Z,168587285803100
"""scrap @ z2HyPltNTn"" folds",2023-06-04T10:00:57.218Z,168587285721800
"""Dp @ YyWpODWXWx"" raises to 3.00",2023-06-04T10:00:56.029Z,168587285602900
"""scrap @ z2HyPltNTn"" posts a big blind of 1.00",2023-06-04T10:00:53.568Z,168587285356805
"""Dp @ YyWpODWXWx"" posts a small blind of 0.50",2023-06-04T10:00:53.568Z,168587285356804
"Player stacks: #2 ""Dp @ YyWpODWXWx"" (87.03) | #10 ""scrap @ z2HyPltNTn"" (533.12)",2023-06-04T10:00:53.568Z,168587285356801
